policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
clobot_with_arms,0,fell,30.94,7,28.1342,27.4615,2.76767,3.66094,299.933,32.6654,10.4947,5.39693,0.294282,22.6127,14.3458,4.80224,6.75191,1.80295,15,0.488494,1.20282,3.26604,357.506,55.6462,13.9794,10.637,0.332387,26.4171,18.7523,5.22378,8.61482,2.01006,14,0.682501,1.54027,5.41717,273.109,31.288,13.0024,8.83365,6.92743,19.7831,12.3464,4.55513,9.78813,4.3689,11,0.70438,1.67371,4.62689,375.28,38.1395,17.4936,9.19779,0.273437,25.2628,13.4383,5.02546,6.93412,1.93855,15,0.414911,1.26637,3.41562,180.39,30.0491,4.54144,2.9255,0.120121,16.4284,13.5607,3.4635,4.17612,1.168,11,0.477667,1.32911,3.54553,227.605,26.2125,8.02342,3.9562,0.179663,20.0321,10.0292,4.21723,5.62364,1.32571,11,0.632061,1.599,3.50972,566.592,66.4564,32.9592,66.8763,48.5957,27.8594,18.471,5.75091,18.6667,12.0156,7,0.44009,0.92284,5.10245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,1,fell,26.54,6,66.8596,23.0761,2.70323,3.91975,241.084,24.182,8.99272,4.47103,0.298825,19.9217,12.2987,4.67442,6.56188,1.75131,13,0.554178,1.38182,3.03107,286.538,38.3074,6.77765,4.24593,0.155429,17.496,12.3637,4.02815,5.17782,1.20494,10,0.703319,1.57827,5.01731,460.418,52.9479,55.9023,44.9135,0.524982,30.5225,21.7686,7.1442,11.3205,2.51442,14,0.580029,1.43774,5.26501,268.49,26.5473,5.73376,3.16166,0.140223,18.3144,10.424,4.08475,5.03468,1.08028,10,0.706839,1.59221,4.69753,728.132,113.496,37.8784,27.5772,0.823696,43.8639,26.9574,10.2292,13.1519,3.33623,22,0.541706,1.9081,6.8225,731.646,109.454,81.0064,141.242,12.2971,40.7039,27.0222,9.82845,20.516,7.03604,10,0.584798,1.83923,10.0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,2,fell,81.44,17,25.783,6.18333,1.03277,0.289289,168.986,24.5109,7.54993,4.58124,0.243914,15.235,11.0328,3.49145,5.24004,1.38737,9,0.53019,1.22152,3.72394,126.066,12.846,3.07896,2.19618,0.111289,10.8208,5.48778,2.31238,3.19486,0.803063,8,0.491446,1.53739,2.6952,235.991,27.8901,7.57673,4.39196,0.163345,16.2657,11.5971,3.52806,5.30711,1.23798,10,0.635753,1.5022,3.94968,198.269,23.6424,5.97233,3.36751,0.105437,12.675,10.6822,3.06981,3.90107,0.876925,9,0.601503,1.32282,3.71823,550.452,101.751,20.0159,18.2844,7.76533,37.0373,25.0027,7.66535,13.6918,6.83111,24,0.38281,1.4443,5.15123,299.468,28.8457,8.09442,4.80233,0.20598,26.403,11.2872,5.44916,7.04924,1.60938,13,0.698089,1.79519,4.21338,341.826,46.0796,14.2135,12.1697,0.911974,23.0291,16.7229,5.02998,9.1065,3.75177,14,0.576768,1.47799,4.47449,285.395,35.4321,5.5446,3.44797,0.154525,19.1339,14.8172,4.10889,4.90732,1.20826,13,0.580139,1.32639,4.06762,312.865,48.1042,11.5846,7.93209,0.198457,20.5291,17.1067,4.73818,5.97463,1.44834,12,0.613103,1.49187,4.12006,346.818,50.2821,12.6294,8.1616,0.234019,26.0109,16.5323,5.83047,7.48943,1.70952,14,0.612974,1.50651,3.41825,476.649,36.655,42.4228,12.9072,0.572028,34.8865,17.9075,6.95296,10.6064,3.2456,16,0.523419,1.61931,4.42081,148.292,23.734,4.68726,3.29137,0.124533,15.4032,8.35223,3.20482,4.34609,1.04571,8,0.682264,1.69747,3.66247,340.162,46.9902,15.2471,6.82394,0.239059,24.5565,16.8196,5.60859,7.83753,1.76163,16,0.46141,1.41596,4.25945,173.633,18.5882,4.6974,2.8801,0.14737,17.4994,7.29606,3.8024,5.07038,1.10082,10,0.556902,1.61932,2.60106,284.511,36.5313,13.8801,6.06222,0.195312,22.0245,16.551,5.05572,6.90761,1.44906,16,0.526052,1.25997,3.89293,193.633,22.2184,15.5598,7.39143,0.144248,22.3763,11.253,4.77865,6.58345,1.32616,14,0.527783,1.41673,2.88861,619.318,108.153,55.5636,38.8977,3.81796,28.6429,19.8232,7.96665,18.6883,8.16277,6,0.221396,0.738568,3.08523,,,,,,,,,,,,,,
clobot_with_arms,3,fell,35.72,8,104.117,11.8197,2.9376,3.80493,286.427,34.7978,10.9562,8.38641,3.07563,21.6975,13.4443,4.95961,9.85558,4.05178,14,0.560327,1.28282,3.83492,286.989,33.0914,7.72501,4.06798,0.146467,17.112,12.2207,4.06903,5.11419,1.10729,10,0.723817,1.59942,4.93728,166.182,18.4113,3.57181,2.55143,0.13183,16.7289,9.14561,3.16186,4.13165,0.985715,9,0.606636,1.43678,3.4763,207.159,33.3023,5.1557,3.78871,0.171532,15.7819,13.1776,3.24551,4.22032,1.25501,12,0.403919,1.09036,2.89255,320.749,58.0502,41.2803,34.4788,2.2431,30.8165,18.9117,7.30758,12.7954,3.72697,24,0.438961,1.03963,3.28412,1456.66,229.326,47.9459,33.229,1.47813,84.5087,48.2646,17.9522,22.2853,6.01981,33,0.361553,1.97299,9.87687,333.262,51.5854,6.79622,5.12201,0.171701,18.8957,16.3718,4.2478,5.62955,1.30462,11,0.72668,1.5667,6.13296,117.212,19.911,48.0814,88.1258,29.1778,10.6154,7.37736,3.91226,12.8593,7.21547,6,0.468098,1.04842,2.10351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,4,fell,40.84,9,23.9669,8.75113,2.52618,2.79293,230.016,29.7076,8.90825,6.55715,0.304368,18.1514,14.0671,4.18085,6.49943,1.7834,14,0.49676,1.18513,3.06758,311.487,20.8559,11.2135,4.63642,0.191038,23.5486,11.9978,4.9539,6.55934,1.46224,12,0.578066,1.6301,3.60907,227.526,22.4636,7.42091,6.49191,0.148307,15.7254,10.4916,3.7201,5.80042,1.27209,12,0.619267,1.16765,2.95357,192.655,22.4072,10.659,3.72167,0.128145,16.9657,9.72339,4.13564,5.31168,1.14803,10,0.52677,1.39351,3.62487,400.831,58.249,17.6871,13.2375,0.601373,30.4128,15.3436,6.86553,9.4732,2.43616,14,0.562915,1.94823,5.59859,491.396,84.5979,15.7406,18.7642,7.2433,36.5408,23.2389,7.6404,14.0844,5.50293,18,0.656072,1.76749,6.46139,297.17,58.2796,17.9475,10.5007,0.269215,21.0967,17.2526,4.85186,7.26607,1.56269,17,0.291302,0.950717,3.16851,112.154,11.2756,4.337,2.68027,0.0911169,12.5709,4.0214,2.97413,4.04204,0.722707,6,0.692774,1.7968,3.56335,389.27,24.4055,27.0409,25.1479,13.4124,17.6456,8.42549,3.72064,8.49322,9.00408,2,0.567364,1.17684,2.16269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,5,fell,10.86,3,43.8011,10.6155,3.21231,3.02895,214.17,24.2048,7.81123,4.05044,0.30748,20.7509,11.9338,4.23091,6.17208,1.76049,11,0.634847,1.5052,3.89774,290.244,33.7178,21.6086,16.721,0.761256,18.5472,14.3767,3.95627,6.97146,2.26185,12,0.522436,1.36514,3.54718,140.698,22.5581,46.9225,76.4262,6.90707,9.83852,6.97011,3.20028,7.99271,4.68778,3,0.504612,1.52897,3.74025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,6,fell,66.06,14,22.4102,11.2621,2.67277,3.35986,201.172,23.5778,9.44369,5.12322,0.309774,17.6219,10.3973,4.15041,6.34286,1.73913,12,0.485421,1.4103,2.56377,275.886,30.06,5.85671,3.78216,0.13399,15.9582,11.2339,3.58473,4.70473,1.06414,11,0.547452,1.28679,3.53141,253.36,27.1805,8.5633,6.48388,0.226236,19.738,12.2228,4.37272,6.72947,1.4733,17,0.400723,1.02093,2.22959,117.793,14.2505,3.50014,2.37011,0.0726107,9.02378,6.8096,2.09708,2.75363,0.621097,9,0.330993,0.908222,2.17233,327.996,44.1972,15.9093,16.0735,0.60155,22.7418,15.4659,4.87421,8.12266,2.75727,14,0.543748,1.29712,4.25813,449.881,39.5499,29.8914,26.4955,1.26475,31.6582,17.6774,6.15758,12.357,4.41836,12,0.657993,1.64522,5.58283,246.996,16.3753,9.98604,4.07093,0.151212,16.7798,8.5283,4.05168,5.58282,1.1177,10,0.650893,1.60166,3.41995,314.456,32.7702,7.14714,4.21102,0.204399,24.0972,14.4545,4.98854,6.47354,1.51066,12,0.676276,1.74699,4.57418,193.441,29.7539,8.42472,5.20001,0.115882,14.8057,11.3009,3.70825,4.60532,0.925504,9,0.587291,1.50814,4.837,513.234,85.5712,53.682,56.6984,1.06974,37.8503,28.8803,8.56588,13.8991,4.15983,14,0.614164,1.71961,5.82498,279.785,41.8911,14.409,6.17268,0.222344,24.2057,15.687,5.46063,7.50297,1.77219,13,0.658661,1.74817,4.70067,302.196,36.5542,13.0098,6.32068,0.198192,21.8221,13.9149,4.9433,6.81458,1.47581,14,0.598468,1.53132,4.29816,356.777,55.846,27.7738,10.489,0.206074,25.1797,16.2825,6.49622,8.15808,1.72753,12,0.733856,2.04972,6.99667,186.34,38.1724,47.9043,81.1729,24.8588,15.0808,7.28111,5.12854,15.2451,10.4637,7,0.107174,0.414889,0.669913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,7,fell,26.14,6,11.7508,28.5879,2.82926,3.87276,226.668,21.6258,8.19672,4.67075,0.288318,21.4964,11.9875,4.88686,6.83606,1.78596,19,0.380955,0.957336,2.15567,236.733,30.1183,6.95448,4.05148,0.129365,17.5183,11.6526,3.9459,5.17301,1.10838,11,0.604036,1.43385,3.96999,310.765,51.2483,11.4998,12.0425,3.4624,20.6773,14.3687,4.71699,9.12942,4.50417,11,0.686315,1.7646,5.94564,232.259,27.7197,7.55428,7.53161,7.34972,18.16,11.8096,4.11166,6.96227,4.35084,12,0.638836,1.38136,3.36973,210.193,21.9219,5.33659,2.89015,0.158439,18.116,9.42963,4.05062,5.22124,1.13399,10,0.618107,1.69683,3.69191,351.965,43.8379,77.8471,107.643,1.78398,25.4698,15.7177,7.76703,13.7123,3.98631,9,0.3699,1.02595,5.52111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,8,fell,21.2,5,44.5074,7.02499,2.71774,3.02354,285.824,30.913,16.3843,10.2112,0.43508,22.1481,13.3353,5.15543,8.86417,2.549,17,0.40839,1.14687,2.53075,179.981,18.3075,5.38108,3.17108,0.149062,15.8512,8.03243,3.49321,4.66726,1.03822,8,0.736423,1.80998,3.92037,283.487,35.6507,11.4629,5.65731,0.202819,21.3242,15.1283,4.3982,6.23747,1.4739,14,0.539755,1.35768,3.77249,394.489,63.4818,27.0593,31.4141,1.2137,30.0185,20.1351,6.84423,10.4829,3.07895,15,0.650101,1.73188,5.83537,319.914,43.8529,110.922,84.3614,36.4803,22.0104,14.282,6.84281,17.3408,7.57648,7,0.377981,1.09873,3.6374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,9,complete,90,18,11.8896,3.40211,0.0725793,0.0707682,193.777,17.8147,6.2001,3.67327,0.269289,16.6838,10.7225,3.85458,5.56319,1.56114,10,0.605478,1.45606,3.27025,171.727,19.3584,6.43981,3.73102,0.149789,15.689,10.6152,3.32727,4.68371,1.11021,9,0.580204,1.4593,3.49276,271.116,23.5424,6.60825,3.9087,0.134921,16.1891,10.884,3.65916,4.93955,1.0851,11,0.563134,1.32098,3.55683,287.185,35.0382,6.24295,4.02719,0.151176,18.1607,12.7159,4.26446,5.33724,1.12248,11,0.635683,1.53427,4.40982,315.485,36.0263,10.1989,9.90431,0.299134,23.9444,16.2106,4.94707,7.83996,1.9948,14,0.578472,1.38398,4.12491,158.5,17.3299,7.21939,3.44576,0.119254,14.4927,7.48383,3.37192,4.32979,1.04099,14,0.3503,1.01454,1.97702,297.576,45.2627,5.67908,3.78687,0.13891,16.4156,14.4061,3.7774,4.79518,1.12505,10,0.659221,1.50128,4.92807,264.39,24.1526,7.00426,3.77603,0.177889,20.2334,8.31102,4.62413,6.15418,1.30055,11,0.651887,1.79954,3.56602,170.453,23.7082,5.1408,3.1411,0.0985364,11.101,8.24766,2.74314,3.4582,0.794527,11,0.359034,0.902008,2.52709,549.441,89.1875,26.5038,18.0617,0.582625,34.3934,24.1898,7.82038,11.6689,2.76962,21,0.533373,1.53981,5.55729,235.934,26.0937,10.5813,5.12863,0.143355,19.4359,12.2852,4.4122,5.63056,1.21175,11,0.626341,1.47638,4.49118,314.482,41.6859,6.55862,3.59882,0.258134,22.6565,16.5925,4.66267,5.77734,1.80626,11,0.680539,1.66431,5.02276,271.254,30.4118,9.85859,4.69675,0.175828,23.8515,12.8097,5.13495,6.79134,1.51231,12,0.613698,1.69213,3.95596,270.758,37.2993,9.132,4.50403,0.172495,22.7675,15.3551,4.78224,5.98452,1.50005,13,0.580966,1.42004,3.74195,305.987,41.5189,22.9317,8.01113,0.196133,23.5773,15.5609,5.78505,7.25854,1.46101,12,0.594948,1.47607,4.14069,359.474,48.9811,25.3373,9.13478,0.242218,25.3096,16.2109,6.31068,7.94229,1.78618,12,0.651265,1.86454,6.09981,301.53,46.0532,10.7699,6.54259,0.188825,24.2839,19.7327,5.36589,6.90037,1.58638,13,0.640316,1.47433,5.35561,392.374,67.5055,27.0148,11.9728,0.334342,27.4786,19.8586,6.19892,9.50718,2.21296,16,0.548323,1.4842,5.26658
