policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
clobot_with_arms,0,fell,30.82,7,39.8788,17.6966,3.03873,3.35833,359.136,36.477,13.61,5.89808,0.23733,22.153,13.905,5.03614,6.87093,2.26456,11,0.686857,2.84278,4.1758,472.247,72.9993,20.8027,11.8484,0.461142,31.1951,21.3305,6.53194,10.3325,2.62407,13,0.678878,3.37918,5.54794,548.567,76.8788,43.4868,40.926,0.806734,39.6382,24.6596,8.80371,13.402,3.86371,16,0.63896,3.54605,5.025,425.536,48.9375,17.0139,6.60332,0.238419,26.3696,18.9997,5.79215,7.14041,1.99157,12,0.647639,3.00457,4.43446,172.555,23.4079,3.70554,2.46116,0.0901438,11.4791,7.6398,2.22286,2.91541,0.87085,5,0.524363,2.52173,2.9652,282.145,38.1124,12.5697,4.72748,0.211822,23.5176,13.5945,5.50159,6.72141,1.7833,10,0.782009,3.53162,4.32019,478.95,73.7422,99.7516,172.595,2.61053,20.4892,16.1294,7.00711,20.6496,4.39562,2,0.692722,3.90262,4.07185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,1,fell,36.06,8,84.5044,28.1228,0.551307,0.327908,288.194,36.5815,14.1281,4.66247,0.215326,22.8031,13.8479,5.12166,7.239,2.22487,11,0.7228,3.36681,3.681,354.966,50.1973,9.99119,4.8319,0.174458,20.2119,14.5122,5.05154,6.16343,1.5347,10,0.721451,3.4992,4.79978,442.203,58.9592,63.3963,44.29,0.62373,31.2464,19.0604,7.8636,12.1438,2.86663,11,0.584845,3.96813,5.22073,307.828,26.1622,7.02644,3.13335,0.173945,21.0214,8.76917,4.59924,5.74378,1.34505,10,0.720075,3.88111,3.94326,1016.74,139.198,49.2308,27.8345,0.847408,54.0922,28.9033,13.1637,17.1741,4.528,21,0.633853,3.61157,6.37677,871.973,149.263,104.705,131.902,2.80857,57.3072,39.1108,13.0678,23.8387,5.92224,16,0.738186,3.69128,8.1794,398.834,44.0914,11.7871,5.32803,0.255237,32.7842,21.3539,6.58138,7.81878,2.39482,13,0.725652,3.22056,4.14558,957.96,64.9631,165.669,192.054,7.32146,47.2766,19.8883,13.0045,34.2323,12.2516,8,0.532228,1.74258,4.63291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,2,fell,21.34,5,51.1995,27.5773,1.88491,3.21841,183.155,25.3928,12.1303,5.10485,0.162842,16.1295,9.48552,4.00297,5.75163,1.94434,7,0.638801,2.32384,4.041,241.423,22.943,6.95237,3.10583,0.141812,19.739,8.21286,4.28333,5.63141,1.44434,11,0.542676,2.61714,2.55476,299.61,37.6501,10.9625,4.52802,0.176207,19.1231,15.1481,4.37863,5.90583,1.48842,10,0.727833,3.16607,4.38963,274.57,34.51,9.115,4.20374,0.138979,18.2508,13.0612,4.11579,5.37427,1.35388,10,0.701561,3.2081,4.02209,813.156,94.6924,53.4654,65.0163,9.45496,41.2019,26.2056,7.91486,18.6241,10.1322,5,0.317154,2.81764,5.36297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,3,fell,27.38,6,84.5995,14.1851,3.44148,4.50603,554.841,85.9601,37.5235,23.4112,0.555305,39.9871,25.8608,8.66491,12.1075,4.10326,16,0.644652,3.22997,5.31469,317.406,26.541,10.0817,4.00409,0.178689,20.6481,9.56352,4.99487,6.40956,1.43649,10,0.733048,3.79703,4.10986,201.014,20.9434,5.60946,3.07154,0.157312,19.7954,10.2733,4.32328,5.51244,1.45491,10,0.616063,3.21342,2.95408,457.854,42.4953,24.8806,9.71726,0.581278,32.1803,17.8416,6.01781,8.12326,2.89002,17,0.409899,1.94906,2.32384,418.89,57.572,47.5544,47.4865,3.32781,33.0709,19.0268,8.38997,14.4541,4.23041,14,0.498427,2.73144,4.77327,2081.66,232.033,62.6007,41.5884,1.89407,71.8652,48.7003,16.1033,18.9028,6.0135,11,0.540891,3.40687,8.88607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,4,fell,40.84,9,23.8673,11.6475,0.779369,0.602176,273.047,33.8962,12.5699,7.33375,0.227865,22.0953,14.2099,5.0783,7.88399,2.34081,10,0.699331,2.91824,3.90582,364.368,29.0217,11.3844,4.10714,0.242747,26.9185,14.0963,5.25112,7.18373,1.95036,13,0.564418,3.07372,3.54973,279.34,32.6683,11.4386,7.88326,0.212515,21.7837,14.466,5.0111,7.78892,1.83399,12,0.563736,2.76523,3.32787,302.743,24.3501,21.9847,5.73429,0.184781,26.0894,10.2806,6.59396,8.1997,1.87434,14,0.497405,2.90649,3.01368,404.51,53.1114,20.1028,12.0537,0.526577,31.0161,16.508,6.91539,9.85275,2.72715,13,0.604577,3.99948,5.10289,744.943,109.701,26.4487,35.7204,0.664173,43.3362,26.0516,10.2525,16.4403,3.82812,18,0.728893,3.45156,5.09103,499.288,82.4405,25.2852,11.8706,0.459819,32.1637,26.3636,6.76008,9.83013,2.65123,13,0.598603,2.40111,5.67483,148.266,14.4612,7.15645,3.01687,0.104139,14.5677,5.67896,3.62054,4.58788,1.15295,6,0.708497,3.72188,3.31239,357.457,34.1665,34.1183,13.2206,1.78185,16.3269,8.78473,4.12134,6.58735,3.9034,1,0.120407,0.976398,0.955109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,5,fell,12.32,3,158.818,41.0594,1.41596,3.86817,245.933,28.4296,10.5785,4.07013,0.254232,24.8183,16.0724,4.92895,7.10731,2.62792,12,0.613452,2.65436,3.26501,332.507,43.7589,29.6686,20.089,0.627071,24.3535,16.9611,5.45312,8.16289,2.58872,11,0.672993,3.01928,4.7375,1541.48,148.049,90.979,68.8127,2.98302,70.5079,39.3544,16.1988,19.837,6.77811,9,0.6623,3.51814,9.01972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,6,fell,46.32,10,23.762,16.08,3.21194,3.87808,239.511,28.7522,13.4128,5.83824,0.245842,22.0793,13.6295,5.39431,8.02715,2.40464,11,0.607793,2.71484,2.89489,354.926,41.8043,8.74579,4.55377,0.159781,18.2709,13.2486,4.09701,5.45106,1.4178,10,0.641105,2.91683,3.99782,323.386,35.0209,11.7349,7.0569,0.277951,20.6011,13.7386,4.7609,7.41278,1.64774,11,0.625526,3.2337,3.28659,182.097,23.5961,4.56886,2.81775,0.0915057,12.0426,9.04348,2.87796,3.62156,0.904779,6,0.698733,3.60925,4.11558,348.267,47.8205,23.5318,18.765,0.488831,22.9509,17.1504,4.91357,7.5328,2.47499,13,0.572549,2.71632,3.63324,568.745,52.3273,42.6749,30.1474,0.865764,38.869,23.7754,8.65135,13.5395,3.89562,12,0.55275,3.28759,4.60897,302.378,29.5126,14.8892,5.28965,0.189951,20.3794,13.6957,4.86304,6.48785,1.55092,10,0.694799,3.71472,3.74729,354.405,34.293,10.2596,4.25243,0.246291,26.4198,15.4041,5.24548,6.7513,1.84453,13,0.570653,3.23075,3.52639,212.533,25.7662,12.0996,5.34261,0.118008,16.1035,10.3094,4.26209,5.07941,1.23011,6,0.687198,3.61441,4.76617,346.512,48.8842,60.3867,71.7135,1.19224,19.3848,12.3578,4.49654,10.0887,2.95384,5,0.528698,2.23644,5.20054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,7,fell,41.04,9,28.2313,22.2946,3.19296,4.00938,285.804,30.207,12.8205,5.20671,0.1955,22.3699,13.8221,4.98717,7.20658,2.16056,11,0.712619,3.11065,3.66128,289.059,39.7588,8.99653,4.09924,0.155551,20.7253,17.409,4.48159,5.53457,1.60496,10,0.704306,3.50554,4.11115,597.773,99.3007,24.0439,20.2847,0.568219,35.3464,25.7397,7.11176,10.2112,3.22516,16,0.597418,3.60949,5.3537,307.138,41.2981,23.7444,30.9668,0.612862,24.3537,13.9055,4.69516,8.44412,2.76256,10,0.615304,3.08097,3.7285,244.73,25.3198,6.1349,2.70542,0.158966,19.3934,9.61711,4.20212,5.28789,1.30216,10,0.654565,3.45101,3.43047,673.669,76.6429,67.4912,77.5526,1.18664,44.1296,25.5479,10.1369,15.8652,4.50927,17,0.4831,3.03457,4.54317,334.942,34.6953,7.32304,3.8428,0.193013,23.9151,15.8215,5.26306,6.54438,1.82117,11,0.711738,3.33182,4.36426,298.924,26.255,10.8105,4.63524,0.178398,21.6557,10.7184,5.18698,6.34354,1.47827,10,0.69213,3.86651,3.76057,237.314,34.7773,28.1235,36.2068,2.18986,18.3137,12.9057,3.86642,9.61154,3.09299,5,0.48203,2.29791,4.81339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,8,fell,21.16,5,61.8571,6.8507,0.9007,2.80655,352.987,51.1053,21.7411,11.2748,0.400154,28.6907,18.0609,6.51458,10.0554,3.03577,14,0.592299,2.74675,3.75412,225.029,21.6686,7.99452,4.06079,0.174192,19.8768,6.81294,4.49761,5.86725,1.41795,9,0.732909,4.23536,3.6631,328.064,47.4079,15.759,6.72597,0.207775,20.9495,15.0966,4.75659,6.44321,1.58138,10,0.635113,2.73357,4.14172,621.486,95.956,37.2793,37.3526,1.30699,39.5834,24.8616,9.91852,13.5153,4.01808,14,0.697164,3.39922,5.41263,312.452,42.803,88.5486,65.4721,4.52771,19.6744,12.743,5.4209,10.9671,4.6912,5,0.513356,2.01963,4.14339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clobot_with_arms,9,fell,45.94,10,21.6936,12.0536,0.992329,2.68433,249.444,22.7856,9.08309,4.35437,0.19295,23.874,11.311,5.43501,7.71753,2.24019,11,0.689944,3.43578,3.52236,198.365,22.2808,8.12608,4.30213,0.161326,16.9744,10.3939,3.86915,5.51384,1.31495,11,0.436008,2.10234,1.97658,344.177,28.9158,11.1825,5.10176,0.188863,19.5784,10.4969,4.64031,5.96564,1.53807,10,0.656136,3.46387,3.87082,357.312,48.9751,8.25433,4.2929,0.171897,19.9971,15.4497,4.71487,5.73327,1.42164,10,0.721077,3.86701,4.80664,423.08,57.0321,10.0887,10.2449,0.289157,26.6737,19.2086,5.3653,8.1025,2.24193,13,0.649254,2.92192,4.25,204.413,18.621,12.4293,4.38357,0.168408,18.9322,9.30779,4.77285,5.82015,1.75442,7,0.707577,3.81059,3.77269,364.584,55.76,6.44501,3.79775,0.14883,18.1944,13.6391,4.35535,5.35788,1.41337,10,0.689766,3.08937,4.97725,310.669,31.0107,11.2434,4.25141,0.184977,23.9596,9.34209,5.42369,7.16115,1.54404,11,0.660605,3.55565,3.53569,269.785,45.7024,13.1728,4.59453,0.173686,18.4773,16.7841,4.53127,5.62616,1.63917,9,0.642242,3.29565,4.53076,460.797,26.7836,57.9991,26.8871,1.52164,22.9263,11.439,5.8958,11.0189,3.85884,7,0.82894,1.74128,4.8203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
