policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
dm_agile,0,complete,60,12,90.9392,114.539,0.00838914,0.00879799,343.769,96.5895,97.461,80.5824,6.61833,30.8797,17.762,9.23052,26.0127,12.7735,16.1347,4.37086,8.11744,20.8773,4.35655,0.999396,0.276943,0.534311,4.25615,2.54612,31.5416,4.61505,15.8962,20.2748,3.99676,1.90916,0.432619,0.765666,2.51096,1.3714,27.8675,2.72099,15.9714,15.6735,9.1156,1.34244,0.405088,0.596072,2.63131,1.90639,91.9639,4.79652,41.4485,16.4807,4.53024,8.26854,2.57083,2.27129,4.2431,2.65127,122.738,22.0077,37.0732,27.893,15.1295,9.67345,5.13176,2.93768,5.92971,4.12052,63.5455,5.50815,22.698,41.1301,14.9672,3.68388,1.47309,1.9937,5.90678,5.7773,17.4384,2.45433,10.8453,19.348,2.33552,1.62642,0.938928,0.531666,1.62784,1.56504,79.3102,7.25058,19.4877,13.8314,2.22234,5.55635,1.55945,1.67513,4.59082,1.37046,25.827,2.20947,22.8179,18.1695,7.84201,3.65999,0.980563,1.29294,5.59735,2.77462,24.5504,2.94405,17.5925,16.8575,5.81811,4.83471,1.26209,1.27902,3.0316,2.29184,73.9622,7.66098,32.6664,13.3043,4.00718,5.55855,2.37869,2.03269,6.28664,2.59878
dm_agile,1,fell,2.06,1,36.1174,57.2052,1.05503,0.922672,182.603,70.8754,43.0659,26.3158,1.79361,17.797,14.8645,5.96716,16.7182,6.39418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,2,fell,2.06,1,57.0672,174.364,1.6176,1.17994,305.227,94.859,33.1671,28.1484,7.8007,20.8668,15.1811,4.39343,11.7872,4.98371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,3,fell,1.5,1,213.964,31.1815,0.997355,0.738102,492.03,58.9725,93.3126,157.824,4.92561,24.101,16.4814,7.53427,20.4132,6.33049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,4,fell,12.6,3,118.578,62.5825,0.699068,0.563579,369.617,96.3396,65.7468,71.6749,13.8445,24.434,16.2046,6.15972,16.8968,5.8033,16.5193,3.41349,13.5081,11.9054,5.71406,1.3813,0.837466,0.502455,1.77081,1.74641,66.1443,5.72971,23.9994,9.2049,5.03604,2.80159,1.66187,1.25503,3.5885,2.52261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,5,fell,1.7,1,12.1697,0.597995,1.30627,1.0472,131.204,51.0626,18.9407,18.0785,1.98202,14.8919,10.1894,4.14827,14.7204,3.67256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,6,fell,2.32,1,40.3239,3.59578,0.541697,0.391403,198.492,57.9079,58.4175,53.8577,6.64963,16.5639,11.4911,5.72812,15.8571,5.75185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,7,fell,1.96,1,30.765,57.8013,2.06583,1.6067,202.451,59.6257,31.9195,19.1426,0.823976,14.7068,11.5896,4.22315,9.73326,1.34239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,8,fell,2.36,1,48.6442,57.9469,1.92932,1.33948,185.448,91.9048,30.1261,23.7876,1.75565,18.2728,14.2072,4.06231,12.9748,3.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm_agile,9,fell,1.7,1,56.9366,121.166,1.04346,0.623137,263.507,43.7168,46.4564,35.4256,3.12433,15.0802,9.96351,4.44127,13.3191,5.11429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
