policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
falcon,0,fell,16.96,4,95.1787,17.2921,1.5261,3.27688,253.146,32.9223,13.9009,25.125,1.42361,20.108,28.5195,4.40502,7.29985,1.47862,16,0.39291,1.05486,1.97872,330.7,62.2923,17.445,37.5436,1.44638,26.3744,48.6356,5.79507,10.3295,2.22501,26,0.278037,0.841933,1.29702,306.733,44.5682,17.0577,93.2174,2.55849,22.0918,27.8365,4.55927,11.6698,2.19985,12,0.491729,1.44921,2.57799,1183.68,136.782,75.6018,60.5647,1.34085,45.3934,67.6093,11.9719,17.8503,2.83572,6,0.602907,1.61873,3.79108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,1,fell,46.4,10,47.5584,7.18608,1.51899,1.87098,211.968,24.631,7.3389,12.4946,2.20359,18.0628,20.9175,3.40689,7.58252,2.20751,15,0.35171,0.942114,1.88443,295.989,32.6923,9.45491,14.7725,1.33562,21.8981,25.4684,4.51306,8.72989,1.77563,18,0.410935,0.978985,2.08076,226.941,22.426,16.2531,105.993,2.20754,20.8415,23.312,4.18038,13.0961,3.96265,16,0.37091,1.05957,1.82581,299.829,29.1874,10.4512,18.1512,2.26989,23.644,28.1538,4.56236,8.64172,4.19399,16,0.46013,1.16401,2.35918,274.904,29.8908,19.5042,65.5354,2.40264,20.4019,25.6582,5.3115,9.85764,2.99668,15,0.416268,1.0228,1.75305,366.582,57.8218,31.6404,32.2584,19.8347,26.768,44.705,7.16672,16.8754,7.98647,14,0.384076,1.15694,1.98092,402.278,72.5599,21.8374,22.7597,1.43377,26.1728,35.9097,5.71789,6.12768,1.36871,12,0.420586,1.36395,3.99582,264.987,53.6613,35.1153,32.4265,13.6719,21.919,31.0304,6.03848,12.6424,8.14829,17,0.359345,1.08045,1.5455,441.658,67.795,26.2367,26.8141,1.3549,31.5897,40.2454,8.24788,13.0329,2.60354,14,0.569843,1.35781,4.10179,929.546,44.7686,105.84,43.6852,108.004,44.6003,41.7698,11.2734,20.274,21.1594,4,0.237729,1.11538,7.76824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,2,fell,45.96,10,43.668,8.41069,1.74114,3.43719,211.448,26.6361,9.61625,16.6184,1.21283,15.5472,24.0044,3.52327,6.21771,1.14846,17,0.243291,0.807469,1.49511,215.243,23.9339,8.21896,22.3659,1.5189,17.9526,21.2594,3.63454,7.40014,1.27262,13,0.501376,1.29244,2.30489,238.934,24.6504,8.32427,21.0697,2.27605,17.4413,21.8741,3.76179,8.53339,1.57811,14,0.433379,1.20635,2.4331,254.989,31.5709,9.30689,13.1843,1.74293,18.4632,26.6754,4.30453,9.02873,2.50164,15,0.340662,1.10821,1.79514,300.308,35.4728,11.6603,19.7786,1.36605,23.7688,35.5704,5.09403,6.6875,3.42532,14,0.501291,1.45061,2.29596,305.561,34.6221,10.2182,27.1271,2.15494,21.5603,21.776,4.55881,5.14,3.85142,17,0.462557,1.11038,2.39377,958.706,118.797,46.649,24.8704,2.5494,50.7732,77.1757,10.6643,10.107,6.36815,9,0.588478,1.99982,6.51075,377.755,49.952,14.2825,28.8644,1.66492,28.7212,40.5925,5.54304,8.89314,5.18429,18,0.586637,1.21852,2.3293,388.55,63.6625,21.6643,26.6545,0.81655,26.8038,37.5027,5.8679,10.7242,2.75739,14,0.409722,1.29257,2.92738,110.446,48.5416,9.80925,8.39932,1.45384,11.3343,19.0039,2.96288,5.07713,2.75674,6,0.436698,1.23094,2.80231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,3,fell,26.52,6,29.8353,7.37068,1.81435,3.31965,245.597,32.1002,9.66645,28.9751,1.94445,19.694,28.7207,3.97168,11.5209,3.72785,14,0.360326,0.995432,1.96545,289.445,38.1352,10.0203,22.517,1.15501,21.5176,23.0811,4.27257,8.39421,1.52055,16,0.384726,1.04117,1.73058,208.642,27.363,8.0156,19.2163,1.10897,15.6031,17.0606,3.33301,6.82782,1.27617,9,0.594754,1.52164,2.80049,301.251,41.9414,15.1824,27.4715,0.95308,22.3052,29.7237,4.63896,8.34277,1.48869,15,0.378717,1.22065,2.12857,298.639,40.7019,14.4006,78.9343,4.58267,24.1668,34.6005,5.46968,16.0631,5.12619,17,0.398373,1.14149,2.03126,196.202,43.1446,46.4023,62.6424,2.80923,14.5149,31.3606,4.60815,10.6657,3.64347,6,0.374976,1.08722,2.19209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,4,fell,40.5,9,31.1831,9.32216,2.41248,3.65993,207.722,23.3007,6.90194,13.8874,1.6878,15.6143,22.8028,3.04884,7.73842,1.56365,13,0.377648,1.0668,2.10527,347.55,41.5781,13.005,15.0092,1.96929,25.3533,33.9439,4.85636,11.282,3.15815,16,0.485225,1.12568,2.22635,289.19,29.8036,9.74729,15.5289,1.53957,22.0386,30.5911,4.28551,6.64055,4.0556,19,0.396686,0.996973,1.74273,264.995,33.3115,10.1403,15.7086,1.5373,21.1744,31.879,4.92057,7.17357,2.89951,14,0.474206,1.21681,1.96751,284.553,29.2079,7.92411,20.9278,1.43552,21.3496,18.9665,4.58294,7.64948,3.14958,14,0.516022,1.34498,2.67859,202.441,17.5455,8.47565,11.0122,1.44966,18.6966,20.0636,3.51708,6.09915,3.16463,16,0.385332,1.03727,1.81296,259.887,30.2991,11.0459,23.5274,2.13699,20.5378,26.0305,4.54809,7.96025,5.14578,16,0.316614,1.07111,2.04488,211.713,35.1715,15.7985,19.4471,1.51119,21.1798,28.4314,4.75141,7.96221,1.82447,13,0.448924,1.2262,1.80096,317.551,46.8288,12.9801,4.18541,0.225506,16.1717,29.2203,2.92466,4.98184,1.73913,4,0.302967,1.37655,4.60936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,5,fell,11.24,3,53.8976,1.67112,1.24069,3.2778,189.616,22.9053,6.63621,16.4348,1.18661,16.0966,19.6083,3.15374,6.61126,1.24438,14,0.376226,1.01674,1.91998,268.099,29.1009,11.1779,38.7155,1.31161,17.9359,25.575,4.3006,9.70806,2.33675,12,0.494995,1.21493,2.609,163.357,17.4224,30.5027,70.1486,2.54571,12.0552,8.04931,5.40234,11.5621,2.0697,5,0.243137,0.668659,1.11306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,6,fell,46.38,10,34.838,5.8208,0.758779,0.388941,224.099,42.4382,9.30258,19.4958,1.56649,21.4138,28.3244,4.56687,9.72205,1.56226,15,0.426414,1.16749,2.35095,330.344,33.1487,9.0456,18.2494,1.00738,22.268,27.0132,3.93999,9.30388,1.39582,18,0.350987,0.898908,1.82175,484.263,85.102,19.791,37.4856,1.22734,30.3803,50.4001,6.81845,16.0904,2.06391,15,0.433549,1.36291,3.02914,231.228,27.1924,7.37082,21.2977,0.962514,16.2584,17.6237,3.32699,7.4235,1.26137,13,0.450335,1.2063,2.91825,375.399,58.7606,18.0831,41.21,1.90827,23.7542,39.1029,5.21761,12.9377,2.48464,16,0.483212,1.16259,2.23802,308.34,36.6304,14.0254,104.185,2.35485,22.251,29.5339,4.57829,15.1355,2.70536,15,0.441604,1.11323,2.40286,306.299,51.3604,16.8909,29.3011,1.35577,23.523,29.6737,4.99789,10.9233,1.61925,13,0.41429,1.23941,2.16859,334.284,34.9472,8.51652,29.141,1.01235,22.9515,23.6,4.78492,9.32766,1.9015,16,0.43578,1.18014,2.46081,321.661,38.491,16.8405,31.7895,1.2261,24.365,31.1631,5.26613,10.1985,1.84637,21,0.32704,0.912546,1.65894,2837.9,83.3911,228.103,168.044,27.6568,75.0622,61.036,18.2501,48.7008,18.7179,4,0.419367,1.10948,2.13097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,7,fell,41.7,9,48.8644,16.0146,0.870177,0.467726,207.845,22.1119,7.2267,16.9183,2.36883,17.9237,22.8911,3.26758,9.40458,3.52073,14,0.345257,0.97421,1.83374,252.55,24.4753,8.53513,13.7164,1.20258,19.3476,22.2908,3.90987,8.90214,1.87163,13,0.458158,1.20175,2.26912,292.125,34.9509,12.2557,15.5515,1.54162,22.3095,33.9689,5.08256,11.0936,2.60119,16,0.440883,1.2964,2.36261,289.53,36.9742,10.8232,28.4778,1.8723,21.3157,28.2822,4.67078,13.3899,4.17672,12,0.58997,1.55069,3.08847,300.719,30.2341,7.79382,8.81614,0.939225,20.9865,22.1235,4.32722,8.75447,2.61466,17,0.412299,1.08967,2.04488,485.125,62.47,24.4551,146.888,14.1925,27.1626,34.3988,6.62741,20.3994,7.9758,18,0.431373,1.00111,2.19519,289.811,29.1438,10.89,27.0417,4.32535,21.9883,23.5799,4.92718,8.90883,5.51509,18,0.567604,1.17501,2.91992,352.092,36.8035,10.0287,25.7456,3.05646,22.8114,21.2817,5.0564,6.93852,5.97722,21,0.415728,0.927928,1.98907,996.241,101.877,113.947,73.5183,24.0841,53.624,54.5678,17.4783,33.4472,17.2794,4,0.952996,1.69095,25.5677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,8,fell,21.44,5,35.0616,20.5625,0.467172,2.88428,214.309,24.7468,10.0894,21.0844,2.49125,20.0202,24.6727,3.86526,10.3276,3.64021,15,0.363166,1.01111,1.84764,200.722,19.2125,6.92781,13.2031,1.83663,16.9626,17.2717,3.63742,7.66785,1.69725,9,0.609289,1.48215,2.76665,416.644,58.952,17.9242,29.1402,2.61539,23.7224,36.7534,5.49134,10.6046,3.73901,14,0.505675,1.48231,3.5092,318.05,50.8617,17.7066,58.7622,4.5397,25.8856,37.9907,5.55622,14.8301,5.93345,14,0.461974,1.26966,2.34083,461.466,78.6229,52.7557,56.5726,5.75264,29.5317,58.9759,6.7864,15.1911,6.77586,9,0.292606,0.894411,2.95683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,9,fell,21.14,5,39.8161,4.93757,0.983632,3.53793,279.999,48.4581,10.6036,16.7941,1.43306,21.2744,28.5259,4.50957,8.89467,1.99263,15,0.388789,1.1008,2.3908,290.484,31.0726,9.46736,16.9355,4.26341,20.5984,25.8757,4.41788,9.0645,3.68377,15,0.561612,1.22094,2.70859,255.411,25.8681,10.6114,21.236,12.1469,21.9729,27.0266,4.4047,9.19241,6.17485,18,0.306512,0.891665,1.50776,314.788,32.491,11.5392,15.5423,2.10732,23.2323,30.0925,4.6369,10.4158,3.62046,17,0.334286,0.967566,1.77729,121.302,20.1567,7.21333,9.13879,1.60411,8.26302,11.656,2.4467,5.27015,3.56236,4,0.271628,0.854616,1.86949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
