policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
falcon,0,fell,15.96,4,56.079,47.7107,0.866725,1.2912,317.663,40.5294,13.1657,23.3339,2.06413,23.5253,30.0124,5.4759,8.86429,1.63206,11,0.558483,2.08136,2.35513,327.644,38.708,13.1972,32.3754,2.47573,23.2508,30.3981,4.97759,8.76717,2.08506,14,0.437507,1.5813,1.81032,367.736,46.5119,16.9691,82.1506,3.10066,23.2808,29.8719,5.50533,11.8679,2.61972,12,0.546056,1.90122,2.17404,116.282,13.32,25.6525,37.9687,14.3469,11.3037,4.94607,4.19452,8.79275,12.8773,1,0.838127,2.72462,2.81998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,1,fell,26.4,6,58.8443,15.6462,0.922549,3.02087,253.866,26.2544,8.08415,12.3409,2.66321,21.5615,26.0693,4.83907,8.65861,2.02901,12,0.516159,1.74503,1.79681,345.835,36.6609,9.72562,16.2944,1.78519,20.353,24.4493,4.46255,7.51462,1.43889,16,0.431128,1.44847,1.5859,285.692,30.0644,16.9981,88.7719,2.15279,22.3862,27.5981,5.04139,11.4038,2.28901,15,0.376151,1.53569,1.54293,366.998,34.874,11.7471,19.0351,2.39243,22.7507,27.4549,4.77899,6.84985,1.7447,13,0.491499,1.61187,1.61502,377.211,43.6373,19.0068,71.8316,3.09514,29.4654,31.308,6.73771,10.8334,2.98758,19,0.41334,1.16055,1.10126,399.923,61.953,33.6444,93.4637,17.5637,28.0443,36.3215,8.20335,21.8889,11.6406,4,0.631345,1.96676,3.33774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,2,fell,61.54,13,35.0248,9.93517,0.744798,2.76122,243.564,32.8096,7.8168,16.9129,1.3747,20.6551,22.5784,4.71214,7.66041,1.34276,14,0.363918,1.47262,1.4521,286.793,33.4485,8.02588,22.8804,2.17129,18.6169,26.7273,4.20675,7.36896,1.37146,12,0.49375,1.66449,2.01142,333.436,44.4317,10.3405,22.9431,3.25786,22.3502,42.9214,4.88206,10.6529,2.06073,14,0.512136,1.74331,1.86594,287.287,36.2692,10.2919,14.672,1.97356,22.0278,31.1573,5.30424,9.52747,1.94256,13,0.424031,1.67001,1.7368,398.147,41.4372,12.5396,54.6586,1.3523,25.003,32.6589,5.70663,12.1783,2.16901,13,0.575881,1.94449,2.36847,334.548,36.9874,10.4686,20.9569,1.91105,22.4707,26.5954,5.32071,7.82268,1.91459,14,0.499396,1.5889,1.79713,1162.26,126.168,64.9522,60.7321,3.29316,49.4272,64.8925,15.9159,21.4324,4.65379,15,0.557306,2.22546,4.16996,411.044,53.713,14.9425,29.4845,1.55493,26.6895,38.5824,6.68529,8.40622,1.817,15,0.571428,2.01736,2.36012,480.104,62.7581,17.2006,32.6883,0.968689,29.8633,34.4882,7.66778,9.58261,2.58844,16,0.35324,1.53339,2.25058,488.102,66.1308,16.0023,29.4206,1.33213,28.9541,35.3921,6.7758,8.49339,1.92423,15,0.529423,1.81488,2.23138,364.037,44.5901,31.6608,26.0825,1.81101,26.1595,32.3964,6.95913,7.9092,1.99693,11,0.557818,2.04248,2.97046,311.997,58.8348,14.0903,25.6819,3.10465,22.4589,32.1306,5.84565,7.76518,1.67921,11,0.468063,1.59437,1.69562,217.953,20.2663,11.1909,18.5198,11.4687,14.1816,10.3184,4.1259,8.4608,4.03097,4,0.550995,1.86965,1.72969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,3,fell,36.12,8,27.5621,14.7235,0.910827,1.7386,299.337,38.0376,9.11876,43.1132,2.00517,22.0775,29.3544,4.86436,10.8942,1.98466,11,0.517241,1.93264,1.79342,353.355,51.1069,9.36488,21.3611,1.56714,21.4624,27.1609,4.55248,8.59536,1.57723,14,0.466985,1.57827,1.77909,308.82,37.7203,8.29387,22.3322,1.57888,21.6251,23.1788,4.86407,8.89859,1.47273,11,0.513941,1.63502,1.83457,283.103,41.8931,10.8438,24.7341,1.62207,19.4466,29.6774,4.49241,8.46313,1.43579,12,0.535377,1.9818,2.00431,373.038,45.0923,15.113,94.3156,6.51684,22.1673,27.7286,5.62867,15.5966,4.36675,13,0.47815,1.5746,1.93017,307.841,43.7919,17.6975,86.7564,5.03198,22.5787,28.0365,6.06869,11.4661,3.98058,10,0.572529,2.16266,2.68767,312.569,44.0648,11.5422,21.7035,1.54266,21.003,23.2795,4.69074,7.49721,1.78928,15,0.388436,1.32196,1.26485,144.195,17.6931,13.3874,102.322,5.55177,6.71256,8.53325,1.61487,8.45652,3.35915,3,0.258226,1.08484,1.33549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,4,fell,45.72,10,19.1984,7.98936,1.12976,1.99064,265.939,27.1961,6.62083,13.3806,2.13844,18.1455,23.9351,4.2113,7.65303,1.50459,12,0.467728,1.60924,1.67665,635.875,74.6203,28.8842,23.2798,3.10634,37.8406,45.4694,10.8874,15.1499,2.54459,11,0.598143,2.31635,4.45835,330.645,32.0317,10.5841,33.0344,2.17936,22.111,26.8677,4.84993,8.61429,1.82268,16,0.421018,1.47302,1.62221,293.674,41.7058,10.6816,25.2165,2.46101,21.8211,31.9426,5.5396,7.60594,1.78679,14,0.419122,1.52397,1.4833,315.71,32.8041,7.57412,44.0613,2.4104,23.0655,21.1211,5.23429,9.37736,2.37952,13,0.519914,1.79005,2.01349,304.957,38.4336,11.9072,57.7216,2.42277,22.1199,32.3377,5.59059,12.0209,2.36283,12,0.373637,1.24876,1.20914,383.501,45.8176,12.3486,25.6585,1.99343,24.2558,25.1792,5.88659,7.23245,1.86212,14,0.499461,2.12652,3.12761,166.547,26.2434,6.93168,18.77,2.1007,12.4833,14.262,3.25024,4.51399,0.930335,9,0.363075,1.19294,0.938538,261.513,33.0699,6.89806,18.5135,1.24275,17.3299,18.3604,4.33066,5.69948,1.30794,10,0.494157,1.89409,1.97044,482.013,89.9899,35.3746,10.3724,1.64757,29.2772,37.3252,8.17298,9.22995,2.90876,2,0.170881,2.62824,13.2732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,5,fell,65.96,14,29.9026,6.0322,0.704589,1.71787,237.864,29.3453,6.13246,15.6755,1.63661,18.4539,23.1908,4.15501,7.15823,1.28643,10,0.617469,2.03846,2.09047,357.78,36.9284,11.213,42.3813,1.56584,20.0433,25.6675,4.50523,9.96938,2.09809,13,0.552216,1.48407,2.04275,483.433,51.2556,25.3209,89.4024,3.30058,27.4421,36.2771,6.5706,16.2752,3.29129,14,0.510442,1.91678,2.35593,175.365,24.6535,4.94101,20.0586,1.30956,13.637,13.8668,2.99314,5.81919,1.07664,7,0.475478,1.32384,1.1812,330.049,54.1894,24.8659,75.8198,1.89808,23.1107,34.7585,5.8508,11.2091,2.18124,14,0.417853,1.67969,1.70346,345.292,33.3586,17.8197,91.0217,1.6776,24.1548,22.1559,5.42145,12.4847,2.18037,15,0.411885,1.41799,1.47306,404.165,45.2212,16.6517,25.0349,2.64355,25.076,37.2124,6.73979,7.53755,2.33933,12,0.564308,1.99404,2.92345,300.481,29.496,11.2738,50.6417,2.18775,22.8444,28.4371,5.27793,10.0912,3.13682,16,0.371565,1.21692,1.23185,211.166,24.7193,7.64706,88.4335,4.53091,14.5475,15.7823,3.72075,11.9489,2.95324,9,0.465419,1.6333,1.8005,409.776,37.7629,11.8528,18.3269,2.01826,23.7348,29.4383,5.68966,7.70628,2.10533,12,0.465379,1.83591,2.1438,373.947,53.1693,13.5181,27.5446,1.97342,26.7143,38.735,5.95213,9.0421,2.22165,15,0.44677,1.5025,1.9098,724.993,100.977,50.8796,114.659,3.92274,38.844,61.509,11.399,17.8265,4.43502,18,0.372465,1.69627,2.52013,281.907,38.2856,16.6861,16.9712,1.99317,21.6035,25.5847,5.31363,7.08568,1.43333,12,0.483405,1.62181,1.69362,171.645,28.9276,48.5402,18.5336,2.4386,20.1745,13.8388,7.20362,10.777,2.86917,4,0.790375,1.84731,2.26124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,6,fell,12.02,3,55.2446,20.6029,1.8135,2.1838,248.494,38.4076,9.11781,16.6834,2.17992,20.4977,30.0968,4.85098,8.72444,1.66903,14,0.557561,1.76809,1.77623,425.863,43.1978,10.4988,19.0094,1.14687,24.6599,32.0305,4.77936,10.1122,1.43871,13,0.59915,1.54161,2.10033,458.768,35.1265,38.9352,54.5352,10.107,30.1688,37.7615,7.90038,19.7456,6.83308,12,0.456854,1.14884,1.91865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,7,fell,49.72,10,39.2831,6.74844,1.34557,2.75195,256.868,28.1763,7.12543,14.3965,2.32246,20.1426,26.8796,4.39931,8.14865,1.74765,15,0.449011,1.40112,1.34405,349.446,36.6561,10.7601,15.8238,1.37179,21.4781,29.5358,4.46523,8.81237,1.71123,13,0.452656,1.53197,1.73966,377.852,48.1034,11.4744,40.0117,2.35892,22.5716,37.7592,5.29008,12.6751,2.72747,12,0.551889,1.71493,2.23348,430.788,46.4297,16.2338,53.5365,2.32005,25.758,36.0738,6.58611,14.455,3.72681,13,0.55125,1.97604,2.11341,325.952,39.3297,9.03997,13.4029,1.20973,23.0509,25.3729,5.36071,8.28834,2.15919,14,0.490893,1.66817,1.82282,490.218,56.6638,21.5176,133.751,6.85145,32.4277,40.1483,8.25737,16.7992,5.46508,19,0.453224,1.29539,1.9205,333.287,48.0757,11.05,22.0845,1.84131,26.8468,38.2678,6.09048,8.37536,2.13644,14,0.487692,1.80781,2.04349,349.484,32.5608,8.97478,28.3379,1.67238,22.5538,26.3861,4.89305,7.6202,1.68251,15,0.439427,1.57791,1.76998,494.511,78.6439,27.4005,60.6378,2.21651,38.9938,58.3856,9.77541,16.0552,3.03387,18,0.286662,1.76021,2.23199,860.262,131.71,77.5041,51.2543,3.95285,49.4935,65.8106,15.9032,18.5182,5.47574,9,0.522937,1.71135,2.44126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,8,fell,61.2,13,56.3815,12.2475,1.50559,3.49685,258.385,26.5917,11.4211,18.5906,1.59178,22.6074,28.3943,5.44902,9.33782,1.82045,14,0.467501,1.55689,1.43847,296.421,48.4222,10.3589,14.9339,2.52804,21.7052,28.6886,5.26502,9.67925,1.92243,13,0.482888,1.57008,1.62961,375.414,42.8325,10.8288,19.0897,2.57113,22.9044,24.2168,5.57332,9.28354,2.15823,14,0.525147,1.65142,2.19035,401.612,40.4053,17.8021,65.202,2.88859,25.6707,33.8851,6.97251,11.1602,3.12186,15,0.440095,1.71968,2.09421,426.376,51.9291,17.855,69.3994,3.81882,27.7274,39.1154,7.15743,12.5368,4.32689,12,0.555658,2.33376,3.21489,336.16,33.7187,9.49161,22.7674,1.52734,22.0918,26.1571,5.05372,6.88705,1.43466,16,0.389565,1.30242,1.49517,421.085,57.3854,12.4289,25.0901,1.58544,27.6601,35.6436,6.72792,8.89363,1.80642,15,0.461288,1.80731,2.7592,508.572,56.7947,17.0173,78.4218,2.84508,26.1399,39.2637,6.05512,14.7179,4.5441,15,0.595172,1.68064,2.51076,337.248,41.842,16.5672,251.649,21.917,27.3638,31.0801,6.66259,34.7435,13.3988,13,0.576552,1.82729,2.47666,387.538,47.0516,12.4401,46.7385,1.61808,24.4846,32.7976,5.65304,12.2598,2.14129,14,0.475626,1.75141,1.98914,771.084,116.927,38.4029,77.9875,2.7949,45.7185,64.5742,14.2697,21.359,4.10798,22,0.606657,1.28215,2.34545,388.021,49.2697,11.333,23.0426,1.75038,24.6799,27.9719,5.44777,7.93206,1.49826,12,0.55509,1.956,2.45719,321.148,60.6522,21.2996,224.8,16.9384,14.2599,19.2178,3.99805,28.1515,13.9268,8,0.352654,0.919145,1.68104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon,9,fell,65.82,14,30.6435,4.32499,1.05815,2.40717,336.964,44.6176,9.5616,16.4106,2.05136,24.867,30.4993,5.54373,9.45155,1.90407,15,0.427983,1.30872,1.75761,349.19,33.7028,8.97008,17.2991,2.72326,20.7733,25.4256,4.30416,8.813,1.66325,15,0.501109,1.62862,1.97967,287.284,24.7915,8.56114,19.5646,1.99415,21.5046,24.128,4.1396,7.37094,1.9863,17,0.384177,1.2275,1.32143,389.862,46.6378,10.0244,18.9323,0.993976,25.829,29.7887,5.41364,7.73298,1.86238,14,0.483747,1.68666,2.20672,327.725,44.3275,16.3394,24.0933,0.982057,21.9794,28.0833,5.7937,7.70261,1.73227,10,0.563288,2.03347,2.55225,298.586,42.6171,12.6586,19.1675,1.22002,23.0981,37.6553,5.77841,8.54034,1.78516,14,0.348533,1.52592,1.57492,433.204,53.9558,15.8788,22.3593,1.69677,25.8331,30.8675,5.80804,8.67305,2.0311,13,0.521094,2.21738,3.00551,350.986,42.6926,9.64361,14.1119,1.468,20.0633,23.7447,4.2857,6.5457,2.07004,14,0.446828,1.54261,1.50407,205.503,29.0965,6.49323,16.0453,2.16216,11.9894,17.0297,3.34202,5.64767,1.52072,6,0.50021,1.99872,3.26701,372.927,58.346,21.2671,33.2063,1.87349,24.4876,32.6585,6.09864,9.68849,1.76759,11,0.474511,1.79723,2.25381,418.505,56.7087,14.4643,19.3921,2.28403,27.8386,44.8334,6.54651,9.24739,2.59427,12,0.451806,1.91272,2.57621,415.588,45.1333,16.6556,26.4476,2.30574,26.7997,31.6834,5.74138,7.89423,1.90773,12,0.418898,1.40835,1.54241,374.122,62.5159,13.8281,21.6058,1.80601,24.5752,35.8335,5.86904,10.2307,1.88458,13,0.500562,1.65031,2.08105,815.853,47.1361,106.078,40.0459,1.46157,42.6658,38.8921,17.6696,21.0776,2.4025,5,0.198445,2.4819,11.9861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
