policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
handoff,0,fell,11.54,3,29.4589,24.7579,2.05346,3.5762,248.92,55.8647,33.7511,20.4506,1.39192,21.6475,17.6009,5.76833,6.99188,1.61365,14,0.518506,1.11405,3.21764,199.129,115.842,23.8191,27.6596,1.46421,22.7438,27.686,5.82882,7.66012,1.84536,20,0.556769,1.13746,2.67703,320.469,51.4104,67.4196,71.7575,1.36544,19.9084,16.616,6.00739,11.1232,1.74716,4,0.2258,1.13928,2.75256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,1,fell,17.12,4,86.6624,49.0099,1.57828,3.86625,306.699,111.243,28.0319,11.1115,1.79661,31.5542,33.0368,7.84439,10.7338,2.30772,25,0.558496,1.02581,1.95163,172.664,87.3481,25.6747,13.0198,1.24915,24.2628,26.172,6.68836,9.39639,2.01169,21,0.546926,1.08954,2.07593,422.042,113.478,55.9182,84.0925,2.57961,36.6499,34.1913,9.97275,17.1812,5.36584,31,0.410624,1.07288,2.5355,492.715,82.2795,34.8795,15.1358,1.90997,30.1749,21.5307,7.29988,13.8308,7.14165,16,0.329529,1.13738,5.6378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,2,fell,25.1,6,183.134,25.581,3.43897,4.39091,102.067,34.7589,12.6718,13.0429,1.13581,10.0738,9.5577,2.3419,3.67626,1.13384,8,0.472855,0.93004,3.25847,240.166,102.601,31.3561,18.9386,1.38992,23.0969,22.8461,6.1762,8.33727,1.43623,26,0.437114,0.8643,1.84586,259.781,68.6889,21.8399,17.9208,2.26104,23.555,26.5193,5.70318,8.7824,1.51778,16,0.551957,1.34339,3.0242,428.804,112.661,26.1177,15.7782,1.71094,36.1863,37.5366,9.53338,12.712,3.4486,25,0.564568,1.18029,5.32627,1390.56,234.216,189.14,49.0272,2.97813,92.7466,63.172,27.4507,20.8496,8.75437,39,0.611457,1.59592,9.08827,463.787,12.9789,33.8364,8.32339,0.957291,10.6206,3.03227,2.40228,2.70627,1.54745,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,3,fell,32.12,7,168.343,23.8265,3.6099,5.18644,237.698,70.6,16.8091,25.2556,1.57508,21.415,21.9273,4.87467,10.4807,2.93909,15,0.605697,1.21,3.31005,229.058,56.012,14.2074,18.6803,1.14371,16.6696,14.6111,4.20607,5.74941,1.11823,10,0.569073,1.32316,4.79334,538.603,114.183,39.3216,31.8949,1.21029,44.6819,32.0539,12.9521,16.3107,2.47789,30,0.713505,1.38531,4.47338,1041.82,317.189,98.4816,64.8425,1.44538,81.1829,69.1967,17.4169,24.9594,3.87343,31,0.577177,1.21166,8.20045,353.696,136.841,42.4718,74.1192,4.39599,33.4232,32.4434,7.41644,18.0256,6.23892,14,0.503412,1.43846,5.48163,640.215,234.007,89.0584,79.6884,4.12951,57.839,51.4995,15.5795,18.9675,7.53494,32,0.723496,1.4319,4.20169,1941.56,955.88,273.387,116.032,1.76784,89.4717,142.076,29.083,35.9429,7.72481,8,1.01857,1.51473,13.8685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,4,fell,19.44,4,147.816,27.6373,4.5972,4.64416,228.321,134.35,29.5011,13.7942,1.80052,23.4895,28.6968,5.83769,9.39281,1.66088,18,0.516857,0.949229,2.45667,256.567,138.006,26.5332,11.3923,1.9379,24.3486,31.4187,5.67355,8.2881,2.24985,20,0.555367,1.19679,4.10534,255.031,126.675,23.5786,16.3469,1.33096,28.1558,31.364,6.61492,7.76353,4.12972,32,0.504999,0.946926,1.81143,2131.38,834.727,325.359,68.3073,5.38267,95.6855,112.873,28.6667,33.756,12.1562,22,0.800842,1.1126,4.39999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,5,fell,66.08,14,126.524,5.04498,3.27038,4.06973,158.15,47.0653,16.1165,12.4632,1.10815,17.5483,16.1271,4.17948,5.56729,1.17194,12,0.599783,1.28821,2.59681,233.645,54.4654,27.1831,31.6,1.16691,20.6726,18.4909,3.63621,8.51552,1.94177,12,0.486348,1.11489,3.43924,647.928,179.341,53.6813,101.65,4.13979,53.5044,46.0473,12.0239,23.1252,4.22367,20,0.606277,1.60357,7.712,174.499,40.5382,18.6664,24.5964,1.09901,20.6947,15.1999,5.2174,6.71566,1.15103,14,0.539714,1.12386,1.93387,255.622,63.2993,41.6799,52.2613,6.86986,26.0631,18.545,6.75269,12.2237,6.6674,26,0.315255,0.69795,1.36341,275.216,86.8255,53.4033,70.8032,60.0926,33.1074,27.2535,9.27173,31.7361,37.1525,24,0.613579,1.21833,2.64931,839.256,420.673,78.8113,29.5132,29.5193,69.6017,83.703,16.0298,19.916,11.7748,25,0.602392,1.12543,7.69899,1020.95,255.768,115.206,39.0471,2.883,87.2964,65.482,24.0754,24.0587,9.19125,52,0.528504,1.54743,6.29349,674.193,135.719,61.3704,46.3989,4.82535,55.4889,43.0429,15.314,24.7421,11.0297,31,0.626951,1.57147,6.44581,501.238,141.578,37.99,11.3708,1.94438,40.452,42.5991,9.13005,9.16178,5.1259,20,0.52198,1.42655,7.73317,365.098,141.307,33.079,28.1527,3.31906,33.3516,36.6339,8.86295,10.532,5.04317,26,0.611485,1.12656,4.11671,580.693,547.091,102.569,115.033,4.91021,54.0155,86.6704,14.9317,21.2655,10.7526,35,0.624165,1.02226,3.4438,652.965,476.311,72.9818,28.658,1.23436,54.8399,83.2838,12.6895,13.0605,2.0541,37,0.664474,0.842991,3.47585,2036.34,713.164,315.219,117.642,90.9062,71.9188,69.27,24.1134,30.7622,15.9287,3,0.846405,0.951229,3.87097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,6,fell,19.1,4,265.931,23.8647,3.56942,4.37884,236.84,75.4338,22.4261,17.0891,1.58752,21.9203,22.3888,6.30098,8.838,1.44083,17,0.623093,1.20429,2.84988,508.472,117.214,28.8872,21.29,1.03477,46.0949,37.5061,10.7982,15.948,2.16759,24,0.638156,1.37222,5.20175,307.946,83.4609,23.1944,29.787,1.22606,26.5913,25.7442,6.0965,11.2228,1.70476,17,0.619186,1.32113,3.9222,1804.75,208.031,71.6673,37.9053,0.911931,82.9136,59.0744,21.3739,27.4422,3.4102,32,0.681262,1.5246,12.3931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,7,fell,16.7,4,71.1541,23.9008,1.82495,3.6467,240.244,57.4869,16.1689,15.582,2.56618,24.468,21.3259,6.28327,9.99476,3.24252,15,0.664182,1.30083,2.4196,346.426,90.9988,23.7503,14.9098,1.23955,32.0795,34.7757,7.77953,10.6339,1.95748,18,0.562508,1.33542,6.3304,247.9,63.3816,14.5262,11.0992,1.56779,21.1381,23.2566,5.50795,8.09715,2.37085,19,0.517277,1.05939,3.89179,286.026,49.2567,16.7611,20.9677,1.2428,13.3601,11.9954,3.48891,9.88936,2.7779,7,0.533171,1.13549,4.47282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,8,fell,15.98,4,232.981,35.8187,1.66015,3.08119,186.462,50.3088,17.8647,15.4479,2.32474,16.3802,15.743,4.48044,7.32364,2.22091,11,0.579041,1.30023,2.54655,163.683,48.2268,10.1367,10.4844,1.81855,14.6745,16.9568,4.05894,4.97851,1.15012,10,0.644902,1.54775,3.20133,580.313,139.346,54.973,26.2101,2.63132,51.733,41.3227,14.7789,17.7944,5.49797,33,0.624442,1.34782,5.53695,737.127,78.673,135.939,62.6194,6.26293,22.0726,16.5797,7.81211,15.4773,7.51744,4,0.345616,1.12706,3.84383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,9,fell,13.66,3,149.338,60.4435,3.58408,3.95982,199.587,103.671,17.6078,10.5117,1.36665,28.0358,28.3154,7.52226,9.40765,1.8298,23,0.538285,1.24044,2.53564,259.098,176.013,38.5416,17.1784,4.96627,33.647,37.8898,8.62769,11.4749,4.56601,31,0.574098,0.928036,2.23047,2407.18,867.158,300.951,99.8092,10.7909,95.591,111.916,29.1312,39.5185,17.013,18,0.838061,0.932412,8.06127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,10,fell,22.74,5,293.064,28.0915,0.772488,0.606836,218.461,55.9341,23.1144,20.1993,0.944776,26.0456,20.7055,6.70371,8.5896,1.3786,22,0.419524,0.994587,1.76053,635.619,138.032,54.2087,33.2109,1.28905,56.8646,41.101,16.1998,21.9298,4.67327,45,0.552031,1.17254,4.20833,1065.08,148.947,171.354,105.711,35.5347,63.8032,38.451,18.3197,43.5383,27.1464,26,0.410415,0.612611,3.75222,56.776,0.630127,16.0701,20.2793,2.28234,3.57344,1.13248,1.08922,3.2271,2.27342,3,0.151437,0.196896,0.0222473,212.144,8.76141,62.2424,68.5551,4.78672,8.51558,5.46001,3.39714,11.2137,7.28099,1,0.316139,1.42441,23.8531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,11,fell,27.08,6,51.3217,8.36253,1.84597,3.70596,254.773,97.9816,24.3632,15.1349,1.08929,26.9492,27.6241,5.97385,8.56386,1.6131,22,0.565817,1.01466,3.12304,347.156,114.59,21.5413,25.8259,1.72557,33.0458,30.68,8.66641,8.97061,1.32677,20,0.67852,1.31451,3.80669,408.677,154.555,50.1212,33.3487,3.16035,42.5153,40.2013,11.0829,14.1313,4.9555,32,0.556984,1.12708,3.8528,192.275,122.483,39.9841,14.9399,1.09158,23.4823,28.0802,6.09896,6.77786,3.06533,20,0.43484,1.04847,2.99629,624.827,275.291,78.3542,27.9159,2.49159,58.8987,61.0568,14.8336,22.4437,5.59229,22,0.510868,1.12594,6.72837,335.823,89.0739,13.4102,13.1133,0.941753,22.8071,18.0722,5.22652,8.60439,1.32567,15,0.504502,1.16192,4.14163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,12,fell,15.86,4,100.633,37.5594,2.6211,3.56146,222.595,121.779,37.1197,36.9009,3.93632,25.9909,28.6338,6.72486,11.2808,4.02472,21,0.564079,1.26347,3.14086,277.861,98.6287,23.1592,19.1823,4.44081,25.0995,28.0993,6.216,7.03613,4.28572,17,0.550071,1.32556,4.0574,420.836,91.5211,38.076,28.9793,1.70461,34.8353,29.0286,9.76565,10.8855,2.62026,25,0.672652,1.16373,3.55977,173.932,32.0796,10.9559,30.0363,1.19237,11.9697,9.09927,3.40531,6.94768,1.98995,4,0.988894,2.14357,5.59393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,13,fell,17.62,4,126.857,29.9864,3.6669,4.28894,166.824,59.3945,13.7927,12.5501,1.42176,19.0283,16.3762,4.66474,5.79701,2.30869,14,0.458198,1.00376,1.85648,438.523,127.984,40.0461,42.4318,5.34154,37.018,31.5212,9.23117,15.6141,6.75588,27,0.496521,1.1746,3.31248,148.635,74.4835,28.8925,20.226,3.11352,17.4212,18.9975,4.68757,9.64996,4.46093,12,0.568349,1.36603,2.69131,1506.87,754.796,200.948,53.8195,15.4954,60.2797,76.4067,19.1177,20.6617,11.9168,14,0.495923,0.878095,2.38858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
