policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
handoff,0,fell,13.8,3,42.6182,3.08127,2.57005,3.63598,325.621,69.777,57.5448,22.7403,2.04022,36.6474,28.5584,12.3155,11.8425,1.92983,12,0.558551,1.86509,4.12729,266.791,99.9173,41.2711,28.476,2.44177,35.4212,28.469,13.1947,12.2894,2.36265,16,0.587045,1.67055,2.31879,569.532,153.745,171.934,81.1272,2.37026,62.291,43.3414,24.696,22.8529,3.33075,20,0.264528,1.2361,3.27588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,1,fell,25.22,6,55.1372,42.4898,0.290854,0.262064,386.795,146.919,46.5132,12.5035,2.67234,49.9101,39.5109,15.944,14.5632,2.29012,22,0.634377,1.42964,2.49148,402.567,231.432,86.8577,20.8666,1.76745,59.8738,56.7026,20.8954,17.8118,2.30773,27,0.735882,1.28569,3.07559,612.503,166.288,108.99,88.7135,2.25173,66.7129,53.1932,21.3403,18.6814,3.20255,24,0.555852,1.63503,4.43218,859.911,207.742,116.775,32.1618,2.40889,83.0405,64.6391,25.268,18.3784,3.04384,33,0.457664,1.87329,5.53257,622.167,218.505,135.047,106.724,11.2882,69.0463,55.2186,24.2703,26.7347,12.6336,25,0.628689,1.70701,4.46714,9.81641,0.637329,2.02942,15.6725,11.9281,1.54181,0.892,0.578648,4.20284,5.06699,1,0.190544,1.18731,2.79535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,2,fell,28.88,6,106.147,14.9643,0.411305,3.27513,246.941,58.3096,28.7411,17.8039,1.36281,32.527,26.2375,10.2399,9.14017,1.27035,11,0.647432,1.89891,3.49001,328.273,95.889,65.1456,27.5571,2.10994,42.3566,27.3,14.5945,13.8948,1.98506,16,0.541008,1.79012,3.30093,518.535,104.655,48.4015,22.2444,3.21893,57.7166,42.1646,18.49,20.0292,2.97494,22,0.641047,1.76877,3.76908,723.089,181.69,108.387,26.7658,2.13085,76.8882,63.9831,27.5059,24.0423,4.02319,20,0.542942,2.10166,6.41134,752.878,191.834,142.027,63.1083,1.54723,76.0776,53.7402,31.3176,27.7627,4.28166,19,0.378746,2.4505,6.49962,2167.97,405.491,496.124,60.8975,2.03579,130.506,95.3256,55.5937,37.75,6.72597,26,0.465539,2.20366,6.10739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,3,fell,20.78,5,59.0135,10.2111,1.78206,2.35506,350.782,92.3656,35.1603,41.5547,2.03366,41.3285,33.8004,12.9916,14.8159,2.16256,13,0.556063,2.03262,4.24202,317.654,72.4586,27.3447,20.2446,1.59014,30.002,23.6067,10.2751,10.3082,1.68236,11,0.519314,1.69465,3.93244,530.504,128.059,61.218,28.0362,1.53554,58.3319,44.8141,21.7016,21.1223,2.64626,17,0.655922,2.27831,3.76577,689.608,179.838,103.478,36.7262,1.71693,69.1944,56.6367,23.2428,22.871,2.94433,17,0.449125,2.33078,8.8721,1068.01,135.788,310.74,120.411,3.74281,30.7747,22.6459,11.9511,16.7643,2.93718,2,0.410112,1.05288,5.42316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,4,fell,21.08,5,265.119,18.6971,2.17476,1.43661,342.203,96.4923,54.4266,15.0427,2.29273,49.4556,32.9435,14.458,15.362,2.20309,19,0.498978,1.50072,2.5726,518.592,286.973,117.645,19.9009,3.07159,60.8523,54.8881,21.8634,19.7886,3.13765,29,0.706605,1.4339,4.15443,826.216,367.178,132.406,36.9049,2.11591,79.7894,84.3747,25.6346,20.6819,3.68964,22,0.65457,2.11919,5.37047,898.351,594.09,200.213,30.1523,2.54867,85.3919,95.8155,30.2548,19.9239,3.8352,30,0.581315,1.53894,5.19353,2521.59,398.264,465.5,114.293,26.8837,104.153,70.2558,38.6344,44.8895,24.594,1,1.05009,1.91974,3.08972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,5,fell,48.14,10,67.0984,9.61507,2.10572,2.87461,335.705,78.4838,34.6628,15.8991,1.64192,42.1903,29.6754,12.8441,12.4678,1.69016,19,0.520403,1.30339,2.07938,484.025,83.0615,52.7781,38.2578,1.49716,53.1525,41.0477,17.0909,19.0602,3.02554,20,0.472997,1.84295,3.30479,975.361,342.251,154.482,114.913,3.14865,96.7849,75.9539,34.9154,34.3136,4.97738,25,0.504754,1.74235,5.07726,302.614,50.7803,36.2783,25.602,1.36096,49.7147,27.8984,15.3673,14.8515,2.27131,25,0.318086,0.923699,1.04205,282.482,69.0505,66.8693,74.3293,1.90072,33.5471,22.8717,12.393,12.1056,2.28445,11,0.489169,1.66238,3.22682,470.694,262.7,120.237,88.1493,1.80241,54.4838,50.481,17.4002,18.641,2.80486,25,0.564692,1.29404,2.87777,1250.12,613.842,279.513,39.8688,2.8587,111.312,111.291,40.6083,25.8986,6.3593,32,0.514943,1.6732,6.63307,1067.35,316.205,230.098,54.7751,2.59631,91.4812,85.2744,31.5482,22.5946,5.90084,32,0.407597,2.53899,7.33072,382.343,121.139,67.9207,95.6549,4.52885,37.7019,34.7785,13.2432,17.5637,3.76038,15,0.471195,2.18083,5.97503,1517.12,258.469,309.83,88.9236,11.9816,62.0834,59.662,26.1834,25.9563,10.5612,12,0.279085,1.73746,3.93631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,6,fell,20.26,5,329.907,22.6428,3.4547,4.47952,203.875,56.9045,25.7326,15.6079,2.18268,26.1347,21.4136,9.30789,9.74119,1.44257,11,0.595552,1.71223,2.76846,597.209,124.627,65.4022,23.1519,1.21975,62.0878,46.7437,21.7647,25.4898,2.8595,24,0.53411,1.85156,4.242,353.61,86.3516,53.9211,30.8817,1.75552,39.3427,30.5307,11.8087,14.9827,2.10229,15,0.661364,1.63792,4.33084,1831.58,238.037,123.112,53.1418,1.3946,95.1769,62.5225,29.4565,32.9721,3.54893,24,0.779994,2.46916,6.70661,183.65,13.925,7.73389,9.08945,0.292695,7.8272,4.08545,1.87603,3.94855,0.743115,2,0,5.67817,13.7083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,7,fell,16.74,4,58.7322,13.6061,1.73062,2.37975,306.708,73.5234,35.2433,14.2025,2.32594,40.0917,29.2091,13.6122,13.9539,2.10468,13,0.698871,1.95174,3.20515,588.368,121.919,81.6134,19.9459,1.48805,67.6381,49.2957,21.9474,20.6608,3.4312,20,0.538595,2.10645,5.75783,434.915,124.241,53.4872,37.6769,2.40058,54.7682,38.5723,18.2678,20.0767,3.52763,21,0.54721,1.46079,3.63231,301.794,44.5709,39.2156,42.3202,1.01553,16.3981,11.9769,5.4067,9.80917,2.11979,7,0.665159,1.72346,5.66589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,8,fell,24.06,5,158.375,8.58173,3.22662,3.68957,312.007,85.3687,47.4425,16.1579,1.48707,40.1778,27.3076,14.3566,14.0042,2.22372,14,0.713632,1.649,3.11353,265.526,65.4389,29.8566,11.9949,2.51759,33.101,26.2778,12.7353,10.8286,2.05297,13,0.687345,1.86679,3.59191,820.639,208.782,138.22,33.8964,2.79144,83.1281,63.9077,30.0616,26.6948,5.47283,28,0.580473,2.19976,6.54134,630.764,162.018,103.327,73.882,3.08046,64.3828,51.6155,24.306,20.6268,5.30079,18,0.457225,2.38672,7.42365,2156.21,357.218,399.185,97.5732,3.94376,137.523,93.4665,56.855,36.8191,9.11389,22,0.465938,2.52203,7.60944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff,9,fell,13.14,3,379.683,54.6496,2.99209,4.32173,330.198,139.654,46.1808,13.6318,1.99788,51.4794,41.4869,17.8349,16.443,2.44334,26,0.527075,1.55103,2.22793,726.35,427.744,183.11,27.1328,2.75496,94.5283,88.5082,31.007,27.8624,3.46632,36,0.720227,1.45452,3.23716,2256.38,789.082,552.884,92.2668,6.07786,144.831,138.982,55.7486,47.1116,9.76261,17,0.868778,2.59748,7.58469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
