policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
handoff_with_arms,0,fell,85.78,18,14.1685,9.99179,2.25091,1.19203,224.6,62.3075,31.9589,12.3815,2.45466,25.0749,19.7319,6.05479,12.1573,5.14016,14,0.505266,1.13642,219.864,57.0446,18.6648,16.3147,3.09204,19.1495,15.8954,4.32403,10.5352,4.60047,14,0.341035,1.0234,273.576,74.8657,20.9948,18.9221,6.78368,26.8545,23.5029,6.42636,14.6563,8.60252,18,0.520442,1.28777,322.664,70.0707,26.2761,16.5432,3.45947,28.9431,23.1056,5.81344,12.9163,5.70346,18,0.400314,1.06146,91.2982,25.5665,5.96702,4.44624,1.14485,9.74718,6.86724,2.15506,4.52678,2.28688,5,0.429028,0.911898,255.082,94.8277,25.8985,17.1846,3.98491,25.6175,23.6413,7.47676,12.8694,6.04544,24,0.49668,0.975339,259.308,50.2591,58.1337,211.537,5.08601,22.7286,18.7916,6.74912,16.7926,6.58346,14,0.530985,1.1777,287.168,103.026,30.3416,15.0253,3.40215,25.8494,25.3558,6.19356,12.8321,5.35691,20,0.499231,1.02228,230.086,82.8837,15.2306,10.4175,2.67258,18.6038,19.9073,4.58211,8.4318,3.71109,13,0.495671,1.1815,330.982,84.1889,28.5523,19.5384,3.23709,30.3584,24.0647,6.42992,14.8075,7.16527,20,0.458884,1.0016,159.378,35.7968,51.2659,103.745,3.04393,17.29,11.9576,4.52192,10.2346,4.03809,13,0.445219,1.01375,503.663,102.854,51.1895,31.3232,7.03726,38.5349,28.3556,9.65275,18.3798,7.31076,21,0.447234,1.36583,200.061,54.4533,19.588,21.002,3.04148,20.8205,16.8035,5.35652,12.1589,5.2933,14,0.511457,1.17237,299.104,60.7084,32.9192,15.4451,3.5151,23.3929,16.6942,6.76945,11.8935,4.58264,16,0.585661,1.18928,352.811,127.062,81.3868,132.727,5.73686,33.9704,34.4809,8.98181,20.8512,7.50257,21,0.485414,1.11215,257.826,87.7498,24.0869,15.2117,3.1699,27.5516,24.466,7.40944,13.2574,5.75061,20,0.577102,1.03435,227.007,78.1206,18.4206,10.6578,2.60397,25.4683,22.3886,6.58415,11.6898,5.1716,17,0.556554,1.08698,1483.83,73.5293,207.284,586.693,23.9063,48.1479,17.3886,16.257,52.3581,16.1112,3,1.76761,1.14709
handoff_with_arms,1,fell,76.2,16,11.9899,13.0276,2.17021,1.25064,196.77,42.5578,12.4401,10.3982,2.29285,20.6414,17.9336,5.17524,10.2595,4.30148,15,0.54643,1.13354,219.336,60.7578,16.092,10.2295,2.05303,20.8799,19.1519,4.35612,9.07498,4.07219,14,0.49968,1.14487,218.872,58.2076,34.928,77.1488,3.19984,22.2878,17.6168,5.66362,13.1643,4.67859,16,0.582566,1.11268,258.277,54.157,14.3244,11.4005,2.80787,25.0346,20.7292,5.42072,10.7795,5.15443,16,0.479991,1.11729,169.316,43.2426,30.6438,32.3075,3.21232,18.7062,15.3909,5.42282,11.0601,4.57552,13,0.539209,1.44284,1298.5,405,174.346,259.41,22.8204,77.6189,68.1177,19.4032,50.3951,20.0758,18,0.55847,1.3926,321.257,122.428,37.1431,14.8942,2.77264,24.5886,25.6279,5.65751,10.2453,4.23137,10,0.582195,1.42952,238.06,55.8381,47.9023,224.362,4.84621,20.7725,17.6715,4.89804,15.7076,5.93911,9,0.577897,1.27834,185.723,50.3737,30.2831,18.791,2.10215,18.4089,16.9299,4.42428,10.21,4.02714,13,0.618944,1.24975,297.904,67.4122,19.0077,12.4454,3.02734,29.6558,23.8648,6.30606,13.0401,5.86987,22,0.448479,0.939939,327.792,97.0096,32.2075,16.5812,4.16372,33.0507,28.3493,8.00843,14.958,5.98027,20,0.458581,1.24624,289.236,57.1005,23.1006,15.6275,3.04865,30.072,22.8668,6.71797,12.9847,5.14459,15,0.496217,1.27839,1041.51,206.003,100.877,44.5325,7.48629,69.2422,57.8867,16.5595,28.1922,12.3379,23,0.531718,1.47722,282.215,64.2268,22.0836,14.0331,2.61285,28.5872,22.675,7.13805,12.9972,4.87452,19,0.599967,1.17884,219.012,69.2933,20.5723,11.7049,1.9979,24.005,20.7008,5.70437,10.5447,4.26726,14,0.658965,1.32506,4687.03,157.047,406.175,306.736,84.746,107.461,41.2539,31.3956,66.8325,36.694,3,0.141129,0.884116,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,2,complete,90,18,8.97445,1.83715,0.0217556,0.0283722,93.664,33.073,8.40282,6.55239,0.835528,10.3265,9.60353,2.2604,5.6023,1.97489,10,0.462971,0.763146,97.52,39.5868,6.14412,5.376,1.06408,9.60022,7.97634,2.2519,4.47446,1.89682,5,0.491062,1.25326,209.926,40.5956,13.0803,8.56535,2.74206,19.8933,16.9798,4.40007,9.10933,4.14045,13,0.478129,1.01392,158.058,34.1164,9.99604,6.33714,1.43769,13.6621,10.3729,3.1621,5.9961,2.53378,10,0.492884,1.09195,239.531,64.652,19.4916,28.6687,2.76875,20.523,17.2008,4.68932,10.3152,4.1811,16,0.609558,0.861428,136.875,42.635,9.64807,8.22834,1.96527,11.5903,9.96988,3.01481,6.35799,2.71186,7,0.615445,1.44166,328.797,91.0528,19.1518,17.71,3.87787,25.0476,24.0299,5.77053,12.2032,6.36763,18,0.474958,0.998243,563.021,88.4627,43.2337,30.2785,5.01918,44.3077,32.4718,9.87796,18.7616,7.71306,20,0.514553,1.37987,348.151,102.392,32.2452,20.4945,4.13596,31.1152,28.3785,7.43723,14.3268,6.46313,23,0.450172,0.998765,315.258,114.849,36.8511,23.5937,4.24303,31.1428,29.6484,7.80386,14.584,6.38538,19,0.455538,1.1955,779.367,228.815,94.0403,49.4007,11.985,57.4606,44.522,14.6378,26.5269,11.3453,28,0.533719,1.1975,167.827,55.9901,13.4757,9.22549,2.08927,15.8167,11.1456,4.03094,8.55203,3.97741,11,0.402933,1.1899,541.188,151.687,52.5471,29.1285,6.91339,43.3021,41.9037,10.4561,21.032,8.44519,28,0.527075,1.12005,269.023,81.3888,13.2699,10.8362,2.47967,20.6923,16.7431,5.20643,9.80983,3.94503,10,0.533757,1.43675,215.735,83.0378,19.3671,11.5902,1.71889,20.61,19.3006,5.02616,10.0812,3.92081,16,0.429818,1.02559,224.933,75.3248,22.1966,13.8454,2.38568,21.1161,19.5826,5.72427,10.4914,4.44065,10,0.565017,1.31627,292.832,93.6946,38.5818,17.9781,2.2503,23.9713,24.3139,5.61755,11.1282,4.19477,9,0.568833,1.49418,268.253,81.6311,21.3089,13.876,2.57936,23.1324,22.0485,5.45262,10.789,4.34266,12,0.466394,1.48256
handoff_with_arms,3,complete,90,18,8.17508,2.22745,0.0139535,0.020931,220.872,57.6901,14.7278,16.4495,7.87063,21.45,19.4026,5.09796,12.2498,6.6945,16,0.513308,1.02118,248.944,66.4776,16.1669,9.80369,2.59869,22.9383,19.2083,5.12868,9.24962,4.05681,14,0.599647,1.19937,137.948,42.5717,9.46446,6.72123,2.02369,21.2983,13.1053,4.27021,10.5136,4.17193,12,0.475602,1.02512,197.014,39.9754,9.43972,7.2355,1.51631,15.0774,10.3217,2.69313,5.71054,2.58162,7,0.296607,1.03302,200.048,64.5604,24.5027,40.4317,25.5877,17.1434,16.729,4.61075,11.2862,5.94744,10,0.476394,1.3551,263.33,59.2861,40.8245,32.6533,3.48383,25.7926,19.2732,6.81679,13.657,5.31997,17,0.537325,1.2549,164.325,37.7411,13.4214,8.26584,2.26493,15.499,13.0744,3.84186,8.03033,3.65297,11,0.532482,1.11659,308.686,72.8287,53.5625,147.382,13.8816,31.5047,21.9635,8.96742,17.9435,8.16539,16,0.560043,1.5244,292.862,61.6333,34.923,102.192,36.6271,30.9315,20.8175,7.4469,23.5162,10.8451,17,0.532068,1.21179,263.485,46.2155,16.0573,10.3654,2.67315,26.5773,16.4242,6.2634,11.6547,5.13522,15,0.52361,1.19385,1184.45,219.583,130.043,175.375,17.9548,47.9045,41.7311,14.7872,31.5726,12.5631,17,0.476001,1.23449,137.002,29.7493,14.5441,7.62744,2.22997,15.591,11.2268,3.83485,8.04625,3.84403,12,0.436717,0.872681,197.549,64.7339,13.2927,9.40588,3.06934,26.8302,18.1914,5.67732,12.5972,5.7488,23,0.293329,0.668369,242.992,69.9138,31.0152,19.2726,3.63451,22.6083,21.0203,6.00755,12.6054,5.29499,15,0.567421,1.23934,4658.7,305.067,450.911,340.247,82.4977,128.961,62.5249,36.9178,84.6871,48.5742,20,0.611324,1.19019,285.516,68.2784,34.0772,20.5986,3.36533,23.6305,18.7132,6.84849,13.4103,5.62675,15,0.517561,1.29906,333.067,83.6436,22.103,14.3932,3.4846,32.0033,27.497,7.46601,14.0077,6.07048,22,0.475193,1.20468,325.115,110.469,40.6268,27.4843,4.25145,27.2831,26.945,7.34211,14.6644,5.69384,18,0.554058,1.16585
handoff_with_arms,4,fell,55.92,12,17.1601,15.6306,0.938484,1.34757,114.077,23.2718,8.77819,8.04043,1.34886,11.4586,10.4155,2.96244,7.13579,2.5433,7,0.477911,0.978914,276.806,69.1417,25.3759,12.5825,3.85126,29.874,23.801,6.73777,13.1355,5.61043,17,0.550442,1.28918,242.709,92.3962,23.18,13.9607,3.00773,24.6156,24.4716,6.54887,12.8362,5.73714,19,0.58449,1.11013,187.701,41.3227,17.6224,8.97537,1.94653,17.9762,12.6426,4.91786,8.79898,3.63378,13,0.499414,1.07053,251.902,62.7624,22.0031,18.7831,3.49786,26.5853,22.1854,6.88369,13.4677,5.7821,17,0.588824,1.45745,252.335,57.3494,24.8505,26.7287,3.10911,23.5373,16.9643,6.10044,14.6957,5.96653,15,0.450447,1.25802,165.332,52.8845,17.3243,9.54288,1.79924,16.8762,14.242,3.66243,8.25152,3.28942,14,0.433285,0.801293,115.389,33.192,8.24063,5.96272,1.75939,13.3008,9.92561,3.20871,6.82284,3.13468,11,0.326746,0.69939,177.737,71.9784,12.8246,9.80051,2.72104,16.691,16.1174,4.28443,8.64402,3.82534,13,0.537978,1.12202,391.747,98.1462,42.6943,30.6476,3.07968,21.6564,19.3189,5.86959,12.5322,4.7007,7,0.422768,1.60888,122.287,46.8875,13.2583,7.78761,1.9102,12.9029,11.8834,3.42256,6.94309,2.90795,9,0.64999,1.34204,1826.58,58.5205,120.443,143.304,12.559,42.3254,17.3276,14.6163,34.2204,10.9917,5,1.27352,1.42037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,5,fell,85.76,18,10.9081,9.07955,3.12107,3.61914,139.481,36.0883,10.9434,8.19024,2.09264,18.5808,14.5008,3.976,9.50523,4.00099,12,0.459776,1.04241,186.494,46.1437,19.4776,18.6612,3.28447,17.6076,17.9176,3.87306,8.73839,4.1239,10,0.603841,1.32596,245.637,59.91,33.6137,75.8329,6.55149,19.8655,16.3718,4.66379,13.7577,4.918,15,0.46712,0.967583,116.637,30.3096,8.93179,5.46033,1.41216,12.2036,11.0891,3.16428,5.87655,2.53408,10,0.615745,1.16047,160.233,43.8986,21.088,35.3424,2.61062,16.8795,13.0284,4.44349,9.46024,3.67736,13,0.379988,1.00581,296.339,87.1448,53.5221,103.836,3.96236,29.7444,25.9956,7.42579,17.8035,6.78723,15,0.53506,1.3418,186.044,52.0465,16.3493,8.48862,3.07696,18.4971,16.6837,4.27302,7.65281,3.57583,10,0.710067,1.48307,211.879,68.2358,32.0355,31.6452,3.53362,22.4691,20.9306,5.80796,12.7868,5.42102,18,0.60501,1.21386,111.123,41.0633,8.24364,16.539,13.9144,12.2558,11.6027,3.23289,10.1347,6.22888,9,0.554387,1.247,212.933,59.6473,18.3459,12.6368,2.76123,19.4478,16.8255,4.25902,9.51334,4.14225,13,0.42055,1.11972,166.67,41.4028,11.7072,7.20468,1.96506,18.2551,15.0671,4.47186,8.51075,3.74786,14,0.569626,1.16838,181.64,55.1902,29.2024,95.1155,3.33675,15.794,14.4109,4.1427,11.7935,4.37747,8,0.570609,1.24423,231.927,51.1619,13.9023,10.2627,2.935,20.8886,15.8856,4.46275,8.86505,4.16198,10,0.581343,1.41123,262.36,67.8135,27.3625,16.0074,3.80383,27.0304,18.0968,6.22048,12.6488,5.20768,14,0.476996,1.24366,227.812,54.9059,13.699,10.0417,1.67551,21.2222,18.337,5.45379,9.78144,4.12441,14,0.596119,1.32561,300.889,60.4913,19.4057,14.607,3.15022,24.0686,19.5405,5.68445,10.5393,4.22426,16,0.616125,1.09454,268.396,68.9935,22.3385,18.8513,3.88432,25.0843,19.5012,6.16483,13.0239,6.0408,19,0.470208,0.82968,646.366,73.7145,187.205,660.585,9.14333,26.4236,15.3827,12.9423,46.6501,10.8113,3,0.536786,2.63855
handoff_with_arms,6,fell,70.78,15,8.3602,9.337,1.23095,2.97761,148.779,52.5325,16.455,10.2631,1.67263,15.8223,14.3002,4.24157,9.46015,3.76867,13,0.43492,0.957886,240.967,53.8058,16.8175,8.61973,2.19594,21.9477,20.0121,4.60318,9.33469,4.32678,16,0.563574,1.14092,199.738,48.7344,17.7536,12.1978,1.82327,20.4628,18.0406,5.09574,10.8019,4.14003,15,0.629957,1.12637,114.784,31.8582,9.74182,6.06699,1.3119,11.4423,10.0451,2.76232,5.34783,2.70074,10,0.555412,0.974532,302.724,99.518,30.5432,23.6006,4.74395,29.6455,29.1766,6.41353,13.7983,6.4728,23,0.500976,1.06304,299.142,68.3628,34.9396,32.3239,4.86282,27.9466,20.3897,6.71453,13.8756,6.0712,14,0.464275,1.29625,186.48,47.179,26.5947,11.7154,2.39623,18.0866,13.1839,5.18996,9.73294,4.18531,13,0.589889,1.22411,324.625,72.8613,21.1221,12.4539,3.62365,33.9368,26.6922,7.91809,14.7457,6.00986,19,0.514229,1.32432,132.39,41.3946,10.8401,6.6529,1.32803,15.4407,11.6289,3.70615,6.61184,2.7071,8,0.560009,1.21917,331.65,117.174,56.5386,50.0649,4.73703,31.3232,30.4805,7.65323,15.9515,6.63271,20,0.515937,1.11771,248.623,78.4077,26.3505,13.0923,2.91804,21.5906,20.0995,5.14477,10.198,4.33709,13,0.588866,1.26939,327.474,110.985,19.562,14.9776,2.97517,35.3153,29.401,7.42321,14.446,5.79491,23,0.415488,1.00079,301.045,97.1747,34.4948,17.9026,3.15456,28.807,22.3473,7.51174,14.1227,5.31713,16,0.453878,1.31163,152.754,47.3402,56.5658,82.4432,11.1828,11.9437,9.30184,4.00325,15.6795,7.72382,6,0.473143,0.9496,1805.1,91.1771,239.831,376.839,39.6004,56.1964,24.2102,14.3609,33.1765,14.6509,3,0.333654,1.00746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,7,complete,90,18,6.62133,2.98881,0.067278,0.081145,191.318,39.9536,13.475,11.0622,2.42675,24.2866,19.1863,5.49005,11.5787,4.83308,17,0.529897,1.03077,224.256,56.0109,13.4401,9.05686,2.85605,22.3418,19.0666,4.6956,8.91408,3.9431,18,0.463213,1.03767,185.466,54.6414,17.9808,19.6327,2.09074,17.0644,13.0514,4.08567,9.31956,4.03406,14,0.482464,0.786865,166.71,61.1978,13.784,16.8508,5.33735,17.192,17.1447,4.23389,10.6015,6.28038,13,0.578495,1.13454,254.526,55.8381,23.6001,11.7275,2.98191,23.2693,18.0643,5.17975,9.12679,4.19399,14,0.491187,1.22072,290.171,98.5036,52.7613,104.125,4.17186,27.5239,28.0591,7.60715,18.963,7.14462,18,0.548196,1.26645,158.329,37.8964,18.1011,8.00963,2.31879,15.2157,14.1087,3.53495,6.53473,3.19817,11,0.598692,1.24487,244.896,47.9968,17.638,11.5887,2.37556,24.4674,19.6,6.29226,11.2081,4.51491,17,0.573319,1.19741,286.302,104.979,34.7897,35.5875,5.50809,24.1805,26.1112,6.30171,15.0089,5.85621,15,0.594366,1.21892,168.228,94.2865,21.2019,11.5535,2.2136,16.2656,17.3396,4.27448,8.32252,3.70272,11,0.48704,1.13696,277.387,89.8445,27.2093,15.4089,2.5943,27.2552,26.5128,6.63227,12.1632,4.94352,21,0.492477,0.884754,216.441,112.508,30.9441,17.2547,2.91532,20.6406,24.9454,5.33869,11.1382,4.71788,16,0.474104,1.03251,311.284,134.332,32.2246,31.0627,5.6444,31.4238,30.8135,7.54336,18.9835,9.4418,20,0.490352,1.10258,190.559,82.2804,29.7485,68.0894,23.4303,20.3979,19.5853,5.9537,18.4173,8.99552,14,0.472813,1.21712,674.766,131.891,74.1511,44.8513,7.09167,50.8244,42.4904,11.9326,24.4484,9.07166,32,0.530994,1.30527,565.971,190.405,78.5319,34.8859,5.1999,42.6928,43.0237,9.61217,20.6943,8.74824,15,0.43287,1.26126,210.113,98.5243,20.2019,12.5733,3.07081,21.9945,20.8586,5.91356,11.4053,4.89688,16,0.404138,1.14869,1017.14,136.381,203.098,102.008,13.6557,55.8428,40.578,14.1126,27.7337,10.3655,21,0.51657,1.28342
handoff_with_arms,8,complete,90,18,9.75873,2.17253,0.0404069,0.0558429,176.754,36.6702,19.2359,12.98,1.96932,18.1108,13.3864,4.63528,10.3224,3.67136,11,0.615764,1.30851,176.355,52.9416,12.8959,8.65641,2.38559,19.2202,15.865,4.89626,9.05245,3.86043,14,0.570712,1.20268,202.726,49.8934,26.7337,10.0594,1.88839,20.0253,15.7233,4.55363,9.68102,4.10364,15,0.40807,0.850314,189.509,74.7973,39.0059,26.1243,3.39466,16.8525,17.9281,4.06724,8.92687,4.60544,10,0.488504,1.22412,174.165,32.1567,35.8123,101.471,2.659,16.2926,11.0744,4.22561,10.5498,3.8097,10,0.500426,1.10564,226.089,60.6366,19.293,11.2472,2.16373,23.7389,20.3492,5.85746,11.2878,4.51506,18,0.526937,1.02373,228.065,59.2987,17.1239,11.0161,2.27107,23.5781,18.9778,5.59158,10.8037,4.59374,17,0.537047,1.12832,189.205,46.4861,39.5744,68.1072,2.73488,18.5362,16.6554,4.56904,12.983,4.62988,14,0.512644,0.881084,253.468,58.4126,69.8749,368.179,9.91439,22.2636,18.5311,7.22213,32.0986,8.7459,11,0.487678,1.38666,439.96,102.989,58.6293,41.2165,6.44746,36.6629,29.0083,9.26943,18.6498,6.98961,16,0.477931,1.32462,309.389,59.0054,26.8503,89.7715,4.66482,29.1777,21.7108,7.55,16.9884,6.64982,13,0.597409,1.22425,219.652,68.6262,19.0039,12.2984,3.37462,20.9759,20.5852,5.22929,10.2279,4.81485,13,0.589544,1.39391,680.462,325.174,97.2845,459.769,17.6457,52.9988,58.3781,15.3238,42.4089,16.6765,26,0.449116,1.02289,327.607,66.3257,31.6512,23.9448,3.19156,29.5921,21.4838,7.2755,14.153,5.40358,19,0.644034,1.1846,287.345,69.4786,35.0638,33.4703,3.52091,28.2879,22.5117,6.44863,15.1145,6.27561,24,0.360694,0.851055,195.421,39.1997,19.3804,10.9796,2.29008,23.7418,18.382,5.8221,10.0455,4.31749,17,0.525404,0.909066,166.328,42.9296,18.3475,9.9469,2.10694,18.3076,12.6332,5.01201,8.61489,3.67908,10,0.527243,1.25419,851.656,348.945,91.3688,60.7534,13.4618,64.2549,57.7349,15.9883,33.7192,15.6582,20,0.441405,1.25766
handoff_with_arms,9,complete,90,18,7.73692,3.13237,0.0309896,0.0614207,125.229,23.1611,8.61377,8.03306,1.2757,12.4441,8.77153,3.23009,6.8718,2.54397,7,0.589268,1.46371,139.086,34.0636,16.17,7.03737,1.54941,14.0338,11.9128,3.30784,6.46432,2.93486,13,0.388415,0.904753,210.38,43.4552,15.7421,9.81343,2.35032,21.9974,15.5269,5.32443,9.88098,4.36427,16,0.654104,1.05698,277.1,68.6794,20.3942,11.2384,2.91234,33.3009,24.5454,7.2744,12.9686,5.92686,24,0.524988,0.972905,216.395,56.1509,17.9922,11.8188,3.2957,22.299,17.3244,5.03928,9.91426,4.14463,17,0.598774,1.07808,242.687,48.6627,16.8695,11.3936,3.04033,24.3356,18.0985,5.77459,11.622,5.06217,17,0.484973,1.0616,255.516,60.5576,15.8458,9.11252,2.75422,24.2019,20.9783,4.8223,10.3115,4.64843,19,0.528963,0.927161,205.143,53.1272,11.908,10.2987,2.50524,16.8909,12.7247,4.20733,8.68386,3.86913,11,0.572132,1.21435,189.731,68.0424,15.2403,9.05472,2.03321,20.6777,15.7067,4.82636,8.88414,4.15915,15,0.348019,0.896821,338.726,80.5964,33.8545,21.8318,3.60311,33.0642,24.6036,7.23959,16.0901,7.09625,20,0.553257,1.02463,213.561,56.9822,20.975,11.9326,2.64273,20.9691,17.6456,5.63331,10.3191,4.54659,15,0.482199,1.14862,276.371,79.4139,22.581,12.6809,3.74191,25.5609,22.8066,6.3575,12.1199,5.37955,17,0.456994,1.22108,234.004,85.1504,22.1714,12.9564,3.05535,23.2043,20.9906,6.12029,11.2549,4.4437,18,0.646378,1.18457,239.1,70.7279,16.9567,8.36485,2.18447,21.2952,17.6646,4.85005,8.66702,4.05716,12,0.462505,1.34734,250.584,70.2469,30.6916,16.3842,2.8282,26.6768,22.5387,6.77712,13.0869,5.41368,19,0.495761,0.940617,372.536,93.6509,34.2546,16.9355,3.10452,34.283,29.06,8.20327,14.5399,5.87335,21,0.505219,1.2777,389.132,116.939,28.5319,17.367,4.31276,34.6129,24.4934,8.27407,14.6489,6.20476,17,0.368265,1.01005,288.61,77.2534,32.784,16.4262,2.84756,25.1639,17.9753,6.82373,12.3844,4.78954,22,0.488482,0.957303
