policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
handoff_with_arms,0,complete,90,18,9.18347,3.21051,0.118951,0.216582,307.812,75.2441,57.9894,17.7019,4.09629,35.4378,28.3884,11.5007,20.7813,7.19816,12,0.548571,1.73267,360.632,74.6666,54.4076,27.4124,5.59333,35.6599,26.9189,11.9539,20.4162,7.0343,16,0.372989,1.07651,383.815,120.884,64.3608,51.3618,5.96218,41.6657,41.8936,13.1823,26.1012,9.49281,18,0.488272,1.73504,416.162,86.8106,49.5262,20.571,4.94501,46.1077,30.6352,14.9191,24.3832,8.26379,21,0.458653,1.38633,141.93,35.5684,14.2419,6.98859,1.88521,18.8725,14.9103,5.87861,9.87648,3.73931,7,0.637356,1.38845,380.712,109.793,49.9109,29.7531,5.46082,43.0608,32.7755,15.0069,23.9547,9.0191,18,0.48394,1.61475,2191.22,453.512,341.77,290.193,27.5659,123.935,95.5792,44.1108,75.6851,26.6648,24,0.459886,2.27772,321.095,125.679,60.8008,22.8864,4.72914,39.7572,31.3822,12.4408,21.527,7.61196,14,0.535073,1.56205,259.081,101.542,26.8042,12.7227,3.61858,27.2615,23.9524,8.99276,15.0595,5.75144,14,0.480174,1.55127,288.736,59.7358,29.3274,24.5264,3.20078,33.6343,19.9037,9.75978,19.34,7.21753,14,0.366869,1.13676,535.299,119.879,132.5,109.488,6.80045,52.2148,35.8513,19.3218,37.33,11.2554,12,0.306285,2.26448,1153.8,329.083,278.337,131.471,18.7992,80.8957,59.9267,28.8243,49.3605,17.0355,17,0.642209,2.09541,253.976,68.4048,40.4103,30.1288,4.48796,30.9501,24.9802,11.5669,21.8384,7.62818,14,0.605156,1.53142,465.406,87.649,74.9384,28.1451,6.29742,43.1848,30.4976,14.9525,24.4982,8.83446,17,0.433603,2.43433,462.352,176.622,93.7975,92.8862,7.02138,46.7144,43.6764,16.6465,33.0577,10.5307,20,0.61388,1.65479,393.323,98.486,51.077,30.924,6.46257,42.4023,34.7617,14.5807,24.9518,8.97284,19,0.5814,1.68588,336.505,118.478,43.2759,20.4623,4.54758,40.9302,31.9859,12.6753,23.3095,8.82533,18,0.46946,1.43163,719.155,201.601,141.253,271.465,10.83,58.4869,46.7206,23.5544,54.046,15.2114,16,0.646485,2.43741
handoff_with_arms,1,fell,76.5,16,13.4487,3.79798,1.08147,1.87755,252.252,58.6482,24.1218,13.8976,3.8908,31.1528,23.5906,10.0259,19.2039,6.68197,13,0.702378,1.79576,332.221,82.4738,34.7912,17.3801,3.98498,39.6316,26.5925,12.2088,20.4789,7.14645,16,0.573513,1.67613,338.005,85.0517,63.5608,66.5716,6.44139,42.4419,27.7698,14.1411,27.0467,9.94384,14,0.509103,1.72657,338.168,72.4518,26.6767,15.7864,5.04718,39.3564,30.2449,11.7574,21.0831,8.78981,18,0.443259,1.208,259.418,60.6344,61.0187,41.0332,5.5851,37.1498,24.3945,13.2388,24.3511,8.3947,17,0.526615,1.27009,530.199,117.247,143.413,150.279,9.85093,60.565,43.1189,21.1559,50.855,16.5604,18,0.502356,1.55982,420.704,131.091,40.0378,22.7201,6.52688,45.9409,34.2052,15.659,26.8207,10.1642,18,0.435262,1.78118,451.589,81.2443,111.073,178.638,10.9818,47.8103,32.8108,15.1295,36.3713,12.722,19,0.481321,1.33016,182.706,50.7427,53.0882,25.8722,2.95087,25.8749,16.0509,9.18662,16.7473,5.04025,6,0.454294,1.96985,378.142,88.3776,31.961,19.3076,4.20305,39.5612,26.6646,12.1683,21.6512,7.83248,12,0.585821,1.83462,681.657,169.941,86.6609,43.8698,8.77685,62.2227,49.8762,21.1602,34.4917,12.11,20,0.53705,2.0709,363.016,60.9379,36.8066,29.1694,4.67571,43.0692,26.3255,13.5513,22.6508,8.09589,14,0.49102,1.93752,547.54,128.601,117.585,45.1754,6.28758,43.6153,32.7112,17.0006,25.6331,10.2439,9,0.419026,2.12861,427.747,87.9065,53.8039,21.2399,4.44556,52.7318,37.9267,17.8701,29.7781,9.92483,24,0.460316,1.62084,246.25,66.7394,29.8585,17.9556,3.17912,30.9124,20.4374,9.19366,17.1234,5.94897,11,0.675103,1.79885,5456.59,439.339,875.269,477.47,99.2317,215.678,83.3464,79.261,137.993,65.1412,2,0.635952,1.76379,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,2,complete,90,18,8.80409,3.58546,0.18258,0.249727,132.311,32.0855,13.4803,9.71379,1.4508,18.2458,14.3317,4.93166,10.982,3.28618,7,0.583185,1.65085,118.838,38.0133,10.0374,6.69188,1.92656,13.7546,9.81645,4.54316,7.78643,2.96755,6,0.463014,1.48506,219.088,44.5602,19.8063,10.8466,3.49355,24.4646,19.9198,7.81299,13.4018,4.85297,9,0.655226,1.65035,206.869,59.4391,19.8883,10.5743,2.53502,23.9529,18.4939,7.68235,13.4986,4.40694,9,0.553407,1.69407,399.385,77.7878,44.4344,44.2382,5.92409,44.5356,33.7526,13.1753,24.5937,9.84333,19,0.46976,1.54039,169.085,43.342,15.1334,10.6896,2.89531,16.9832,13.0307,5.47792,10.4302,3.7913,8,0.504162,1.41442,483.688,118.121,52.2849,28.732,7.16446,45.7785,36.6599,14.4259,24.9736,8.82905,19,0.63289,1.70415,665.75,170.888,80.4797,40.4571,7.27054,60.3659,47.82,20.1989,32.298,12.538,19,0.421208,1.80275,870.855,189.682,116.445,63.6761,8.37338,70.2739,53.9591,24.0708,39.4085,13.0107,19,0.502573,1.96379,521.903,175.075,75.9408,40.5554,8.43728,58.965,48.3992,19.9586,32.3106,11.5734,21,0.600076,1.81131,1811.72,646.106,358.902,147.477,30.1913,127.338,117.656,43.3239,65.1871,26.2127,22,0.611245,2.60067,195.809,120.211,23.8915,13.4875,3.87556,24.177,23.0824,7.76119,13.1111,5.04445,14,0.684355,1.1482,605.18,153.113,79.9802,35.9445,8.15019,58.8518,44.009,19.3384,31.9027,10.7449,24,0.394508,1.81992,430.288,143.333,46.7589,21.7955,7.30885,43.0051,34.4337,14.5867,23.3637,9.52513,18,0.433822,1.66205,393.111,98.3181,47.1475,25.1897,5.0657,43.3017,36.0341,13.7295,24.736,9.27187,18,0.496431,1.30835,355,133.711,54.5429,26.6243,4.91788,42.2652,32.3474,14.3815,22.8269,8.98348,14,0.453149,1.80187,419.993,135.509,60.6173,31.3474,4.80495,40.8084,31.8742,12.5413,24.0289,8.86975,12,0.431113,1.34342,483.412,160.865,48.3633,26.4355,5.86821,52.8906,39.8656,16.1237,27.929,10.0708,19,0.464955,1.63193
handoff_with_arms,3,fell,71.12,15,22.2912,12.4433,2.49327,2.92463,323.114,75.0921,48.0108,44.8692,5.49741,44.2428,30.7315,13.3293,28.0827,10.0355,17,0.489053,1.49898,349.476,77.0646,25.8419,18.8481,4.51399,40.2466,25.6062,12.5317,23.714,8.91558,14,0.476281,1.39531,213.244,49.2057,19.316,11.2694,4.12439,23.6909,18.6416,8.06451,14.19,5.33255,8,0.483086,2.20438,354.469,59.4457,27.7532,19.3212,4.05903,37.2155,21.6864,10.6072,20.1596,7.72173,11,0.392223,1.34876,365.067,93.7013,68.2017,87.0592,13.7488,41.4432,30.2482,13.7847,29.5511,12.717,19,0.375657,1.46084,271.035,53.8379,47.4654,35.1472,4.47521,31.9215,20.0583,11.1046,19.3502,6.92531,13,0.402197,1.49613,272.94,65.5911,27.8807,14.0355,3.5332,31.4256,23.1008,10.5749,18.4595,6.91749,14,0.534361,1.51679,472.342,111.484,91.7306,115.462,13.2079,56.2201,35.4301,19.2269,37.0971,14.961,17,0.387556,1.16725,384.675,88.1606,108.264,193.975,18.4236,42.2728,31.081,14.4372,37.8186,13.9947,16,0.639283,1.68588,383.434,95.1323,32.1768,16.4916,5.29468,41.8751,33.0184,11.1247,20.6187,8.15855,18,0.526156,1.59234,432.679,97.9717,94.1571,112.541,9.51752,48.2052,32.2105,15.9252,37.5408,13.6041,19,0.451418,1.53213,231.011,48.4058,28.804,16.0557,3.91574,31.4922,16.0872,9.96825,19.3752,7.37016,11,0.446134,1.35787,277.506,93.2784,29.2783,16.1961,4.67673,33.6028,25.3813,11.8879,20.7038,7.78577,17,0.479614,1.54543,353.956,102.646,40.8262,28.5766,5.65662,38.5442,32.9411,12.5185,23.4201,9.04025,15,0.564438,1.97889,1964.56,142.604,232.483,165.185,28.834,75.1834,39.9428,25.6706,43.7128,21.8678,7,0.268509,2.97796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,4,fell,47.68,10,27.9786,9.29835,0.592552,0.61816,153.973,25.6733,14.9106,11.021,1.99409,22.7993,12.9936,7.11339,13.1722,4.12192,8,0.594379,1.50421,418.936,110.306,41.6161,19.7892,6.25311,45.5453,31.9941,13.3809,23.4316,9.03333,20,0.521428,1.4886,298.699,95.3396,38.4488,25.3863,4.76317,37.3601,30.8867,12.6568,23.211,8.08638,15,0.608611,1.80029,321.598,66.8401,42.612,18.66,3.98332,38.797,26.3258,12.7498,20.9185,6.63641,11,0.516804,1.76505,363.722,85.6679,40.4905,29.4281,5.822,39.6586,31.4617,15.4469,25.1048,9.01266,16,0.551505,2.09202,351.892,63.2487,52.0057,51.1422,4.49806,45.4651,23.6104,13.871,28.6188,9.45034,15,0.409937,1.60381,236.336,66.9809,29.0356,18.8573,2.75096,25.6434,18.8147,7.33416,14.456,5.38068,11,0.419971,1.12646,166.038,35.3823,15.6526,9.09718,2.81405,20.588,12.1704,7.06486,11.673,4.66697,9,0.363953,1.12314,259.204,84.2396,29.0533,13.6812,4.13767,25.3125,22.7078,9.05304,16.3078,5.96418,9,0.57525,2.43091,2038.84,454.747,329.159,449.508,60.1612,96.2939,83.9516,37.6474,90.5735,44.2905,10,0.718342,2.34017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,5,fell,86.08,18,10.2892,9.67686,1.1628,3.25247,239.234,59.985,22.845,14.4472,3.84503,29.1161,20.9214,9.33181,18.5426,6.37501,10,0.536736,1.88544,239.174,46.8728,38.9786,28.6021,4.80828,25.413,22.407,7.6223,14.8353,6.24751,11,0.60285,1.40497,291.085,58.1189,55.1713,79.699,4.83456,29.8412,23.3368,9.09483,20.7557,6.05197,11,0.36732,1.71334,595.189,120.888,96.8454,37.1423,9.77925,59.1015,37.3448,18.5055,30.4587,12.087,22,0.407775,1.22751,207.102,41.153,50.9359,41.1981,3.49211,26.4461,16.1407,9.26214,16.946,5.94542,9,0.520682,1.54065,380.178,109.734,86.5709,87.9402,5.98809,39.6152,31.7813,12.4357,26.9971,8.88238,18,0.680428,1.47269,339.647,106.038,43.3449,18.9151,5.73601,33.2755,30.0864,10.4313,17.161,6.1026,13,0.596104,1.84771,290.417,65.7585,41.2592,42.1259,4.73852,38.7083,23.5817,12.0387,23.3792,7.95096,20,0.461235,1.05921,357.876,111.456,81.767,237.351,12.3192,50.3096,34.0609,17.9091,66.5396,15.5681,18,0.478604,1.90021,270.329,75.1514,28.1292,17.3925,2.91188,26.0978,20.4133,8.70768,14.3623,5.5267,9,0.426169,1.54885,220.226,58.6843,19.28,11.1595,3.38175,28.0027,19.3099,9.8478,16.6279,6.02509,11,0.602377,1.67132,291.905,93.5165,50.8547,82.8475,6.02838,32.7047,27.6503,10.7026,22.8433,7.41127,9,0.456435,1.99034,403.076,103.083,36.7097,19.0809,5.65707,43.166,31.9305,12.9854,22.7978,8.41471,15,0.568489,1.51723,494.951,106.274,86.8799,44.6297,6.97172,50.4835,32.2702,16.8727,26.7016,8.76475,17,0.34038,1.40123,330.216,65.884,28.3029,15.6853,3.81263,38.0865,30.0678,12.1311,21.5575,8.09635,18,0.532132,1.32829,1462.85,263.312,138.25,76.1145,11.0739,84.5618,60.041,27.2525,41.9963,15.1914,19,0.53632,1.62437,432.895,122.064,48.3655,43.4454,5.48506,47.7344,38.8633,16.3761,28.141,9.46766,16,0.485981,1.52574,1497.95,225.286,404.397,464.269,35.7161,61.4011,39.7441,28.0655,71.3437,18.6219,3,1.24978,3.30301
handoff_with_arms,6,fell,70.74,15,10.2823,8.55066,1.58634,1.39566,208.156,67.5656,26.7667,15.1047,3.19789,25.2946,18.3597,8.72191,16.7237,5.70065,11,0.483029,1.44959,308.05,57.2862,30.4111,13.6914,3.30555,34.7924,25.0089,10.4561,18.4054,6.72687,14,0.662126,1.7833,270.417,55.7745,28.9294,20.3015,3.54084,31.4214,26.1729,9.15716,18.8405,6.553,14,0.675826,1.54511,123.724,32.2254,10.5475,6.94275,1.88128,13.7901,11.7468,4.21605,8.26018,3.12735,5,0.629555,1.56787,409.54,98.2621,53.7495,34.9958,6.61146,37.82,30.0698,10.9777,20.4766,7.85143,17,0.567866,1.60666,517.961,133.892,99.2881,67.8835,7.54541,51.1648,38.9939,19.9385,30.7687,11.7137,22,0.416737,1.25187,301.888,70.9926,40.2514,18.1026,3.75619,42.769,28.1009,14.0608,24.6484,8.50615,19,0.445818,1.20908,473.698,90.0656,60.6707,33.4817,6.72639,53.3552,33.7562,18.1025,27.2291,9.05914,18,0.501419,1.57514,119.976,35.4699,17.1502,9.15773,1.978,15.9572,12.0822,5.86891,9.74314,3.24448,5,0.524493,1.568,522.282,166.253,105.115,78.0766,7.86009,55.2301,45.5586,18.3734,32.0336,11.6547,19,0.610618,1.90036,335.569,118.797,62.8886,24.319,5.04364,38.7494,31.5078,12.7196,20.8479,8.2997,15,0.375785,1.71399,511.325,141.963,49.3291,27.9057,5.25274,57.3096,43.8066,18.3763,29.4818,10.9171,19,0.498122,1.79268,356.216,105.456,80.369,30.7878,3.97162,39.7007,28.885,14.2339,21.8485,6.95518,12,0.427231,2.49024,333.414,99.5663,115.238,240.221,8.06248,45.4597,29.458,16.5558,64.9531,14.312,18,0.45708,1.59426,1382.14,85.9799,204.567,402.296,37.9209,50.2026,21.3531,15.2398,45.9764,15.7926,2,0.727795,5.72428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,7,fell,61.48,13,23.19,14.6549,1.85025,1.82149,245.777,55.0479,24.196,14.6253,3.66712,33.2327,25.2876,10.4397,20.2561,7.07898,15,0.612226,1.65441,337.703,67.4236,28.9557,16.2644,3.86754,33.5455,24.0948,10.0515,17.3296,6.33301,10,0.481602,1.99635,251.532,41.7321,27.2568,27.9759,3.18378,33.1509,17.5489,9.76777,19.5559,7.42205,19,0.419748,0.98892,276.083,114.942,35.1448,51.7077,4.46799,29.8893,27.1307,9.38485,20.0279,6.91448,11,0.614149,1.67334,400.234,107.469,48.7266,21.5289,5.96335,44.0626,30.5947,15.5036,24.1496,9.1412,17,0.471396,2.09656,598.462,218.368,129.073,122.574,8.88394,57.3495,48.305,19.9984,39.6562,13.9458,21,0.432231,1.23406,230.215,55.6575,31.0411,11.3207,3.78155,25.3548,20.6235,8.1001,13.902,5.16597,13,0.518612,1.41129,273.491,60.0605,31.3764,17.1992,3.78545,36.5568,27.1345,11.6339,19.2645,6.69784,19,0.59935,1.5633,502.979,206.024,64.785,51.7997,10.5712,56.8492,51.0537,18.6708,33.7192,13.4412,21,0.472349,1.59617,414.893,157.578,52.0825,30.2373,6.53683,42.5591,38.3798,13.7628,24.4286,9.36116,16,0.580861,1.63241,488.444,143.082,70.7765,36.1669,6.85044,57.4463,47.8897,18.4754,33.7583,12.7246,15,0.403363,1.76824,410.716,175.1,64.4409,31.7853,6.12143,47.0053,41.2736,15.6368,27.0069,10.3571,17,0.533226,1.69085,3222.48,289.289,526.218,361.51,46.3826,101.841,60.8537,35.4691,66.0809,29.9251,3,0.257467,1.18747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,8,fell,47.12,10,33.5547,3.73135,2.96419,3.08583,314.807,62.1732,48.4269,22.1719,5.88813,46.549,28.8547,15.9741,28.7672,11.0001,18,0.556477,1.31723,238.929,62.5465,21.1374,13.3125,4.1863,28.8012,20.5984,9.55489,15.542,5.96409,12,0.530983,2.11184,364.797,70.0433,44.7588,20.7494,4.30882,36.0263,24.4007,11.6738,21.0601,8.83076,11,0.378082,1.24672,269.709,92.3827,81.0156,47.288,5.88577,35.4224,27.0629,11.6614,22.4196,8.83409,13,0.514363,1.52006,267.922,61.1026,55.9968,81.7141,4.83406,32.3647,25.55,11.2276,22.3506,7.78403,12,0.521136,1.37503,350.551,94.0866,38.396,23.0327,4.82318,42.0108,30.2757,12.9245,24.5617,9.11254,18,0.505445,1.48417,301.588,86.0521,37.6522,18.5952,4.36059,36.5703,28.1719,12.2547,20.2314,7.41032,13,0.585822,1.78012,536.868,104.949,96.283,89.7273,6.5672,57.4264,42.5661,17.8839,35.2443,12.1972,24,0.480109,1.26967,521.983,200.876,155.855,326.268,18.2949,54.5286,41.409,22.0185,59.223,15.7591,15,0.756039,1.6293,3535.79,322.839,725.494,440.951,52.1611,145.92,84.0487,56.2029,92.0099,30.9969,10,0.391498,2.61446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handoff_with_arms,9,complete,90,18,7.66445,3.29324,0.0459718,0.0791656,162.64,32.5596,17.8184,11.0598,2.09042,22.1095,13.9845,7.16333,13.8887,4.63271,7,0.670247,2.53939,363.901,109.733,46.9617,20.4,3.95716,38.79,30.3649,11.7954,22.143,8.4252,15,0.445385,1.68427,278.89,48.3955,27.217,13.0851,3.31852,31.7536,22.1591,9.96858,17.549,6.46323,13,0.662263,1.78169,276.869,54.5953,28.0844,13.1208,3.22173,35.0739,23.8522,11.6917,18.5178,6.79231,13,0.713962,1.79946,456.12,106.768,47.7747,26.5832,6.51567,45.407,34.773,15.5998,26.1753,9.4574,18,0.502464,1.76864,530.931,117.305,51.6497,29.5114,7.30925,51.6872,38.4903,16.2281,28.9742,10.8544,18,0.530805,2.06838,331.625,69.0999,29.8388,13.8848,4.25906,34.5346,31.2667,9.72685,19.058,7.4287,16,0.554557,1.59633,341.077,106.181,39.4433,18.2755,5.58341,35.495,29.7368,13.3174,20.3674,7.67872,13,0.474783,1.81995,350.133,116.299,40.3116,20.3042,4.74601,38.6207,35.8438,11.622,21.8114,8.16379,19,0.463003,1.55477,346.103,70.1798,60.2267,33.304,5.01309,34.8364,25.0643,11.1138,21.8071,7.8269,11,0.351424,1.45398,289.255,94.4483,49.6548,16.7966,4.49165,35.1282,25.2647,11.0066,18.6003,7.47466,11,0.367945,1.64489,331.212,107.532,31.6005,16.2654,4.48299,35.9288,30.909,12.1541,20.7709,7.85207,13,0.595332,2.13071,411.402,131.13,41.7067,22.4715,5.66864,49.7257,38.2779,16.867,27.7623,9.59529,19,0.630311,1.76575,296,83.4761,36.4065,18.297,4.82165,41.4236,28.6997,14.958,23.7642,8.93203,15,0.535926,1.61954,412.133,111.889,66.9173,35.2993,4.88555,50.8597,38.1421,17.1564,29.0091,9.978,26,0.458561,0.984525,441.836,112.954,82.3098,35.5473,4.38364,51.0573,36.5858,17.4069,27.4525,9.21204,15,0.522583,2.21302,463.15,153.153,55.6428,28.7405,5.52685,44.826,38.2964,14.0271,23.1539,8.4663,13,0.612883,1.81448,527.697,105.821,81.0345,42.7769,6.83452,42.4341,36.4712,13.7896,24.3443,8.89267,12,0.420265,1.72065
