policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
mimic_lite,0,fell,12.02,3,84.3658,20.7809,3.34133,4.06543,388.016,83.7039,25.5184,21.5175,1.36297,32.3536,26.4385,8.09474,10.1772,1.92109,10,0.428227,1.60988,240.555,66.5935,19.6006,33.6873,1.54902,25.2962,18.6065,6.17552,9.52904,2.3311,18,0.23946,0.818019,1485.18,143.367,74.5477,98.1379,1.75675,60.1691,43.3259,15.17,19.5179,2.83151,7,0.353348,2.25526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,1,fell,30.92,7,252.712,11.583,1.58397,3.25263,315.664,70.9318,18.3304,10.3794,1.82375,18.4289,16.6145,4.34706,7.81499,2.17774,7,0.567092,1.16216,317.417,125.285,20.4464,13.9326,1.26634,27.7553,30.9377,7.05197,11.2971,2.62128,17,0.383361,1.06423,290.97,77.0917,26.8825,120.417,2.2385,34.6853,22.5491,8.64066,18.2454,3.37873,12,0.179822,0.985073,234.307,78.1174,10.3629,12.3039,1.51831,25.7088,25.3631,6.25412,8.4326,2.43898,15,0.279018,1.02384,299.381,85.6303,27.3739,56.1547,2.38815,22.6621,20.0095,6.44361,10.5349,2.94012,12,0.451524,1.17613,2374.94,319.571,145.465,39.635,66.552,172.021,106.223,35.3366,36.6289,16.3842,22,0.376943,1.3279,216.561,23.549,19.8401,5.24501,0.112724,18.3207,11.1118,4.92992,3.3529,0.577586,3,0.86126,2.53267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,2,fell,24.78,5,25.8244,7.46183,0.857945,3.18302,242.266,49.2084,13.4771,14.5745,1.11534,19.2359,14.0312,4.86015,6.65375,1.1226,9,0.380031,1.12441,153.414,46.7882,11.2348,14.7476,1.41983,7.64573,7.71733,2.54333,4.11456,0.939296,2,0.190295,1.63532,255.276,59.9451,18.4261,14.6055,2.23889,12.5596,13.3339,3.7583,6.69254,1.42183,6,0.720738,1.52402,246.621,63.8687,12.4149,10.1996,1.74388,17.8226,16.1846,4.91963,6.58309,2.03633,3,0.404837,1.53301,528.748,99.811,33.6235,17.5415,1.35121,44.2823,32.718,10.5148,8.19976,4.14338,16,0.256594,1.03971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,3,complete,90,18,20.0242,3.91137,0.170145,0.188085,333.797,82.8229,15.0384,26.0582,1.54736,28.4004,23.6989,6.72574,13.998,3.09739,7,0.51117,1.4389,327.736,87.863,18.5887,21.5341,1.20367,33.7528,25.7615,8.8064,12.5321,2.04877,16,0.210356,0.733919,150.329,43.2841,12.0508,15.762,1.07545,13.4464,12.0936,3.97268,7.73979,1.34108,3,0.252688,1.50533,308.499,60.528,10.8206,20.9669,0.897087,17.7944,16.3342,5.00928,8.19794,1.45557,5,0.746351,1.39895,482.516,140.924,34.4349,80.1084,4.92398,46.2953,33.5474,10.8849,21.0819,6.81552,12,0.441439,1.16387,323.04,96.4713,39.0714,81.7154,4.11449,32.5268,30.6482,8.53252,14.3168,4.96479,15,0.39307,1.22741,273.576,57.5066,20.4957,19.2411,1.12339,21.3761,16.576,4.95264,8.1589,2.96352,16,0.305829,0.628909,462.292,76.5928,36.6964,127.182,8.62155,38.043,22.4854,10.0092,19.3473,6.74649,12,0.40582,1.12618,1343.86,216.443,107.386,178.142,3.59635,111.985,68.6843,30.7575,41.2738,7.08038,26,0.454236,1.8283,801.183,148.204,47.4316,39.269,0.865881,58.0486,43.9927,12.7191,20.4413,2.54686,22,0.230046,0.970139,357.692,96.1899,28.5048,62.5742,2.47116,34.7061,24.0839,7.96898,19.5361,3.41068,9,0.387484,1.16726,285.35,91.3878,18.6442,27.2199,1.16376,23.8188,20.9502,5.88305,10.2415,1.62457,12,0.453961,0.741313,334.91,146.062,20.8637,31.9661,0.859264,27.2248,22.1559,6.75004,11.5817,1.84702,12,0.48735,1.0793,314.938,110.737,34.0226,37.0673,1.0266,33.601,28.7211,8.48544,14.9846,1.8679,7,0.469514,1.13402,844.505,210.495,41.5325,38.58,1.91882,69.1889,57.8743,19.2048,24.3317,3.14177,31,0.685725,1.20368,391.345,101.403,23.1372,22.7573,1.11256,39.8031,31.7292,10.6599,15.4108,2.4488,18,0.189354,1.01486,1093.76,281.9,55.0603,27.3489,2.01611,90.8881,72.7274,21.2778,27.7124,5.09967,25,0.433577,1.02262,816.445,284.923,93.774,57.7018,1.69695,79.7943,66.9211,19.7409,28.8281,5.48477,23,0.511938,1.1985
mimic_lite,4,fell,23.48,5,321.338,8.48176,2.22709,4.23703,236.637,73.3676,11.6878,10.5295,1.64648,19.8523,17.0828,4.70773,8.39209,1.53849,8,0.506566,1.11117,300.792,91.1793,20.4773,11.424,1.91809,29.8151,25.9988,6.66504,10.2322,2.50851,10,0.420395,1.24561,1032.89,191.168,38.1377,22.8265,1.60988,94.4636,63.5441,21.39,20.4859,9.85866,32,0.29594,1.01216,1599.71,258.916,55.9982,34.294,2.838,131.409,84.9618,31.905,35.3764,15.7013,37,0.232451,1.73471,2346.3,257.602,73.7583,40.7993,6.5802,162.131,85.1277,39.0712,40.689,26.2824,16,0.128469,2.10083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,5,fell,56.98,12,37.0664,13.2267,2.84,2.968,222.165,56.335,12.1433,12.6932,1.10413,19.7619,16.091,4.59943,6.68559,1.16431,10,0.298803,0.764749,292.75,74.8855,19.1646,35.7281,1.17701,20.683,18.0133,5.06366,10.538,2.13657,9,0.394379,1.36023,554.349,107.92,45.9171,95.1884,3.60688,58.9693,40.7667,14.9819,25.5386,4.42118,18,0.461505,1.49426,255.595,69.7782,22.0557,20.6003,1.06312,29.3373,20.3649,6.42366,10.2134,1.58219,7,0.260888,1.26971,84.954,22.3507,12.8185,44.5925,3.45659,14.5006,9.08296,4.48231,12.4474,4.38151,2,0.233573,1.55764,419.116,116.737,28.6123,53.7234,2.01017,41.196,30.9068,10.0707,21.3968,5.89235,14,0.447468,1.04628,509.104,172.494,29.4144,17.6022,3.01519,55.4434,41.2546,14.3419,14.2302,7.89245,15,0.228573,1.61018,253.865,61.2558,27.6863,27.9094,1.81296,37.9997,21.8479,9.28288,14.5067,5.56928,19,0.200524,0.756173,249.84,76.0048,15.0086,49.9248,4.51918,17.128,14.4916,5.03895,15.1943,6.17114,3,0.484627,1.83583,368.441,100.288,15.025,9.12003,1.86807,30.9907,25.5124,7.44302,5.42945,3.42915,10,0.394445,1.15471,173.059,49.5764,10.6598,20.9153,2.73404,18.5223,12.5849,4.61929,6.6718,3.14494,7,0.410506,1.19114,1335.07,453.498,105.58,119.525,28.8028,73.4082,58.5588,18.0289,26.8004,10.892,3,0.204544,2.23627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,6,fell,25.86,6,13.9407,19.2752,2.04009,2.84816,192.968,60.2501,16.235,14.5014,1.60773,16.1197,11.5121,4.10597,7.26802,1.74849,6,0.411912,1.04962,432.791,122.492,30.3229,17.5099,1.00726,36.6687,29.637,8.75709,14.0714,1.89893,11,0.328411,1.3171,348.058,83.0398,32.3691,32.3712,1.24083,26.1099,19.7606,7.05551,13.8325,1.94939,7,0.755641,1.93101,173.698,27.3493,6.4001,16.2304,0.969582,10.3472,9.227,3.07594,5.63962,1.07208,2,0.412732,1.25815,380.709,72.0175,25.2066,34.4836,1.82914,23.2645,19.5703,5.63506,11.534,2.18632,9,0.431398,1.93446,277.215,13.5729,46.7711,77.0711,1.50781,10.5825,7.00134,3.5307,10.1889,1.73473,1,0.814081,1.41107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,7,fell,26.46,6,35.7348,21.754,3.2942,4.13691,322.86,81.4343,13.6594,14.5668,2.41734,26.9627,26.1283,6.58528,11.6007,3.2767,12,0.288681,1.22652,283.155,89.6834,22.2386,11.6369,1.23759,19.1247,18.6029,5.3596,8.97931,1.84112,8,0.699007,1.24111,352.623,155.677,18.0186,10.4057,1.59903,30.5512,31.6623,7.69926,10.8232,3.07848,9,0.495304,1.38454,204.389,71.0407,10.6687,22.1158,1.94325,13.4964,13.0114,3.49358,9.61323,2.89692,4,0.365285,0.970138,319.637,136.84,14.7564,7.49658,1.03063,25.2138,24.3388,6.10052,8.2558,2.40558,37,0.242666,0.545833,857.4,95.0027,46.7332,112.846,7.01233,46.7555,29.8853,7.50719,19.1278,9.61628,3,0.109305,1.8996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,8,fell,28.2,6,29.426,11.8209,1.82778,3.51801,333.981,93.2568,21.668,22.9136,2.33243,39.5368,29.3934,9.42824,13.5333,3.55194,8,0.428089,1.79546,243.783,101.958,25.3953,10.089,1.79439,18.553,16.3224,4.28411,6.25538,1.64181,5,0.64333,1.29377,707.512,143.429,48.295,15.9715,2.51738,55.54,39.4211,11.6168,17.9704,6.08906,12,0.424458,1.60516,608.917,147.737,40.1433,55.6293,5.0423,49.3174,39.2258,11.7164,20.4932,7.30715,12,0.570581,1.53625,448.219,150.607,28.1995,61.2901,9.89298,41.5476,33.8349,10.5789,16.3422,8.61592,16,0.402888,1.00909,452.416,72.6691,20.3213,11.8827,1.11728,25.0109,18.1233,5.48298,6.76331,2.6603,9,0.30085,0.797276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,9,complete,90,18,160.384,5.08193,0.714292,0.678021,184.893,59.4001,11.1391,8.68798,1.33135,17.7061,15.1133,3.9042,5.66749,1.39467,6,0.27879,1.32364,182.627,33.841,14.5842,13.6245,4.65611,17.3332,10.8744,4.15602,8.12966,2.96285,3,0.499359,1.54163,776.655,195.664,53.5013,26.3364,9.43587,73.8381,55.8284,16.0306,19.7569,9.26875,13,0.333455,1.69088,507.247,150.719,31.8196,15.9643,0.947742,52.3882,46.1549,12.8311,18.7666,5.34387,14,0.444642,1.65212,468.144,129.763,26.7271,34.2025,4.37185,34.683,28.8053,7.97215,13.0035,7.43915,14,0.40178,1.1416,124.704,34.9721,10.0352,9.62959,0.871197,12.5886,11.3241,3.26598,5.0362,2.07841,3,0.495117,0.968136,348.178,84.4186,18.2105,20.548,2.92628,27.1309,21.3694,6.20087,9.69148,4.74564,9,0.392467,1.43575,477.572,115.83,34.1355,11.9933,1.41028,46.0715,36.6337,11.5451,12.6701,6.24824,17,0.247717,1.41248,334.418,96.3181,24.2447,16.2448,1.60398,28.6411,22.1104,7.94052,10.6611,3.5426,12,0.540928,1.38052,267.259,66.0566,40.1818,31.7981,1.47475,20.6854,15.9592,5.84328,9.13009,2.19195,7,0.461627,1.35633,338.527,90.9939,27.9677,9.74438,1.56106,34.0146,25.7155,8.02443,9.30983,3.69508,10,0.268367,1.2903,310.9,73.5707,18.3759,11.3177,1.1579,23.7635,23.5029,6.01481,6.93159,2.34095,10,0.50426,1.50791,508.962,172.431,34.6146,20.2124,1.35737,42.0209,37.8583,9.86862,13.8753,2.54239,12,0.441015,1.65085,475.777,215.626,32.7696,11.5741,1.22411,42.807,39.1103,9.95415,13.9204,3.63652,13,0.52015,1.61205,1249.75,237.887,54.265,26.6184,2.13288,109.602,74.6845,23.9779,27.0759,8.22098,35,0.356441,1.10196,2065.21,287.293,98.5073,46.0621,1.77353,158.195,105.767,39.9899,35.7614,9.68038,26,0.354767,2.21298,2320.54,256.428,103.86,45.9643,1.50744,159.553,91.296,44.6715,42.3608,8.0118,33,0.404041,2.39388,490.095,126.015,27.3078,16.7332,1.41775,20.3301,25.8081,6.48433,10.0484,1.99266,9,0.654568,1.59148
