policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
mimic_lite,0,fell,86.28,18,19.795,7.46145,1.38055,2.57666,559.345,116.704,33.5983,24.2045,2.09187,44.2368,35.0459,11.5879,12.9513,2.04219,11,0.55558,2.12197,6.25583,231.566,73.8366,19.0917,27.6968,2.42742,20.5499,14.5151,6.05818,7.94086,1.66648,3,0.469158,2.4207,13.6322,686.523,127.38,87.4842,80.0625,2.92487,54.8715,31.5407,16.7625,18.8696,3.06002,14,0.396202,2.38796,5.40031,750.748,115.022,54.156,30.1305,2.42704,63.7975,45.0974,16.8543,19.1794,3.22458,19,0.492907,1.90605,6.45954,814.227,243.727,58.3292,31.6846,2.35621,65.6133,65.9017,17.984,18.107,4.07166,23,0.518372,2.12012,6.97891,632.743,239.948,53.2357,28.8168,1.30268,42.8643,38.1091,11.4646,11.52,2.61318,13,0.781839,1.86048,6.27981,893.036,128.538,133.987,138.241,4.57345,79.6514,44.5182,25.4109,40.0204,8.08253,17,0.427382,2.34608,5.86525,992.116,310.449,106.135,51.5921,1.49029,84.722,71.2768,22.6179,25.2349,3.2587,22,0.469351,2.05362,6.85674,614.215,210.812,55.6009,40.0414,1.77841,52.0732,41.7824,14.5239,17.523,2.60511,17,0.557924,2.14711,6.4517,449.115,114.287,47.5638,38.5225,1.52609,42.4859,27.0546,10.8173,16.6017,2.56964,7,0.525875,1.87153,5.69012,547.105,140.724,65.9962,65.7136,2.48565,55.052,34.8305,15.1071,22.3266,3.51249,11,0.477811,2.27424,7.58195,975.397,227.468,81.632,48.9169,2.29438,83.1036,57.2845,22.486,26.9161,3.59305,14,0.3789,1.91674,10.1371,231.153,40.1306,24.523,47.8241,1.87837,31.4049,17.2417,8.20953,12.8528,2.27586,7,0.439802,1.65484,5.1027,341.971,59.8643,31.1704,38.2245,1.75077,24.3934,14.3153,7.59588,10.3482,1.74303,5,0.329004,1.92655,4.48416,600.89,64.6697,110.365,155.059,4.44453,52.8426,26.0279,17.3322,27.5867,5.21523,12,0.19595,1.95163,5.18055,751.084,195.134,74.3719,43.0625,1.51857,76.3296,50.6242,19.5003,26.6934,3.38758,15,0.314655,1.50396,5.7919,440.559,111.431,49.5116,39.5773,1.99673,39.2106,25.6359,8.47683,12.9883,2.15946,9,0.482267,2.2663,5.57719,905.421,81.9214,109.864,196.859,13.1577,48.1909,21.8906,16.1559,31.7413,9.69162,2,0.0779915,1.58951,8.07196
mimic_lite,1,fell,30.88,7,246.201,8.80203,1.80456,3.54155,319.049,63.0687,16.599,9.59069,2.64644,22.7616,13.882,6.2089,8.15874,1.54124,4,0.681714,1.96171,8.03401,550.759,120.264,30.3088,16.387,1.7412,39.3781,28.8889,10.357,11.5104,1.78301,12,0.442973,1.71747,4.12324,733.215,229.565,53.0478,81.2564,2.21258,56.7813,44.9624,14.4965,17.6353,3.19304,13,0.537443,1.82492,6.36129,776.446,235.75,57.2023,23.5047,2.34075,67.6019,57.029,18.4342,16.5988,2.98553,16,0.452707,2.04524,9.57394,167.713,39.7724,28.9531,55.6461,3.11182,10.324,6.36278,3.96671,6.98141,2.12178,1,0.10803,2.10675,3.53555,2720.8,603.374,201.219,111.392,10.4555,146.898,128.486,34.338,36.128,9.03694,21,0.394589,2.2096,8.31673,496.635,136.44,44.4852,15.7804,6.05335,28.5585,28.5417,8.09458,7.72627,5.04251,1,0,5.68555,107.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,2,fell,25.68,6,58.3018,14.7059,1.93032,2.73475,383.067,97.4194,22.4866,19.2204,1.3491,30.4698,21.9014,7.91297,9.97176,1.37169,9,0.475321,1.94971,4.28076,391.139,96.7291,26.5152,18.8321,2.06465,26.2522,18.5573,6.39558,9.00735,1.40051,7,0.460938,1.78836,3.85911,302.354,59.4261,19.5434,16.594,3.26431,11.9832,8.77452,3.56689,6.47219,1.44646,4,0.432893,2.14439,3.00826,460.482,94.3255,15.1015,10.9041,2.0147,33.0873,22.1225,8.48777,10.5407,1.87057,6,0.37105,2.34013,7.01259,587.241,236.368,33.7329,52.1235,1.31421,55.6625,41.8968,14.2808,17.1596,2.70008,16,0.675225,1.54416,5.44859,324.783,93.5121,31.3135,12.4169,3.35948,19.4052,20.8297,4.93853,6.1517,2.24637,4,0.0108008,1.36896,3.27765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,3,complete,90,18,12.2754,3.91123,0.0671457,0.0777294,592.909,139.578,32.2435,37.6865,1.91372,41.6257,31.1908,10.5213,17.1748,2.44004,13,0.503793,1.98087,6.18263,548.235,130.103,41.4091,23.0603,1.65611,52.6533,38.2027,12.6406,17.6996,2.59449,9,0.409349,1.86276,6.87572,843.735,125.971,68.2642,28.9822,1.52863,79.1064,48.6339,21.8034,26.3929,3.4223,12,0.317783,2.29674,9.19692,433.977,85.0124,19.9026,21.0799,1.58664,28.2682,20.0569,7.27047,10.2673,1.62318,7,0.228645,1.74928,5.11686,529.539,106.658,43.7593,83.1556,4.94103,51.9082,28.108,14.8713,22.9089,4.6516,12,0.489714,1.79519,6.27205,204.624,29.563,15.9515,68.7051,4.73622,18.7986,9.93623,5.70159,9.09308,3.08429,3,0.0791194,1.41511,6.72634,248.92,53.1199,19.3287,21.1254,1.55624,22.1608,15.8129,6.48687,9.28773,1.63049,5,0.483429,2.20963,4.47825,344.079,69.5967,43.7044,101.953,5.29967,29.6724,16.0573,10.2952,16.9385,3.87255,8,0.21874,1.19846,6.09972,691.333,124.694,59.4517,134.184,3.71097,53.82,33.0248,15.1435,24.4962,5.23098,6,0.518047,4.24832,14.8777,663.648,114.89,52.8429,41.3351,1.51759,54.0038,33.7641,13.3592,19.3818,2.56927,14,0.370747,1.55021,5.30368,727.967,143.488,67.9043,72.242,3.2431,58.6485,44.6557,16.4008,27.4389,4.51967,9,0.659423,1.52155,8.19147,690.012,172.476,45.3171,38.9953,1.67981,59.0169,40.6592,14.928,21.0831,2.62039,16,0.487646,2.14912,7.14432,360.417,109.111,29.2076,24.207,1.27444,29.6077,23.1435,8.34734,10.9192,1.61249,10,0.581196,1.52979,4.53625,683.72,221.75,68.6611,43.6307,1.44242,49.6979,34.8456,13.3536,19.3635,2.24472,9,0.676416,1.76445,11.1823,884.694,153.032,62.9581,40.5793,2.73629,63.8406,40.7057,19.2919,23.5175,2.74144,13,0.848383,1.91733,7.5981,1148.96,250.08,78.2098,36.0369,1.23505,78.0349,51.4539,20.2636,27.6107,3.52423,16,0.514047,1.44803,6.90973,550.396,141.231,42.9316,22.4138,2.95861,45.1823,31.9302,12.4335,16.8198,2.64791,9,0.617651,2.03371,5.56944,648.911,167.611,72.0311,62.4279,1.98131,59.7093,41.7299,16.1054,22.9136,4.09596,11,0.401563,1.87662,10.4383
mimic_lite,4,fell,40.96,9,311.253,6.5082,2.75351,3.78326,307.962,78.9857,11.8156,10.9793,2.13919,15.3319,13.1132,4.15153,7.41261,1.38192,6,0.58381,1.54956,3.09122,324.499,96.9164,23.1122,13.9892,3.05505,32.6448,25.6075,7.14114,9.79705,1.94727,8,0.734604,1.615,5.15842,733.555,350.908,59.6326,33.4156,2.09174,60.7244,58.2678,15.228,16.6615,3.05939,26,0.497159,1.35401,4.21247,868.964,343.315,82.0279,33.6259,2.38694,84.3987,70.8547,22.2565,20.5636,3.40474,18,0.419531,1.4878,8.14055,1071.31,213.556,72.6603,49.0236,2.36031,93.9794,66.7529,23.6595,22.5324,3.85231,19,0.363173,2.79644,7.55076,693.264,231.342,55.8808,59.724,2.33,56.5027,50.2767,15.5931,17.4142,2.75084,17,0.662952,2.06962,7.98859,1257.95,434.013,90.0375,40.3834,2.06438,105.947,89.011,25.101,21.6358,3.6083,20,0.584803,1.86719,7.91248,2077.71,706.523,172.411,48.5904,2.04563,141.266,140.41,31.3504,29.7852,3.39538,20,0.608153,1.89558,10.5024,658.074,234.389,71.2036,14.8886,2.00218,38.0226,32.7092,9.78767,10.3045,2.72884,4,0.235596,1.97023,43.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,5,complete,90,18,25.2476,4.2833,0.0440758,0.0628337,352.822,84.7878,18.7092,13.5361,1.58776,24.5618,17.9635,6.01339,8.53371,1.39437,8,0.499148,1.67513,4.83846,468.347,93.3661,33.4451,37.6854,1.59401,26.0554,21.9652,7.3981,13.0573,2.38271,8,0.554127,1.91337,3.1581,829.015,181.504,85.3894,85.2396,2.59089,73.5705,44.1481,19.9694,25.6936,3.90332,17,0.406294,1.88463,5.92104,210.787,24.2859,14.3844,20.5449,1.3166,12.9011,7.52729,3.42885,6.15374,1.05806,2,0.744365,2.24593,6.49102,235.886,48.4442,36.1211,66.4521,1.93689,22.9087,13.3999,6.66993,10.636,2.00694,4,0.364285,2.01453,6.79779,546.034,188.725,63.0276,74.1243,1.69152,48.1428,37.253,13.4589,17.389,2.64063,11,0.525904,2.19119,6.66043,621.889,239.182,52.0065,23.4858,2.58947,53.7964,39.6544,13.5787,12.0974,3.15039,13,0.395438,1.86158,9.95533,1376.14,621.967,83.0614,50.8601,2.25306,121.414,104.712,28.5783,23.4033,5.85058,25,0.599175,1.54422,10.3188,607.757,219.067,45.9176,71.4449,4.07785,48.4079,40.2499,13.9776,17.3556,4.02998,18,0.551908,1.54662,5.48694,1159.7,146.473,43.6915,20.9477,1.96967,79.7414,50.2322,18.3805,17.8613,3.8012,18,0.465654,1.77924,6.82057,856.601,176.765,58.3615,28.3978,2.09374,71.8749,45.9264,18.6553,15.4299,2.91887,14,0.405998,2.09497,9.01983,955.622,207.125,76.8809,71.423,3.14175,69.4742,50.9096,18.0717,17.3016,4.16114,16,0.490074,2.22492,6.67992,480.001,104.573,41.1662,20.8002,1.95687,50.5739,31.2965,11.9891,11.4874,1.81321,10,0.363461,2.08126,5.5839,438.858,124.301,57.4556,33.2874,1.70854,49.0409,34.2317,14.2323,13.1646,1.94613,12,0.442244,1.98384,5.71722,278.976,91.1968,26.0246,28.2871,1.35468,23.6751,17.4348,6.34664,7.95864,1.16936,4,0.396538,2.85344,7.8476,616.414,157.271,51.7439,38.3692,1.71265,57.346,39.1431,15.4771,19.7516,2.78535,14,0.489794,1.97457,6.65363,823.365,244.632,67.8477,58.0399,2.24615,71.5258,52.6975,17.9107,25.358,4.06468,12,0.43989,1.94804,10.1819,780.504,169.986,185.399,253.815,14.1812,67.6818,46.0812,21.1634,35.1188,10.5982,7,0.854269,3.05458,14.5792
mimic_lite,6,complete,90,18,19.8059,5.8045,0.315994,0.256912,314.048,74.5779,24.0214,17.478,2.12865,28.7551,18.6737,7.4452,10.8724,1.53991,6,0.454003,1.91872,5.91922,448.705,118.407,33.9813,17.5855,1.13897,39.7397,28.2567,9.55492,14.9595,1.95864,10,0.494354,2.06386,7.47071,475.038,104.008,37.5638,35.7395,1.76945,41.4979,26.9953,11.088,18.4732,2.40822,9,0.404992,2.64836,7.00303,231.267,38.4916,11.5373,16.6582,1.24685,14.0308,9.54699,3.79278,7.077,1.2864,3,0.463382,1.8034,3.70758,416.465,75.2878,29.4102,31.6819,2.51268,29.3994,19.9107,7.7034,13.4396,2.40737,5,0.568267,3.09523,5.27122,1495.09,301.598,138.225,127.475,2.74066,113.296,76.7805,31.2983,39.3269,5.32708,23,0.745073,2.4389,11.6651,513.47,112.649,54.3482,36.2569,1.82418,51.0557,29.8511,13.0271,15.466,2.0038,14,0.431634,1.89091,5.52192,385.166,73.9207,21.507,32.9694,1.39635,26.7613,18.9783,6.86709,9.59827,1.91469,3,0.35707,2.05766,5.23395,486.64,78.8378,26.9776,29.2597,1.55406,36.2498,19.182,9.79432,14.0152,2.46716,5,0.736709,4.06388,12.2692,1344.05,351.777,142.234,116.471,4.45468,103.219,76.9053,29.5186,39.0339,6.34592,20,0.475729,1.46435,7.72926,1125.12,314.277,97.4084,64.2821,2.67287,91.9868,65.2158,23.6965,28.1344,4.74601,20,0.475957,1.60152,7.02249,772.321,167.718,68.4839,40.1756,2.20376,78.4324,47.2777,21.9953,24.1069,4.24295,15,0.439509,1.60209,7.61443,777.229,122.024,68.8559,35.6134,1.87061,66.3529,37.1513,19.8812,19.9579,3.28827,8,0.314466,3.84956,12.9986,638.073,166.927,62.9382,109.217,4.03622,50.7759,32.5474,14.2564,21.5774,4.70369,10,0.561126,1.98993,7.70387,1499.5,310.237,182.892,167.316,15.7788,107.142,69.4707,33.7959,43.5794,11.6742,14,0.572835,1.97627,18.425,584.055,128.256,57.0865,25.7063,1.53924,48.7927,30.2925,13.8403,16.7586,2.86061,10,0.519601,2.56405,6.92767,622.353,185.028,46.8763,31.1693,2.63627,53.9711,43.7901,13.995,19.2702,2.75629,17,0.392935,2.26571,5.40158,1078.13,219.651,113.382,44.2125,2.08405,102.014,66.5182,28.7145,32.2507,3.80902,20,0.45518,2.00639,9.87772
mimic_lite,7,fell,41.64,9,81.8746,12.0479,2.66343,2.73496,423.228,98.8081,23.7829,12.0067,2.32478,30.2212,20.8359,7.00626,10.3371,1.57802,5,0.789399,2.14902,9.18369,348.364,83.3314,30.7187,13.6271,1.39506,23.6684,19.3486,6.43025,8.66958,1.59766,8,0.497154,2.09808,6.25054,451.812,134.146,19.5232,30.8674,2.26238,39.1202,27.9309,10.3465,15.0368,3.01748,7,0.409818,2.49938,8.818,262.776,76.2672,19.2372,37.2236,2.28177,17.6685,14.4229,5.21887,10.3152,2.73546,4,0.710731,2.01063,4.57075,431.852,189.215,27.5187,11.2611,1.31741,30.9364,26.3985,8.26414,9.03149,1.89758,11,0.610902,1.81876,11.0026,897.607,278.644,61.0158,100.353,4.76548,72.5265,52.1183,17.3698,21.4027,5.29559,15,0.655067,1.85569,7.8715,584.602,211.724,43.876,18.6105,1.83217,46.7969,33.9695,11.5329,11.9582,2.52913,12,0.652127,1.90921,5.59681,1335.9,166.31,70.9249,43.2119,1.72492,110.791,66.59,30.1876,25.3943,3.78251,23,0.324993,2.37155,8.14696,1223.88,238.228,98.172,72.7477,18.1474,60.9972,41.0977,15.5455,20.3051,8.405,4,0.234154,1.01388,4.28946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,8,fell,30.86,7,85.5761,24.2792,2.82719,2.64303,263.677,58.9047,19.7085,17.5499,1.49806,23.3213,12.1153,5.17626,8.63433,1.50294,2,0.687153,2.28099,5.00612,404.385,126.165,32.3072,11.2009,2.50699,33.5134,23.8018,8.77194,11.1958,2.03989,7,0.615917,2.40656,8.19459,559.66,113.859,39.0108,16.7219,2.76182,46.5706,28.5674,12.4041,15.6332,3.33398,8,0.654433,2.11523,4.27255,649.192,103.447,37.9517,56.2308,2.57046,37.2432,23.3979,9.66831,11.5364,2.96468,6,0.477913,2.02291,7.48791,305.145,44.3318,24.2263,53.4502,3.49649,24.6651,12.8923,6.59596,10.1962,3.21746,4,0.437759,2.23313,7.25899,895.23,362.988,55.6755,26.8702,1.60368,62.3242,56.2806,15.5446,15.4054,2.62448,14,0.680398,1.67194,5.16826,778.751,149.139,77.9206,34.5421,7.09131,34.5482,28.0624,10.5697,13.0608,2.41679,3,0.966138,2.50295,17.2547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,9,complete,90,18,20.886,5.22498,0.234116,0.194502,263.199,54.9224,17.5773,9.9793,2.02748,24.3233,16.6978,6.32387,7.86508,1.61785,3,0.318009,1.82695,5.48868,189.925,38.4663,15.4325,11.9347,2.69482,12.443,6.79719,3.48601,6.14017,1.40378,2,0.624113,2.99303,12.9919,688.109,97.7425,34.7579,19.302,2.0584,56.2495,36.3244,12.8273,12.9079,2.92186,9,0.497928,3.1303,6.84885,1145.59,253.659,73.3944,21.7083,0.995204,73.067,55.62,16.296,16.9294,3.36325,12,0.466204,2.17262,13.2048,329.066,73.8325,27.7706,22.6668,0.992193,22.2502,18.2218,5.20616,6.87573,1.57335,5,0.302539,3.08884,7.44098,139.923,35.5493,14.1436,9.71461,1.21197,7.76675,5.9495,2.47927,3.17219,0.872765,2,0.257637,1.50091,3.00839,680.698,107.939,34.7029,20.7665,1.70014,42.3886,30.4619,10.8639,11.7611,2.22039,10,0.384004,1.74237,6.44445,674.482,124.218,53.9972,14.996,1.45314,44.3099,26.6538,9.99002,11.0992,2.83812,7,0.628926,2.29067,8.15179,325.726,74.4421,21.1912,13.3617,2.12084,16.9768,16.0633,5.08903,6.0303,1.38946,7,0.325243,1.9382,5.05299,529.34,183.757,74.947,34.9899,1.93075,35.2594,35.8614,10.2952,12.3304,2.14292,12,0.482787,1.66932,5.39536,412.169,106.673,37.6133,14.6141,2.29943,31.2565,24.2079,9.34708,8.56932,2.13402,10,0.546218,1.88996,6.5642,537.86,203.429,50.1337,25.7521,2.26566,46.3137,37.0419,12.1347,12.6632,2.2973,16,0.425744,1.66222,4.66781,472.364,136.597,37.1799,20.5096,1.76892,35.7017,24.8667,8.86441,13.0743,2.24975,6,0.427025,3.39211,10.1751,665.199,257.129,43.8945,13.4609,1.6501,53.0118,47.1722,13.9693,13.4624,1.97535,15,0.629674,2.12282,6.82956,854.783,304.478,56.1141,25.7639,2.0395,66.469,63.7631,16.6372,16.8688,2.98426,21,0.537392,2.16956,6.43407,594.835,165.416,47.7703,28.1142,2.1793,46.6322,38.9135,12.7599,13.7716,2.85222,16,0.490138,2.09733,6.01693,742.686,212.358,49.759,24.1637,1.65159,59.8634,43.8298,14.22,17.0434,2.63235,12,0.493471,1.80443,7.01358,644.406,123.592,45.327,22.4063,2.328,61.4778,39.5113,16.1177,21.3548,3.63697,10,0.349275,3.08173,8.63566
