policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
openwbt,0,fell,11.92,3,47.8028,78.6642,2.63546,4.16861,305.23,158.278,36.077,20.62,1.3778,97.7338,40.9015,41.4912,22.8446,2.36784,19,0.399937,1.00018,1.72237,219.222,134.616,15.8774,27.1785,1.42587,52.682,33.2828,19.7983,12.9561,2.51806,16,0.475301,1.05089,1.38705,778.016,220.558,42.4918,76.8582,1.61054,78.0852,35.7695,18.081,18.6575,2.98473,18,0.327399,1.17289,4.03504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,1,fell,36.38,8,139.931,43.3732,1.6608,1.68167,258.843,131.35,23.5284,10.1269,1.94236,72.3187,38.6381,28.8666,19.4303,2.50019,15,0.382805,1.11879,1.74323,210.924,110.898,19.0656,12.1911,1.22835,53.8864,29.2578,20.813,17.0863,3.24336,14,0.353472,0.962718,1.76631,577.357,496.672,76.4651,102.009,2.46892,151.95,82.7187,56.6645,40.3516,11.114,38,0.266802,0.772296,2.62272,206.057,120.606,9.22324,13.9453,1.71995,36.8338,32.9578,11.1879,9.36113,2.97086,15,0.42867,1.14064,1.81034,318.012,191.709,36.8946,50.5896,2.33797,77.7286,38.9921,32.4468,22.0722,4.13929,17,0.430486,1.08354,2.42686,223.936,149.232,18.6695,25.9306,3.37447,39.1012,32.9167,13.1356,15.937,6.01152,13,0.508767,1.14177,2.08799,437.606,314.735,81.538,19.5327,1.41868,151.399,59.518,66.1522,39.4095,5.31739,31,0.271279,0.669006,1.25047,374.582,315.786,34.9707,30.5021,9.44978,51.2337,33.4848,15.9794,14.4135,6.91041,13,0.258668,0.797475,2.79834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,2,fell,50.86,11,27.1275,50.3664,2.87553,4.13856,198.539,94.2132,41.8018,14.0625,1.15097,101.671,30.2861,47.3168,28.1889,2.0988,8,0.43864,1.31876,2.61125,114.68,62.8418,7.22064,15.1605,1.45096,28.7625,17.3957,10.6477,7.93121,1.15807,10,0.374581,0.98535,1.67952,235.074,103.278,22.9705,16.7165,2.27622,68.2523,32.3329,27.9796,19.3995,2.31171,15,0.473962,1.04439,1.6481,234.465,136.334,18.7964,11.4114,1.74795,61.7871,37.0945,23.8707,17.0934,3.32802,19,0.38551,0.928238,1.13686,206.451,101.332,5.99402,13.2892,1.11422,28.9528,30.4373,6.75263,4.46121,2.79898,15,0.450398,1.09188,1.37944,202.016,103.21,5.00055,23.0931,2.08526,31.4345,29.5486,7.37448,3.34674,3.16425,16,0.424968,1.03311,1.65143,201.713,115.973,5.79752,12.9959,1.69885,27.8364,30.4219,5.79644,3.59427,3.22115,15,0.459778,1.17307,1.98247,820.283,246.883,34.1192,39.9757,1.54364,89.2026,57.2682,25.1806,20.5602,13.4675,30,0.453506,1.06338,3.83707,288.895,170.698,13.8979,24.5045,0.801459,36.772,35.1567,9.9525,9.71438,4.17372,18,0.439312,0.930385,1.94046,275.995,191.653,17.5011,16.2822,0.84234,47.2852,37.7857,16.402,9.6597,5.80431,17,0.558826,1.00505,2.56936,282.312,194.689,46.4826,6.83788,0.577565,29.5422,23.8458,5.97711,7.10109,2.23688,5,0.372986,0.982891,4.13622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,3,fell,21.26,5,102.829,36.9904,2.91163,3.55572,283.776,142.08,24.5266,24.9268,1.69834,84.0361,40.7739,34.4548,25.6043,3.789,15,0.405424,1.16328,1.98815,214.416,160.9,12.9419,15.9868,1.1104,44.1214,38.0081,14.8526,12.6617,1.68108,16,0.423405,1.04476,1.70373,198.312,122.614,9.89809,16.8659,1.10778,41.4506,30.1474,13.8397,12.5876,1.68081,15,0.464632,1.04869,1.35438,403.78,247.176,70.178,19.6556,0.887894,128.158,53.9327,54.1627,35.4225,3.30887,19,0.330136,0.791387,1.85025,547.21,316.96,52.4122,77.2817,5.18888,53.9722,27.1565,17.4031,22.5638,5.34602,7,0.193955,1.26879,6.33048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,4,fell,46.2,10,12.0643,28.3504,2.39465,2.63143,190.307,100.596,17.5879,10.6065,1.63693,55.5619,29.4379,21.812,15.388,1.8889,14,0.344014,0.902811,1.51384,217.572,120.225,10.0361,10.6339,1.95692,36.9072,33.7381,9.21747,11.2723,2.92971,17,0.437555,1.12143,1.62439,143.436,81.7514,7.08555,14.5014,1.34514,19.5217,19.5587,4.81841,5.54884,3.36563,10,0.408477,1.09988,2.0114,204.22,94.9667,7.53534,14.9087,1.47371,33.4998,28.3784,8.21091,7.04573,3.19073,14,0.405267,1.15088,1.89562,202.254,115.809,7.43982,18.7757,1.38149,32.2435,32.4394,6.6707,7.0374,2.94474,18,0.431125,1.01264,1.67163,322.423,212.582,18.4294,13.5876,1.51203,55.1228,42.0032,17.8565,15.4418,9.70657,17,0.454305,1.17543,2.3952,205.882,120.111,11.5917,19.9916,1.62026,30.7743,26.9211,8.09737,8.93268,5.56701,13,0.437842,1.04678,1.95853,230.049,144.915,24.0048,18.0995,1.48269,63.5946,36.9565,24.9494,17.2418,7.40635,23,0.337919,0.845178,1.27921,271.957,180.894,17.4157,11.7369,1.00183,53.5186,39.373,17.5341,9.53063,5.56838,19,0.383291,1.0329,2.02592,610.871,486.799,59.3794,22.9557,1.14783,73.251,42.545,20.4,14.0346,6.56479,7,0.369276,1.33875,8.73352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,5,fell,19.34,4,87.7124,9.31297,1.95574,3.32652,198.622,112.308,19.8558,13.1284,1.13707,60.0836,31.6795,24.0289,15.5215,1.46287,13,0.389578,1.06332,1.8212,282.084,118.522,45.2767,34.8253,1.15653,98.7459,34.851,44.9769,29.4149,2.95171,15,0.459025,0.950631,1.32763,340.049,127.253,82.0158,87.7838,3.57264,143.1,37.8234,69.8746,45.7816,5.09805,18,0.323151,0.714998,1.40489,815.381,580.954,166.334,46.7373,139.513,253.906,92.8251,100.109,70.7493,13.9365,29,0.399348,0.643464,2.4829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,6,fell,26.1,6,14.8267,51.4212,2.22858,1.30179,189.622,105.611,22.1098,14.0691,1.52944,59.2528,30.6451,25.0029,16.5777,1.61762,16,0.309982,0.743134,1.37942,214.237,106.639,11.1674,15.0273,1.01106,51.0897,32.1506,18.5268,15.56,1.82175,17,0.438364,0.973097,1.45435,206.199,103.373,9.98998,25.5068,1.15522,35.4522,29.363,10.3645,12.7992,1.72531,15,0.466033,1.10116,1.41843,75.2379,36.9922,2.8121,15.6976,0.967437,14.1553,9.80922,4.26029,5.09921,0.963715,5,0.408979,0.892023,1.43858,268.667,132.556,12.2643,31.6005,1.79825,43.6135,33.5516,13.6752,14.9362,2.30743,16,0.469654,1.18457,1.95383,221.205,69.9601,42.5424,86.6646,2.29653,18.302,10.3351,5.72774,14.4664,3.67829,2,0.296175,0.57139,3.40029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,7,fell,54.22,11,38.6857,38.6089,1.93732,3.84172,240.576,131.264,19.419,15.8964,2.68969,64.1932,37.824,24.2277,17.7384,2.76628,15,0.405865,1.15725,1.85124,212.117,117.441,14.8106,10.2859,1.20839,53.1467,32.2725,19.4962,14.6022,2.34571,15,0.444889,1.07551,1.51946,198.512,107.311,6.06849,9.33272,1.5219,35.6793,30.6763,10.9176,10.8793,2.9027,15,0.427867,1.08541,1.49522,180.804,87.495,8.60599,25.3762,1.95677,21.8158,19.4852,5.68673,11.8189,3.64566,8,0.433666,1.11679,1.94783,181.129,93.7509,5.75976,6.52679,0.971122,31.1957,29.9619,7.37755,6.98262,2.74287,16,0.400019,1.03333,1.70417,255.647,101.726,16.6769,133.504,10.459,37.8589,32.1065,9.89804,18.4329,9.90387,16,0.494117,1.16675,2.17578,206.282,96.7477,5.62324,24.5458,4.89377,32.6727,31.0217,7.52516,8.87202,6.14646,15,0.415412,1.22319,2.14994,242.89,98.5537,7.54937,14.1926,2.54833,31.148,30.8794,6.60627,6.12268,6.50312,18,0.376257,1.01859,1.88925,387.724,263.153,34.6481,57.6325,1.6981,62.6552,48.139,18.6558,19.7524,7.1438,17,0.446873,1.3759,3.65822,236.753,163.043,33.7341,14.6678,2.86185,73.0206,34.1339,32.4691,25.9469,11.405,16,0.303248,0.753395,1.68629,944.147,1148.28,116.969,28.2197,2.69929,184.515,119.045,66.2115,45.625,11.9428,32,0.379636,0.83504,3.94831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,8,fell,41.28,9,21.7653,40.1557,2.91492,4.50347,247.08,133.355,30.4607,17.3241,2.36438,72.2792,37.3453,28.2014,19.6391,3.00874,16,0.379684,1.0391,1.59176,111.282,59.8383,3.86728,8.91233,1.8436,20.0557,16.6164,5.88065,5.74751,1.19393,8,0.394648,1.04647,1.29379,291.813,143.701,36.6624,13.6001,2.60162,90.943,39.5574,38.9252,25.9778,4.18977,18,0.401622,1.11758,1.86006,261.787,134.094,21.0783,53.7391,4.57634,58.4253,35.5148,22.1238,18.4633,6.30993,17,0.38823,1.07351,1.59349,232.297,155.79,20.3197,58.4749,8.63242,42.7852,36.687,14.4255,16.9683,9.52368,16,0.478869,1.1242,1.65856,211.725,171.935,8.86228,11.1972,1.31165,35.8172,38.3694,9.89356,7.67852,3.56161,17,0.468753,1.02251,1.96396,233.078,116.181,13.2513,16.7037,0.851049,45.0613,34.3726,13.3007,8.43757,5.61786,19,0.374225,1.00173,1.92455,210.037,100.326,5.07098,18.0347,4.53493,28.0682,30.1523,6.27477,7.57298,5.42629,16,0.411742,1.02742,1.48698,386.36,370.477,24.2023,24.2944,86.2006,55.352,43.251,13.7221,13.2212,12.7204,9,0.349896,1.08809,5.20103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,9,fell,23.52,5,61.7996,42.9508,1.96386,2.31082,214.16,122.603,9.40697,10.6366,1.34072,48.2868,34.7016,15.984,12.4212,1.91827,17,0.389972,0.979088,1.43424,127.781,67.7704,7.49866,13.2448,5.00595,18.5092,19.8909,4.92063,6.54612,3.20517,9,0.391738,1.11532,2.35528,242.39,131.694,20.9617,20.346,4.01341,68.8687,34.7014,27.6776,19.0106,5.08873,17,0.416584,1.01016,1.37982,197.574,116.094,9.16151,10.7496,0.662704,31.6754,30.621,8.54666,9.77376,2.63375,15,0.451748,1.10023,1.30454,795.764,530.42,136.701,93.3422,54.5348,181.114,77.5773,70.9969,55.1318,20.102,27,0.290594,0.698829,2.58566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
