policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
openwbt,0,fell,12.06,3,59.6997,106.138,1.56622,3.18439,377.432,163.517,44.4715,21.9666,2.08615,84.9109,48.9078,39.3751,26.1976,2.88764,19,0.416126,1.34436,1.96575,320.197,155.876,30.2928,27.4524,2.41674,63.2912,40.9012,28.3392,21.007,3.27623,15,0.474266,1.4004,1.62038,996.73,309.326,98.7623,86.9497,3.13672,104.516,60.8815,32.1936,30.4236,4.4904,13,0.319655,1.67574,7.41334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,1,fell,54.28,11,106.555,51.5272,0.395506,0.14527,327.103,143.078,20.6578,11.5148,2.64502,58.8456,45.7137,24.0757,19.5633,2.65377,17,0.428787,1.19049,1.75673,189.926,81.2588,19.0767,13.6422,1.75606,41.4979,25.1898,19.3812,16.3248,2.26343,8,0.421683,1.26762,1.58172,394.384,197.272,68.486,87.0482,2.141,98.0099,57.4248,45.6475,37.4529,4.72216,20,0.401397,1.13919,2.05437,294.778,136.86,13.7356,15.2249,2.35985,46.4761,36.8104,17.3476,12.7999,2.63299,15,0.446375,1.26835,1.2893,353.676,194.148,38.4705,54.6895,3.07286,64.8268,43.8218,28.4662,20.5634,3.48556,15,0.511461,1.37808,2.1657,533.14,265.291,116.172,92.3438,16.3465,143.473,83.7748,73.598,61.3008,11.3979,24,0.418107,1.05773,2.24573,467.915,258.39,122.546,24.9763,2.13832,138.597,80.2797,67.4132,46.8378,4.85763,25,0.293735,0.893262,1.98099,1034.16,635.697,304.391,85.3398,6.88006,278.744,163.157,126.055,90.1525,13.1534,39,0.223922,0.942912,3.55886,691.782,247.039,147.736,43.6902,1.8479,167.067,90.1013,79.3747,58.1171,5.36012,19,0.438203,1.40467,3.28588,813.912,377.508,240.911,29.2921,1.76142,234.215,123.26,109.458,77.4117,7.27627,34,0.20058,0.942639,2.09843,1382.29,883.586,185.275,46.8975,5.38245,188.117,133.26,71.6813,54.7302,12.6986,31,0.265724,1.38215,5.77135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,2,fell,51.8,11,28.0804,52.9678,1.40072,0.606267,187.662,79.9691,29.1936,14.9912,1.32719,51.2423,28.3111,23.5291,17.3328,1.72399,9,0.399927,1.66384,2.86013,152.694,78.9998,9.24038,15.2434,2.1111,29.1219,23.2472,11.0851,9.49869,1.56649,10,0.417231,1.30849,1.62153,273.024,107.424,15.2699,16.7219,3.24777,50.9995,33.075,20.494,19.6255,3.16282,15,0.352293,1.15547,1.40105,332.625,149.451,27.1945,13.8102,2.03986,66.6318,44.6033,30.2239,25.6355,3.14859,17,0.415756,1.17471,1.32535,323.365,133.08,10.9241,53.0385,1.34801,45.3838,38.7914,17.2244,17.9857,2.49215,15,0.429815,1.42283,1.39139,370.204,153.32,30.5519,23.3465,1.86052,74.0293,43.7576,33.905,26.4793,4.27554,15,0.450246,1.35689,1.69012,315.31,156.526,13.7688,39.7917,2.85805,42.2434,41.6808,13.8001,14.436,3.66539,15,0.439715,1.35374,2.08624,551.467,231.226,60.8086,37.0936,1.63992,97.1601,63.1637,44.2675,35.524,4.8288,19,0.394582,1.47338,2.90233,506.004,247.82,121.238,35.5549,0.944504,139.414,73.5623,66.6059,52.3373,6.13056,22,0.327571,0.955363,2.31143,451.602,235.097,71.437,29.0909,1.30705,110.006,66.0129,50.0046,35.5094,3.65715,22,0.41586,1.09532,2.16864,834.43,228.456,111.553,30.5715,8.73483,61.3962,43.6834,20.9831,22.0349,10.3581,9,0.294445,1.1762,5.19745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,3,fell,42.64,9,20.8799,52.9076,0.649056,0.781466,386.374,156.364,39.0122,39.6131,1.94426,85.3788,52.4718,39.539,33.1948,3.32552,18,0.433381,1.19955,1.8216,321.372,184.461,40.4343,17.9639,1.54635,75.0905,46.6281,35.1904,29.4173,2.97333,16,0.427358,1.18945,1.79845,300.052,146.701,20.1018,18.1343,1.51803,55.691,39.9763,22.8129,21.7342,2.88285,17,0.403082,1.13517,1.29989,389.201,202.904,60.3341,21.2543,1.58075,101.216,61.9238,47.2608,37.9658,3.60265,22,0.38011,1.09799,1.59059,314.085,157.941,30.4408,89.9856,6.2245,55.0513,41.6127,21.9388,24.57,4.89426,15,0.442553,1.56867,1.70379,319.786,170.786,45.4226,88.4465,5.02834,64.244,44.3823,28.4296,24.8493,5.73915,15,0.402573,1.2421,2.09018,309.433,179.87,25.5071,21.1066,1.50837,55.5243,43.6008,22.0317,18.9756,2.94238,16,0.449144,1.26619,2.15369,415.955,165.797,75.7541,125.758,5.32801,103.867,50.6353,50.8166,43.2567,5.92789,15,0.480908,1.46688,2.24521,1280.1,843.937,149.586,240.34,14.8244,140.904,136.395,43.3517,61.8139,20.2695,14,0.394335,1.7945,6.24926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,4,fell,46.04,10,10.3824,31.2653,2.29847,3.26633,278.939,120.473,19.7054,11.6043,2.1339,57.0821,39.5169,24.2537,20.8047,2.47796,16,0.424393,1.11705,1.62932,346.185,147.635,18.2314,14.7894,3.05588,53.9544,45.0855,19.9467,18.1266,2.69993,16,0.470821,1.50774,1.82295,188.329,83.4747,22.8766,25.9911,2.0906,50.0832,28.4798,24.6586,21.0884,2.51052,8,0.406687,1.14397,1.29296,341.183,152.22,23.0177,24.5249,2.43515,59.708,43.6813,24.5514,19.8103,2.60398,17,0.445974,1.36646,1.86434,296.811,164.657,15.6825,41.4213,2.40126,47.9083,40.7526,18.9367,16.459,2.57358,15,0.432837,1.32889,1.9585,220.959,106.647,12.2566,54.0965,2.42143,37.7095,29.9159,15.2269,19,3.42732,13,0.430947,1.15578,1.12785,305.042,115.487,30.0297,22.0404,1.97767,58.7163,38.3365,25.8055,20.1483,3.07178,14,0.379265,1.22434,1.80753,280.866,170.884,26.9095,21.4957,2.04402,50.4863,39.9841,21.7002,18.9116,2.01047,16,0.488708,1.21287,1.82525,216.842,105.946,9.93854,16.3946,1.20118,34.9588,29.1376,12.6335,11.153,1.9223,14,0.424384,0.992175,1.36941,780.513,388.203,66.6405,19.127,6.00959,63.1103,45.536,19.3209,15.3427,5.2114,3,0.888453,2.13429,15.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,5,fell,56.88,12,70.2347,36.9231,2.25142,1.80095,251.47,109.421,24.1131,14.0849,1.61273,54.696,35.3567,23.5055,19.2225,1.89711,14,0.379512,1.28652,1.99973,355.404,122.928,56.4203,38.9709,1.49881,93.0472,43.7293,47.9318,34.8787,4.499,14,0.400955,1.18809,1.40561,551.93,240.574,152.781,88.0791,3.30779,153.844,69.2284,74.7761,53.2795,6.51125,21,0.352331,0.988895,2.80097,390.686,191.014,66.1257,26.2735,1.32801,97.5555,50.3842,46.1259,37.4381,3.40201,17,0.428547,1.34762,1.96909,626.614,383.162,191.93,80.6974,1.85519,177.252,111.14,83.8202,65.1296,4.47959,36,0.213555,0.717101,1.65532,591.194,267.687,126.214,93.3626,1.70549,142.525,78.0994,63.5538,50.5133,3.92106,20,0.431611,1.37744,3.22005,435.803,231.553,44.9318,25.1344,2.55809,85.9949,54.832,37.6923,27.9402,4.69697,19,0.433599,1.31847,3.04888,367.624,158.277,56.986,50.887,2.22992,96.0658,49.0631,49.9849,41.0885,5.79537,15,0.460951,1.26906,1.67484,352.056,141.547,25.8899,78.6087,4.74261,68.3209,44.4671,28.1565,27.7277,5.27854,17,0.442562,1.21939,1.96612,250.956,108.697,21.124,15.4486,1.92224,55.7002,35.0146,26.0966,21.189,3.93933,11,0.445797,1.20998,1.69336,286.151,129.41,12.572,20.0806,1.87908,45.8356,36.5131,16.6806,13.5943,2.8053,16,0.416547,1.24684,1.34709,770.769,231.957,46.7471,89.3495,13.8722,45.8231,37.9381,15.6616,21.1382,12.2184,5,0.271399,1.82116,5.46407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,6,fell,26.14,6,20.4116,48.034,1.52695,2.2612,200.794,94.9921,22.13,14.6371,2.15636,46.2933,29.1831,19.7383,16.2741,1.85922,11,0.361875,1.16578,2.04292,320.74,131.76,17.6097,15.6982,1.13021,60.5669,39.6247,27.258,24.6143,2.46072,18,0.379532,1.07468,1.28307,313.852,132.729,14.4056,27.126,1.69082,48.0454,41.4584,16.5758,18.8333,2.39142,15,0.444647,1.34885,1.53752,113.709,43.5826,7.53756,16.1123,1.22233,24.9498,13.8541,11.7695,11.3479,1.68699,4,0.390437,1.21258,1.39099,400.603,151.853,46.3544,33.7803,2.54653,86.8215,49.263,41.1329,36.5905,4.9355,17,0.43587,1.35029,1.72541,615.349,190.084,67.0469,147.7,24.5547,40.9903,28.8582,11.9396,25.4519,11.1546,3,0.264259,1.24877,8.22407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,7,fell,42.16,9,47.4353,46.0457,1.10942,1.53085,332.249,146.916,24.4943,13.7338,2.327,61.9304,45.5027,26.2809,22.1796,2.54258,17,0.445084,1.2871,1.74484,315.466,144.059,21.9263,12.5011,1.40799,56.4066,42.5372,23.9901,20.9575,2.91227,15,0.443095,1.24983,1.47822,303.748,134.698,8.73004,31.7839,2.33302,43.0541,39.2691,14.8632,17.3591,3.15858,16,0.401376,1.25569,1.30184,246.091,98.3843,14.543,44.9963,2.232,35.4094,27.294,14.4095,16.8935,3.68875,9,0.423011,1.32015,1.99771,275.085,118.512,10.4529,9.82121,1.24605,44.7362,35.8612,15.2149,13.891,3.06482,15,0.414756,1.36206,1.67722,517.219,244.971,53.0345,123.223,6.45476,80.4973,61.5056,31.4044,30.5366,6.375,19,0.466073,1.68343,3.43837,273.877,124.986,20.0142,15.4769,1.79507,51.2006,35.7861,21.0911,16.8795,3.18894,17,0.44397,0.962313,1.69276,327.022,123.356,14.1213,24.5539,1.65919,48.5335,36.1929,17.9798,14.7039,2.32159,16,0.468261,1.2483,1.7005,751.274,465.037,66.2421,88.64,14.2735,81.6977,64.8514,26.4335,32.5904,17.3241,12,0.574937,1.9603,5.02911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,8,fell,41.28,9,15.187,57.4573,2.11329,3.78461,318.776,147.379,27.3045,17.022,1.54078,65.266,46.4168,28.1612,23.3432,2.65306,18,0.407675,1.23691,1.57643,180.084,88.9427,6.55912,9.93641,2.53118,25.8911,22.359,8.9563,8.4753,1.7898,9,0.40068,1.31991,1.45819,362.608,152.798,29.25,13.9221,2.59191,62.5321,45.4352,25.3938,22.4884,3.88702,17,0.410197,1.31084,1.7825,394.108,169.866,48.6188,72.1963,2.95096,83.8781,51.4204,39.2612,34.2242,4.89466,16,0.420302,1.28572,1.65538,310.275,166.294,31.018,68.2703,3.80559,57.5751,41.7272,25.1772,21.6711,4.88481,15,0.482141,1.27277,1.53996,301.29,170.274,19.0276,19.9826,1.54101,56.0282,47.4551,22.6127,18.3582,2.28958,16,0.41216,1.21816,1.7982,363.833,146.633,24.9427,22.0927,1.53536,59.6517,46.8145,23.6777,19.6775,2.7802,19,0.4054,1.27261,1.90795,377.42,161.299,41.3678,69.082,2.53238,83.765,48.3495,41.0297,35.851,5.80803,15,0.481529,1.4191,2.0201,488.928,172.58,54.823,245.971,19.6074,65.4914,39.1094,22.4643,40.9336,13.1346,5,0.719014,1.38005,2.64669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openwbt,9,fell,76.24,16,16.0926,37.3985,1.17392,0.613971,328.087,147.987,17.935,11.638,2.02717,58.7309,46.4143,23.1429,19.4071,2.65183,18,0.418151,1.17606,1.56216,247.748,93.8302,14.0347,12.9026,2.71132,40.4579,32.6632,16.6181,15.1139,2.38844,14,0.392454,1.14192,2.01491,322.007,145.417,25.0593,17.7349,2.01398,61.8573,40.6324,27.0355,21.3579,3.29514,16,0.410339,1.21985,1.59922,298.236,153.805,15.8574,14.421,0.967622,44.3685,37.5277,16.1318,12.6586,2.41009,15,0.427789,1.26637,1.38518,664.292,316.845,158.349,37.3068,1.01749,172.713,86.1055,80.685,63.1595,5.7075,20,0.358675,1.16877,2.64187,172.975,82.3742,21.366,11.7679,1.19578,42.1769,23.3319,19.116,15.1487,2.08454,8,0.40677,1.48509,1.5607,362.521,160.963,51.6385,20.0871,1.70575,83.3588,46.4378,38.6375,31.9472,3.75881,17,0.462215,1.20406,1.63646,293.047,160.865,19.7215,11.6453,1.43826,50.6468,40.1617,20.3315,15.4426,3.11622,15,0.440696,1.44075,1.51733,244.406,114.1,29.2812,15.7202,2.11874,57.3359,35.3218,25.5818,20.2862,2.89302,12,0.402052,1.13619,1.64877,482.297,218.809,121.732,38.1223,1.88001,137.12,70.9975,67.8414,51.1655,4.80412,22,0.397488,0.953882,1.8959,308.33,142.46,20.916,12.5802,2.24935,50.3588,37.4071,18.4703,13.9188,3.77658,17,0.443684,1.3771,1.67846,310.154,181.729,22.9464,18.037,2.27291,50.3422,42.8185,19.1299,14.3101,2.69116,17,0.408285,1.1889,1.85841,363.677,221.966,61.2949,18.6681,1.71414,95.7546,57.6581,45.1673,35.1365,4.32677,16,0.438551,1.39103,2.2839,200.676,98.3279,15.7043,13.2118,1.63854,39.2777,25.0816,15.9244,13.0933,2.15543,7,0.470928,1.52291,3.2971,385.84,231.184,37.369,21.1519,2.08294,76.8953,56.7068,34.5133,26.6426,3.9599,19,0.391391,1.26473,2.7202,559.292,119.354,73.531,30.0916,2.06072,50.768,25.9903,13.1095,20.8601,5.29321,6,0.46877,0.794046,2.89205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
