policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
rl_gym,0,fell,10.24,3,247.542,22.0772,2.37176,2.8526,845.516,115.07,216.147,26.5572,1.39274,305.212,46.9118,125.865,75.2535,8.64594,20,0.356705,0.993513,2.36746,1182.94,475.366,200.367,36.9587,1.49935,277.015,86.8866,107.393,63.9802,8.67075,25,0.53746,1.07151,3.75608,75.0078,13.7803,27.9707,60.1376,74.2589,12.7746,6.72208,3.18122,8.5818,12.8491,1,0,1.04451,13.9268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,1,fell,27.56,6,56.7164,7.23689,2.96058,4.39143,883.039,128.457,162.349,15.6905,1.91592,328.663,52.0295,117.657,82.3225,17.2831,33,0.29577,0.782334,2.53263,808.124,100.712,152.668,20.3554,1.38683,317.634,45.8394,112.098,87.6804,18.9755,38,0.310713,0.638247,1.54124,699.453,290.751,149.903,109.783,2.30139,231.94,56.934,90.5435,59.2256,20.3335,27,0.345919,1.08695,2.90404,699.135,68.7238,189.103,16.3299,1.57882,286.281,37.0119,120.776,70.4626,16.2689,14,0.491125,1.21406,1.95004,824.387,113.502,211.977,59.3816,2.4298,322.891,50.0305,130.739,74.9449,14.4275,23,0.297944,0.833069,1.90323,749.74,287.338,120.942,33.0655,59.5284,155.192,55.365,57.7046,44.3005,15.3506,17,0.551545,1.21499,5.4208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,2,fell,51.58,11,45.0226,10.2175,3.57571,4.84308,763.996,91.8488,209.275,19.8729,1.15083,313.635,44.5657,125.372,80.3156,8.65157,16,0.386219,1.13561,2.88763,779.621,89.6033,170.936,24.0842,1.43892,328.856,41.4912,122.255,91.9046,13.3221,19,0.370504,0.886866,2.42499,782.468,82.0416,207.161,22.3981,2.28053,308.581,43.2302,129.707,82.3255,10.5626,17,0.477296,1.11053,2.31415,803.204,79.6923,176.331,18.8653,2.01128,317.607,41.6123,115.905,82.2631,20.0719,27,0.2678,0.692326,1.70357,775.54,74.0974,126.763,28.3998,1.41225,317.704,38.2063,114.024,54.7158,17.5815,30,0.347189,0.733524,1.7335,724.284,93.4439,108.479,31.7158,2.08702,316.564,39.333,108.271,40.7603,18.0812,27,0.327066,0.827835,2.05803,755.24,137.287,113.122,21.0264,2.28869,307.115,45.5115,105.217,43.9962,30.6679,32,0.3201,0.792544,2.13687,797.556,186.172,143.169,38.3903,2.3259,263.103,48.3711,101.223,65.8954,46.4956,20,0.468996,1.17592,3.81609,793.078,156.687,137.627,27.877,1.19827,290.471,50.8995,105.836,57.1997,39.4193,29,0.264161,0.877761,2.35086,805.449,244.83,128.773,25.851,1.46284,280.736,59.8029,99.2291,61.6805,29.6426,30,0.323658,0.896737,2.61551,871.174,341.189,60.7003,22.5413,7.42288,93.6388,48.4268,25.2755,24.0529,10.1192,5,0.506378,1.94926,14.8678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,3,fell,7.5,2,80.4303,6.20276,1.61482,2.6956,888.494,147.96,192.242,30.7816,1.81896,327.343,52.0248,125.996,89.751,13.5954,34,0.263196,0.708543,2.21047,660.882,186.382,120.98,35.7454,1.45039,162.336,37.2663,59.7869,44.9386,4.87827,24,0.28551,0.666111,2.61807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,4,fell,55.68,12,42.8002,16.3796,1.42185,0.90494,790.435,89.1666,198.963,18.3589,1.7349,305.39,43.7318,126.602,74.7334,10.6477,21,0.34843,0.879803,2.37316,1827.73,213.14,213.658,33.9521,2.21828,397.723,71.829,125.854,86.7437,22.6722,45,0.246016,1.2873,7.18449,909.833,120.028,138.851,24.9501,1.892,341.463,47.7775,114.721,56.1976,36.3824,24,0.388228,1.05708,3.42593,900.431,93.5477,132.279,22.6474,1.75072,340.23,44.307,112.834,60.6009,40.0476,46,0.207154,0.625931,1.93038,1100.87,146.832,138.752,28.9405,2.14586,349.5,52.9273,111.864,61.7978,38.6052,46,0.317051,0.811815,3.76367,750.722,120.536,112.689,20.4081,2.10852,295.175,42.3385,101.361,60.7465,40.414,27,0.272216,0.920397,2.92682,669.258,90.9753,152.765,29.7865,2.68128,274.891,38.2916,109.177,63.3146,39.2143,14,0.524125,1.29244,2.38613,698.431,162.225,170.557,24.4318,1.67542,265.381,46.3763,112.462,65.4681,26.9484,20,0.43062,1.09419,2.01979,790.982,217.915,139.003,19.2399,1.34878,280.252,58.5195,104.743,49.7037,35.6424,23,0.408428,1.30699,3.21327,956.912,125.362,169.721,31.0109,2.22127,314.191,51.4475,116.128,62.6153,36.5802,29,0.31097,0.87443,3.53087,727.161,156.332,169.932,17.9522,1.03781,294.735,46.9419,117.524,75.366,11.9204,20,0.433648,1.10789,2.72075,553.095,35.7079,28.3624,69.4734,1.52773,31.1158,10.4441,8.88787,15.8774,3.50816,3,1.00487,1.8434,4.00212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,5,fell,24.26,5,84.1816,21.529,2.44,3.49829,917.963,103.121,178.914,24.8458,1.28136,348.426,49.9867,127.926,97.6363,15.0169,37,0.294687,0.631217,1.89799,787.509,106.783,193.856,41.092,1.2925,313.171,45.1861,130.172,86.0811,9.53917,23,0.317289,0.760125,1.69384,871.118,121.853,223.051,95.7237,3.62814,331.475,46.0971,143.049,80.0997,10.1984,27,0.336876,0.733357,1.53272,864.32,108.311,221.732,33.9041,1.1575,321.047,51.1978,129.618,88.776,8.91273,17,0.346409,1.04641,2.79806,1141.68,700.124,167.395,97.1056,31.6898,254.646,106.77,85.1352,63.5394,16.1925,29,0.427122,0.804205,4.76371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,6,fell,13.1,3,155.461,50.4433,2.73449,4.54511,694.732,89.9368,170.073,20.0724,1.53765,300.897,42.4423,117.33,80.1945,10.7038,23,0.276207,0.831802,1.95602,1044.52,264.182,184.897,28.2177,1.24016,346.279,67.3596,123.595,99.0496,16.3635,36,0.34612,0.799761,2.95069,1229.82,457.956,157.429,71.4341,8.56711,208.436,74.5619,72.0386,56.8672,9.46358,14,0.567925,1.33899,8.93251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,7,fell,26.12,6,38.071,11.0582,2.80198,4.16712,879.725,94.8849,198.081,22.3084,2.44563,329.246,49.6545,127.389,86.4166,15.8764,27,0.26207,0.814037,2.44634,791.412,182.244,177.644,17.2586,1.28103,311.301,52.8565,120.859,77.838,11.3344,44,0.2589,0.693839,1.53135,1363.98,267.998,222.759,24.3953,1.78486,353.807,69.4922,134.129,83.3684,19.6194,31,0.269991,1.10666,4.19375,961.359,284.382,144.237,34.2267,2.28027,307.226,65.4172,114.588,80.7796,31.6158,24,0.261263,1.13747,3.90597,1007.19,117.258,150.72,19.2595,1.28334,362.193,51.6101,116.802,88.8234,32.4202,58,0.251134,0.566301,2.07679,672.645,157.572,55.1693,134.173,9.37092,88.562,28.4994,24.2856,22.5046,13.284,7,0.115981,0.58395,2.69807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,8,fell,21.18,5,45.1369,39.3528,3.20887,4.33944,719.679,87.4341,174.123,24.6797,2.25278,280.765,41.6167,114.245,75.363,12.9731,22,0.371636,0.838623,2.08358,1185,131.309,204.631,23.5602,1.88134,363.685,52.2924,136.308,100.935,17.0765,24,0.284919,1.23976,6.39276,1069.53,152.584,206.456,25.0619,2.578,372.058,61.9128,132.258,104.662,19.5752,36,0.285089,0.85415,3.22931,777.432,164.623,193.421,62.1293,5.43963,301.038,49.4131,123.566,83.5619,17.1771,27,0.359529,0.818612,1.96383,387.015,116.284,40.1209,49.7405,7.18169,64.0339,27.098,16.7763,19.5352,7.31776,14,0.198687,0.871147,2.67264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_gym,9,fell,16.18,4,114.147,22.0924,1.1435,0.747208,775.498,86.3079,177.41,16.7075,1.41988,313.025,45.0081,122.025,78.9008,13.5362,24,0.281484,0.761498,2.35571,891.746,107.107,154.717,23.8849,5.26859,347.177,46.3156,119.634,83.4343,25.8131,37,0.228136,0.659499,2.58508,939.276,413.861,171.924,35.309,4.85533,303.784,77.3265,111.548,71.3256,19.7824,26,0.422384,1.15576,4.06022,372.797,90.6385,40.9998,12.4881,0.744153,75.3221,17.1541,24.7792,19.5328,4.53659,9,0.227008,0.886705,3.61985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
