policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
rl_lab,0,fell,20.9,5,113.991,75.7476,3.12683,3.79948,254.18,58.0433,18.2945,18.7573,1.37902,32.297,24.2464,7.39108,11.4994,2.04481,21,0.314418,1.17775,2.03482,58.673,22.3644,7.02953,21.4521,1.44749,8.46192,6.34757,1.90799,4.75231,1.43623,10,0.135358,0.757467,0.646563,193.318,64.4762,27.5736,74.4571,2.45797,26.9418,22.0268,5.86495,13.4763,2.36649,20,0.267089,1.20444,1.67924,535.349,148.288,29.7191,19.7651,2.00185,48.255,40.4704,8.90625,16.4488,3.13828,30,0.388008,0.928828,1.89174,292.053,84.6446,13.6149,15.206,27.5673,15.5493,13.5078,3.32252,8.54653,7.10194,2,0.703571,1.14688,1.59971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,1,fell,28.74,6,51.5661,67.9762,1.86468,3.00175,142.856,55.5918,11.0751,8.90016,1.74293,24.2942,20.2987,4.83967,8.49709,1.69784,16,0.325078,1.12301,2.03962,119.456,26.7418,10.7391,11.5491,1.21568,18.7164,14.3506,4.45693,9.08444,1.88889,15,0.287262,1.16049,1.20205,177.993,66.0413,17.1772,107.748,2.07269,19.1704,15.2032,3.97633,12.7959,3.26648,13,0.316894,1.031,1.77498,101.554,27.6463,8.01342,11.6371,1.59669,13.3579,8.78044,3.59928,6.49435,2.62112,11,0.249603,1.36879,1.85176,228.844,62.724,22.4934,55.6696,2.34866,26.2348,21.3906,6.02492,10.451,2.84461,16,0.295643,1.29854,1.79606,741.86,207.983,45.1385,30.9211,64.7096,52.0704,46.9516,10.0964,22.9755,14.0941,19,0.601254,1.10398,2.28126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,2,fell,43.38,9,34.0361,52.3496,1.99557,2.81099,224.872,59.2096,16.1467,15.7622,1.11821,30.3103,21.3866,6.3185,10.7598,1.56524,20,0.283847,1.11907,1.78197,91.0102,22.9335,6.29148,14.8333,1.4122,11.8395,8.12924,2.67846,5.16449,1.0295,11,0.200895,0.93743,0.979665,324.502,93.7321,18.3584,18.9726,2.23432,35.8879,28.2522,7.34469,14.9554,2.63483,21,0.3161,1.30556,2.10789,139.319,39.5481,8.94441,10.3417,1.79134,19.2106,15.8627,4.29748,8.7737,2.29607,15,0.31914,1.1372,1.33286,297.894,53.5775,19.9527,19.4466,1.39461,27.5867,18.8267,6.56443,8.37454,3.75877,15,0.254,1.45253,3.80956,201.492,43.5013,11.3026,27.9617,2.03621,22.7264,17.1603,4.95657,4.59638,3.19151,12,0.27294,1.41044,3.77232,330.893,100.715,18.1858,16.7188,1.87068,34.9744,29.1678,7.58371,6.58898,5.08797,18,0.345381,1.53038,3.17012,196.714,34.5902,13.2262,33.3258,1.1,26.2555,18.709,5.81725,11.9956,4.43665,22,0.329911,1.12274,1.42967,747.86,218.167,36.2557,28.6752,148.449,52.412,42.7625,9.90442,17.0374,13.7118,17,0.678825,1.20062,2.82777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,3,fell,17.68,4,55.3963,77.0432,2.56224,2.40769,235.764,51.477,13.5954,23.6953,1.55629,24.8914,17.3238,4.85804,13.0819,2.90772,15,0.369142,1.01604,2.70588,222.8,76.8496,19.6855,19.4024,1.17078,28.1397,21.5692,6.58021,12.5618,1.9091,20,0.281532,1.24326,1.67353,84.4683,25.8263,8.45443,13.3603,1.06592,14.1073,11.1033,3.37611,6.66593,1.14299,10,0.346857,1.37089,1.45017,830.071,198.511,39.8028,62.0324,32.1234,48.086,38.3747,8.75222,21.4223,5.67051,12,0.451801,1.2095,4.07796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,4,fell,32.76,7,46.9059,46.2947,1.64571,3.6392,104.891,35.7573,8.23971,10.6782,1.59436,18.0556,15.1397,3.77559,7.70778,1.415,14,0.314933,1.00601,1.33777,69.0645,17.3404,7.6707,9.27083,1.91732,9.97895,6.60795,2.51773,6.03102,1.88695,7,0.330967,1.36752,1.38973,230.361,58.0429,10.8588,17.1631,1.37015,25.4677,18.9518,5.46405,8.05106,4.68255,14,0.238244,1.30567,2.39605,235.702,41.2622,15.3614,16.7467,1.49185,21.5749,14.5677,5.05812,7.38892,3.16531,11,0.388534,1.30634,3.89949,259.76,46.4377,16.4603,21.6841,1.37764,28.3182,20.7193,6.69513,10.1239,3.85795,19,0.34138,1.67162,2.93813,70.6417,27.2181,4.67612,10.2719,1.26086,8.47195,6.8938,1.75167,3.37176,1.56114,5,0.212362,1.06932,2.32451,1002.66,258.598,41.3801,35.7024,59.5678,61.5253,46.2324,12.0141,20.1172,16.7171,10,0.758794,1.43244,8.65474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,5,fell,13.3,3,72.3646,6.28162,2.98847,4.15519,126.008,41.6869,12.0269,12.0893,1.1147,24.4133,20.039,5.39029,9.04741,1.40193,19,0.270228,1.29992,1.54593,226.522,71.4055,16.4923,36.0158,1.16883,27.9961,23.4685,5.58536,14.1144,2.64886,20,0.310368,1.20993,1.45966,570.586,177.57,31.7799,85.5165,3.28112,40.9715,37.547,7.87432,19.8599,3.18086,16,0.334662,0.902619,2.27667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,6,fell,31.74,7,35.4849,69.0758,1.70047,3.66328,99.9594,31.6546,7.58812,12.4066,1.53826,14.8205,11.3305,3.32341,6.71075,1.27793,8,0.195074,1.61291,2.02995,176.465,60.6382,10.4708,15.289,1.01788,21.2768,17.5659,4.27003,9.7386,1.35876,14,0.347478,1.23069,1.93701,90.854,34.3685,11.0118,26.0465,1.18849,14.4793,10.9638,3.23065,8.50418,1.41709,12,0.283178,1.13603,1.42006,96.7483,26.7738,6.58443,15.3154,0.997121,9.33233,6.82239,2.18898,5.421,1.01029,4,0.254699,1.06584,2.57291,346.383,95.9567,19.729,33.4953,1.7626,32.0031,26.1867,6.29258,16.7219,3.00158,19,0.412165,1.28615,2.48004,152.488,34.9988,19.5301,89.1777,2.2879,13.2616,9.37577,2.91593,11.5064,2.32523,5,0.163582,1.41098,3.08347,500.6,168.784,23.7595,18.9683,0.244821,28.0034,21.2262,4.68799,10.1622,1.0631,6,0.392806,0.925392,2.54272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,7,fell,47.36,10,29.9865,85.5297,3.20096,3.68445,116.212,33.656,8.48122,14.036,2.58306,17.8251,13.6016,3.36734,7.47382,2.23337,11,0.349142,1.05703,2.34866,128.799,26.9337,9.89399,9.5618,1.17933,16.2836,10.8861,3.8252,6.46419,1.35597,11,0.35979,1.27348,1.44428,198.464,37.8589,11.5927,10.4553,1.55415,21.7285,13.8648,5.16388,10.5856,2.93361,11,0.271343,1.55907,3.13246,172.787,45.6441,12.7387,24.1721,1.81296,27.0755,20.8541,6.25986,14.0833,3.78855,25,0.242604,1.09662,1.07365,120.629,30.5526,6.79001,6.83463,1.02263,17.3112,12.8671,3.86454,7.13847,2.10735,12,0.24426,1.38844,1.51325,476.563,125.294,39.2485,135.368,9.83495,47.3718,36.7426,10.599,22.2294,10.2681,23,0.40645,1.37416,3.29705,158.967,35.532,14.4092,26.8344,5.28081,21.564,14.9094,5.49153,9.13141,6.25445,12,0.406094,1.71009,2.57549,146.082,33.3123,9.82936,13.1185,2.58374,19.8957,16.3655,4.3928,4.64064,5.17922,16,0.257796,1.17242,1.59941,306.648,83.142,22.9079,55.416,1.70236,35.6341,25.4146,7.87297,16.3484,5.83676,18,0.392445,1.73753,3.25702,469.688,176.259,22.4611,22.4513,40.9919,30.7552,28.4898,6.33629,12.8062,13.4582,11,0.346158,0.998479,2.01014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,8,fell,88,18,32.4902,67.4657,3.19065,3.35694,103.09,28.7267,7.21468,13.6325,2.35871,12.8094,9.8458,2.64629,7.00817,1.988,5,0.32452,0.901271,3.31921,142.92,34.4141,11.038,9.08932,1.83053,18.1147,12.3011,4.18981,7.00038,1.42052,12,0.332814,1.37803,1.98736,168.5,48.2,18.7446,12.2196,2.67925,26.4906,20.1137,6.26242,10.4151,3.70896,19,0.318168,1.24613,1.36715,383.781,98.2167,27.8468,55.1698,5.03825,37.3178,28.6317,8.39544,17.3246,6.53162,23,0.272416,1.02747,2.33171,76.2615,21.1099,12.6478,59.7302,8.49508,11.482,7.96303,3.20682,11.6872,7.28284,8,0.238038,1.3618,1.34915,242.98,75.6714,17.7942,12.4576,1.35341,27.9538,20.0715,6.48709,9.69407,3.4327,16,0.316974,1.47596,2.50287,51.3508,14.4316,6.89422,16.3717,0.809307,9.02531,6.71009,2.42545,4.48463,1.70105,7,0.272587,1.23368,1.28593,232.051,47.212,10.7438,18.8123,4.2652,21.8829,18.8064,5.0347,7.22286,5.4518,13,0.297813,1.33073,2.38012,277.936,46.5571,24.5027,26.9927,87.7652,36.3208,24.3752,8.53212,12.9134,12.7087,22,0.272618,1.3156,2.38832,458.641,119.337,36.9656,51.2055,1.22729,45.7639,33.2997,9.84405,15.7081,4.00587,25,0.378454,1.34467,3.27942,387.961,82.8248,31.4313,33.5722,1.77501,41.5822,29.2124,9.51882,15.6595,4.88865,20,0.251519,1.45346,4.05648,617.88,134.35,29.4958,29.5027,1.20457,52.657,39.0449,10.107,16.7141,3.67711,25,0.313673,1.35062,3.64769,367.849,64.8579,24.5642,52.5563,74.2643,39.2194,26.8597,9.37732,22.5005,13.5761,22,0.226889,1.47249,3.79125,1406.38,165.074,82.0584,42.9948,2.24329,85.8052,54.1574,18.2049,31.5225,9.04441,21,0.345527,1.81814,11.4685,293.369,55.2566,27.8109,72.3193,25.2266,30.9105,21.7829,6.5833,15.9003,8.59421,18,0.3819,1.41514,1.63577,186.841,38.3848,16.1678,38.6333,46.2812,22.1997,13.3839,5.08959,11.1101,8.43167,13,0.247747,1.54891,2.6109,115.859,32.1393,11.461,15.8372,0.884338,15.511,9.72994,3.81205,9.02463,1.54392,10,0.350686,1.34446,2.06957,1354.69,315.504,74.6553,64.1702,80.1229,68.244,54.628,14.7487,31.851,13.9439,13,0.502389,1.4865,10.0794
rl_lab,9,fell,23.82,5,52.4929,59.754,2.46305,3.54714,75.0569,27.8448,7.96513,9.02811,1.34391,16.173,12.4595,3.54927,6.20673,1.3438,12,0.291014,1.03734,1.41813,40.6437,11.5229,3.94059,12.3285,4.85301,6.64104,4.46514,1.76468,5.29185,2.74802,5,0.258398,1.20336,1.51642,138.919,55.1216,10.3256,21.305,4.14936,16.8834,14.3164,3.22637,7.71196,3.70782,11,0.333814,1.18738,1.87854,101.346,26.8927,7.30382,10.0644,0.638321,11.892,7.76281,2.80703,7.03007,2.31547,8,0.213553,1.13684,1.60666,746.079,205.58,32.2928,53.9623,56.674,48.6453,47.3478,9.02573,19.3025,12.769,18,0.474967,1.21943,2.80513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
