policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
rl_lab,0,fell,18.02,4,61.9947,103.532,2.95876,2.36518,256.808,60.6764,19.3989,19.3909,2.10475,28.3364,20.5533,6.48897,11.0865,1.87402,14,0.295151,1.43551,32.619,14.9103,6.75493,20.7101,2.43298,6.00572,3.35621,1.5072,4.83336,1.34216,3,0.159177,1.63489,512.263,113.315,51.4793,77.2082,3.05028,46.9567,31.6144,10.1059,19.4977,3.29232,17,0.310723,1.80652,602.834,191.2,37.5079,30.8721,10.5567,45.4467,37.5007,8.55378,16.8266,4.02229,13,0.595808,1.77547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,1,fell,37.74,8,67.7179,54.4327,1.58394,2.16301,162.506,65.0537,14.8238,9.8809,2.64856,23.6285,19.8684,4.7976,7.66333,1.54161,14,0.321136,1.28478,211.579,63.429,21.6972,14.5451,1.74996,28.4475,24.1605,6.86563,10.4611,1.69107,19,0.279452,1.32186,257.777,84.4713,29.6124,81.8428,2.11208,29.698,22.7285,7.20133,13.5918,2.53662,16,0.289782,1.39269,95.2933,28.8937,11.4476,12.7915,2.34137,14.3874,10.3855,3.95411,4.94085,1.3981,8,0.24064,1.92743,411.457,117.594,36.8007,58.3774,3.12149,43.1423,32.387,9.10788,12.3466,2.97308,22,0.359912,1.61287,295.486,90.4147,51.4577,98.9348,17.7151,40.9916,27.8546,11.3967,23.3729,11.1651,23,0.30143,1.29255,677.882,198.671,62.6393,27.0581,2.14081,63.3484,43.7388,13.3276,14.7654,2.47923,24,0.387933,2.00713,1681.86,208.043,166.821,124.218,11.7014,86.5434,50.2855,20.0359,28.2804,13.0484,10,0.559185,2.43703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,2,fell,33.04,7,51.5009,41.8738,2.89403,4.11434,330.379,88.431,25.5702,16.2109,1.31417,36.1889,27.8545,7.35636,11.9756,1.63803,19,0.305429,1.5778,238.807,66.2349,19.4914,17.9405,2.07655,28.2152,21.2181,7.1676,11.9203,1.72844,16,0.280423,1.90145,364.73,107.829,33.321,20.9586,3.27299,37.9389,30.6353,8.75041,15.529,2.56635,20,0.331154,1.44035,247.124,65.3802,19.0111,13.6796,2.07061,31.1863,21.8205,6.92831,10.7703,2.07916,20,0.282242,1.25739,137.787,32.5302,12.7979,52.1061,1.35725,17.1869,9.90466,4.59014,10.1418,1.76058,8,0.247653,2.08832,149.758,29.0421,13.4079,16.2436,1.85878,16.0222,12.2481,3.98864,5.67365,1.26529,8,0.309788,2.28214,514.556,199.774,29.8424,34.1658,1.59282,40.6455,29.5386,7.70346,12.5235,2.81827,15,0.406085,1.1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,3,fell,16.1,4,30.7533,80.2793,1.82823,3.2785,317.844,85.5866,24.5279,39.7563,1.96601,32.5267,25.5581,7.23668,15.4686,2.21593,17,0.387955,1.63585,586.259,113.776,55.1929,33.1399,1.82443,45.7802,29.1893,10.9789,19.0911,2.57767,19,0.252487,1.76149,187.624,51.5301,14.8285,16.2034,1.51247,23.425,18.9373,5.14898,10.0949,1.42825,13,0.314052,1.5919,674.6,144.351,51.5228,31.6636,5.80068,30.4451,21.6783,6.1207,13.8522,4.44853,1,0.407692,1.03763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,4,fell,12.62,3,73.2419,64.9813,2.5485,4.30879,122.484,39.2907,9.32655,10.7572,2.09098,18.9839,13.6241,3.73566,7.53782,1.3801,10,0.37047,1.43356,73.3359,19.4992,9.02666,10.9349,3.05504,9.17282,6.78782,2.32996,4.44564,1.08183,5,0.275367,1.78533,550.038,186.778,37.9597,21.0417,1.49518,42.469,28.0067,8.96462,12.0203,2.17689,10,0.564362,1.89383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,5,fell,14.22,3,79.5886,13.4373,3.02502,4.09196,133.931,41.5666,14.5424,12.8402,1.58484,25.2304,17.6345,5.59388,9.09287,1.38821,15,0.282598,1.67713,232.063,72.1835,18.9326,38.1136,1.51027,25.2535,20.5278,4.87613,11.9618,2.17655,15,0.372125,1.49991,619.837,227.003,35.7634,88.6309,2.37502,46.4297,36.4766,9.33247,21.0534,3.11997,22,0.386169,1.09098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,6,fell,31.28,7,41.5495,64.0791,1.36664,3.75115,102.863,31.258,11.066,12.8379,2.17206,17.7472,14.2724,3.66323,7.26956,1.28277,9,0.22122,1.84416,204.874,70.3185,17.5889,16.3096,1.12278,23.8905,21.1457,5.33904,11.0834,1.50322,16,0.270657,1.19008,132.156,42.9679,15.7185,28.3899,1.71525,16.3127,11.2113,4.01506,9.56134,1.63065,10,0.230337,1.89475,132.085,37.6253,10.6816,16.21,1.25924,12.1742,9.68501,3.18315,6.30517,1.14942,4,0.251381,1.70935,569.106,127.63,40.9376,44.7654,2.52507,45.8559,33.4565,10.5333,24.2384,3.92702,17,0.354956,1.63243,426.698,99.1277,41.6724,119.387,2.95103,41.4305,30.7674,9.49267,23.1243,3.93544,19,0.298159,1.7979,568.222,147.679,43.8072,17.8599,0.251713,27.9024,16.2967,6.96502,11.437,0.987451,8,0.969539,1.11596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,7,fell,41.04,9,30.2797,84.3609,1.02171,1.65072,128.085,44.0166,11.6068,11.1784,2.34019,19.2348,15.1647,3.73462,7.07366,1.26041,11,0.345655,1.32011,223.076,57.0342,21.9462,12.3784,1.43158,29.9546,21.5067,7.18667,11.1541,1.99955,19,0.270721,1.53928,120.729,27.4236,12.1066,30.929,2.30892,13.2126,10.2214,3.40811,8.30305,1.97829,5,0.244114,2.21776,247.227,66.8952,21.3085,50.0787,2.23304,33.3908,24.382,7.67474,16.3407,3.77308,23,0.252543,1.32885,186.777,64.2615,21.6154,11.4817,1.23977,27.1878,21.3739,6.69835,9.59284,2.08183,17,0.223557,1.4602,520.4,122.463,46.2063,129.716,6.15826,43.4553,29.5755,10.903,21.4469,5.77019,14,0.326248,2.18332,240.011,78.5897,27.657,16.832,1.80332,31.5401,22.6045,7.94055,10.7303,2.49354,19,0.28929,1.5472,443.025,72.0785,38.2997,30.8968,1.72677,40.8716,27.619,9.76,12.0989,2.36717,19,0.287037,1.85292,117.903,46.3835,15.6479,52.2355,9.02328,11.1121,7.82437,3.03238,9.77134,2.70943,5,0.390489,1.2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,8,fell,42.12,9,24.1804,65.886,2.34451,2.25698,174.513,61.4591,16.4217,13.3563,1.49622,24.6789,18.534,5.41489,9.92637,1.62993,11,0.330677,1.47691,109.861,29.3924,12.203,9.22755,2.52449,15.7214,11.0713,3.73646,6.01819,1.27631,9,0.273836,1.59676,240.317,62.5503,22.7357,12.203,2.62364,29.0948,22.0428,6.36636,10.8822,2.3378,16,0.326979,1.54611,440.365,100.032,30.6964,67.5411,3.17192,37.932,27.0583,8.30258,14.0633,3.8627,16,0.439963,2.03488,59.5118,24.0117,10.6266,63.2874,3.81679,8.83539,5.93209,2.73036,7.86903,3.05651,4,0.180813,1.80287,335.022,88.8805,31.1105,21.5826,1.58625,34.7982,22.6206,8.82988,10.8947,1.95414,14,0.220016,1.82282,119.048,34.7543,13.7737,17.2887,1.52591,15.4419,11.5635,3.94952,5.16085,1.11114,9,0.230885,1.30381,363.36,100.095,35.4587,65.9436,2.55535,34.8905,28.8399,9.74085,18.1486,3.54132,16,0.348584,1.57547,5403.48,252.669,663.461,344.622,22.6717,181.645,52.5183,53.4731,79.2218,19.8539,3,0.172274,2.93985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rl_lab,9,fell,33.36,7,45.069,75.4491,1.05315,3.35189,84.3547,29.3225,10.205,9.56907,2.0275,16.6729,11.7968,3.7008,5.96702,1.28141,9,0.316788,1.65193,52.9016,15.3932,5.52542,10.6756,2.69514,7.05981,6.08074,1.97655,4.26997,1.17935,5,0.265946,1.18337,244.125,75.5793,19.679,16.4395,2.04561,25.6809,20.1941,5.55142,8.16522,1.74086,13,0.342629,1.26977,107.148,37.0815,14.0646,12.4456,0.928692,14.0422,8.46018,3.58588,5.20396,1.29127,7,0.153737,1.37392,425.706,129.708,39.7993,26.5012,0.98594,44.496,31.6928,10.536,12.8828,2.2319,23,0.293208,1.43865,385.589,107.297,39.8456,19.8659,1.25473,42.2508,30.6212,10.5817,15.4146,2.92961,17,0.307761,1.92174,726.318,220.484,39.255,19.5232,0.919199,47.71,35.6704,9.16113,13.6648,1.84179,15,0.573287,1.73192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
