policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
robomimic,0,fell,10.68,3,116.028,24.5208,3.04121,3.68212,260.289,62.7459,22.5679,23.3236,1.46946,31.768,21.579,5.85626,12.2801,2.48358,415.933,362.244,50.2686,52.3353,2.21357,49.9015,64.6885,10.3082,17.4823,3.567,100.753,60.6017,19.0845,32.4609,27.0981,7.11111,9.2011,2.48925,7.47732,4.83012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1,fell,43.26,9,260.292,16.4608,4.08038,4.58288,229.972,46.6916,13.5976,12.9298,1.81737,27.6369,17.9544,4.75141,10.9576,2.45051,271.894,131.47,29.2807,28.7433,1.79909,29.7496,24.8867,6.36669,16.5967,3.68987,362.866,183.508,25.4163,15.4846,1.65648,35.6162,33.0913,6.66787,12.6259,2.7049,249.474,56.9214,23.2212,12.5231,1.50016,27.7958,18.2985,5.29053,10.8879,2.34801,139.86,63.1231,15.4851,12.5498,1.60703,19.2943,13.5879,3.90803,5.60998,1.52256,317.926,71.2145,27.7037,25.2444,4.20824,27.5906,19.5701,5.43297,16.7924,7.08,128.306,56.274,14.3038,15.4663,1.41136,14.4829,11.2718,3.17783,4.24527,1.04553,1457.33,870.983,172.423,279.431,53.0294,87.4586,93.9453,19.8802,53.4534,18.6674,1632.21,1202.92,185.065,182.381,52.843,87.5611,113.149,19.2711,46.198,12.2416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,2,complete,60,12,140.834,3.75264,1.48652,1.45762,230.46,160.736,22.2164,18.4055,1.117,33.6271,35.498,6.44666,11.6588,1.58502,189.969,50.4828,13.7236,18.3208,1.41695,22.5574,15.0501,3.74508,7.58551,1.22973,315.186,48.5333,21.4143,23.8247,2.23927,33.2673,22.8626,5.81013,15.8193,2.88983,185.268,47.0971,23.837,28.4199,43.5735,17.3615,12.9076,3.77981,12.529,5.36004,220.073,35.1548,13.7652,18.0805,1.16281,20.6385,14.2955,3.74544,6.88209,2.8581,260.328,33.9061,20.6813,24.6259,1.82574,27.3798,15.3643,4.26275,4.27144,2.62184,333.25,49.6465,17.0612,16.5015,1.77768,37.119,22.9075,5.62574,6.84711,5.07365,280.279,48.1161,21.6478,39.5634,1.6113,28.95,19.141,5.78993,14.7864,5.73843,403.974,120.165,32.5328,20.5216,0.739826,36.1442,25.7723,6.36885,9.69585,2.74296,318.119,198.168,38.9887,125.22,2.47103,32.3678,34.857,6.69161,21.6184,5.48647,951.522,725.747,113.643,48.2756,2.43766,76.3472,95.958,15.9173,40.6414,14.6821,922.129,802.113,128.674,60.1868,2.91681,70.9142,95.5047,15.7876,30.3181,7.70939
robomimic,3,fell,31.18,7,55.5586,5.58241,2.06503,3.4559,367.647,94.6631,27.0881,63.5192,1.99521,42.6524,29.0947,6.40793,17.1185,2.75338,254.499,50.1764,19.2817,18.8675,1.16421,26.3737,16.5442,3.9536,10.4871,1.80861,169.494,44.341,18.6153,30.1008,32.0973,21.3711,12.8386,4.36499,12.8563,7.73596,325.371,206.177,32.3582,33.8887,1.12054,39.8113,45.5062,7.59551,17.5855,3.03317,463.148,194.485,33.6538,20.7564,1.783,41.8737,36.3842,7.49601,16.4351,3.68121,348.333,206.169,40.5102,35.1644,4.3287,33.3565,31.8239,6.37797,15.168,5.55738,133.91,50.2249,16.7152,28.3248,26.7251,9.96498,5.84269,2.56218,9.52601,7.53992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,4,fell,56.6,12,50.4224,5.53324,3.81089,4.50954,158.792,40.4573,11.3209,30.6196,2.23313,18.2066,16.2834,3.78757,10.8485,2.96038,250.746,30.4313,14.1294,13.3985,1.91052,27.8716,15.4054,5.07132,11.6943,2.7844,245.352,30.4006,18.8382,14.5371,1.59748,21.8291,13.2088,4.28119,6.45046,4.09478,114.77,12.1707,6.07045,14.9043,1.44751,12.923,7.20512,2.46013,4.78041,2.72967,340.146,42.0379,14.7408,13.6223,1.28959,33.5234,19.9876,5.41923,8.29637,4.38797,354.634,184.975,32.2934,121.293,2.46051,36.1544,29.4019,6.49283,18.0965,5.62642,268.173,64.5205,23.3685,20.0428,2.67929,28.7436,19.4519,5.90454,10.2644,6.61478,265.202,131.268,32.5919,72.2222,3.25682,22.8265,18.0144,5.2078,17.3693,3.81975,415.546,291.936,41.3502,67.0263,2.4229,44.739,52.4736,8.31829,19.2029,7.27891,332.331,92.467,23.7614,22.0435,1.96021,35.5301,25.8946,4.83167,9.05904,3.08553,171.175,52.5664,12.9369,11.5941,1.02007,18.2025,14.0241,3.28512,7.57821,1.52996,856.668,388.837,88.2733,121.185,2.10961,43.7075,40.1693,8.73015,27.8775,4.28416
robomimic,5,fell,25.1,6,229.119,17.098,3.05015,3.7514,214.039,56.7992,12.0454,14.5142,1.15926,24.1905,17.4784,4.07597,7.84572,1.84177,277.302,52.5573,21.2923,25.0543,0.743609,30.2339,22.1134,5.32086,13.4067,1.86672,194.893,55.9743,17.5658,26.5678,1.15831,18.9837,13.7688,3.456,7.56173,1.36079,108.054,62.7631,13.3186,19.4558,1.02406,17.1247,10.332,3.35787,6.90005,1.15988,1279.42,783.194,155.384,152.638,4.53418,78.6479,95.639,16.5469,45.3498,13.3791,6.896,0.930725,5.67587,79.526,46.2137,1.20448,0.398422,1.15251,12.5353,8.13951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,6,fell,26.4,6,38.208,8.29571,2.67849,3.60555,182.75,44.195,9.14187,15.0112,1.54555,19.2549,14.8046,3.44009,7.09489,1.19308,233.529,42.0748,18.7449,21.0911,1.03223,26.4882,18.1417,5.30301,13.5463,1.83536,209.436,32.7974,14.0359,20.5436,1.09249,23.3601,15.4574,4.3257,11.0478,1.55235,146.739,31.285,11.9282,29.2472,1.05577,14.3228,10.7176,2.88869,9.44648,1.57094,254.323,57.3743,18.0763,24.1712,1.72857,27.467,18.5437,4.16073,10.94,2.0074,1041.61,94.8652,73.8,72.1957,1.15663,43.2135,21.1499,8.82205,20.4408,2.85768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,7,fell,55.74,12,101.546,7.38134,3.28961,3.31922,201.979,36.8631,11.7152,16.531,2.32736,25.7426,16.4641,4.2762,10.9345,3.63596,139.77,32.3042,16.3816,59.4176,31.7992,15.4643,11.6624,3.36794,13.4699,5.06233,118.512,21.4956,7.7125,9.68525,1.48515,11.7776,8.78637,2.28054,6.62551,1.90452,241.457,38.9799,17.6009,12.5708,1.48005,24.2138,16.2751,4.31449,10.4745,2.86798,244.019,42.0988,12.7971,8.75136,1.02668,27.4165,15.667,4.38042,8.4165,2.39994,288.608,43.881,20.6552,17.0468,1.87217,29.7142,20.2244,5.61433,10.0255,3.54056,289.217,41.4877,24.1847,16.1046,1.26226,28.1227,19.429,5.36677,10.2579,4.51046,258.11,33.6372,13.8874,16.2547,3.6659,24.6081,15.3092,4.7354,9.98881,9.70841,295.349,86.6916,28.4955,135.329,2.87131,32.0614,22.6546,6.26645,25.2756,6.13742,199.961,44.8093,13.7022,8.86835,1.13662,23.4101,17.376,4.21568,8.47677,2.18114,904.443,522.467,91.7876,48.2781,6.56465,63.9863,68.2614,12.2297,28.2759,15.0373,454.714,178.13,54.4503,14.8242,93.7284,19.4235,24.0796,4.61605,8.20634,17.1946
robomimic,8,complete,60,12,22.5234,4.11501,0.347088,0.292195,195.583,32.9569,14.1766,16.4985,2.20957,27.7192,17.8817,5.09049,11.2963,2.93909,248.958,43.7712,18.4307,18.3969,1.94876,26.5107,15.1157,4.6546,10.4054,2.21251,314.313,86.743,30.6753,59.2687,3.48142,30.5678,21.6615,6.55275,19.8372,6.84093,518.868,276.335,53.6483,38.7934,5.48856,44.6452,43.7482,8.34826,19.6617,6.52655,215.196,99.5358,23.5742,22.8094,4.31947,24.2303,17.3126,4.48612,9.04046,4.51196,269.069,67.334,31.5237,52.834,14.2983,25.2349,19.3422,6.23999,18.3887,9.00911,233.468,62.4316,22.7698,23.0072,0.890484,25.4525,18.0826,5.24511,8.20492,2.27932,373.432,74.1515,26.1919,38.3065,1.96688,32.2353,27.5579,7.24989,11.9386,6.88774,443.388,194.819,26.0171,16.5914,0.939312,44.2448,36.425,8.02995,9.73566,3.58816,323.038,66.1677,25.1896,15.6842,1.07993,31.4229,21.8074,5.55659,6.9396,2.89745,287.192,35.4824,20.6968,34.8106,12.9168,28.0588,16.8506,5.98336,13.2948,8.1057,616.712,251.234,52.0062,37.5389,1.44765,50.3789,44.2011,9.18336,15.3777,4.20672
robomimic,9,fell,26.36,6,277.351,14.1442,3.97198,4.77554,149.187,29.8902,8.80056,11.0024,1.44764,18.0882,12.7496,3.43176,7.72716,2.35255,66.0884,13.6996,6.34998,56.9276,5.38897,6.29796,4.59802,1.78422,11.2005,3.73095,472.567,479.923,55.0974,47.9451,5.51839,51.5838,68.5403,11.164,29.7364,12.0779,366.195,100.567,32.1576,15.2952,0.831655,33.7492,26.1133,6.76675,15.608,4.40443,1077.33,844.285,133.063,99,15.3006,77.4702,99.1034,17.2089,40.3674,22.026,708.132,434.493,81.7238,79.2494,32.0674,34.5581,41.6678,9.02356,20.8679,10.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
