policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
robomimic,0,fell,37.8,8,222.067,9.12693,3.18299,2.48324,272.839,84.329,26.1466,23.105,2.08125,34.0901,28.9791,7.35929,14.5481,2.23269,22,0.333871,1.2152,1.47317,267.08,154.012,21.6274,26.0694,2.46888,28.6399,27.4858,6.19169,11.4373,2.19007,19,0.406967,1.23789,2.46273,285.699,66.5153,28.7834,72.5994,3.09621,25.4556,21.8105,5.29678,13.9776,2.56897,14,0.412616,1.46304,2.49588,413.108,352.816,42.561,30.8902,2.47501,40.948,49.9505,9.92512,18.4556,3.45434,19,0.627157,1.55371,4.13331,221.225,52.4817,13.7027,16.0836,2.20398,19.5012,17.3678,4.00425,8.17719,2.09791,11,0.420476,1.36168,3.56061,560.678,165.455,40.2654,41.5743,1.51556,41.7746,34.3993,9.6304,17.104,3.48971,24,0.424049,1.36262,2.83864,1598.38,890.911,164.864,191.425,4.63044,99.3059,110.532,20.3111,51.9663,9.89574,29,0.46839,1.4289,7.02641,1801.62,746.264,153.246,93.7855,13.9195,76.8226,84.7764,17.8326,29.5222,6.75429,16,0.804184,2.41312,6.00061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,1,fell,47.2,10,117.515,15.5569,2.8283,4.2169,216.099,40.2404,13.0851,11.6599,2.65045,27.6756,22.0178,5.30296,10.9195,2.02209,16,0.362308,1.35397,1.5581,183.991,85.9594,19.0958,15.1136,1.74126,21.9452,19.1604,5.17255,10.5262,1.63471,12,0.413949,1.25851,2.32835,565.619,400.761,56.488,97.4424,2.22491,44.2419,58.7521,12.2648,21.7188,3.73997,26,0.508043,1.39332,3.58647,335.438,78.2118,26.5554,17.5662,2.34202,34.5521,24.3667,7.86146,11.1084,2.24381,22,0.410632,1.52504,2.22333,264.645,139.175,33.6266,59.3665,3.07599,29.5347,25.8143,6.59627,12.1784,2.82111,22,0.36701,1.11485,3.4295,355.079,107.861,34.77,93.4167,16.0303,35.0365,28.8754,8.29319,21.6799,10.3313,17,0.45022,1.47366,2.34798,128.993,52.171,17.0129,15.2599,2.16047,16.5587,11.4677,3.98962,5.68021,1.0237,6,0.417388,1.18301,3.4861,228.2,91.2686,40.9887,48.9455,6.71123,21.0431,15.1671,5.02236,9.61458,4.44468,10,0.209342,1.27762,5.37546,672.695,384.883,76.6465,56.1391,1.87588,61.1753,65.4772,14.886,24.425,3.0831,24,0.325883,1.48449,2.80749,948.935,463.073,94.0139,53.5547,4.39323,59.2764,73.8727,14.3996,18.7912,4.27919,11,0.408951,3.18952,7.22676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,2,fell,80.86,17,141.19,7.64435,1.7593,3.10592,117.047,54.567,10.4697,13.5835,1.31039,16.9551,14.7324,3.58098,7.56723,1.3091,9,0.382733,1.55329,2.13188,116.258,30.2141,7.15989,15.176,2.10427,11.3932,8.96139,2.31531,4.40273,0.928079,6,0.414108,1.464,2.84412,202.717,65.7928,15.3063,19.6055,3.2229,18.593,19.5592,4.03151,11.1852,2.33186,11,0.453804,1.45482,2.79083,157.136,47.1548,11.5027,12.1945,2.04596,19.5671,14.9227,3.98894,8.33485,1.66364,11,0.422894,1.3285,1.52891,236.59,39.5595,14.866,52.8981,1.39015,23.8185,16.2612,4.91979,12.6893,2.06413,14,0.370689,1.32062,1.44523,194.272,25.9095,9.23005,17.5828,1.86733,18.4195,12.0198,3.66296,6.19737,1.24008,11,0.32289,1.26941,1.22401,363.414,138.022,23.3996,38.2479,2.84218,27.1316,23.8869,5.65355,11.8719,2.73501,12,0.439504,1.40581,3.40829,530.954,290.678,52.1959,34.57,1.62063,47.5282,51.1189,11.5586,15.3637,2.86434,24,0.500132,1.44429,2.8318,381.887,168.547,39.8901,35.8033,0.905231,36.447,34.9883,8.57793,12.3452,2.45312,19,0.453536,1.58096,3.86673,704.035,410.708,70.31,51.9758,1.47684,51.3919,60.6035,12.6423,18.0798,3.25061,22,0.465888,1.55271,4.73915,270.14,96.1499,53.6369,21.4087,1.81621,22.2545,18.8227,5.27181,6.72695,1.69674,13,0.520294,1.20198,2.90348,197.421,81.1516,18.8485,22.7742,3.05301,21.7151,17.4464,5.19492,7.64689,1.69026,13,0.242549,1.46521,3.69898,431.087,246.805,37.3925,22.4184,2.38606,44.9947,42.4332,10.3284,13.9417,2.71879,20,0.534248,1.54417,3.93756,308.252,60.2887,17.8962,18.4892,1.60048,29.0146,19.1343,5.91097,8.85995,1.66337,18,0.358008,1.24832,1.88354,778.209,630.653,99.7442,66.3307,1.36784,66.8826,88.1692,15.9192,28.6145,3.22135,26,0.43194,1.75735,2.54599,551.504,553.178,62.7504,55.186,2.03193,64.5173,88.6548,15.2312,27.6046,3.20292,32,0.459447,1.7191,2.29729,501.938,124.065,58.4536,53.1237,5.74641,27.4299,20.4108,6.38485,13.36,4.03775,4,0.356562,2.7058,15.0023,,,,,,,,,,,,,,
robomimic,3,fell,30.38,7,128.415,26.2442,2.00002,3.39394,261.707,54.8557,16.6434,42.1876,1.95946,33.9723,26.728,6.64564,16.9463,2.43779,21,0.360972,1.23924,1.46098,306.972,128.389,24.7098,21.1716,1.6052,29.382,27.3634,6.47524,13.6607,2.09101,16,0.456429,1.44536,2.38245,150.656,34.5643,10.8714,15.575,1.49605,16.4723,10.1629,3.59006,6.9319,1.16167,9,0.389773,1.60907,2.42591,253.727,147.222,21.9091,20.3655,1.62998,26.0727,26.8225,5.7872,11.7656,1.80642,14,0.441515,1.48742,3.7178,342.653,109.554,23.4075,93.688,6.51995,31.166,25.1207,6.69036,18.0991,4.32099,19,0.414516,1.51542,2.2827,745.17,540.785,94.452,101.645,5.16828,70.2772,89.4785,17.4419,25.3794,7.39508,30,0.410549,1.69133,2.91808,152.381,52.8735,13.2077,22.4154,10.1602,8.51566,7.31786,2.5207,5.59936,6.57713,2,1.24122,2.01,9.9417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,4,fell,40.68,9,167.559,8.90408,0.847809,0.550713,121.201,36.5241,11.0739,13.9125,2.11001,15.2705,14.821,3.29526,8.39907,1.44866,8,0.452791,1.27686,2.10463,302.507,63.5284,23.2054,16.9876,3.06804,34.6036,24.5363,7.24524,15.1733,2.59447,25,0.331166,1.15183,1.34683,204.685,70.1959,19.6836,28.6743,2.05578,23.1387,19.549,5.48429,10.3029,1.90264,12,0.416026,1.30575,2.70764,180.81,42.2395,20.2802,19.1088,2.40513,22.3181,14.2513,4.95575,7.72871,1.68767,11,0.20927,1.33584,1.7121,281.979,72.2264,18.9856,41.8115,2.40333,26.258,17.598,5.62568,9.36935,2.21554,13,0.421318,1.64627,2.99265,83.0929,23.9114,6.88424,48.055,2.29649,12.3942,7.5004,3.05741,9.31745,1.97736,8,0.342657,1.24707,1.92679,217.895,121.624,23.9354,20.8279,1.97882,23.587,22.7467,5.95268,8.21002,1.69402,14,0.471687,1.32705,2.35826,1080.87,927.566,128.301,56.2072,2.07055,83.4948,117.52,20.6144,28.5791,3.46326,26,0.355119,1.84204,4.02782,583.616,144.602,33.0383,9.11098,0.208805,26.5917,21.6769,5.65753,6.26688,1.01555,1,0.424034,2.34834,9.08505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,5,fell,25.58,6,316.587,11.2185,3.06796,4.52382,165.314,38.4614,8.52965,13.6261,1.59118,19.1274,16.0371,3.80523,6.57175,1.09592,11,0.439201,1.51145,2.27218,210.749,54.7258,15.9284,37.1122,1.53784,19.0427,19.5115,4.04643,12.2809,2.39213,12,0.401822,1.36104,1.72495,264.957,104.597,23.2166,84.2295,2.79151,26.6974,23.0166,5.08381,15.236,2.82236,14,0.388424,1.21899,2.48268,234.195,193.61,29.2999,32.2935,1.31188,30.3385,31.9289,7.68972,14.0034,2.10309,18,0.358273,1.47907,2.19332,1683.33,992.516,190.742,150.437,2.21091,105.545,136.976,25.9429,37.7821,5.5252,30,0.347662,2.42277,4.86476,477.141,179.368,58.3752,83.1773,0.759542,18.6058,23.156,5.46342,9.95852,1.52224,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,6,fell,45.7,10,73.5039,11.1247,2.71271,3.10352,128.947,43.345,8.69243,14.318,2.14363,15.5928,13.4889,3.1048,6.33229,1.16434,9,0.319187,1.22014,2.3709,209.704,48.8444,17.8939,19.8075,1.11797,27.1746,19.8126,6.08594,15.0822,1.94448,20,0.308036,1.12051,1.19275,244.648,66.5876,21.5781,35.2018,1.71872,30.1028,22.9891,6.207,15.9042,2.15443,21,0.350827,1.18477,1.65894,105.254,30.3201,8.93598,18.535,1.2594,11.1134,9.39152,2.36592,6.91586,1.23178,6,0.407998,1.50772,2.06522,209.78,65.3587,17.7789,30.0183,2.51051,19.3842,18.2992,3.81554,12.2706,2.47408,11,0.441487,1.3671,1.9833,357.672,216.283,39.5765,111.966,2.81512,36.2457,37.2943,7.9118,22.0903,4.00286,20,0.382781,1.67986,3.85844,334.742,409.174,43.2456,46.7939,1.84014,35.9583,48.2337,8.85678,19.3702,2.53018,19,0.684516,1.39323,4.58702,255.553,81.8512,19.4049,31.3731,1.39139,33.4655,28.0476,6.79167,15.5518,2.7548,24,0.38083,1.13651,1.71137,525.416,427.591,52.1399,49.0523,1.67587,58.4204,73.1938,14.0679,27.4753,4.02523,33,0.442438,1.40568,1.66846,340.345,101.449,42.9057,83.3607,12.5637,18.5706,15.2087,5.59859,18.6048,9.82789,1,0.697418,2.42901,3.4718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,7,fell,46.36,10,202.153,17.385,4.23624,5.01855,195.511,34.1054,11.9546,13.694,2.32645,28.4951,20.41,5.57144,11.6324,1.76167,15,0.344808,1.34575,1.41342,152.09,55.2386,12.7483,10.4886,1.3691,15.5253,14.1447,3.45453,7.24375,1.46323,8,0.452966,1.52561,2.06412,114.067,25.589,8.65624,32.1949,2.31629,11.4036,10.02,2.64365,8.47124,1.89872,7,0.520465,1.3866,2.12734,174.872,41.7965,12.9109,43.2037,2.31527,15.2745,14.5973,3.34993,10.5053,2.93292,8,0.363732,1.23596,2.18348,203.445,37.4635,10.9365,10.7835,1.27326,21.9244,14.898,4.69544,7.71032,1.84643,13,0.45103,1.50641,1.96605,370.886,122.598,38.642,122.773,6.15284,38.4069,32.6367,7.99273,19.2505,5.1409,18,0.359158,1.21193,2.88295,195.621,36.8701,13.1541,15.4013,1.86411,18.3358,14.7763,4.18032,7.84295,2.00067,10,0.450239,1.34503,2.06108,207.353,40.3438,16.0409,22.7767,1.66308,27.0087,18.4831,6.08841,9.12298,1.73001,19,0.289067,1.22375,1.43764,1701.57,1069.62,240.404,130.033,2.38342,102.057,133.158,24.4069,33.4009,5.19397,33,0.410494,1.82663,4.15795,1060.37,466.554,85.2161,37.13,2.25813,38.1324,54.7486,9.79461,16.9057,4.6479,3,0.932669,3.44058,27.0619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robomimic,8,complete,90,18,12.5509,5.27702,0.836328,0.905321,207.922,57.4031,18.4297,18.4102,1.53642,33.8625,27.9843,6.92418,13.8234,2.44795,25,0.322022,1.11568,1.19608,177.47,40.4096,10.5169,9.92467,2.53423,20.2985,14.6324,4.38623,7.89714,1.62497,15,0.321178,1.22838,1.51786,253.066,135.64,23.9775,14.3115,2.62492,28.4043,29.3777,6.01205,10.951,2.41794,21,0.402425,1.15743,2.28421,260.9,56.6022,20.5196,65.1155,2.92875,26.3552,21.2889,5.56923,10.974,3.08453,12,0.448642,1.53018,2.37672,214.101,90.1027,22.9796,64.7253,3.93874,24.0609,21.2806,5.83974,11.5965,3.83409,15,0.367011,1.38327,3.0032,286.463,118.569,30.0176,21.515,1.61379,28.0908,25.9765,6.82235,10.346,1.91624,16,0.359232,1.22193,2.40866,221.854,94.0283,18.6422,21.5018,1.54791,26.9221,23.2851,5.92191,8.30609,1.55004,17,0.353774,1.13983,2.47542,242.817,63.6168,22.6906,73.575,2.81008,22.776,19.9659,5.54339,15.6356,4.513,13,0.436287,1.26249,1.55015,207.75,36.9515,22.6794,248.012,22.0462,19.5392,12.2916,4.99277,32.3759,12.4776,8,0.400299,1.39816,2.8629,266.934,105.308,24.8853,43.5302,1.57739,31.2396,25.7966,7.74985,14.872,2.26602,22,0.281729,1.10549,1.87821,416.912,149.025,36.233,66.0049,2.51701,37.6261,29.2969,8.11557,18.8376,3.00477,19,0.474453,1.40543,3.13287,274.307,85.9373,19.2629,21.9644,1.74804,29.0663,22.1677,6.29076,9.32892,1.63382,15,0.408063,1.41338,3.01413,795.357,94.4111,62.6988,232.484,13.9704,51.0388,33.5115,11.4287,38.4755,14.513,23,0.459643,1.47794,2.61912,333.785,65.3281,28.1048,31.6684,2.38959,27.6937,22.9224,6.50274,13.5191,3.06409,16,0.472294,1.48875,2.13205,250.363,44.5142,26.7298,197.619,22.8385,23.6892,16.6545,6.38439,30.9082,12.413,8,0.40766,1.87726,3.74825,191.86,53.3641,16.6635,15.4927,1.22463,17.9391,14.7752,3.58844,7.33917,1.29789,7,0.395097,1.67888,4.24472,215.198,35.217,14.0745,16.4801,0.995262,19.3774,10.7678,4.40631,9.21566,1.61354,10,0.416785,1.66382,2.03107,342.795,221.96,37.9446,44.9908,2.09063,40.0824,45.1834,9.74926,18.3951,2.2,21,0.45986,1.45926,2.29598
robomimic,9,fell,23.88,5,87.1123,28.5636,3.62912,4.3561,138.055,28.8205,8.46835,10.5648,2.01237,20.4665,17.2787,3.93944,7.79363,1.61783,11,0.334027,1.37588,1.65802,75.6976,15.2374,6.27054,11.3356,2.70085,8.0822,6.01481,1.98888,4.96166,1.20478,4,0.376462,1.45638,1.48543,245.855,101.265,27.6541,19.7729,2.06849,28.6828,24.6649,6.81787,11.7993,2.51773,20,0.378828,1.30458,2.5529,287.973,138.428,30.0056,16.357,0.986025,33.9106,29.5646,7.5411,12.0941,2.43944,20,0.42797,1.35088,2.79931,894.965,653.908,106.644,45.942,0.811755,61.9309,87.045,15.9129,21.9331,3.42682,17,0.549594,1.6076,5.27514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
