policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
run_residual,0,complete,90,18,417.423,3.89134,0.603676,0.729893,445.085,110.11,46.0727,26.6022,1.42304,35.682,29.9268,8.21079,12.28,2.20818,16,0.511412,1.38238,4.29361,349.038,102.28,43.2649,27.2945,1.50209,30.6499,26.1109,7.22314,10.8548,2.47023,15,0.461084,1.43831,3.3615,462.275,132.041,61.7717,77.1615,2.44021,38.467,34.5952,9.09117,16.9882,2.71199,20,0.498671,1.403,4.13552,381.452,112.377,46.8067,25.6176,2.01053,32.1896,28.0943,7.43427,12.9031,2.42459,17,0.626361,1.45789,3.67445,311.892,111.818,34.8454,20.8706,1.69593,31.0352,29.5593,6.3996,10.49,2.86308,16,0.590676,1.50327,3.77041,350.325,106.846,41.8491,25.6973,1.15527,32.8451,28.976,7.10382,11.3532,2.62359,15,0.583695,1.56626,4.05449,1157.23,262.215,179.126,182.493,6.4623,71.6093,59.1453,16.3918,38.473,8.3042,18,0.405412,1.96766,11.3844,981.362,220.031,120.418,55.9173,1.98016,61.0343,54.4922,12.3497,21.8742,5.22349,22,0.544879,1.80904,8.0216,402.149,131.423,55.7947,33.5796,1.1097,35.2797,31.8662,7.87825,15.9673,2.57527,18,0.487733,1.4914,3.93342,383.833,132.709,58.347,36.5222,1.05906,31.5786,30.4254,6.96908,14.4507,2.50528,16,0.489776,1.50055,3.94165,455.904,162.146,61.6648,79.3761,2.186,38.1037,30.4813,8.64728,22.1481,3.4048,18,0.48497,1.43491,3.77434,802.991,176.697,96.7412,54.2726,1.65317,51.3201,48.4284,11.7243,20.9522,3.07105,23,0.492812,1.36717,5.20601,551.794,165.497,64.0692,57.8359,1.71343,41.9016,38.9426,9.32754,17.7694,3.38023,19,0.516622,1.59399,5.75227,488.14,134.09,58.1295,45.0202,1.15931,41.6772,33.8853,9.54873,17.7894,2.90359,18,0.527779,1.51249,4.22647,508.245,114.768,105.637,273.481,4.82632,35.5333,31.9251,9.8648,29.236,5.85666,28,0.311681,0.876026,2.58858,1062.42,244.221,98.99,47.5336,1.13774,60.7878,58.5472,12.4661,24.8664,4.03203,25,0.365702,1.49265,6.548,675.319,199.274,81.6573,45.3878,1.33433,50.0319,41.5774,10.5903,18.8437,3.41525,17,0.711023,1.99874,7.0851,523.217,141.228,65.3643,144.785,113.115,38.6568,33.3515,8.54555,30.0738,11.3156,15,0.589728,1.65305,5.03862
run_residual,1,fell,40.82,9,579.82,12.0181,2.4786,3.43435,324.663,85.0085,32.5,13.9063,1.89716,31.3042,25.586,7.21968,12.1141,2.92261,15,0.476408,1.54278,3.34141,285.415,81.2415,37.6905,15.2605,1.24611,31.3378,22.5563,7.13444,11.9028,2.38754,16,0.61895,1.43192,3.05504,483.925,137.908,63.9364,102.843,2.16302,34.6439,32.4869,8.34193,17.614,4.23729,17,0.429708,1.2684,4.28041,819.244,170.521,75.8427,24.6808,3.03583,57.2903,47.8746,11.8351,21.1954,6.98866,24,0.454161,1.37705,5.71032,444.77,132.636,64.2533,59.8915,2.36896,33.2269,33.5375,7.86273,11.8426,2.9295,24,0.37924,1.06481,3.40128,430.406,119.584,64.8224,34.5443,8.10203,38.1683,32.0146,9.67668,20.6176,8.33541,17,0.499831,1.6,4.63329,407.217,148.402,52.0015,27.1886,1.43152,36.7552,33.4151,8.26719,9.73509,2.04601,16,0.619509,1.56269,3.51146,459.72,167.888,68.2968,41.057,13.7115,42.7031,35.4463,10.7011,17.5489,8.05426,20,0.67547,1.53777,3.48373,246.97,30.9109,47.9652,22.4464,0.223267,12.5893,7.60234,3.49246,9.15969,1.32353,4,0.404503,0.974447,2.13712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,2,fell,35.8,8,494.975,15.8255,1.47664,2.63026,330.814,107.168,35.1642,20.2211,1.16101,32.6957,28.5971,7.05699,10.6443,1.49347,16,0.570459,1.42271,3.89836,286.718,84.1964,26.168,21.0678,1.43567,27.659,25.6626,5.98939,10.0247,1.5111,16,0.419292,1.33092,3.28331,308.708,99.7521,27.0672,21.2292,2.2529,27.5532,27.5185,5.69014,10.7818,2.03785,15,0.446278,1.33925,3.4378,493.235,134.7,44.1459,17.4039,1.85337,35.5204,32.0053,7.9601,14.644,4.13492,18,0.387002,1.24063,3.87205,873.892,175.759,79.8261,36.9665,1.63137,59.3021,48.8,12.651,14.5591,6.39897,26,0.420123,1.1046,4.68255,423.923,101.275,54.7257,31.2009,2.11508,37.12,30.5228,8.76135,6.31718,4.10865,18,0.421871,1.4628,4.51686,396.814,97.7127,46.8898,18.1856,1.98591,33.9649,25.8348,8.3587,7.42945,5.69686,15,0.613058,1.74014,4.57411,254.895,13.3799,22.1207,8.88565,2.89039,10.4209,6.37802,2.92594,6.42424,5.86505,2,0.613531,1.39353,3.74358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,3,fell,10.9,3,187.891,17.8712,2.53705,3.62168,397.924,86.9866,38.159,29.7129,1.6805,36.0667,27.5377,8.15922,17.741,3.65061,17,0.53811,1.26226,3.95135,611.236,156.935,66.8336,30.7593,1.26648,40.842,39.799,9.55389,17.3622,2.6237,21,0.442447,1.42158,4.4667,115.929,42.1565,12.4591,8.56108,0.22703,9.78016,6.60773,2.46505,4.73613,0.553784,4,0.260527,1.118,2.25955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,4,fell,46.54,10,936.716,19.5988,1.319,0.372339,263.1,76.6033,23.1358,16.291,1.72077,28.3162,25.1493,6.53369,11.2759,1.82691,15,0.432283,1.33026,3.3498,417.115,121.801,46.0815,17.6276,2.05724,33.7327,32.2919,7.9767,14.324,3.4126,18,0.431175,1.36689,3.73292,389.555,90.5503,36.1599,16.5514,1.39946,31.3215,26.8327,6.59006,8.0929,4.93558,17,0.588393,1.36934,3.43058,288.783,76.6181,31.0925,17.0437,1.50349,31.6987,22.8855,6.81081,8.28095,3.16719,17,0.41412,1.25251,2.5861,248.307,63.3735,30.878,21.0576,1.5374,24.872,22.5893,6.26183,8.75543,3.9256,15,0.569762,1.52948,3.34015,256.324,69.3736,25.8028,16.1034,1.67195,30.7282,21.27,7.34336,11.3449,6.05851,14,0.485156,1.59869,3.57653,291.692,93.5092,27.7954,26.377,2.53064,28.551,23.993,6.84066,11.4129,7.00314,14,0.468607,1.43621,3.18132,342.392,113.4,36.365,21.296,1.46262,33.3129,27.1576,7.06886,10.7032,2.45462,17,0.469861,1.38711,3.10256,348.067,119.747,42.4171,16.1868,1.01416,35.0965,30.6686,7.38894,8.88963,2.58642,16,0.657575,1.59373,3.62838,823.835,147.424,102.154,71.9848,66.7891,32.713,22.094,10.2915,19.836,16.2588,5,1.58059,1.73753,17.0612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,5,fell,75.76,16,894.484,9.65101,1.8135,1.48441,277.405,84.2073,28.0451,19.1863,1.20044,29.849,25.5076,6.38113,10.7255,1.61095,15,0.495141,1.43057,3.44271,303.37,108.152,34.0995,48.1481,1.2407,29.4298,30.8559,6.01131,14.8356,2.6636,16,0.567942,1.45045,3.84309,486.579,101.006,69.1845,98.9422,4.53962,36.9923,26.9334,7.96829,19.859,3.90375,18,0.427169,1.32441,3.77271,509.11,169.575,71.0653,39.1469,1.1749,39.2467,35.798,8.29721,15.6744,2.2276,19,0.731982,1.51277,4.22352,500.978,140.251,99.9514,60.9081,7.91988,39.948,33.2409,10.7854,18.9231,9.01039,20,0.594541,1.74106,4.66911,633.209,177.148,71.5108,43.429,4.11608,42.9536,37.117,10.3972,20.8138,8.1194,18,0.698285,1.85172,6.31183,461.424,143.348,67.7161,19.0553,3.36399,40.5263,31.7297,9.38953,13.2988,7.80513,20,0.662154,1.55393,3.98701,912.409,207.238,83.644,38.4476,2.59294,59.6486,52.2418,12.9189,22.7962,8.8739,23,0.524054,1.36825,5.10519,951.523,204.061,88.2294,51.5574,4.35653,61.8101,53.313,13.0594,24.843,10.5717,29,0.242805,1.09123,4.43723,731.752,186.996,69.1201,13.2875,2.00142,51.6537,46.0772,11.2484,12.3703,6.43411,21,0.330092,1.47395,5.54973,309.038,85.5398,31.0889,21.8264,3.00599,29.0602,26.4616,6.34914,7.98614,4.19013,16,0.537563,1.39697,3.20937,668.293,211.52,120.29,115.155,6.04131,49.1395,41.1928,12.9956,23.655,12.2611,18,0.740663,1.95577,6.72247,615.586,148.575,92.8944,29.0193,1.32807,46.947,43.4218,11.9427,14.4619,2.54297,20,0.60906,1.81189,5.17255,440.058,123.723,61.3376,37.0866,1.29771,36.2245,30.2901,8.4063,11.7852,1.80898,16,0.652304,1.68594,4.2813,611.587,142.002,57.3273,44.439,1.18408,42.1026,32.6574,9.83286,15.8866,1.99492,28,0.287632,0.961059,2.9273,427.592,38.8665,73.0021,41.2908,3.55097,11.1457,8.78056,3.07891,10.953,4.05092,3,0.275976,1.30236,8.01562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,6,fell,25.8,6,300.358,27.5894,2.06007,2.51019,309.999,93.7607,32.9285,18.3746,1.55931,31.6769,24.4595,7.52967,12.9203,1.93341,17,0.495978,1.41186,2.97848,708.687,113.503,62.3875,31.7363,1.13318,44.9747,38.8037,9.34232,17.7402,2.40569,20,0.465493,1.40227,4.08556,617.272,147.43,61.7374,56.1635,1.41917,43.6687,41.179,9.14473,19.9548,2.4494,20,0.524251,1.58693,5.30509,283.696,95.5599,28.6214,25.3924,1.05692,29.4152,26.4345,5.94892,12.1772,1.90091,16,0.575844,1.43603,3.3947,400.592,110.906,46.6417,39.3876,1.78625,35.1971,28.2702,7.91187,17.2002,2.94916,15,0.502476,1.47747,3.70156,174.273,31.8336,52.4942,86.6145,1.47887,7.53409,6.88481,2.2303,8.76513,1.5686,5,0.555452,0.954204,1.6058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,7,fell,61.22,13,593.603,5.03151,1.73875,1.31085,338.161,96.5027,34.996,20.4191,2.42576,35.2744,28.3178,8.11776,14.2745,3.52492,17,0.48848,1.40563,3.05865,348.415,87.0806,34.601,12.7856,1.29685,30.0584,25.9686,7.53242,12.6045,2.47213,15,0.468327,1.53348,3.48886,308.742,77.6899,29.4862,13.2219,1.5411,27.3584,26.3872,6.69686,11.6708,3.21213,14,0.449737,1.47939,3.61051,363.662,78.4053,31.4566,28.0805,1.98025,29.7459,24.2447,7.10438,14.1565,4.06676,15,0.468718,1.61482,3.9537,369.58,81.8486,30.5904,9.66447,1.04281,30.4238,27.409,7.47332,10.4857,3.13328,14,0.514536,1.8444,4.17626,1019.54,188.939,111.32,130.025,6.68004,67.562,52.4013,14.8543,28.3325,11.7419,29,0.391448,1.10058,4.57463,636.689,167.554,55.7034,19.3145,1.6755,47.8599,39.6809,10.8402,16.3218,6.36375,22,0.316795,1.24388,4.09914,286.023,63.8923,25.0561,13.97,2.40158,28.5714,22.267,6.4778,8.28162,10.0103,23,0.323184,0.963,2.05,416.788,106.926,48.7434,60.4792,4.05125,36.5953,30.0552,8.80987,19.051,8.41242,19,0.558115,1.47542,3.3547,434.253,128.043,55.9612,15.5797,1.20645,37.4552,29.8874,9.79554,14.9155,3.9925,19,0.528193,1.5217,3.40071,581.565,143.694,86.7754,23.5557,1.85663,43.2135,33.0171,10.9239,14.8252,4.94671,18,0.616686,1.77739,4.92188,1238.85,243.22,144.259,17.9104,2.53064,69.99,59.6348,14.7718,15.6597,9.75116,24,0.460271,1.62415,7.4714,827.673,96.4055,115.638,62.4276,16.0517,30.8246,19.2228,9.11988,26.3637,16.7557,4,1.32054,2.25711,28.6282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,8,fell,16.18,4,464.15,24.3007,2.50165,2.69076,349.763,89.5109,40.0686,22.4603,2.3637,32.0102,27.0526,7.43013,12.2606,3.25718,15,0.446209,1.41578,4.00028,379.031,81.6106,36.2892,16.1389,1.89044,33.4165,26.3796,7.99373,12.4218,2.19652,15,0.550959,1.70394,3.60673,421.094,98.8871,46.1658,17.1896,2.91207,32.6624,27.3137,8.04547,13.3753,5.19257,13,0.568297,1.77627,4.78039,238.829,35.2177,23.8839,47.8984,1.71524,11.7519,7.67748,3.38996,9.25712,3.517,6,0.377706,1.60225,2.9826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,9,complete,90,18,654.17,4.02583,0.559417,0.612024,293.224,82.1176,29.5535,14.0691,1.37352,31.7578,24.7767,7.51615,12.1484,2.047,15,0.508178,1.47161,3.34067,350.745,80.6695,32.5006,18.4427,5.45579,29.2965,26.0051,7.1022,13.2788,5.59142,14,0.522822,1.59827,4.08751,829.137,162.934,78.8402,36.7841,5.63015,53.2963,42.1661,11.7052,20.3955,9.41321,19,0.636111,1.58664,5.73196,795.528,204.77,78.8318,21.2736,0.947406,57.1444,48.0649,12.7078,23.1416,6.26376,24,0.620425,1.40279,4.88531,420.291,142.971,52.0096,26.8685,3.31037,39.018,32.1416,8.68149,15.9271,10.0896,17,0.749738,1.78495,4.14841,346.477,108.053,42.6976,17.4275,1.04708,32.3759,31.4952,7.02498,11.0297,4.23702,21,0.460838,1.21702,2.93192,649.229,162.331,63.9858,28.9093,3.81027,44.7821,38.9564,10.0823,14.646,8.15892,20,0.439635,1.44723,4.38803,406.742,104.26,54.6927,14.1291,1.13148,35.5447,28.1687,8.99675,11.7603,4.39425,17,0.481538,1.70933,4.37888,392.924,99.4475,47.2686,16.9776,1.78576,32.3398,28.8314,8.14534,9.70016,3.03134,17,0.434405,1.56393,3.48376,496.871,129.094,74.2493,32.2814,1.71368,40.5312,28.324,9.93045,13.9038,4.01377,19,0.679453,1.49233,3.89985,880.546,212.621,105.909,31.3415,1.91985,56.5912,44.5049,13.394,19.8043,6.40939,24,0.38132,1.24684,4.78465,1018.04,218.071,97.017,24.8432,1.50429,62.9273,54.0407,12.606,21.5753,4.27369,30,0.259732,1.2685,5.13385,1117.46,265.406,104.583,39.0869,1.53875,66.3326,61.9892,14.4303,25.4386,3.63795,23,0.395274,1.70271,7.76843,883.232,228.855,86.1965,29.0775,1.4788,60.8245,54.7943,12.4188,25.226,5.23234,20,0.569009,1.60753,8.95432,709.422,167.975,68.1044,26.4188,1.73988,52.9614,41.0046,11.8766,20.3359,5.01945,23,0.440658,1.31039,4.52938,375.267,93.6279,47.3491,28.7831,1.47395,36.3016,29.2422,8.0122,11.995,2.88479,27,0.401937,1.08538,2.47538,430.85,105.593,75.2219,30.7121,1.29393,38.9728,29.8709,9.7098,16.1295,3.09845,25,0.438463,1.20617,3.19063,325.829,87.7871,40.0422,18.1103,1.52417,29.4164,24.0619,7.19395,12.8495,2.56587,15,0.541949,1.5872,3.39408
