policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
run_residual,0,fell,11.32,3,141.983,9.70083,1.33754,2.18645,702.248,127.611,82.7287,31.8413,2.12775,44.7689,36.521,13.004,15.4231,2.30795,16,0.534198,2.15293,536.353,120.176,79.4251,32.2806,2.47051,38.6586,32.1152,12.2909,15.3732,2.87742,14,0.533211,2.16006,353.857,43.4794,58.2606,90.227,2.08394,14.9307,11.6083,3.80471,10.0055,2.16753,4,0.239748,2.02685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,1,fell,62.48,13,747.019,6.03018,0.336285,0.174124,468.743,89.7383,58.8589,16.9435,2.67181,37.7163,25.6717,11.0629,14.0925,2.38382,14,0.507883,1.94558,449.686,113.048,67.8147,21.6398,1.79539,38.6126,30.4636,11.2354,14.8163,2.3615,14,0.578929,2.07948,947.333,184.002,169.638,104.229,2.18281,56.3848,45.1616,17.4697,22.2683,3.63826,17,0.679105,2.55856,1170.08,225.274,135.497,31.9932,2.3672,59.5589,60.9935,15.4732,15.4117,2.74003,19,0.640848,2.60434,735.438,133.072,117.14,71.5707,3.10237,47.208,30.3991,14.0475,16.0016,3.38624,14,0.724556,3.17606,634.137,107.096,120.462,88.5656,15.0427,47.3047,34.8562,14.6168,22.7392,10.2146,15,0.603184,2.63924,699.542,145.182,89.8018,33.1506,2.1769,42.7659,37.2522,13.3183,11.4487,2.25185,13,0.522738,3.08754,726.047,137.124,136.562,76.622,6.73931,47.4923,32.1179,15.0431,16.0915,5.70804,15,0.480353,2.90932,805.786,174.367,116.67,44.502,1.86229,55.6816,41.3739,16.4127,21.0215,2.65348,20,0.590842,2.48136,780.123,145.645,108.771,26.4631,1.85312,46.5664,42.4366,13.8062,13.716,2.1392,17,0.529474,2.10324,891.779,199.888,99.4985,36.4498,2.00406,51.8588,46.9049,14.1666,13.8254,3.05808,16,0.585673,2.50454,1373.25,246.375,166.936,35.5497,1.82987,70.1387,56.624,19.0268,20.0204,4.38889,18,0.607246,2.50908,1623.51,167.996,232.667,85.3494,9.19796,67.7948,37.8505,16.7078,27.7159,10.3829,11,0.664309,2.31827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,2,fell,40.72,9,408.108,22.0741,1.46363,2.644,497.915,117.239,60.0414,22.2228,1.40076,40.5669,37.2472,10.5687,14.8245,1.8261,14,0.548475,2.32289,426.756,96.0245,48.011,22.0372,2.04535,36.2925,32.2301,9.42072,13.8413,1.81983,14,0.446353,1.97354,417.454,88.0367,41.6228,20.2503,3.25298,32.89,26.1929,9.25628,14.0608,2.47187,14,0.323864,1.66794,845.83,149.99,98.3086,27.2684,2.11201,50.8264,45.1787,13.263,17.3553,3.18913,16,0.492537,1.96062,1227.67,226.477,147.805,68.5307,1.49195,61.8344,58.025,16.5857,22.6259,3.25474,21,0.423971,1.95034,679.165,137.093,85.0128,32.8452,1.90252,41.6091,32.3787,12.8224,14.5754,2.74519,15,0.419432,1.96884,659.455,133.383,108.181,50.0706,3.01935,43.3591,32.962,12.9398,16.9656,3.92362,17,0.504678,1.8926,1280.57,246.913,136.183,45.4686,1.57251,62.2085,60.8379,15.9119,16.2117,2.79335,19,0.487408,2.18754,236.954,36.7001,52.2599,20.6987,2.04603,12.5807,8.23725,4.5651,5.97657,2.29424,1,0.400707,10.8482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,3,fell,47.36,10,539.642,15.0662,1.23876,0.860949,750.978,109.154,86.8704,52.0075,2.08715,47.9922,36.6258,13.9283,21.4403,2.94038,19,0.575993,2.1698,820.924,186.108,113.829,32.7576,1.75231,50.6502,45.9289,15.3382,20.75,2.86312,16,0.625736,2.56764,489.491,117.34,56.7425,23.4954,1.52271,37.0148,34.2174,9.97651,15.4663,2.17656,14,0.542107,2.18666,629.554,134.873,87.9296,40.5184,1.74255,44.0539,34.7525,11.4759,16.7131,2.34891,12,0.665145,2.21937,648.786,133.815,79.1333,95.4702,8.17231,42.0015,33.1088,11.2932,21.637,5.22472,14,0.51397,2.30995,1332.56,253.387,153.28,104.93,5.60902,62.7223,51.5173,17.4699,21.0223,6.03732,13,0.524921,3.09916,601.196,163.587,74.7457,29.1123,1.52905,43.2939,43.7303,12.0622,16.321,2.61611,15,0.663924,2.38239,577.24,136.624,95.1169,113.244,6.08366,41.9689,39.0034,11.7538,21.1669,4.77504,15,0.606297,2.40816,1768.86,308.503,183.728,199.603,3.81904,72.4591,63.0271,18.6315,33.5695,6.16393,16,0.562052,2.41396,1783.77,185.123,247.841,132.579,4.58864,57.6395,29.0304,14.0107,33.2392,7.34949,7,0.837645,2.79253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,4,fell,46.46,10,994.696,19.1065,2.17349,2.04472,463.358,92.1871,43.3111,18.4883,2.22992,36.509,25.7968,10.2718,16.3947,2.52083,13,0.404112,1.78814,845.584,157.774,101.105,28.4965,3.11674,50.7506,46.603,13.7473,18.4477,2.91247,20,0.566665,1.95158,482.65,98.6885,58.3698,37.536,2.1157,35.9286,29.4716,10.0595,11.7573,2.28569,13,0.511577,2.04115,683.667,110.891,93.3916,37.1528,2.47559,45.8623,37.1672,13.6095,14.4781,2.6887,19,0.300361,1.69335,430.946,100.129,57.352,48.2878,2.40658,33.6763,27.6684,10.0338,12.26,2.60796,14,0.571439,2.16458,614.774,153.71,94.4763,64.5903,2.34416,44.9862,34.5798,12.5142,17.1791,2.70127,18,0.690494,2.40897,399.655,105.186,68.9034,37.2518,1.99968,33.5698,28.8823,9.40151,10.6109,2.14058,13,0.781253,2.76298,626.838,233.013,99.1092,37.2621,2.04502,49.2307,32.2161,13.2673,16.5144,2.13103,16,0.819243,3.13656,332.265,70.7637,50.6387,27.8329,1.22683,29.0956,23.8717,8.3775,9.37144,1.98062,12,0.761145,2.4576,1077.5,181.978,135.013,44.039,5.46072,34.5583,21.6898,8.41126,14.5866,7.76616,5,0.846054,1.43974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,5,fell,66.34,14,882.261,12.8499,2.90422,3.45375,440.777,98.9347,46.9917,20.6708,1.69315,36.9357,30.6265,10.2004,15.0019,2.0019,13,0.481646,2.09678,470.404,112.507,46.812,43.4342,1.45397,37.3984,32.8127,9.98039,15.5591,2.66804,14,0.495879,2.11652,529.654,124.118,65.7962,85.8323,2.76198,43.7124,33.4406,12.0727,20.3793,3.49006,14,0.345558,2.1261,548.815,137.128,64.9779,30.8719,1.34843,40.9723,34.7043,11.2431,15.9748,2.28586,15,0.535311,2.2456,658.054,174.016,114.58,75.4908,1.87497,47.0017,40.3863,12.9662,17.4617,2.91812,15,0.636158,2.48031,569.714,118.42,74.8607,92.1317,1.65546,38.922,36.3422,11.1943,17.3429,2.67087,15,0.585715,2.25414,613.756,158.083,87.2139,34.5973,2.60029,45.9348,36.3014,11.7913,11.474,3.10925,17,0.656809,2.34051,1304.24,245.096,142.602,55.5584,2.51246,70.8864,57.6496,18.7061,19.1359,4.7917,18,0.595207,2.45048,1294.52,256.393,152.454,89.0552,4.60847,66.4579,59.8344,17.657,23.9387,5.18062,19,0.407484,2.25597,1112.93,222.319,154.615,26.7956,2.12846,59.6726,51.4479,16.8011,16.5282,3.70198,16,0.517056,2.34501,363.539,77.1702,53.2367,27.3987,1.96089,30.8138,23.3308,8.78945,9.58056,2.26743,14,0.539777,1.98298,1165.42,231.571,181.78,116.145,3.53334,58.1535,46.1553,15.2504,17.0962,4.07833,15,0.877681,2.73647,1404.36,265.708,195.411,55.8317,2.00185,62.6828,46.0737,17.6779,19.0489,2.71726,17,0.88995,2.99337,1068.89,151.752,115.361,83.4109,10.3631,30.884,20.8345,6.85769,14.7973,7.49986,3,0.750112,2.26791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,6,fell,26.32,6,451.148,24.2412,0.353949,0.89625,502.962,126.951,60.0531,21.3431,2.13047,41.7803,34.1306,12.0191,17.4779,2.2161,15,0.494301,2.20974,990.814,175.269,105.88,33.2575,1.29612,50.4109,44.5408,13.2171,22.1147,2.7223,20,0.458116,2.03991,484.319,94.7587,49.0601,39.5967,1.7729,32.8603,28.4882,9.46181,17.0806,2.25631,13,0.545382,2.19833,434.776,90.2315,42.836,23.9884,1.2947,34.2311,29.4521,9.42153,13.8342,2.11588,14,0.46618,1.91571,504.313,114.205,62.8099,38.9504,2.56287,39.8,30.0576,11.3225,17.8302,3.08219,14,0.478738,2.02598,271.834,40.5851,84.0037,112.659,2.86045,12.7436,9.04886,4.79172,18.9742,5.09497,5,0.62167,2.13631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,7,fell,51.9,11,651.431,6.10114,0.725572,0.372791,531.727,111.399,68.5205,19.2528,2.35437,39.362,31.8249,11.6084,15.1846,2.32598,14,0.570018,2.2303,512.651,99.1146,63.0794,17.0067,1.48064,34.6063,33.7358,10.9363,14.0174,2.34256,12,0.437165,2.3935,449.489,98.1497,45.2596,38.9651,2.30789,32.4238,30.4757,9.53735,16.9236,3.19201,13,0.4885,2.2119,596.851,103.651,66.1366,53.8901,2.33626,39.4338,29.4597,11.9765,19.1753,4.33308,14,0.490698,2.34728,587.443,89.3189,54.7465,17.1499,1.35092,38.9813,26.8492,12.1238,14.4542,3.00983,13,0.554205,2.45826,1540.04,261.905,205.838,139.065,6.20355,72.9654,61.6573,19.849,27.6182,6.7293,17,0.4752,2.41413,1258.39,234.831,147.793,32.421,2.03108,64.6754,55.1171,19.0212,19.2796,4.147,18,0.465351,2.66672,469.84,82.2614,65.165,37.1912,1.68762,37.0006,25.3711,10.6283,12.222,2.08704,14,0.525957,1.94175,734.006,161.32,110.217,65.364,2.15074,47.3588,36.6688,14.8765,18.081,3.19673,15,0.579571,2.80237,768.243,152.612,107.702,24.0157,1.98051,47.8954,38.978,14.7425,15.7912,2.92899,13,0.567289,2.83728,1210.49,162.731,143.393,52.2562,5.74573,52.6906,27.6079,13.5263,19.6423,9.21779,9,0.64279,2.09853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_residual,8,complete,90,18,584.523,3.81125,0.57204,0.796087,632.895,127.248,90.6177,23.3513,1.47535,43.5117,35.6377,13.0926,15.9506,2.46341,15,0.506578,2.3137,646.993,98.8091,60.0288,18.6582,2.55215,38.5418,31.5651,11.7543,15.3983,2.66011,14,0.463712,2.33934,607.833,100.537,74.923,22.4853,2.63002,40.5912,27.3459,11.8525,15.4668,3.25526,15,0.518151,2.19812,692.648,117.148,109.241,80.3243,3.3201,46.3425,30.2887,13.8861,16.9977,4.28071,15,0.502055,2.84641,1274.55,233.129,153.009,76.5019,4.07367,64.6003,62.3368,16.5062,18.1335,5.1193,17,0.641189,2.64244,740.33,156.724,97.6614,30.4788,1.6378,46.5828,37.7908,12.9048,13.2206,2.39906,17,0.527795,2.23053,1006.36,190.013,117.499,31.7597,1.60911,55.4249,45.7762,16.2535,15.77,2.65264,15,0.53039,2.18358,991.78,202.704,135.18,81.7681,2.66127,55.2973,47.5894,16.0713,23.0561,4.14451,16,0.400287,2.32426,845.898,92.4989,140.953,248.061,20.6498,46.4756,29.2645,12.9415,38.7783,12.792,15,0.306591,1.72137,1160.03,210.106,153.415,62.5275,1.65775,63.6753,49.2109,17.7109,23.6539,3.13316,17,0.56932,2.11906,1051.16,205.502,146.447,83.0927,2.61486,58.0686,44.9847,16.378,24.0662,3.59715,15,0.549293,2.74655,1745.73,254.866,242.635,57.1855,1.92934,86.4557,61.7631,22.7695,26.6215,4.15054,20,0.520467,2.2763,1146.67,136.056,145.874,223.092,16.3721,54.6264,35.007,14.3697,38.7439,15.8252,17,0.429501,2.16634,1125.32,201.873,152.135,52.4204,2.59753,63.0623,49.2224,17.9054,23.9737,4.69287,18,0.419865,2.09913,523.52,102.134,83.4277,222.136,23.2339,39.3581,32.5649,13.0485,38.2111,13.2589,18,0.356118,1.64193,855.27,165.884,107.042,31.0963,1.38386,46.9404,36.9051,12.8655,19.6307,2.83208,16,0.594082,1.99803,719.872,135.021,94.0845,30.0481,1.07977,44.9498,35.5554,13.5388,18.7798,2.46116,14,0.556035,2.51399,628.011,111.397,81.8401,51.7361,2.11793,42.0461,29.6544,12.534,16.1597,2.15056,13,0.559736,2.64519
run_residual,9,complete,90,18,672.048,3.8382,0.509674,0.504646,417.58,90.5427,45.7028,16.1354,2.02183,35.1461,27.3518,10.0995,14.26,2.32198,13,0.476965,1.95167,505.619,94.9578,47.2569,19.4935,2.70842,33.8837,30.0187,10.03,13.7032,2.16434,12,0.475455,2.29916,1134.83,174.763,122.526,29.8786,2.22523,56.8568,45.9216,16.4295,17.1709,3.82656,16,0.586909,2.51182,1133.49,238.335,144.898,28.2652,1.03075,64.2247,62.4331,17.8648,17.9432,3.53972,18,0.623335,2.62057,750.393,197.965,108.894,38.1808,1.05984,50.1388,45.3923,14.2292,15.7837,2.69469,16,0.740307,2.63171,497.394,116.192,63.8928,20.4883,1.2604,39.0204,35.0806,10.8038,14.2867,2.6044,13,0.557402,2.12332,957.175,196.393,101.567,26.7851,1.70757,53.8286,45.6482,14.3912,16.0546,3.06683,16,0.592444,2.47412,510.329,114.505,71.8081,16.5311,1.51154,40.4279,35.9774,12.3978,12.9739,3.28863,16,0.492692,2.23928,629.244,124.726,74.9685,19.4673,2.12896,38.9043,32.5863,11.8788,12.4401,2.33378,13,0.513216,2.63547,672.262,161.701,108.105,33.2752,1.85678,47.6141,35.6733,13.778,15.7139,2.60414,20,0.625236,2.14426,963.158,190.581,106.033,26.7636,2.31479,52.8028,45.7811,15.1554,14.6192,3.28767,17,0.458465,1.939,1437.56,320.314,167.868,40.1408,2.33918,66.5233,65.4473,17.8337,19.6795,3.43433,22,0.643377,2.18786,1541.05,348.537,152.19,37.1392,1.87555,74.747,78.4011,18.2651,21.713,3.24136,20,0.609578,2.7587,1450.28,305.766,178.957,41.6943,1.78337,69.3449,67.3008,18.3212,21.0845,3.03061,22,0.460431,1.93535,1007,195.048,126.415,35.5694,2.07425,57.8783,51.2489,16.2972,15.6754,3.15113,18,0.529994,2.41659,504.1,105.864,71.1044,31.3217,2.16541,37.5528,30.0633,10.5753,13.442,2.88929,15,0.515077,1.89138,797.757,179.719,133.467,38.8032,1.85536,50.9214,41.1549,15.4672,21.628,3.08468,15,0.601594,2.83267,413.499,92.135,63.8107,21.4572,2.34174,34.6371,23.1228,9.44295,14.8987,2.58726,14,0.503631,1.84664
