policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
sonic,0,complete,90,18,16.5296,5.07947,0.0774028,0.0896143,311.537,101.841,40.2406,28.3812,1.53211,27.569,21.2677,9.35608,12.3396,2.02539,14,0.254011,1.08419,2.9196,237.58,47.5983,24.8228,45.3615,1.5773,16.8795,11.6337,5.74212,9.10478,1.73449,17,0.0344688,0.567346,0.755538,316.608,104.9,43.6345,107.64,2.52183,23.904,16.5761,8.28837,15.2297,2.2909,11,0.278688,1.21539,3.90268,277.589,43.1611,23.9365,24.2485,2.08181,19.0815,12.7873,5.96635,8.10345,1.72098,20,0.113201,0.561105,1.14313,426.864,145.916,51.9288,40.1144,1.79162,39.4813,27.9171,12.4664,15.8355,3.48347,12,0.186047,1.36059,5.36687,672.383,274.936,98.3585,61.3885,1.57913,48.6013,38.7149,14.1837,18.1164,3.48437,25,0.339319,0.933668,2.66113,1100.24,178.598,233.596,237.961,8.34041,73.6391,47.3142,25.6019,46.8504,10.8376,17,0.375602,1.64607,8.63878,676.062,178.846,124.615,55.8205,1.84428,45.6552,37.1079,13.8599,22.5825,7.06286,48,0.114493,0.477375,1.52277,399.87,146.083,44.6486,36.6941,1.09441,27.8608,21.5355,8.04135,12.7312,1.94897,23,0.131521,0.563188,2.04894,434.905,86.5625,39.8695,48.387,1.17428,26.7522,18.5011,8.51463,14.8667,2.22826,4,0.531095,2.05324,10.3053,294.593,72.3524,63.4258,83.9187,2.29784,24.6404,18.2513,7.49664,17.61,2.64047,18,0.278285,0.990833,3.35296,293.636,85.3793,42.5574,44.2952,1.66575,20.1588,15.3983,6.03516,11.2685,1.80133,7,0.419285,1.34873,3.82596,238.694,54.3594,37.6667,63.7568,1.72887,20.6603,13.1669,6.86376,13.1456,2.20589,20,0.0900602,0.661974,1.62738,223.563,54.7037,36.0754,41.0513,1.10505,15.3542,9.64653,5.74253,9.1267,1.50323,12,0.16456,0.719206,2.45544,397.392,59.1499,153.192,321.189,5.17033,34.9158,15.6918,14.6117,25.295,6.91131,4,0.121397,1.74074,10.0577,837.583,288.356,173.396,78.4858,1.35263,68.3774,55.157,22.3272,36.9531,4.55093,52,0.131853,0.641528,3.04572,315.471,63.6305,61.1569,49.2089,1.51942,22.9345,15.4385,7.0918,10.6302,1.77209,4,0.314009,1.69919,5.62456,515.192,196.959,134.438,197,94.3549,42.371,34.486,14.8559,33.7482,10.9339,21,0.317614,0.754623,3.48674
sonic,1,fell,41.7,9,30.5516,7.75059,1.60157,2.8714,254.088,70.0637,19.8369,12.5264,1.80959,18.5683,16.7013,5.67837,8.43226,2.29618,7,0.364712,1.08522,3.43671,277.769,55.8442,21.4782,16.3065,1.39754,19.3079,13.0995,6.0798,9.95521,2.62366,7,0.299182,1.51682,3.86956,398.389,128.812,83.2012,188.304,7.35706,30.4596,25.0928,10.423,25.0852,8.93688,36,0.137505,0.502255,1.59279,270.485,66.2627,14.7489,15.2029,1.6627,19.5632,11.8332,6.0494,8.54561,3.34316,7,0.47562,1.70216,5.63904,217.585,85.6625,35.3341,65.5391,2.36477,20.9367,16.6963,7.01825,10.5475,2.63169,12,0.187563,0.950007,2.57059,983.208,416.169,140.234,52.0103,21.6459,66.7265,62.4874,20.6609,30.1098,10.4422,21,0.47558,1.60582,8.03057,339.218,133.639,40.351,41.8284,1.46029,24.4472,18.4627,7.34532,7.93383,1.36172,8,0.662722,1.56967,7.25687,119.269,43.3831,26.1752,24.0081,7.33196,13.2379,8.84361,4.91291,7.64905,5.88732,4,0.368995,1.33457,5.21072,652.697,85.3964,90.5786,36.4148,0.491486,43.683,26.4749,12.1493,18.4654,2.70771,8,0.251975,1.28911,5.62442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,2,complete,90,18,10.0845,4.20589,0.0744733,0.102007,159.272,44.8483,10.2231,15.2423,1.16492,12.8097,10.5176,3.9807,5.67876,1.00071,19,0.154591,0.42553,0.676405,184.164,28.0168,8.83475,17.6471,1.44159,11.4739,6.4469,4.42471,6.16597,1.17741,3,0.399738,1.241,3.8855,261.341,53.6037,22.6592,17.4676,2.24883,15.1117,10.7649,5.14604,8.25542,1.77078,26,0.136244,0.433296,0.672196,200.05,60.974,25.8661,10.8949,1.77852,14.1658,10.9887,5.15624,7.37258,2.03598,3,0.374338,1.21638,4.47446,328.086,84.8429,30.4383,18.354,1.11118,22.8849,15.6143,7.35655,7.51432,3.51356,13,0.239076,1.1641,2.9657,382.864,136.819,30.7533,24.4391,1.7877,24.768,22.589,7.03556,4.30545,2.80552,16,0.522817,0.82831,4.08323,596.957,186.957,66.3101,26.8624,2.65319,41.9748,37.3314,11.6386,10.4544,6.26699,14,0.663068,1.38709,7.34205,458.345,112.527,65.1098,49.3631,5.62457,39.8901,27.9772,10.3328,16.4096,8.84258,22,0.216582,0.930302,3.77725,426.222,200.343,50.868,30.6369,0.987459,36.577,31.2672,10.9958,14.1914,4.00139,19,0.353569,1.08417,3.64174,362.807,172.51,51.1543,22.4135,0.985502,29.7561,27.227,8.63695,10.5757,3.44604,13,0.504601,1.24619,5.58076,205.067,88.6987,51.2874,16.7654,1.34372,24.2726,17.3174,7.97047,9.82323,3.73033,6,0.269459,1.13636,6.39835,270.669,117.295,37.6586,19.069,2.38035,18.6167,15.3052,6.01276,9.25667,2.98837,7,0.360138,1.03206,4.68566,1154.27,274.527,184.273,48.0995,2.39485,69.6413,54.9683,24.6999,37.945,8.44968,26,0.268572,1.36006,6.48917,475.551,177.401,46.5153,20.569,1.45575,32.3004,29.2643,9.72805,13.855,3.22292,8,0.578023,1.59067,10.6786,417.279,99.2812,38.6178,30.0381,0.903522,29.3322,22.8527,10.0881,12.9811,1.80794,48,0.103094,0.468405,1.2269,323.689,58.1733,35.4111,38.5108,1.38807,25.9104,15.6967,8.02341,10.8626,1.53194,14,0.156656,0.891711,2.98331,400.458,97.2794,60.5242,47.1686,1.772,25.371,19.3647,8.62377,10.9886,1.73576,11,0.155507,1.05636,3.68883,321.667,64.7487,28.735,37.081,1.82541,22.3103,15.7805,7.01205,7.93652,1.48663,9,0.312718,1.19315,4.00808
sonic,3,complete,90,18,30.8323,4.72715,0.047012,0.071632,299.302,63.2436,18.9986,29.5359,1.96683,22.4102,16.9176,6.98686,12.6919,3.5164,13,0.327657,0.969008,2.53186,330.316,72.8114,22.1661,21.7468,1.16843,19.642,13.3243,6.25354,9.00476,1.62389,9,0.189824,0.814638,2.10414,120.92,43.9693,8.53766,16.0001,1.08694,12.5152,5.63383,4.37442,5.74556,1.0349,7,0.239887,0.529551,3.62558,269.565,102.313,18.1418,23.4897,0.978734,20.9889,17.5621,6.43062,9.43725,1.84676,16,0.201284,0.741053,1.19301,251.616,77.0739,33.3224,94.4887,4.6304,22.0098,13.5654,7.58479,17.4789,5.95077,8,0.199491,1.05369,3.67326,148.42,34.5587,27.5222,77.5014,4.12953,14.9699,8.35625,5.62785,11.3934,3.97809,6,0.173308,0.664028,2.21558,284.94,85.3708,29.9596,32.8444,1.03412,23.2868,19.0691,7.31143,11.1212,2.13784,42,0.111548,0.461981,0.75415,433.044,110.626,62.7523,186.492,6.17539,32.4802,25.0357,10.9478,21.0755,4.09238,19,0.182753,1.00858,2.48276,1584.49,315.62,197.566,257.717,4.27848,121.065,82.068,38.4645,57.6502,8.89381,44,0.313025,1.30434,6.38855,599.361,137.173,55.8058,43.5519,1.00132,41.3819,24.3455,11.8784,17.4135,2.18036,17,0.221901,0.860648,3.23538,519.285,128.977,99.9461,81.6632,2.61996,39.2049,26.3315,11.9568,25.1592,3.85697,12,0.256067,1.0864,6.29587,307.885,135.934,27.6476,28.621,1.13841,24.374,16.0365,7.64877,11.4664,1.59506,5,0.185136,0.938548,4.4621,164.151,44.3474,11.2825,20.6569,0.865904,14.5783,10.7058,4.59295,7.37683,1.30149,16,0.135243,0.676207,1.92795,254.072,103.252,35.0515,38.4834,1.05134,18.096,14.7611,6.64309,11.5491,1.5257,10,0.147246,0.813505,2.29473,1842.61,259.761,244.656,120.641,2.94326,94.4597,60.1968,27.592,43.9674,5.48553,20,0.245253,1.0977,6.87865,385.319,168.774,47.5019,29.3007,1.18525,31.4638,27.0806,8.95634,16.1028,2.46571,14,0.382478,1.00338,4.02403,526.362,117.385,60.3365,31.2225,2.24807,32.9494,25.2916,9.87345,17.005,2.92761,18,0.240288,1.06587,3.06323,527.462,255.968,107.164,61.9047,1.79047,41.419,41.0825,12.4568,20.8704,4.04066,20,0.373479,0.818382,3.42937
sonic,4,fell,55.86,12,15.9642,7.1365,3.05317,3.17205,231.52,50.8416,13.8544,12.2115,1.6151,14.9455,10.9193,4.81718,7.44254,1.39668,16,0.181199,0.573717,1.49537,200.678,65.239,25.9675,15.9115,1.92862,15.9142,9.04147,5.45333,8.45918,2.14614,16,0.0792144,0.492435,1.49361,384.985,110.465,44.5304,20.6129,1.78172,29.522,23.576,8.71435,11.357,5.89211,19,0.246968,0.841612,2.97441,241.113,94.2113,52.2116,24.821,1.86022,29.3717,20.0061,8.42523,10.8772,5.02425,14,0.145627,0.741595,2.6358,219.499,93.0482,22.4207,20.2433,1.6739,18.9715,13.1351,5.92948,9.11709,4.45658,9,0.435477,1.31794,5.4558,96.8713,29.2003,10.5477,12.4816,1.46967,8.87284,4.45284,3.53646,5.85366,2.79252,4,0.113166,0.676241,3.0359,307.977,139.028,26.1901,28.3334,2.28197,23.0018,19.2371,7.01702,10.7199,4.19352,18,0.128056,0.541996,2.38035,262.153,92.7967,29.6603,25.4622,1.66039,24.7849,20.5231,7.2977,10.4002,1.99106,18,0.246656,0.730122,2.48603,303.145,116.118,35.1425,19.1064,1.07347,26.3825,16.4395,7.42832,8.75711,2.7854,13,0.331071,1.04967,3.59489,568.921,238.715,61.9184,41.9159,2.41255,51.102,41.4709,15.3234,19.2878,4.92458,18,0.356333,0.891222,5.65889,185.735,74.7651,26.8466,18.158,1.01615,21.4467,16.7074,6.90787,11.032,1.94539,22,0.122318,0.586021,1.46608,963.625,53.8882,145.508,71.8879,0.718216,35.9057,18.7112,10.4631,16.3453,2.12451,5,0.310628,1.58626,6.2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,5,complete,90,18,10.4984,5.11766,0.134028,0.0760847,259.327,59.9595,14.9266,17.1446,1.13674,15.9881,14.5771,4.93598,6.90257,1.15358,2,0.472751,1.32361,4.18133,337.045,65.6964,36.3421,41.8974,1.28682,15.9485,12.3012,5.20012,9.28003,1.89649,11,0.181149,0.679703,2.40579,618.352,126.047,55.0199,104.87,3.67009,38.2115,28.6431,11.4243,22.3855,3.7206,19,0.160601,1.02404,2.89685,127.647,33.5661,7.72932,20.1131,1.09619,8.94362,4.44935,3.28581,5.5195,1.00701,2,0.593493,1.42786,11.8531,281.738,67.5548,42.6866,66.1967,12.1202,26.9865,18.6867,8.56093,17.3167,8.91606,11,0.228403,1.29097,3.00126,276.41,101.837,82.4867,48.6458,2.64416,21.6237,15.9675,7.99899,18.5817,7.01364,10,0.360875,0.928021,4.4995,286.707,91.3719,37.6727,18.1997,2.36681,24.0994,16.3259,7.37883,9.13687,4.54474,24,0.232541,0.659468,2.84996,671.046,165.65,104.056,56.115,3.17629,56.2147,42.059,17.9086,32.5867,10.9529,25,0.30557,1.22509,4.94006,427.719,112.546,66.801,65.2875,5.99988,33.1555,25.5846,10.8802,23.4105,10.6195,15,0.410109,1.14884,4.4076,440.081,193.846,45.4187,17.7551,2.30331,33.1331,33.5896,10.4194,10.4431,5.46375,21,0.354048,0.912585,3.28331,432.131,163.777,48.467,22.8061,2.29828,36.9408,32.1144,11.2012,13.061,6.63663,19,0.336832,1.01901,4.55908,435.005,169.175,75.1904,137.372,11.7653,38.1366,31.5913,13.4968,23.3604,11.3985,22,0.258666,0.977543,3.33998,301.288,65.1824,40.6189,38.5434,1.31339,25.862,19.4423,8.18503,9.45247,1.48549,14,0.312779,1.03246,3.14956,164.356,56.5984,25.2169,29.2197,1.21868,15.3029,11.2275,5.32404,6.14973,1.13202,5,0.366135,1.45851,4.85231,264.002,50.4808,30.0766,39.4852,1.12487,17.9775,11.5455,6.21579,8.37197,1.18413,28,0.0911942,0.465866,0.96528,435.503,113.058,39.7727,53.2295,1.33065,29.7531,22.2978,8.85333,13.3047,1.91094,14,0.241237,1.11493,4.00895,352.594,80.3558,27.8644,49.4144,1.6722,26.1115,20.2547,7.96145,14.1749,2.535,15,0.202489,0.978536,3.77387,610.56,173.557,237.023,467.661,116.184,44.1347,37.0424,19.0727,49.9598,19.6076,23,0.211625,0.828625,4.23964
sonic,6,fell,70.88,15,14.0888,8.03297,1.54781,2.53615,164.16,65.287,19.4238,17.6796,1.58993,12.7417,9.04432,4.40568,7.01628,1.26416,3,0.631085,1.53736,4.71736,263.137,91.1829,20.7475,14.8447,1.01245,17.2841,12.1605,5.35814,8.76453,1.31542,7,0.175381,0.778387,3.06023,229.866,46.2038,20.3049,30.5377,1.23635,17.9524,12.736,5.26169,10.3139,1.59364,23,0.121196,0.485501,1.44366,180.494,32.4677,12.7754,17.2727,1.01982,14.4211,7.7179,4.6067,7.61876,1.31193,3,0.31567,1.37658,2.44195,455.736,170.924,41.7317,36.5231,1.81132,31.0502,28.3913,9.26775,15.3307,2.68604,21,0.232117,0.834659,2.78435,341.64,52.9835,36.7873,112.663,2.32321,27.7985,14.4621,8.6288,17.7244,2.9809,16,0.136727,0.798583,1.6776,202.176,87.4821,28.8189,26.9511,1.35728,17.9903,11.5806,5.85871,9.5248,1.43605,9,0.275217,0.680619,1.52223,314.581,71.9239,20.4072,35.8587,1.09098,25.4083,14.6319,7.1262,11.0761,1.97019,34,0.119007,0.475547,1.09893,286.92,75.2772,21.8715,34.6493,1.27236,29.3969,18.0571,8.28789,12.5429,2.10593,30,0.11155,0.522598,0.880722,573.369,156.587,121.327,122.975,3.67673,47.1219,37.3303,15.1947,28.4011,5.53841,12,0.317497,1.75757,5.07026,302.865,102.575,42.1706,42.767,1.90275,23.9319,16.0438,7.14498,10.9385,2.15155,27,0.181168,0.52629,1.21314,472.396,119.687,34.909,38.4373,1.73327,35.4539,24.432,10.1715,15.0098,2.70186,19,0.227815,1.06,2.42602,417.632,110.524,40.1783,40.8217,1.21421,36.4326,24.2213,11.5722,16.1959,2.60247,19,0.178302,1.23868,2.96276,427.971,93.1362,58.5449,89.5801,4.24088,34.9469,23.5681,11.8859,24.8526,5.16412,43,0.0651439,0.396013,0.945182,416.155,61.5977,134.802,266.442,59.5714,27.7542,17.6633,10.5519,33.7958,14.0603,4,0.122924,1.31726,7.69218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,7,fell,60.62,13,47.874,15.9994,2.45063,3.33337,203.026,51.216,13.4438,13.1206,2.3063,16.6807,15.0426,5.17553,7.89264,2.23403,4,0.356119,1.00091,2.26052,363.226,126.592,36.6612,15.4986,1.28558,28.1016,23.0093,8.90274,12.9096,2.57867,14,0.259968,1.12741,3.89557,270.501,65.0808,24.9839,13.6377,1.71926,18.7572,13.6736,7.17963,12.6734,3.57582,3,0.717976,1.61026,11.0172,417.875,152.305,52.473,31.8349,2.03793,40.1433,35.8315,11.5979,18.8102,5.26888,16,0.308552,1.15822,5.75681,661.716,209.529,56.9964,24.1678,1.37154,46.694,33.6424,12.9377,21.3574,5.30157,11,0.31507,1.40184,5.50461,547.347,176.301,62.5399,162.427,6.19519,44.3446,31.73,14.2721,28.1008,11.8517,15,0.437077,1.4687,10.7695,230.432,101.385,23.6033,16.6118,1.38077,24.2085,18.5388,7.56659,9.51241,3.84266,10,0.499404,1.49691,5.386,323.479,111.061,35.5164,16.2665,5.24716,25.8879,21.4279,7.40456,9.28873,7.42864,10,0.367659,1.25877,3.77549,277.831,123.365,24.889,50.6801,2.25019,21.6245,14.9889,6.38445,13.776,4.58925,9,0.185258,1.08271,4.57653,316.143,193.345,38.9928,19.7841,1.32919,29.3541,25.4131,9.29402,14.5272,3.39159,24,0.242877,0.697716,1.66219,419.576,216.633,58.1324,31.2514,2.3657,33.8732,30.7154,10.3898,15.6356,6.66598,20,0.435578,0.888062,3.58094,1181.93,671.464,201.773,35.3521,4.48958,101.393,87.1434,26.2008,30.1888,15.1753,22,0.619722,1.19482,6.83803,453.704,130.076,133.925,63.9676,21.9441,30.8977,21.0892,8.82897,25.6333,12.6794,4,0.231109,1.25671,18.4398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,8,complete,90,18,15.2605,4.06444,0.0557238,0.0632108,196.865,51.2729,20.2692,22.2345,2.19693,18.2764,13.388,6.0063,8.92964,2.57548,2,0.462613,1.39878,5.42831,228.459,76.1413,23.3707,13.2879,1.86101,18.0391,13.4529,6.11864,8.08132,1.66988,8,0.406189,0.930814,5.46254,964.356,283.188,185.064,66.5678,6.14874,72.4466,53.4862,24.8911,34.7977,12.8836,28,0.411628,1.04766,5.44355,545.737,150.226,103.1,77.0842,5.82388,44.7728,35.7007,15.0257,26.9072,11.2434,17,0.274177,1.39746,4.46863,254.548,86.4713,33.3342,66.4081,9.24969,21.6443,17.3616,7.19351,14.4455,8.208,18,0.209794,0.764166,2.54925,246.65,84.7988,23.8885,11.3424,1.37913,17.8722,16.3777,5.8825,7.02177,2.79226,7,0.377638,1.07609,2.52783,187.293,68.4182,23.5183,18.7064,0.882423,16.1153,14.0141,5.36089,6.34923,2.14641,7,0.182033,0.854722,2.25498,435.212,143.243,32.3177,21.4083,4.03423,28.729,24.9903,8.58672,7.88109,6.24727,23,0.247259,0.787664,2.71282,289.449,87.6356,49.1624,26.467,88.2232,25.8396,19.479,8.76341,10.6859,12.4033,9,0.317824,1.2417,5.86295,227.358,74.4086,52.9367,54.6578,1.30566,21.9784,14.3033,7.47969,12.0518,3.3648,9,0.326256,0.969256,3.78427,457.756,114.557,40.4999,33.4684,1.80504,31.3905,22.6192,9.19102,13.4251,5.03804,17,0.315759,1.01034,3.74677,207.087,95.3363,12.9553,17.034,1.07169,15.9782,12.1425,4.6785,5.99734,1.50238,5,0.372427,1.00187,3.34872,381.5,89.0798,35.7316,52.137,99.9699,28.2486,18.7768,9.18213,19.0869,14.2732,26,0.247366,0.608388,2.50709,416.568,117.602,40.9078,30.6053,2.02621,32.1226,24.8766,9.72226,13.0941,4.40982,16,0.211224,1.14897,4.19734,283.475,85.0634,33.3457,55.9359,5.75682,20.5274,15.3972,6.85725,15.8272,6.14863,8,0.283872,1.09037,5.47839,289.558,72.0255,33.9503,16.7654,0.930984,24.512,19.0892,7.28809,11.7625,2.46009,14,0.260778,0.838004,3.41136,340.981,187.912,41.1002,27.6467,1.02225,26.91,21.5592,8.4422,13.9376,2.71241,13,0.347452,0.965153,4.24917,302.453,90.3423,35.1241,29.231,1.5403,24.0201,17.0945,7.23906,12.4357,2.45939,5,0.294879,2.14649,9.51616
sonic,9,complete,90,18,16.3328,5.29836,0.175621,0.161474,161.894,39.5103,10.5446,9.65,1.36077,16.6449,12.0507,5.17062,7.66038,1.48339,22,0.106374,0.469002,0.809449,139.172,14.6259,12.7368,12.8002,4.72128,11.2247,5.55111,4.54024,7.17084,3.51028,4,0.0734157,0.891956,1.99524,177.433,28.5732,9.91397,18.689,11.2782,11.9901,7.16955,4.19279,6.85927,5.07549,5,0.250157,1.25683,2.6783,621.906,215.381,131.39,48.7698,2.37392,58.9157,42.5733,17.5961,25.6899,6.36145,20,0.296454,0.90431,4.93492,358.873,100.081,42.6373,41.4906,4.06893,26.1694,21.4618,8.91306,15.3906,6.09794,17,0.143958,0.946058,2.61926,103.444,29.7044,9.60254,14.0636,0.793137,10.3551,5.04466,3.6366,6.03502,2.1086,9,0.0873258,0.357109,0.804333,364.086,75.568,22.0675,21.2726,2.63758,17.1426,13.6937,5.08581,8.13426,3.76063,16,0.286608,0.743271,2.93866,624.77,197.083,92.4333,39.1129,3.78547,51.4113,38.8322,17.3945,21.2685,9.40506,25,0.244989,1.0617,4.51368,286.312,86.3795,23.2535,19.3332,1.82146,18.0248,16.6147,6.28887,8.47177,2.95157,8,0.318387,0.808948,2.36406,274.055,88.3214,67.9435,46.6818,1.51472,18.5765,17.3785,6.9422,11.6769,2.64705,5,0.309182,1.35499,6.98452,171.73,57.2693,20.7696,14.2846,1.72297,18.0642,13.3648,5.64108,8.8305,3.45335,10,0.285013,0.740909,2.86488,292.42,84.6533,39.0932,19.3596,1.38592,19.2319,13.6411,5.57918,8.83772,2.30796,11,0.290516,0.961381,3.39344,350.58,97.0678,35.5213,25.8778,1.4707,25.3262,21.3779,7.13151,13.2034,2.44416,9,0.409682,1.45095,5.27786,249.077,78.4915,17.493,13.8346,1.2133,22.2099,16.6512,6.7388,9.24056,1.98937,17,0.134156,0.768117,2.62674,407.484,108.692,32.3922,16.716,1.5536,30.717,23.4485,8.7778,12.5962,4.08674,14,0.297033,1.17322,4.53207,422.337,135.219,66.2584,26.3857,1.71788,35.9882,27.7928,10.8241,13.6,3.57271,13,0.636559,1.56673,6.66757,539.9,145.819,61.0015,27.655,1.33253,37.028,29.7838,11.1933,16.9958,3.30498,11,0.379103,1.43018,5.82413,457.13,88.2992,52.3294,22.306,1.53934,30.5244,21.9323,9.20352,12.7982,2.60004,10,0.325481,1.36003,6.70052
