policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s0_stomp_j,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s1_stomp_j,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s2_stomp_j,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s3_stomp_j,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s4_stomp_j,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s5_stomp_j,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s6_stomp_j,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s7_stomp_j,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s8_stomp_j,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s9_stomp_j,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s10_stomp_j,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s11_stomp_j,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s12_stomp_j,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s13_stomp_j,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s14_stomp_j,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s15_stomp_j,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s16_stomp_j,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw,s17_stomp_j
sonic,0,complete,90,18,7.69213,4.9879,0.0935784,0.132034,783.966,147.422,118.262,57.4288,2.09957,59.8059,36.8,19.1062,20.146,2.68672,12,0.326564,3.01521,5.97774,155.63,37.5923,47.3247,49.153,2.56537,15.0312,5.91705,6.11455,9.4634,1.52434,3,0.172165,1.10475,1.2732,588.688,169.214,115.36,111.107,3.1588,39.6584,24.7357,13.2121,18.7923,3.17137,12,0.382422,1.73549,4.46955,565.928,122.209,64.0143,40.3306,2.48302,36.2063,23.4878,12.9147,14.6433,2.46965,13,0.355615,1.72834,3.03105,178.408,50.9005,16.4309,18.1597,2.21041,17.1754,11.205,6.49647,7.21637,1.94219,4,0.179822,1.49908,2.7142,448.198,120.327,95.5067,45.7445,1.39456,32.8529,16.5948,12.7251,13.1788,2.67648,5,0.460621,1.51138,5.51967,1299.27,268.902,319.984,248.23,6.72458,87.3243,49.7463,31.2005,51.1394,10.3148,15,0.322284,2.04351,9.33605,1207.63,286.32,224.793,83.5959,1.69899,83.5148,56.1274,24.9412,32.3567,3.83684,13,0.279291,1.7109,8.54861,526.892,119.932,61.9659,42.7412,1.78672,34.3899,19.9367,10.5846,14.4248,1.91285,7,0.271851,1.30065,3.68338,740.186,180.751,109.045,67.6266,1.57095,49.6917,32.0184,16.297,24.573,3.07079,13,0.352598,1.71946,4.43365,557.669,125.12,97.0607,89.4865,2.72866,37.5306,24.2929,13.6297,21.5565,3.29696,7,0.198938,1.8302,5.05886,374.477,106.48,64.1361,44.7355,2.17127,32.942,21.3001,11.7676,14.925,2.00783,8,0.178078,1.59007,7.08633,342.158,64.4955,67.995,72.1595,2.09367,29.8271,13.9169,10.6563,15.8841,2.49693,4,0.283958,1.42536,4.72656,571.887,102.058,179.313,55.4852,1.75625,44.8291,23.9022,17.3152,19.2587,2.49555,8,0.462,1.23838,8.11149,558.527,101.352,210.452,208.549,4.98559,42.1379,21.0233,17.1411,27.9161,5.0764,7,0.318775,2.13111,5.52125,362.755,123.317,73.9639,39.9579,1.46334,31.1303,19.5573,10.7593,13.1218,1.6601,7,0.283821,1.37103,4.68119,258.464,62.9241,60.3872,44.455,2.03848,18.4869,9.07575,6.3223,8.66778,1.24225,4,0.0722847,0.922422,5.97006,846.173,267.412,150.231,233.158,14.0678,60.7329,44.634,20.0177,38.8443,10.6982,7,0.416471,1.99095,8.5447
sonic,1,fell,26.92,6,41.3925,7.54138,2.29591,4.19127,228.424,47.7682,23.1018,12.7111,2.61745,23.0742,11.6185,6.71605,8.12381,1.5311,4,0.549022,2.29232,4.90061,455.27,112.628,52.7674,22.8343,1.78482,29.8406,21.145,10.6342,11.3607,1.65741,10,0.341,1.34233,2.79641,981.477,166.196,265.696,173.572,3.06135,69.9735,41.9309,26.0883,29.407,4.56424,7,0.192209,2.45032,12.5647,874.584,155.3,146.744,38.4364,2.42977,60.9273,40.2244,18.7847,17.2047,3.14414,15,0.289332,1.83736,6.38415,215.684,81.0468,64.8452,83.4866,3.25274,21.6772,12.736,8.67513,10.2401,2.65703,2,0.162345,1.99986,5.43815,1313.3,290.238,461.42,118.666,15.219,78.8621,49.6731,31.2488,33.4958,11.8301,6,0.859503,1.71544,16.2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,2,fell,27.88,6,39.9482,18.4723,0.952963,3.35423,330.126,70.3877,53.652,25.2319,1.39061,28.0993,21.5023,9.64263,11.433,1.45627,7,0.426875,2.07004,3.479,120.381,39.128,16.8844,18.1103,2.13485,16.3877,6.67768,6.23487,7.14863,1.20109,3,0.315962,0.977276,1.70051,282.59,62.5884,29.8988,18.9599,3.28641,16.4338,8.93371,6.31384,9.98512,1.97595,5,0.279869,1.35629,3.96628,690.602,262.219,146.895,34.0341,2.46178,50.6644,39.9417,17.7394,19.3899,3.48511,10,0.404753,1.53126,8.27599,1408.48,323.287,315.159,96.4036,1.80038,100.234,73.3488,34.2827,36.3318,5.48523,16,0.220264,1.26435,7.00086,568.642,189.573,95.9923,28.1029,0.791052,47.9212,31.464,13.8069,15.9383,3.09188,12,0.310419,1.18934,12.5888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,3,fell,70.9,15,25.3947,6.60047,0.776045,1.2226,379.257,71.9461,36.18,43.8936,1.99805,28.5963,18.5017,9.72669,14.788,2.08954,7,0.322188,1.76409,2.9317,398.941,70.8208,27.1725,25.1352,1.63847,26.7304,13.5608,9.00036,11.6601,1.88686,6,0.406108,1.42559,4.95526,197.005,50.0268,19.5201,20.0048,1.52812,18.1285,8.10949,7.0648,8.89039,1.2823,2,0.235513,1.44868,2.70156,204.72,51.7847,19.9224,23.8184,1.5945,18.3705,8.69917,6.91909,8.20503,1.36367,4,0.651774,2.36428,6.54943,489.481,121.5,127.886,133.175,6.77489,39.3672,24.8029,14.2046,23.4825,4.84902,9,0.341136,1.32367,4.36565,159.899,27.0408,62.4217,84.9913,5.12628,19.8298,8.16771,8.6055,11.3928,3.70571,2,0.291438,1.24748,1.46363,395.821,94.9808,58.3465,36.6665,1.56202,31.783,16.5223,11.2994,12.2674,1.71338,9,0.282434,1.5639,3.60111,1722.57,253.434,696.573,212.023,7.74373,104.807,62.5212,43.9305,59.8539,8.36014,13,0.353632,2.4595,8.20163,3160.22,579.305,940.618,407.76,5.91549,177.079,109.202,71.7203,93.4994,13.8334,27,0.169022,2.02329,10.7038,282.544,61.0104,41.704,35.6928,1.50351,26.3323,13.1225,9.34214,12.3373,1.48229,8,0.264625,1.15089,3.31474,861.822,255.533,161.513,93.5684,3.23855,56.3382,38.3398,20.6172,31.8122,4.89806,13,0.273446,1.70333,6.02272,341.061,85.5029,48.6013,36.114,1.69542,24.3603,14.2355,8.45317,12.0337,1.70612,6,0.255404,1.12149,3.26285,168.984,39.222,18.4426,22.874,1.32714,20.2146,8.58181,6.94242,8.6325,1.3463,5,0.348417,1.32969,3.90475,371.432,112.794,109.267,53.7572,1.58071,33.3152,20.5895,13.7934,17.9133,1.98048,6,0.336167,1.82054,4.54635,2612.31,126.249,701.625,107.527,6.4118,111.568,35.9369,47.5063,45.1773,8.06314,1,0.0589027,4.26862,89.5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,4,fell,22.76,5,52.5481,19.8587,3.0155,3.64308,307.756,68.8054,27.6956,13.9295,2.12463,21.8634,15.6572,7.26141,9.60363,1.6702,6,0.422117,2.09663,3.93692,268.345,86.4798,43.169,20.9068,3.07785,21.8207,13.2965,7.95014,8.44585,1.66244,3,0.170764,1.2036,2.6422,958.491,295.372,206.24,65.7593,2.36924,72.0316,56.8852,26.5443,25.9675,4.05962,19,0.562581,1.43643,6.6373,884.418,189.677,196.343,49.0979,2.55328,65.9845,47.1667,23.8125,20.0913,3.37834,11,0.400717,1.80009,6.47586,851.888,289.577,162.26,52.2195,1.26549,64.1731,47.125,23.56,22.409,3.97137,10,0.334074,1.24346,5.09528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,5,fell,32.94,7,42.1291,12.9311,1.13802,3.74265,215.71,51.8575,23.826,18.8022,1.62941,18.9377,12.2258,6.34881,8.22441,1.26997,5,0.494089,2.27293,3.2501,574.161,86.7358,131.633,68.9833,1.92759,35.3038,19.5795,13.7255,19.7726,2.9488,5,0.262037,1.76888,5.10577,2227.13,267.532,528.762,196.018,3.90681,139.303,87.9076,50.4831,58.0152,7.80183,24,0.265446,2.13381,8.47707,428.421,94.7441,60.0357,48.4048,1.57421,29.255,17.4832,9.51157,13.3469,1.8219,11,0.289487,1.6346,4.16329,493.738,136.993,160.395,127.389,2.24616,37.1954,25.5315,15.2,18.8695,2.82284,8,0.349278,1.92313,4.28723,564.066,163.742,156.141,111.345,1.94546,42.7226,28.3641,16.9273,21.093,2.8447,7,0.438788,1.48072,6.07886,1506.04,330.787,269.121,28.2585,1.81533,94.789,53.7451,34.6742,24.4421,6.33654,12,0.414198,1.53038,8.48772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,6,fell,86.06,18,23.0201,6.59895,0.984257,3.03378,283.494,72.3592,41.7978,22.4425,2.19632,22.8235,13.7693,7.90389,10.3538,1.45802,5,0.497311,1.99354,3.46854,309.518,61.4182,20.2976,16.3172,1.11058,19.8701,10.9347,6.4922,8.61774,1.18384,4,0.393751,1.29924,4.77048,399.59,90.6136,58.3266,43.9805,1.81889,31.2082,19.6278,12.2166,17.6785,2.21258,10,0.329528,1.47539,3.03625,161.576,34.9479,14.5035,15.6392,1.27168,12.3025,6.56871,4.79359,6.82935,1.21474,3,0.262168,1.30319,1.29588,471.568,148.275,79.3611,45.9666,2.54729,33.7325,23.0324,11.2661,17.1144,2.82762,12,0.367654,1.30031,3.05974,720.318,111.142,219.805,150.658,3.07242,52.0013,27.8612,18.5594,28.798,4.91467,11,0.206548,1.56285,5.17993,556.007,140.88,102.656,52.3063,1.8538,40.8348,26.8749,13.7051,17.481,2.13386,6,0.147225,1.42363,6.57544,446.052,104.729,56.4152,48.8147,1.54945,35.0139,19.4395,11.8296,14.4393,2.34424,9,0.323475,2.11763,5.57812,977.14,153.571,242.153,86.8719,2.11716,68.5238,38.2868,25.8308,30.5621,4.39104,14,0.248836,1.83685,5.64025,716.804,247.889,173.604,142.459,5.02748,54.3392,37.4449,20.7225,31.6483,5.76449,11,0.271289,1.92721,5.41081,467.275,124.479,66.1594,51.368,2.72287,36.785,21.4633,12.9254,14.5976,2.73473,7,0.285591,1.58923,4.15872,573.491,106.831,99.2068,60.1712,2.30665,37.4767,21.2852,13.2105,17.3422,2.75321,7,0.464283,1.67816,5.14068,519.621,134.493,74.1465,39.571,1.90953,40.0091,22.9579,13.8911,15.5052,2.63368,11,0.294247,1.75352,3.21083,780.552,151.844,177.135,172.809,4.61186,57.5958,30.4507,21.7455,34.429,5.64011,11,0.287821,1.72612,5.68283,2505.08,424.859,713.93,346.441,13.3573,127.579,68.2223,53.5804,70.212,15.7285,14,0.454302,1.92385,10.1932,411.117,122.626,106.585,45.2568,1.76752,30.7468,19.5315,10.9517,14.6483,2.43345,7,0.338298,1.59731,5.565,1141.88,252.21,196.319,73.8571,2.91948,73.0722,48.4264,21.5764,31.4017,3.8913,18,0.361535,1.35652,4.85022,1445.24,150.994,475.98,105.031,0.742676,82.566,32.3921,37.7978,46.7087,4.09219,2,0.604498,1.98364,23.5402
sonic,7,fell,37.2,8,30.1524,24.0351,2.53139,3.60382,347.789,85.9876,52.6562,19.6437,2.3296,28.6951,17.3743,10.4001,11.969,1.91255,6,0.431006,1.96342,5.54579,539.774,204.092,109.897,33.7226,1.63054,37.7402,33.1527,12.7643,15.1654,2.5435,12,0.443246,1.12396,4.42526,459.983,98.8808,81.1548,43.6105,2.38784,33.6452,20.8798,13.0011,16.5605,3.29869,8,0.458471,1.06314,4.79476,679.25,210.308,116.28,66.3771,2.50158,54.2295,38.8801,17.6918,22.3456,4.78891,13,0.43903,1.57728,8.31772,2321.4,445.172,588.008,104.876,2.5385,157.941,101.623,63.2806,53.7728,9.71683,24,0.392236,2.19993,10.2835,849.349,261.957,161.126,148.436,6.09821,60.5132,42.2481,21.8975,25.3772,5.81539,14,0.38575,1.48434,6.82188,513.542,140.338,89.7291,31.9373,2.05692,41.9507,29.0698,16.3775,15.1013,3.41479,9,0.359738,1.6171,7.02696,594.762,189.409,117.872,23.8716,0.667519,41.9797,26.6375,18.8718,15.0065,2.29076,5,0.350645,1.57227,4.24967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,8,fell,30.74,7,69.368,31.2434,3.75528,4.12814,454.284,92.6516,90.295,34.158,1.63218,39.6253,22.3779,13.1361,15.6003,2.42249,8,0.432968,1.95557,4.11745,198.454,28.6577,22.338,11.5024,2.53084,16.8708,6.56689,6.62989,7.32552,1.54978,4,0.437349,1.33003,5.22726,562.953,139.78,116.392,41.0528,2.92309,31.2243,22.7319,12.0515,15.572,3.07249,8,0.527173,1.75187,3.1641,2066,364.812,587.667,186.732,4.9067,134,87.7402,53.3529,49.6964,10.2844,29,0.204133,1.77646,8.60002,969.79,251.76,263.326,126.154,4.47388,70.3471,47.7901,25.1438,25.0245,6.01366,16,0.493228,1.26562,8.1519,1236.25,461.546,227.764,48.021,1.80915,71.7328,61.9684,27.1532,22.9057,3.7411,15,0.444358,0.992281,5.81669,1013.32,187.118,416.33,36.0656,0.704933,54.2202,31.7549,22.7947,18.7398,2.90329,3,1.17159,2.11063,15.7778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,9,fell,77.76,16,22.4296,11.257,1.17334,2.23771,304.824,59.0735,29.273,14.5359,2.03031,25.5718,14.7577,7.78779,9.71023,1.62339,4,0.568452,2.2554,4.86406,195.642,29.4523,18.9747,13.855,2.7049,15.3648,7.38416,5.58413,6.94255,1.4207,3,0.275417,1.18391,2.5682,365.31,120.458,85.9595,29.6483,2.01805,36.501,21.0356,13.5671,13.8773,2.5453,10,0.326644,1.72723,3.34132,801.712,202.634,139.65,43.6342,1.26889,60.5679,41.3673,20.8817,17.9034,3.06288,12,0.282039,1.31944,4.84956,858.16,236.86,191.516,73.6369,1.34659,61.3842,40.5704,20.7322,20.9152,3.24426,19,0.447094,1.44391,3.90997,196.717,32.4422,36.0656,16.9262,1.20503,20.1819,10.177,7.0726,8.42212,1.41233,2,0.778377,1.97923,9.97865,635.188,142.034,146.78,48.4404,1.83132,42.4019,29.8374,15.8797,17.8357,2.82761,9,0.394184,1.38365,4.32545,332.783,119.015,36.5279,20.8363,1.45463,23.2068,12.0551,8.35473,8.8384,2.04216,5,0.381005,1.52484,8.33706,343.493,148.2,43.4919,24.6092,2.1593,30.421,20.8664,9.98845,11.0561,1.99934,9,0.384655,1.28511,4.33491,721.992,165.899,148.33,80.5349,2.02237,47.7642,35.651,16.8728,18.0826,2.64246,11,0.324381,2.297,8.52617,457.23,127.262,126.404,48.7919,2.34017,46.0484,30.8429,16.414,17.2518,3.28963,11,0.27926,1.60427,4.2328,335.625,109.674,57.7431,37.0623,2.32822,33.7995,21.8569,11.0451,12.6746,2.15931,9,0.423403,1.59194,3.91445,388.445,80.5763,41.6464,31.4049,1.7596,26.4024,17.5223,9.43673,12.0587,1.92044,8,0.351405,1.18347,3.86127,1019.31,245.526,187.655,40.9395,1.89596,74.8655,51.5948,25.0567,24.6579,3.58529,14,0.374845,2.10186,9.17512,584.62,193.931,84.1407,31.5259,2.12245,40.9981,31.6678,13.8111,13.1605,2.32588,12,0.361893,1.72833,4.92459,1399.41,307.952,469.409,57.1338,2.68058,102.909,68.8264,39.2766,32.124,6.97091,13,0.283367,1.83366,10.6109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
