policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
wbc_agile,0,fell,77.28,16,16.9855,14.0221,2.66096,3.20498,271.059,51.1694,23.3136,22.8679,1.37753,21.9882,28.8619,3.84573,6.51569,1.3758,14,0.424468,1.1401,169.326,36.5058,14.1553,33.1992,1.4736,12.4784,19.6363,2.68276,6.07279,1.50033,8,0.359143,1.19466,311.27,59.0933,31.2983,91.7692,2.50422,21.5132,33.8642,4.70412,10.656,1.99289,15,0.565761,0.976808,188.662,23.3079,15.9613,19.6968,1.99997,12.1009,15.5874,2.99557,5.24513,1.26656,7,0.716122,1.69228,147.39,26.4694,5.63107,11.8767,1.60545,7.33051,10.8976,1.68347,2.88462,1.17837,7,0.364914,1.03914,193.632,37.6653,19.8624,21.8438,1.04608,15.0502,21.6376,3.4319,5.25075,1.37726,10,0.670053,1.32412,328.655,97.132,69.212,182.18,8.28568,26.6983,48.1582,7.15015,24.3178,7.33853,15,0.585275,1.19598,326.269,86.3329,32.0881,37.3671,1.99582,22.4934,40.6485,4.46684,9.8808,3.75368,12,0.373446,1.29026,250.305,50.108,24.546,39.6785,1.04556,20.0791,36.3774,3.93982,8.33159,1.48804,13,0.561631,1.31167,192.384,25.0338,13.7055,34.4055,1.03662,8.07117,9.87959,1.89979,5.9484,1.28358,4,0.573673,1.48231,215.446,34.5261,29.8484,69.0004,2.0999,14.7256,20.1919,3.25751,11.7006,2.1912,11,0.383664,1.0688,360.903,72.6931,33.2349,37.877,1.61518,23.9684,47.1735,4.98557,10.7139,1.89398,15,0.570439,1.33252,136.585,23.2593,16.8458,50.486,1.5716,12.2304,18.2901,2.68138,7.40695,1.60554,16,0.21515,0.675333,260.643,41.745,18.8259,33.6649,1.08583,14.3352,22.8239,3.35596,7.23955,1.49621,8,0.427793,1.73022,263.81,35.7725,70.4684,295.018,5.60427,20.6824,24.9773,5.37606,22.8894,6.29918,10,0.39454,1.35577,907.328,236.736,46.4679,29.2621,1.45275,41.656,83.7197,6.90266,15.2933,3.53969,10,0.430778,1.05761,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,1,fell,54,11,42.7442,11.1256,1.40489,1.25539,193.316,30.5651,14.509,9.90651,1.78615,19.4776,24.5091,3.20668,6.58422,1.95045,10,0.524763,1.34376,223.185,42.8074,15.3442,13.5039,1.26757,14.2575,26.005,3.24064,7.0221,1.52597,11,0.593613,1.2399,185.266,41.0866,23.1302,108.229,2.08232,17.3885,23.6139,3.97622,12.7558,2.76382,13,0.42335,1.12251,208.616,34.3803,13.2328,14.7449,2.91692,15.4027,20.6546,3.18973,6.91011,4.47418,13,0.468891,1.14861,188.382,42.1028,23.1301,57.9163,2.38135,16.7134,23.6673,3.85558,7.84177,2.45243,11,0.723571,1.22118,336.935,70.5251,26.8512,30.0797,21.2572,20.6624,36.4732,5.51841,14.9244,8.0266,16,0.470807,1.10055,209.67,32.2874,19.8428,26.4353,1.43001,18.321,28.5795,3.68251,4.79545,1.1378,14,0.727176,1.2951,48.1154,4.80676,11.5552,22.3448,8.18145,6.08506,4.23905,2.02793,6.59611,5.27281,3,0.669974,1.09468,251.148,39.8629,20.4827,23.7913,1.31949,15.2329,23.7857,3.86076,8.71177,1.80901,11,0.49652,1.12898,293.959,51.1966,20.8799,17.4526,1.31478,17.4487,28.4559,4.03464,7.70489,2.0272,13,0.506853,1.25058,1396.62,666.832,82.3051,29.2393,2.46144,73.7798,162.837,13.5947,21.7391,8.01423,19,0.510265,0.988235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,2,complete,90,18,7.6693,2.9453,0.0370601,0.0367985,117.075,24.0983,6.52077,12.768,1.17305,11.1075,14.7903,1.60758,3.51946,0.862085,5,0.410426,1.36729,111.083,18.3894,7.7961,15.3721,1.45131,7.09553,8.53658,1.4883,2.28482,0.729685,10,0.336002,0.75143,186.924,33.5298,17.3658,16.6799,2.25402,12.6586,23.1914,3.07161,6.11844,1.33754,9,0.620398,1.35089,190.039,32.289,11.5533,13.3196,1.72696,11.1263,16.6481,2.37465,5.76366,1.8679,9,0.425779,1.04174,205.835,36.5979,15.9326,16.2442,1.25104,13.7546,18.1095,3.04962,4.63133,2.33773,9,0.635849,1.22306,216.965,29.5403,12.4136,27.0439,2.02457,16.8372,20.5025,3.34279,3.69703,2.90406,14,0.432526,0.98591,419.938,115.949,30.986,14.7634,1.81244,28.1996,48.8943,5.97338,5.34537,4.21208,15,0.70285,1.53152,356.092,58.6968,28.1451,30.8127,1.65319,24.8883,38.4855,4.5846,8.45523,5.67936,16,0.415669,1.22061,390.562,111.033,39.1581,27.7711,0.920577,28.3847,48.0289,6.18364,10.4021,3.12399,14,0.66938,1.62242,285.588,55.8224,31.4248,17.8035,1.03109,22.7246,33.9638,5.35032,7.16402,3.63025,16,0.780833,1.24742,400.246,120.288,47.4448,13.8725,1.46629,25.611,47.3566,4.72083,9.59951,4.48794,12,0.579067,1.3291,116.671,27.1788,11.9449,14.7902,2.34355,11.6484,16.1069,2.6935,5.90042,2.60179,8,0.525215,1.16975,476.772,98.809,40.1875,16.9812,1.79762,33.954,62.3404,7.27098,15.2441,4.77509,22,0.620219,1.20804,188.566,32.4261,16.4615,15.5751,1.44035,17.925,22.771,4.09314,8.23038,1.99273,11,0.677586,1.55186,305.145,52.4874,28.5426,29.077,0.897642,20.4907,37.93,4.4845,6.86577,1.09807,11,0.557083,1.44381,427.732,73.9912,39.4604,35.3975,1.34862,24.5805,40.3788,5.73279,8.83659,1.43884,14,0.403577,1.35726,564.085,111.349,51.2337,44.2858,1.78983,31.8316,54.7849,6.18979,9.82117,2.13721,13,0.634954,1.30355,268.588,43.5325,30.5685,29.5057,1.88608,20.4612,33.3386,4.53852,5.8689,1.40429,14,0.498905,1.20566
wbc_agile,3,fell,51.48,11,31.3956,18.655,3.78512,3.97541,314.022,56.0779,21.6826,26.0948,1.66356,26.6891,34.3244,5.06348,11.8857,2.78908,14,0.562425,1.36154,271.308,45.8137,20.271,24.7149,1.21836,17.0121,26.2926,3.99309,7.34072,1.3158,15,0.480512,1.15246,117.021,19.3822,10.8352,16.8101,1.08294,9.50154,13.2257,2.0666,4.26132,0.929608,7,0.458513,1.17063,165.629,28.4277,10.4639,20.2479,0.917757,10.0762,17.9249,2.24075,4.55571,1.03017,5,0.631003,1.50791,200.371,32.524,24.1403,71.9645,5.16067,14.9748,21.3274,3.59432,14.0735,6.57949,14,0.611936,0.939426,111.192,27.6981,21.1613,71.2319,4.02367,7.15327,13.8292,1.74291,7.96401,2.99213,3,0.428453,1.0312,191.863,36.9102,15.9433,22.2341,1.2624,13.2043,17.5655,2.92827,5.79038,2.64925,11,0.574661,1.27321,368.896,56.4229,27.1266,124.576,7.90661,22.0193,38.8276,4.4597,13.8051,5.65472,13,0.316256,1.30143,429.596,115.169,42.3742,167.255,3.41936,32.8636,51.5914,6.43607,18.904,4.1837,23,0.472464,1.01811,144.593,27.5223,12.2939,33.4247,0.900057,13.7884,21.7726,2.89177,6.12803,1.12639,16,0.278657,0.892322,734.993,366.969,59.1173,103.692,17.0222,36.6491,84.4969,7.70572,24.1283,8.93059,5,1.04281,1.99328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,4,fell,55.58,12,12.2272,15.5408,3.04427,3.66072,132.79,22.3366,8.25588,10.0097,1.61373,12.7379,17.9929,1.8874,4.7194,1.13951,9,0.237021,1.02501,231.311,54.5447,24.0023,14.8542,1.93501,20.4682,33.0977,4.54563,9.60599,2.32247,16,0.591905,1.1125,216.8,51.8805,17.7598,15.0397,1.38616,15.3645,26.266,3.53827,5.52474,3.37541,12,0.532085,1.07233,247.442,38.6771,17.6888,15.2093,1.4953,16.4548,25.5089,3.71419,5.99379,2.47706,14,0.509196,1.14202,227.429,36.2089,16.8684,19.2903,1.39611,18.5352,24.7921,3.73054,6.81429,3.31169,11,0.553806,1.33926,94.1995,19,6.63063,10.3853,1.40369,8.42984,12.7694,1.84471,3.67425,1.8694,6,0.625879,1.34596,205.024,57.2629,15.4715,20.6886,2.67687,12.0462,19.9032,3.22346,6.70327,5.2894,7,0.453718,1.4151,44.0767,11.5196,4.83964,16.9162,1.52862,5.57898,5.41764,1.28777,3.59762,0.953377,2,0.343678,1.09175,189.387,25.4646,16.1248,12.0945,0.990849,14.2895,19.9129,2.89038,4.08005,1.31473,8,0.687943,1.69213,364.68,149.545,37.2589,23.9691,2.14605,28.9892,46.7823,6.28831,9.43342,2.75395,17,0.918603,1.19215,189.261,46.372,19.0392,17.5989,1.03572,13.9003,20.8662,3.40557,6.71443,1.46909,10,0.575754,1.35521,262.881,25.1287,20.9134,14.1098,0.151743,11.3362,12.7895,2.74739,4.69367,0.580404,2,1.27045,0.689108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,5,complete,90,18,10.9365,3.60608,0.0135937,0.0168107,146.895,24.5176,11.0027,14.3648,1.14821,15.7463,23.8529,2.41492,4.25523,0.928554,9,0.385622,1.39678,199.42,30.0094,19.3919,36.9725,1.21942,12.1806,22.4107,2.65143,7.42295,1.65374,8,0.53877,1.30985,267.486,48.3258,22.1986,96.7293,3.18468,17.9918,28.1878,3.57676,12.7007,2.45394,12,0.410895,0.836792,218.795,80.9261,21.9278,27.9985,1.22605,17.4526,34.1406,3.04715,6.75534,1.11038,12,0.431403,0.933411,89.9837,11.1259,15.6478,54.9672,6.92379,6.87958,7.70108,1.82568,8.5519,6.27104,4,0.353129,1.06147,195.263,34.712,23.5324,43.132,1.58148,16.1916,19.7084,4.4774,14.27,3.58874,9,0.541248,1.28283,127.349,26.336,13.5854,11.3771,2.23309,8.41149,11.3854,1.97032,3.1147,2.29784,8,0.470429,0.809488,135.968,27.9316,17.4307,25.7197,1.81015,14.3184,20.7732,3.0205,6.97627,3.14214,10,0.646052,1.33859,89.3561,19.1022,10.0426,20.549,2.97783,10.1424,13.6609,2.82879,10.7185,5.90855,8,0.410118,1.08506,211.081,47.9645,17.6117,10.2744,2.0031,14.3549,21.1083,3.91706,5.41569,3.31714,7,0.68449,1.47764,147.346,24.4807,11.9376,15.9258,2.11679,12.0683,17.8529,2.60725,5.5152,2.99364,10,0.607796,1.28167,203.018,46.3055,26.4463,103.151,8.12303,14.5111,17.822,4.10787,13.4418,7.00058,9,0.41535,1.18115,176.866,28.6889,19.8694,20.1476,1.25119,14.6558,23.4891,3.10848,5.26009,1.23084,13,0.431279,1.06137,249.798,45.3333,24.9894,31.2398,1.22192,18.1113,27.6076,3.79644,5.86899,1.11427,10,0.541368,1.21909,216.824,35.3371,17.751,32.4008,1.14985,16.5284,26.1146,3.60387,5.93375,1.01173,12,0.425656,1.04265,355.249,49.5767,36.2493,47.8257,1.32554,22.7507,35.1328,4.70283,9.14128,1.43107,15,0.45419,1.14979,883.124,186.557,67.8494,67.2089,1.69976,53.6869,98.8843,10.4246,18.8995,3.46902,26,0.403181,1.41678,559.623,156.302,164.636,488.802,108.602,42.2241,71.5635,11.1594,46.7581,17.4502,21,0.559219,1.12212
wbc_agile,6,complete,90,18,20.5266,4.68464,0.0505629,0.0521059,111.84,25.4308,12.7644,14.0651,1.54841,14.2804,18.1412,2.49276,4.82598,1.11546,6,0.333604,1.4802,233.665,34.6179,14.7889,16.2817,1.02735,13.2607,21.5133,2.71266,6.12876,1.04506,12,0.43197,1.09168,196.598,36.0932,18.919,31.1138,1.20089,13.8293,21.3721,2.8594,7.15992,1.33993,11,0.526427,1.12797,130.318,23.566,8.88839,18.3918,1.00168,8.99234,13.1414,1.86847,4.42145,0.916071,7,0.475828,1.06656,283.65,50.4884,23.3554,37.0334,1.84946,18.9285,28.4851,3.8661,10.15,1.86916,13,0.620255,1.16155,266.805,36.3405,30.427,120.235,2.36402,20.0505,28.3267,4.19976,14.2341,2.46788,19,0.341759,0.98762,185.676,38.7194,28.2894,37.2784,1.37983,17.6131,25.836,3.56746,8.68405,1.24609,17,0.424449,0.974135,277.113,52.3405,18.1706,40.4249,1.02429,18.3184,28.1796,3.9541,8.36367,1.6985,11,0.488238,1.25296,202.823,41.4,13.7873,28.7798,1.25402,12.6535,20.8627,2.61597,5.30857,1.26748,7,0.484619,1.12157,747.983,419.261,81.0947,124.396,3.28046,53.5347,105.139,11.3212,24.4273,4.67572,28,0.630352,1.23982,1504.85,512.858,101.061,102.594,2.35807,81.0441,162.475,16.5681,28.8531,5.1186,31,0.386274,1.61805,535.653,99.8956,31.5272,48.1204,1.74594,29.9255,46.9592,6.72791,11.2767,2.23634,14,0.695253,1.658,402.148,44.9171,26.7693,31.1085,1.18643,19.6993,30.6259,4.79735,8.05986,1.63532,13,0.798092,1.52373,229.336,70.911,38.6295,94.5763,10.7963,18.484,29.2082,4.66855,18.9985,7.00541,14,0.382379,0.756286,268.312,41.1373,32.0862,241.6,64.651,18.3999,29.0356,4.67409,25.5655,11.4701,10,0.641087,1.3316,443.427,70.5073,32.2207,30.196,1.65878,24.9597,44.805,4.99005,10.5801,3.35127,16,0.371366,1.30518,380.334,88.1691,30.0519,36.9036,1.92973,23.3717,39.7706,5.44291,12.4735,2.75975,11,0.666948,1.65326,446.234,65.9781,40.6095,43.3389,1.99307,25.3237,49.3146,5.34305,14.6007,2.68664,18,0.451779,1.16378
wbc_agile,7,complete,90,18,5.94025,2.87134,0.0235093,0.0295684,177.101,29.7304,13.7453,15.8095,2.42838,18.1432,24.1579,3.03025,7.12425,2.11243,10,0.521782,1.30923,299.446,113.726,25.1353,19.1195,1.29477,21.6614,37.8898,4.77175,8.93922,1.72779,14,0.536463,1.16141,125.018,16.7346,6.96717,9.04176,1.50424,6.57845,9.04948,1.56852,3.94944,1.67646,6,0.426484,1.04276,239.483,51.705,18.2,26.9893,1.85484,15.9237,31.5612,3.39954,9.94458,2.96798,8,0.463927,1.49457,154.055,21.3129,10.4698,7.83997,0.965676,10.8343,16.507,2.22666,3.87756,1.47244,9,0.503328,1.08927,384.472,73.4242,28.1838,146.035,6.01481,25.3125,46.513,5.63186,18.9169,6.96209,14,0.39362,1.29169,467.022,77.8229,30.592,18.6676,1.61669,28.3711,52.8181,5.70914,9.72858,3.69983,15,0.662172,1.45735,173.967,23.3945,11.6322,10.4383,4.75458,14.9265,17.7289,3.27018,5.2713,6.25012,13,0.467634,1.13572,261.967,113.185,20.3288,50.1069,4.59054,24.5115,38.1525,5.39014,15.5071,7.67026,16,0.517277,1.22946,438.223,201.95,38.2542,19.293,1.68734,36.1489,58.8398,7.92535,15.1531,5.42747,20,0.701828,1.41318,231.432,90.3002,26.6899,26.2795,1.82452,17.4036,34.1569,4.44591,9.67937,4.01385,11,0.662562,1.32694,172.928,34.5898,23.9955,14.5596,1.73974,14.1216,20.7796,3.5133,7.00563,4.71898,10,0.6634,1.19146,388.232,203.612,68.5584,38.0425,4.91792,32.2987,60.3388,7.55913,15.0702,8.91461,19,0.74158,1.3051,198.49,27.7203,32.4389,127.32,17.9267,19.5686,24.2015,4.68765,18.6111,9.97825,14,0.69529,1.22759,119.266,21.0814,30.4586,32.5351,1.85773,9.49381,12.2227,2.61999,9.08984,2.12704,9,0.304109,0.891255,600.854,325.108,135.251,38.6896,2.33426,44.2937,87.3726,10.9153,19.5727,4.32941,24,0.809966,1.27436,256.306,77.6476,27.0373,29.793,1.54481,21.6676,38.8826,4.21849,7.97238,1.59627,12,0.698109,1.39864,341.92,43.5271,23.6614,33.638,1.44758,18.5256,27.1953,4.31005,7.70939,1.43566,16,0.57536,1.03059
wbc_agile,8,complete,90,18,6.43825,3.16485,0.00653475,0.00521251,169.972,30.6912,16.185,20.3286,2.38415,19.7432,24.9297,3.42073,8.36609,2.34825,11,0.432918,1.33268,130.041,14.2064,9.72042,9.44333,1.82354,11.9156,13.7913,2.33379,4.08698,1.04938,8,0.572525,1.29842,263.332,43.9337,20.7538,19.4213,2.42551,15.7684,31.0273,3.63825,7.04881,3.14623,14,0.485609,1.07846,256.866,46.1405,20.6332,58.2996,4.86837,19.5074,30.1119,4.28915,13.0713,5.99746,11,0.560703,1.37394,148.59,24.2951,18.0359,60.3407,9.63901,12.413,18.9347,3.159,12.2228,7.37906,10,0.502712,1.09224,293.774,114.7,18.0314,12.2891,1.43717,21.3466,32.2487,4.71665,8.31045,2.67044,12,0.472641,0.960489,160.195,28.4698,14.8413,17.6954,0.844152,13.4905,19.301,2.8917,4.64062,1.70035,12,0.623741,1.21583,282.864,61.4618,20.0995,18.4137,3.96528,18.5049,34.4488,4.36972,6.95295,5.0563,13,0.646515,1.17344,174.794,26.087,13.6697,25.8322,89.4414,11.8092,19.069,3.33761,8.38916,11.5249,8,0.621973,1.19737,281.198,107.669,27.1565,53.7163,1.14477,21.535,33.8817,5.31507,9.76151,2.82522,15,0.525052,1.21983,277.477,37.771,18.9414,28.9159,1.69279,18.0581,27.4901,4.23907,8.5962,3.71818,14,0.440606,1.14556,201.627,36.6111,15.4771,14.8368,1.0521,15.8622,24.6902,3.25061,5.07571,1.4948,9,0.41496,1.39375,416.581,80.8362,30.4309,52.3983,94.0051,33.905,53.648,7.25668,18.9682,13.6819,22,0.557609,1.30837,416.862,81.9779,30.4181,30.8613,1.88586,27.7184,49.7979,6.20245,10.6455,3.94021,20,0.494206,1.36984,432.234,64.8869,34.3961,74.2856,23.5214,23.6273,36.7176,4.73848,12.9858,8.85734,12,0.337348,1.45446,181.097,39.885,22.259,47.6482,24.7119,13.6121,22.8537,2.82931,5.5705,4.69071,7,0.507968,1.47356,404.269,63.8856,30.0699,33.2915,2.26065,23.4211,35.4703,4.61791,10.512,3.02012,11,0.434705,1.5346,240.493,50.5688,19.7037,23.4174,1.47644,15.0979,25.8463,3.59402,7.11531,1.66663,9,0.65436,1.2291
wbc_agile,9,complete,90,18,7.13123,3.20752,0.0142768,0.0117715,144.998,20.3126,11.5942,9.76062,1.361,17.4228,20.3671,2.52512,4.81875,1.14105,9,0.457763,1.36068,91.0593,13.6408,5.32673,12.729,5.02329,5.11611,6.92584,1.47199,5.0182,2.91793,4,0.368162,1.05449,195.372,29.1371,14.612,23.3292,4.40043,13.3241,18.8865,3.05963,6.26854,3.09481,12,0.397073,0.995836,215.801,34.7209,16.3913,13.1283,0.745628,17.544,23.9819,4.04577,7.80451,2.38231,13,0.458632,1.27023,124.969,22.1873,7.76855,25.3673,4.00711,6.45527,12.9287,1.71291,5.22635,4.28513,6,0.379134,0.89232,216.008,32.5179,15.2904,14.6998,0.86281,15.0122,19.1132,3.00876,5.15889,2.01338,13,0.39422,1.01086,265.703,39.2003,14.5369,24.1292,2.91944,13.3696,21.3882,3.05976,6.20064,3.58277,10,0.367377,1.12543,210.865,28.3861,17.6943,13.2806,0.973787,16.3365,20.1592,3.39958,5.10657,1.84849,13,0.54937,1.16534,169.036,22.2147,10.2377,15.9884,1.56941,9.46663,14.4853,2.18021,3.98848,1.71357,8,0.443915,1.16484,169.731,39.3004,18.9182,37.9784,1.44811,11.9998,21.4712,2.95406,7.33143,1.88094,6,0.534618,1.24729,273.425,60.7861,27.2949,11.0323,1.72409,21.0726,33.8987,4.57161,8.02498,3.7815,12,0.375925,1.36746,238.95,43.2606,22.4542,15.6263,1.25502,15.9902,26.722,3.8194,7.01291,2.35012,12,0.773095,1.26656,232.349,59.8331,18.1974,22.3293,1.38646,17.3115,27.4378,3.78415,7.84385,1.56102,14,0.634109,1.05555,300.129,60.4162,29.1304,15.68,1.20986,20.193,33.4123,4.54335,9.43498,2.20815,15,0.659846,1.24109,299.74,102.935,23.0322,14.1109,1.54815,23.9414,39.5619,5.21521,9.74876,3.02246,10,0.646393,1.66132,588.427,134.441,46.7702,30.945,1.41312,40.0642,69.4279,7.98859,11.7584,2.79572,27,0.548844,1.24931,414.216,54.9251,33.3159,26.1957,1.11166,23.8283,42.3273,5.37633,9.61034,2.06632,14,0.60211,1.50342,127.568,14.2524,12.6599,16.0001,1.31728,8.04203,9.28856,1.78843,4.0973,1.28291,7,0.49297,1.01039
