policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
wbc_agile,0,fell,77.5,16,23.4978,3.66467,2.39276,3.53715,316.075,72.6727,23.1948,25.4897,2.11313,28.4514,43.2334,5.67207,9.00742,1.76312,13,0.574622,2.23188,167.997,34.7721,12.994,32.4936,2.47602,14.4322,24.5149,3.19397,7.50946,1.60529,10,0.41858,1.42982,387.153,80.803,33.6313,89.4397,3.12966,25.131,45.9979,6.1656,13.2217,2.64419,16,0.755538,1.7016,211.526,27.4241,15.0753,19.9607,2.39696,13.5321,22.8028,3.54922,6.25817,1.47113,7,0.579062,2.20982,177.48,39.368,9.25639,13.6436,2.21313,11.7036,21.3052,2.70344,4.73976,1.57592,7,0.366438,1.76492,207.016,43.9855,16.9933,21.7966,1.26168,17.6047,29.5538,4.26859,6.08454,1.57746,7,0.575983,3.12569,357.096,92.6751,58.6073,144.041,4.43289,29.4076,55.4979,8.60101,26.5581,6.20982,13,0.417306,1.75531,757.975,213.095,56.5076,61.1576,1.557,48.2416,105.727,10.1911,17.0093,2.59955,21,0.570367,1.58713,237.952,50.6907,20.1551,35.8864,1.76488,19.3304,37.3895,4.09605,8.32992,1.44826,10,0.559898,2.22669,222.255,31.768,16.1438,34.767,1.48644,11.4633,18.1207,2.75529,7.47498,1.40903,5,0.509972,2.05072,272.332,50.1564,26.5903,65.2343,2.4175,16.8648,33.82,4.08228,12.957,2.64328,11,0.276361,1.40677,1081.43,399.319,68.184,74.2546,2.32821,66.5441,145.364,13.4259,24.0655,3.36985,26,0.422683,1.88014,343.289,48.4379,26.905,63.0835,1.90533,26.4985,48.5377,6.12832,13.078,2.43939,14,0.570598,2.48272,468.25,65.7939,25.0178,39.7565,1.73012,25.2842,47.6583,6.84252,12.413,2.13462,17,0.332324,1.21831,362.023,41.8477,75.5155,169.797,4.57886,24.7128,38.5387,6.31409,19.4609,4.47646,11,0.470169,1.66803,681.62,219.025,40.7496,31.5651,0.758282,34.6867,94.2826,6.51307,13.2038,1.80241,8,0.502675,1.96998,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,1,fell,54.3,11,62.0629,3.83936,2.482,1.84163,196.001,28.684,12.1511,10.8913,2.65594,20.1643,31.0133,3.58126,6.30816,1.41142,9,0.551929,2.59697,309.531,80.6383,18.6042,18.9238,1.76828,23.2937,41.1519,5.03332,8.06648,1.56337,11,0.451785,1.88776,206.068,44.424,24.4676,95.6989,2.2755,18.941,31.6278,4.55998,10.9425,2.32336,10,0.603195,1.99724,214.585,31.1906,14.3436,18.0724,2.35236,15.9367,24.3604,3.81987,5.33628,1.495,12,0.479154,1.62752,256.299,50.1891,24.2944,66.8523,3.13745,21.1009,37.6181,4.72224,7.57882,2.3909,11,0.562678,1.93145,431.994,74.9193,35.8381,96.9236,17.1303,28.4216,45.2406,7.96619,20.6465,10.3789,11,0.620469,2.13722,216.153,35.1429,16.5781,26.8936,2.17505,19.2526,34.4825,4.40109,4.87767,1.16768,10,0.574739,2.40514,71.0807,6.02609,15.6499,49.5146,6.65484,6.64558,5.55717,1.71943,5.52123,3.67698,2,0.707411,2.99367,836.873,268.686,54.8998,56.2436,1.87201,54.522,111.723,12.161,18.4421,2.36591,21,0.535378,2.27351,442.736,130.073,32.151,25.984,1.81835,30.2565,58.4409,7.03859,9.04125,1.67347,18,0.522531,1.99199,1510.37,820.108,81.2667,51.0376,14.6021,99.3884,259.072,19.7754,25.049,14.8371,33,0.761691,2.03398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,2,fell,32.16,7,70.298,15.8959,3.18402,3.13078,121.543,29.7353,6.3321,13.0666,1.3435,13.2328,21.6399,1.84939,3.74494,0.941407,6,0.618362,1.90191,147.361,23.3618,8.63216,16.0142,2.14372,9.78427,16.7637,2.36331,3.15768,0.851322,8,0.496837,0.912097,249.161,40.2636,15.1601,16.7198,3.27135,15.9631,32.7519,3.62161,7.1056,1.48539,9,0.602293,1.88754,228.704,48.9415,13.2312,15.0008,2.00731,13.3211,29.595,2.84776,5.50346,1.26064,9,0.599711,1.66106,411.012,104.308,21.6162,56.2182,1.34984,26.8909,51.307,5.78248,11.4744,1.79345,16,0.602658,1.35775,183.895,24.6289,8.91344,17.9234,1.87311,14.3773,20.8874,3.13451,4.58659,1.01762,11,0.41636,1.68554,1319.93,448.169,43.2126,37.1813,1.08518,55.244,128.827,10.3758,14.8607,3.32575,13,0.857706,2.23959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,3,fell,70.7,15,14.8546,15.145,1.79848,2.68514,375.752,75.8956,20.3491,40.9096,1.93489,31.2128,48.132,6.18257,12.4767,1.91376,16,0.563075,2.06622,325.54,49.1725,18.8584,23.4388,1.62558,18.9274,30.2239,4.72777,8.56716,1.48883,12,0.451977,1.80657,106.459,16.3367,9.61216,16.7678,1.51915,9.85527,15.1497,2.34049,4.64973,0.998207,7,0.408875,1.76647,203.907,28.6892,9.5749,19.6154,1.58555,12.0011,23.8178,2.68453,4.58112,1.01166,7,0.590582,1.86701,291.448,42.469,23.6529,92.917,6.59404,20.001,36.5442,4.47801,13.6374,3.66765,10,0.539958,1.62702,85.2817,16.8996,14.1853,76.8908,5.00046,6.30885,14.2703,1.64875,6.77432,2.88522,2,0.610668,2.14877,246.894,46.0827,17.5911,28.2836,1.57369,17.8874,26.7261,4.25704,6.60565,1.58623,9,0.617843,2.31526,614.419,67.6752,40.802,129.801,5.7865,33.5935,62.5414,6.64147,15.843,3.91703,14,0.292016,1.41059,392.006,162.104,44.7234,156.471,3.70048,29.9855,51.9071,7.23615,19.6133,4.50672,15,0.512777,1.56517,155.375,24.407,12.7243,31.6474,1.49778,14.6156,23.3966,3.49759,7.12756,1.1412,11,0.347663,1.47144,412.732,167.257,39.7125,66.7702,3.05167,31.7467,59.7539,7.15831,19.6675,3.79354,13,0.527342,2.39993,98.4021,24.5064,9.31276,21.0476,1.67889,9.62217,18.1686,2.18562,4.55119,1.23078,6,0.250813,0.880869,241.83,46.8673,17.6261,28.0385,1.32764,17.8461,32.5633,4.40438,7.79892,1.46897,10,0.670424,1.5846,372.684,68.7884,32.7545,41.6292,1.3924,25.911,39.3483,6.207,13.4369,1.74341,19,0.492758,1.1683,825.084,78.2056,24.3286,14.2225,0.272842,19.0288,34.3026,3.38745,5.93519,0.765314,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,4,fell,55.76,12,6.86442,16.5511,2.3841,3.4947,126.812,24.4397,7.0324,9.88193,2.12413,15.0143,24.7389,2.14357,5.62807,1.31931,7,0.385057,1.75914,262.558,57.9768,22.0744,19.2383,3.05278,23.7896,43.1645,4.96904,8.73753,1.63826,15,0.473697,1.72115,239.755,53.4964,17.5988,34.3052,2.10922,20.3964,37.488,4.47988,8.04227,1.5847,9,0.610771,2.01839,433.057,87.492,26.9871,25.7741,2.42075,23.9352,54.0006,5.45998,6.87677,1.48313,11,0.584608,1.94406,247.279,47.8075,17.2318,42.2143,2.37623,21.1206,34.2303,4.77116,8.14979,1.93001,12,0.552889,2.14451,72.415,10.0507,5.82589,51.3758,2.33148,8.96288,12.1702,2.08871,8.54909,1.75162,9,0.329983,1.16442,280.468,53.5389,18.3596,23.7486,1.96702,15.6481,33.856,3.89355,5.01041,1.40485,8,0.505161,1.68376,63.5833,15.7337,5.20567,18.3338,2.10217,6.41459,9.89759,1.66542,2.82286,0.693996,2,0.534847,1.9405,169.349,36.1044,12.1336,19.1976,1.22601,14.606,28.9028,3.33275,4.48072,1.06206,9,0.655233,2.58055,836.995,326.787,55.1918,37.8042,3.04432,52.4227,116.087,11.3214,15.0331,2.69604,22,0.558404,1.92996,167.927,40.1685,16.4836,16.4516,1.71219,16.4563,24.3167,3.89124,6.11534,1.15837,7,0.746515,2.88568,419.466,71.8743,34.5535,15.2413,0.281729,19.5629,41.4577,4.21772,6.59701,0.860879,2,0.279467,4.23673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,5,complete,90,18,30.2219,4.18216,0.441917,0.537414,145.8,21.6699,9.30217,14.6591,1.60206,17.0675,27.2904,2.74424,4.60573,1.01677,9,0.414989,2.15377,202.218,28.3331,14.6092,35.7666,1.52025,11.2685,26.3707,2.49688,7.26259,1.83198,8,0.446069,1.50294,537.775,126.249,41.5653,104.957,3.19408,31.2522,49.3588,6.37858,16.2625,3.19359,15,0.586033,1.50483,86.1313,11.3405,6.79539,20.5372,1.3327,7.56745,7.97097,1.61984,4.00402,0.889487,4,0.470102,2.33851,95.7937,15.6838,16.4158,71.3939,1.96585,8.4108,11.8806,2.13134,6.72274,1.49729,6,0.329755,1.63438,218.558,45.8257,22.0766,99.8596,1.76291,18.1168,28.859,4.39224,10.9432,2.01945,9,0.522634,1.76083,227.972,46.1751,22.0083,24.2607,2.62536,16.7771,28.9904,4.37284,5.06957,1.8176,9,0.378697,1.56347,135.494,19.8676,12.4966,53.6613,2.26067,13.9955,19.7695,3.6086,8.24522,2.51783,9,0.48183,1.55865,112.684,14.8916,9.87308,83.0295,4.5233,9.03833,12.5486,2.47438,9.92275,2.54144,5,0.635406,2.34921,282.979,50.1747,16.5734,18.2875,1.92504,15.1935,29.7616,4.21214,5.46804,1.49204,8,0.61572,1.62774,151.711,22.4339,10.0209,22.746,1.93438,13.3924,19.0737,3.04505,4.51086,1.32785,8,0.547999,2.26634,733.981,461.083,59.4514,93.3533,3.32521,62.2176,152.177,12.9928,16.1327,3.65793,25,0.607935,2.42556,295.595,44.4967,25.0078,24.8685,1.96209,25.5351,39.3835,5.71571,7.3442,1.36107,12,0.575359,2.94389,462.133,91.8916,42.5038,38.8938,1.70125,30.8615,61.74,6.45546,9.20377,1.69586,19,0.516333,1.18279,249.54,38.3969,19.4826,31.2863,1.39744,20.5186,33.838,5.00124,8.32,1.29449,13,0.445649,1.60081,540.504,80.8944,37.0599,47.6157,1.81182,28.0714,49.5519,5.84634,10.8432,1.62361,11,0.658316,2.19216,1389.04,219.529,72.7643,68.9553,2.36273,74.0181,156.541,13.5435,22.5229,3.48982,41,0.336805,1.42955,887.452,109.007,145.122,271.12,15.8519,51.3145,100.319,13.2635,40.3076,11.4866,21,0.460461,1.76538
wbc_agile,6,complete,90,18,43.4077,7.58348,0.460145,0.788829,122.102,29.2846,10.0648,13.9283,2.14429,17.7092,24.2028,2.88138,5.70388,1.23284,5,0.384587,2.78077,291.184,44.8206,15.4319,17.7127,1.16672,18.9359,27.849,4.13582,8.91772,1.25272,11,0.556624,2.05952,229.095,39.803,17.0006,33.3507,1.73466,16.8318,27.5986,3.71992,9.14871,1.47142,10,0.446567,1.84287,132.394,26.7138,7.21824,17.7767,1.2422,9.53238,18.2148,2.09953,5.14869,1.05228,5,0.38664,1.50642,318.139,54.4078,21.4396,36.3285,2.55793,19.5077,39.7869,4.86734,11.4039,2.15283,11,0.622505,1.63044,414.551,61.33,36.8717,123.413,2.99891,29.1699,44.4947,7.02546,18.3637,3.61145,17,0.424167,1.42912,221.528,42.2152,26.0286,36.7055,1.82294,20.2668,29.1908,4.84223,9.65904,1.48008,10,0.404106,1.81331,403.678,83.0277,25.2312,40.0876,1.45816,21.6758,42.1744,5.03816,9.61123,1.93075,9,0.616323,2.34566,220.336,49.7726,16.5456,26.4895,1.54988,14.8744,25.8285,3.1122,5.74993,1.35845,6,0.477037,1.60418,949.93,581.131,88.6335,132.592,4.62803,71.1178,174.423,15.0976,32.8319,5.77439,27,0.627544,2.0941,469.885,109.495,32.2755,57.4326,2.58531,38.066,76.5188,8.63063,13.6383,2.72542,21,0.609737,2.05064,352.434,55.9572,28.4471,39.3178,2.22183,26.035,45.9502,6.08139,10.3513,2.41066,13,0.480691,2.17393,800.112,118.463,44.2771,42.7368,1.89658,40.4693,68.9664,9.1805,14.2657,2.62304,20,0.512903,1.63499,575.393,166.214,52.0839,134.497,4.61429,39.6816,84.2055,8.65411,23.121,4.90458,19,0.448387,1.38157,740.93,135.204,91.7731,220.662,10.6347,41.1744,75.9265,9.00087,30.573,9.11668,18,0.310606,1.7271,472.215,72.6229,33.0856,31.1531,1.56636,26.3295,48.1058,6.20738,10.9493,2.19721,12,0.47051,2.23329,433.362,90.7482,35.8455,36.9011,2.58543,26.4969,49.1496,6.37109,13.5408,2.15578,13,0.709449,1.80399,1092.52,148.19,52.6242,56.5059,2.05795,51.2275,95.7679,11.145,23.6476,3.10442,21,0.430767,1.90613
wbc_agile,7,fell,50.8,11,159.788,8.44327,1.24173,1.18368,199.355,35.5084,13.242,13.9084,2.32589,21.6887,30.5094,3.89377,7.41412,1.30928,12,0.519708,2.17811,294.99,76.7691,16.2653,13.2941,1.38589,17.4748,32.476,3.76086,6.34365,1.29573,7,0.543925,1.70459,132.206,23.2567,7.51806,32.5142,2.3207,9.45972,17.9133,2.00474,6.79906,1.71619,6,0.672495,2.06695,188.315,49.5593,12.9239,46.2894,2.20697,14.7682,34.6349,3.37076,9.53862,2.7062,9,0.53491,1.79139,161.772,23.6464,9.0252,10.9001,1.24344,13.7431,22.9578,2.92486,4.68606,1.28807,10,0.429034,1.57238,504.871,86.4707,39.1747,138.285,6.34539,31.8173,63.2877,6.49734,15.4443,4.23988,16,0.496244,1.74301,174.38,38.1073,14.1912,16.2736,1.81732,14.7622,27.8926,3.09962,5.03671,1.55026,6,0.675697,2.82453,204.035,34.1462,15.7845,23.6965,1.66792,18.4113,32.3017,4.47503,6.45914,1.4051,10,0.498454,1.96294,304.272,82.0207,21.0983,57.2012,2.21595,25.6605,45.367,5.49226,10.654,2.15027,14,0.562377,1.67801,1778.44,1019.59,92.8602,42.3413,2.06683,102.464,261.305,20.2628,26.5892,4.33216,34,0.477584,2.22427,1077.81,282.375,60.3022,24.2973,11.3828,44.3743,89.3888,9.26156,17.2459,14.7663,5,0.789798,1.96249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbc_agile,8,complete,90,18,5.96421,3.33187,0.00541613,0.00404275,172.486,30.0325,13.9436,21.9992,1.6046,21.5222,27.9767,4.22251,8.67562,1.57639,12,0.458052,2.0474,145.385,17.0372,9.91705,10.2674,2.5216,12.87,17.2736,2.99779,4.91609,1.1298,10,0.354419,1.12026,232.121,36.0102,13.315,16.2335,2.59336,12.4583,28.6968,2.9546,5.7795,1.43229,10,0.514336,1.72846,297.666,43.9108,16.7723,77.3721,2.92754,20.3975,40.2976,4.3776,8.52507,2.506,13,0.541627,1.63563,165.602,29.2683,15.3323,71.6892,3.82723,13.7637,21.6349,3.36175,8.79316,3.28149,8,0.554258,1.76054,328.65,109.155,17.1418,21.3589,1.56222,22.6897,38.6151,5.24162,6.66199,1.27338,6,0.646055,2.60265,206.094,52.8757,17.0603,28.2847,1.53185,19.547,33.539,4.03084,5.83252,1.34805,10,0.607712,2.26894,296.021,74.3288,20.2103,70.5916,2.58305,21.3367,36.6153,4.86918,13.3695,2.80393,7,0.602611,2.04668,280.338,42.1298,29.1869,254.73,22.2668,20.6958,36.9462,4.89679,32.78,13.4499,10,0.333075,1.49752,240.295,51.8048,16.1681,43.7376,1.61053,18.1544,28.8833,4.29911,9.54373,1.76771,13,0.425142,1.64901,499.239,78.3687,29.899,80.8181,2.80855,31.3847,53.928,7.00094,16.3167,3.13684,19,0.596053,1.51803,328.519,77.8322,22.8297,22.5607,1.75054,28.8377,45.8949,5.76108,8.08062,1.57877,11,0.422147,2.47069,540.824,83.9534,36.773,254.592,18.1346,36.379,72.0694,8.45261,34.1885,15.4071,21,0.523148,1.59948,461.619,119.789,28.2564,38.3496,2.45149,34.7272,64.408,7.2967,13.0969,2.94346,16,0.523022,2.14041,529.866,70.6154,34.8891,218.427,23.2404,33.1783,60.0228,8.65671,32.7737,12.8312,19,0.241924,1.57784,212.416,42.9091,20.3839,17.6703,1.3356,16.5238,31.9582,3.60736,7.30513,1.36776,11,0.439714,1.39751,270.792,43.1448,19.4256,21.1254,1.01761,20.286,30.2007,4.06045,7.62064,1.37455,9,0.447255,1.69037,253.669,50.9017,20.734,44.6724,2.13395,18.1514,38.7872,4.19188,9.02944,1.39838,11,0.437371,1.586
wbc_agile,9,complete,90,18,6.00559,2.9332,0.00706443,0.00230937,161.478,23.0856,10.9003,11.0913,1.98529,19.7196,23.4488,3.45864,5.59746,1.27169,7,0.604845,2.72951,88.7916,10.501,4.97333,11.5763,2.6923,6.32192,10.054,1.466,3.67802,1.1063,6,0.263764,1.28455,265.099,64.6467,16.9347,21.014,2.02601,19.6903,34.3143,4.34041,6.85979,1.57079,14,0.385884,1.41123,237.435,39.1399,17.4578,19.4235,0.989785,19.5957,30.8437,4.79126,6.49351,1.51634,14,0.478248,1.64783,171.94,33.5094,9.84347,23.9527,0.986937,10.2977,18.4478,2.18787,4.56364,1.11958,6,0.579333,1.70142,251.016,33.4729,15.5765,16.2425,1.18344,16.1323,25.7667,3.80703,5.29358,1.33554,14,0.360493,1.17054,353.428,68.4866,18.8524,25.3081,1.75041,20.3986,39.9573,4.84218,7.20389,1.47335,12,0.495596,1.84468,295.828,40.1998,20.3666,14.2198,1.46502,23.4863,32.2245,5.50474,6.92896,2.11647,17,0.366281,1.65973,182.919,30.2918,13.2693,15.5695,2.17999,11.0705,18.178,2.82988,4.56453,1.18099,5,0.63518,1.9293,180.995,34.7209,16.492,32.6861,1.85826,13.0268,26.8025,3.13847,7.14678,1.3495,10,0.590332,1.21784,352.942,71.0041,33.511,15.7832,2.23147,27.0368,53.8327,5.11627,6.25148,1.77763,13,0.626205,1.98973,302.417,62.4381,19.9946,28.9102,2.29913,22.1999,47.6067,5.02722,6.76251,2.10983,15,0.491911,1.72468,246.87,57.8408,15.83,24.5882,1.79022,19.6048,37.4005,4.70261,8.03834,1.72382,10,0.747237,2.39961,220.312,60.0741,22.651,17.7731,1.66157,19.9366,39.9956,4.73526,7.18754,1.59383,11,0.481334,1.83256,338.144,99.394,20.7281,22.6954,2.08596,22.0879,42.0451,5.50736,7.12312,1.6368,12,0.560045,1.64819,640.883,152.122,42.8701,33.3888,2.13942,43.8522,95.0161,9.45489,12.6064,2.69265,21,0.522166,2.1222,368.313,69.7163,29.5054,24.1736,1.62215,25.4311,43.8246,6.01729,9.67773,1.76695,15,0.717159,1.74694,167.597,18.5652,12.7659,15.8191,2.21483,10.1548,15.1221,2.51098,5.45611,1.50189,8,0.56486,1.47823
