policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
wcompton,0,fell,1.14,1,40.7904,48.9834,2.26279,3.74424,426.288,117.152,62.4495,27.4297,7.93964,51.6133,29.8994,20.217,17.6325,8.0999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,1,fell,2.14,1,163.168,41.4621,1.52064,3.3056,749.268,184.519,93.2074,19.7716,0.742319,72.1158,45.1688,29.0677,22.5682,2.19392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,2,fell,1.6,1,135.804,51.0376,1.13799,3.15914,967.993,210.11,148.786,35.2817,2.78528,105.319,59.8788,41.3244,33.2175,5.75626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,3,fell,2.02,1,178.163,43.4363,2.73823,4.0539,850.822,264.918,139.473,77.0032,8.72491,85.9702,54.4546,35.5089,29.0033,9.50769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,4,fell,1.54,1,93.6118,98.5359,1.21224,3.23474,1076.73,280.866,126.781,49.2533,7.06894,109.462,67.3992,40.4235,30.218,4.47006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,5,fell,1.36,1,242.153,34.0445,1.64936,2.78803,896.336,274.171,104.115,23.6482,1.96356,82.3988,61.8991,30.9977,22.4334,2.50398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,6,fell,1.58,1,153.747,80.7242,1.64329,3.52291,736.265,327.19,90.8467,25.7298,2.60829,78.135,58.5319,28.8979,23.2577,3.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,7,fell,2.12,1,163.621,37.1622,1.66919,2.99582,1156.16,280.008,154,23.647,0.784033,127.883,77.0656,51.2188,41.109,3.66662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,8,fell,1.78,1,136.896,39.0996,1.46375,3.36467,693.492,174.544,100.847,34.4223,9.39347,87.0935,49.5012,34.9265,28.8034,7.62214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,9,fell,1.48,1,101.642,18.8384,1.13806,3.43071,765.37,200.467,86.3082,14.7773,1.00965,75.914,47.936,29.0804,20.315,1.84754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,10,fell,1.4,1,173.12,41.953,1.94126,2.8015,849.932,170.785,120.183,42.825,4.57027,91.8658,55.2712,34.8934,33.6431,4.9899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,11,fell,1.48,1,145.592,103.848,0.919657,0.938996,741.472,256.447,102.684,51.3495,10.5406,62.6246,50.9287,23.7395,26.5632,7.8998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,12,fell,2.22,1,234.497,33.1704,0.470246,0.550863,833.774,408.276,109.036,60.4409,13.899,85.9868,78.1101,35.8248,31.1681,12.1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,13,fell,1.8,1,128.582,67.5486,1.36321,3.34457,770.18,162.481,116.822,16.4573,0.71588,95.0316,53.608,38.0546,28.8685,2.56594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,14,fell,1.18,1,105.052,34.2704,2.57051,2.41013,359.92,101.168,55.9042,37.1804,12.3548,50.7071,29.1818,18.7992,22.6301,9.90776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,15,fell,1.8,1,163.317,29.8712,2.35871,3.56756,937.279,217.527,132.854,35.8936,3.93683,104.767,58.5272,40.3617,31.2441,6.7027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,16,fell,1.14,1,48.6822,16.756,1.32623,3.21521,634.506,258.161,76.9545,31.73,1.80282,70.0441,50.9392,29.1571,22.3126,2.6144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,17,fell,1.52,1,39.5799,39.6245,1.09608,3.18178,846.119,246.105,118.165,29.3727,1.18733,99.8668,58.972,42.3325,28.3258,2.41477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,18,fell,1.24,1,184.465,14.4473,1.5327,3.0198,792.325,270.339,104.273,38.9847,0.8324,78.8883,66.2518,28.9582,25.3892,2.7086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,19,fell,1.1,1,16.09,40.098,1.44749,3.36771,511.066,165.753,69.713,49.6134,1.11309,61.7655,41.1751,25.5249,24.635,2.48963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,20,fell,1.98,1,189.339,32.246,2.14491,3.47641,937.661,284.268,143.97,48.8116,2.5997,101.445,68.6561,40.6762,34.1428,3.99157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,21,fell,2.48,1,215.544,20.7247,1.99181,3.10877,1318.17,281.396,190.377,59.1107,1.49239,133.34,84.9423,53.0338,43.9348,4.25129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,22,fell,1.32,1,55.4149,155.95,2.61404,3.68542,976.583,217.235,131.908,30.1674,2.05378,91.9711,57.8936,35.1943,27.4165,3.89808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,23,fell,1.3,1,200.148,114.147,1.66124,2.9756,565.418,327.156,74.0486,50.7804,15.5068,55.2227,46.4345,19.671,21.2689,13.1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,24,fell,1.28,1,87.3188,87.431,2.69409,3.64054,927.709,233.997,130.442,31.0515,3.13401,94.3122,57.8221,34.5377,25.981,3.62592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,25,fell,1.52,1,110.677,81.0417,1.62251,3.06573,566.406,181.075,73.117,52.844,7.5122,67.5913,39.0964,27.7208,26.07,5.05845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,26,fell,1.26,1,95.7506,161.391,1.31319,3.27599,1335.95,235.147,159.814,44.3653,1.06658,121.317,64.0782,47.625,35.1032,3.38959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,27,fell,1.5,1,144.527,4.97698,1.23577,3.46419,883.967,289.499,135.961,38.6569,3.14001,103.694,59.6596,43.697,29.3128,5.35944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,28,fell,2.12,1,139.757,18.8237,2.31261,2.36455,845.076,137.753,118.304,34.2183,1.26044,81.8639,46.572,34.2938,27.5233,2.60293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,29,fell,1.52,1,158.585,61.1003,1.1542,3.49652,573.781,181.496,75.5984,21.2834,3.54561,67.0204,45.1241,25.3723,21.8054,2.84944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,30,fell,1.74,1,193.755,96.2702,2.68469,3.70975,856.96,292.714,132.61,36.9225,4.4549,88.6034,68.3844,36.6301,30.286,5.58616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,31,fell,1.04,1,178.5,88.7098,2.93362,3.55082,646.16,206.255,84.0258,22.1426,4.2025,78.4032,54.035,28.8432,24.3303,5.01166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,32,fell,1.78,1,40.2594,28.6093,2.06222,2.8032,863.847,185.561,135.862,38.6852,18.7138,94.7842,60.0427,40.5116,35.813,12.6274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,33,fell,1.88,1,83.9955,58.3466,1.5355,2.37945,788.629,140.822,129.22,30.6957,1.40713,103.844,56.0231,44.8173,35.19,3.42774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,34,fell,1.9,1,228.563,8.5505,3.22861,3.92819,779.317,220.408,113.839,21.6686,1.49704,92.2258,59.5336,38.328,29.3893,3.11345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,35,fell,2.1,1,219.978,165.951,2.41404,3.63538,830.995,237.043,120.925,30.8449,3.93852,79.6487,53.4636,32.7545,27.7086,8.26348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,36,fell,0.98,1,105.752,2.73445,2.23903,3.5962,601.423,164.585,58.3441,23.5282,6.56996,66.1218,45.6823,20.8074,20.7246,4.19038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,37,fell,1.34,1,154.365,52.8865,1.81337,3.41085,1024.33,324.629,141.063,42.3865,6.34267,87.2927,68.046,33.69,29.0231,8.10427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,38,fell,1.38,1,74.9421,18.6458,2.06412,3.42323,1038.91,239.262,124.207,38.8093,1.52214,95.1119,57.5105,36.2951,27.5172,3.9068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,39,fell,2.5,1,301.171,74.4431,0.794894,3.09571,888.047,277.243,121.528,62.7245,1.16965,86.595,69.779,35.1027,27.9896,2.65014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,40,fell,1.06,1,98.6067,144.94,1.62819,2.82316,622.045,213.338,54.8284,45.4276,6.6962,66.3216,55.6938,22.2041,28.1186,5.7131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,41,fell,1.86,1,108.236,134.384,2.32475,3.05665,669.066,165.678,98.9558,104.869,12.7217,82.3245,52.9711,32.7808,34.756,11.2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,42,fell,1.58,1,180.471,123.82,1.5624,3.44838,923.439,199.548,113.069,24.5346,6.31914,84.9989,52.1165,33.289,27.2312,5.81285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,43,fell,1.9,1,161.517,28.2238,1.64827,3.70236,1035.7,306.295,146.006,25.6757,1.06355,117.807,75.285,47.8417,38.7851,4.02985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,44,fell,1.32,1,135.341,19.1975,2.67088,3.45532,869.718,289.103,102.602,36.8398,7.7743,88.3972,65.5769,31.6146,26.3274,8.68079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,45,fell,1.24,1,25.7433,12.3055,2.00973,2.28163,563.635,167.904,63.2601,17.6019,1.75712,66.7622,42.2877,24.6187,18.5437,2.97799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,46,fell,1.52,1,206.334,134.003,0.299185,0.27961,1575.22,339.899,127.081,45.7285,0.633923,127.601,68.9053,35.7015,35.9918,3.63558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,47,fell,1.6,1,62.9601,114.348,1.65731,3.83124,1109.53,263.13,127.314,37.4444,1.02995,111.909,69.5249,43.407,32.1285,3.14931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,48,fell,1.78,1,146.333,142.356,2.87092,4.26197,1304.74,240.173,184.878,39.7121,4.05882,108.159,69.2679,42.9726,32.9595,5.91325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,49,fell,1.28,1,119.722,10.9932,1.54877,3.55989,711.201,161.229,85.58,57.6824,1.01961,76.1896,42.0062,27.8488,22.987,2.60415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,50,fell,1.56,1,117.816,47.9035,1.38573,3.33931,1018.3,287.228,142.464,23.2632,0.712247,109.808,63.0363,45.7415,30.099,2.72871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,51,fell,2.42,1,171.606,3.23896,1.57434,3.20085,853.179,148.285,124.494,40.41,4.97574,86.6133,45.028,34.9362,30.0391,7.27835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,52,fell,1.52,1,181.164,14.6613,1.17753,2.74434,410.008,124.345,65.6942,22.8462,3.80262,45.5469,33.9632,18.4647,15.198,5.09047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,53,fell,1.8,1,78.7255,111.918,1.17735,3.33712,1008.96,225.298,143.875,31.0918,2.65512,119.242,71.4287,45.4355,36.2408,6.1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,54,fell,1.78,1,138.393,59.146,1.00288,0.94785,784.414,285.192,98.3663,68.6141,13.2623,86.3156,58.2434,32.7514,28.783,12.8769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,55,fell,1.26,1,40.994,121.776,1.48727,2.95525,660.023,161.583,112.895,31.9875,1.00255,76.1233,44.4609,33.7533,25.8132,3.05737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wcompton,56,fell,1.36,1,154.594,76.2902,2.61616,3.58584,1267.75,361.594,152.185,35.4742,2.31941,103.641,75.3632,40.2126,27.6067,3.74053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
