policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
wty_cpp,0,fell,30.7,7,13.6157,15.1672,2.24986,2.9408,177.712,90.5509,26.8643,19.1933,1.38264,16.344,18.3616,4.51129,6.23478,1.36128,9,0.444468,0.936445,123.229,49.4557,20.1917,22.7883,1.48157,13.7259,9.89159,3.33259,5.93096,1.66031,12,0.215724,0.832246,199.877,84.2493,42.705,66.7658,2.39476,19.4314,20.8358,5.25824,10.2899,2.05792,20,0.266873,0.655517,108.49,54.887,19.0721,13.9749,1.93972,10.286,11.5816,2.82362,4.25109,1.10895,11,0.279761,0.554804,78.0406,42.888,10.9668,10.9091,1.59274,8.47205,10.3925,2.08104,3.3037,1.31616,7,0.409643,1.08768,189.721,98.992,33.5022,23.7174,1.08457,19.0285,22.1119,5.66162,7.19715,1.81756,10,0.589016,1.56678,192.92,19.4427,60.856,170.569,6.7236,11.9099,8.07998,5.75742,21.2041,5.69254,4,0.261165,1.45535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,1,fell,20.76,5,19.6993,21.5386,2.14447,2.22792,241.226,89.208,25.2637,13.9177,1.85596,24.4357,22.6025,6.77335,9.78823,2.02678,17,0.48256,1.10345,220.188,70.5936,31.4202,14.532,1.27655,17.9829,17.6741,5.33522,9.892,1.91961,9,0.628731,1.20413,225.596,120.287,46.9528,90.407,2.10306,24.9066,23.6934,7.07718,16.5969,3.99895,13,0.387345,1.30184,134.52,54.3476,19.2106,10.9506,1.71243,14.3279,13.8369,3.65052,5.5627,2.65034,10,0.380394,1.18931,768.043,132.97,130.507,113.912,9.02664,35.9808,18.6031,10.598,21.4661,7.49365,4,0.0855541,0.800845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,2,fell,12.94,3,6.68142,14.7665,1.29056,3.38897,120.029,56.5634,18.9035,12.3871,1.09262,15.2,16.8,4.09192,5.33435,0.999736,13,0.380209,0.856605,109.557,43.1083,12.7006,15.9367,1.42988,11.595,9.5561,3.13322,3.78555,0.876981,9,0.411505,0.861285,655.022,175.717,198.349,86.3758,49.2989,36.4392,33.7792,13.9214,26.3214,10.5426,19,0.345887,1.00842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,3,fell,16.24,4,24.7752,26.7852,0.550073,3.95153,369.259,124.654,37.4663,28.8243,1.66417,38.2081,31.31,8.96566,15.9601,3.85225,20,0.667808,1.18922,259.821,140.514,37.0649,19.5,1.15659,26.8522,28.627,6.82736,10.4503,1.70336,14,0.512264,1.18425,125.556,39.84,16.9362,15.6311,1.06767,10.9918,11.5151,2.95794,5.05857,1.01774,9,0.479036,1.20963,1078.53,162.008,58.8789,31.8824,0.412454,53.7736,26.2789,9.81733,12.7018,1.64585,13,1.26664,0.930641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,4,fell,31.62,7,31.7178,5.5643,2.70834,3.70242,104.903,61.5876,14.207,11.2332,1.64242,12.2157,14.042,3.14901,6.15131,1.24904,14,0.457716,0.739863,291.023,128.663,34.5617,13.7981,1.97296,27.1176,27.4153,6.96431,10.578,2.86237,26,0.295613,0.795485,223.601,76.8224,23.7542,15.5301,1.46965,23.3403,21.0301,6.14475,7.40024,4.49163,15,0.362846,0.957581,69.5635,18.481,11.2854,14.735,1.48131,8.46155,5.54339,2.77101,4.27393,1.87883,6,0.397971,1.09014,221.023,63.3938,25.6752,19.4444,1.52989,20.9588,18.935,6.55735,8.50574,4.3802,16,0.380069,1.45493,110.567,40.7066,13.3978,11.2266,1.28195,14.5362,12.2386,3.43979,5.04325,2.31464,6,0.274422,1.24531,372.6,144.384,27.09,16.9529,2.77264,20.5254,27.1303,4.52416,9.03424,6.22599,12,0.376565,1.06029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,5,fell,31.76,7,33.6311,8.05118,2.6719,4.13408,79.262,33.9187,13.8643,13.4386,1.12886,13.5354,15.0388,3.40115,4.98663,0.944132,10,0.309473,0.953871,222.82,91.676,33.2615,34.8955,1.18461,21.0965,24.6461,5.17167,11.8916,2.60154,15,0.497472,1.05398,287.363,63.3726,43.2252,92.5738,3.26257,22.1235,17.3274,5.78805,15.6234,2.94181,9,0.364313,1.38211,94.3077,48.6653,18.3198,18.1143,1.04474,9.75595,11.0792,2.84929,4.88446,0.917931,7,0.387359,1.0107,135.978,67.5615,51.4251,45.6139,10.0217,17.6387,15.5358,5.18596,10.7513,6.96978,27,0.263492,0.587382,185.425,99.6806,40.2824,35.5021,2.68016,17.3868,18.428,5.17325,11.1257,4.98406,14,0.393206,0.77896,197.363,54.0337,53.3146,8.42186,1.04555,13.4528,11.424,3.49093,5.2002,2.91031,20,0.158635,0.519733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,6,fell,21.06,5,13.2494,25.0653,2.82015,3.58559,69.0124,47.6447,20.6039,13.246,1.5375,10.1571,12.0504,3.06507,5.13372,1.03331,11,0.291619,0.650981,252.267,105.046,25.1385,19.6088,1.01997,19.7413,19.8653,4.99075,9.15658,1.25287,10,0.757869,1.00541,259.997,89.934,32.4375,36.9652,1.22106,26.4514,24.6452,5.91547,11.8549,1.59168,22,0.306294,0.678257,84.4179,39.2169,13.46,16.3978,0.985863,9.41776,8.96489,2.19789,4.93821,0.908126,4,0.520429,1.39804,547.176,85.1783,156.154,66.2677,3.8853,27.216,17.7112,12.5841,19.9736,5.23545,2,0.761253,1.64345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,7,fell,7.14,2,94.215,24.9684,0.986791,0.4769,200.026,73.6278,18.6666,17.7789,2.57592,24.1248,22.828,6.40668,10.3697,3.203,17,0.452833,1.13507,1442.01,246.065,293.097,173.481,45.8038,73.6525,45.3225,26.7466,54.6257,29.7414,16,0.69143,0.8609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,8,fell,26.74,6,27.4798,33.8242,1.5072,2.16496,97.9766,70.4639,12.6833,15.8859,2.30331,14.4824,14.1844,4.28019,8.01968,2.49793,11,0.343009,0.817027,228.063,81.464,22.7934,13.6722,1.8565,25.4909,21.9979,7.41398,9.76433,1.91967,18,0.519,1.19257,175.931,85.7909,40.2378,13.7115,2.59914,18.9664,23.0455,5.33386,8.04537,3.02241,12,0.454386,1.02082,345.601,107.533,47.5074,52.9902,4.83016,29.2105,27.6935,7.76403,13.4794,5.61747,15,0.711229,1.26513,345.858,132.896,65.2386,54.331,8.44831,33.0793,32.9711,9.41513,16.897,9.61814,24,0.499228,0.938369,1392.74,238.585,327.402,243.7,13.1932,66.2672,33.1939,21.3382,43.9872,17.1909,14,0.585419,1.35649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,9,fell,18.86,4,38.1269,10.3095,0.237694,0.211088,64.9875,28.7488,8.55979,8.86199,1.33396,10.0879,8.62831,2.57074,3.97914,1.07651,6,0.23106,0.897378,118.797,34.6316,21.783,16.1297,5.39163,15.1793,10.8491,4.78692,8.47731,3.28325,8,0.421531,1.10596,223.822,115.423,32.5006,25.7102,3.53744,26.2198,26.9385,6.75731,9.64146,4.1949,26,0.405011,0.786517,1301.06,203.312,339.186,211.848,52.2653,69.9855,33.1431,26.064,59.0878,31.1577,17,0.894567,0.858665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
