policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
wty_cpp,0,fell,45.84,10,14.0652,7.57021,1.12288,1.79601,284.872,147.654,47.3205,21.9527,2.10254,26.7318,26.238,7.70846,8.60189,1.41402,14,0.389533,1.33514,219.176,96.8913,32.5435,21.4833,2.47682,18.1153,18.3567,5.19298,7.12133,1.57298,6,0.528861,1.50622,307.679,112.967,58.1119,65.0203,2.96899,24.2639,24.1098,6.7635,10.8979,2.47451,15,0.584599,1.72912,333.917,136.699,52.906,24.2003,2.41649,28.9119,25.8644,8.54747,11.5731,2.30331,9,0.480874,2.30971,155.614,106.271,24.7821,14.3467,2.23526,15.3415,17.7746,4.20206,5.35279,1.60138,9,0.371207,1.46107,234.008,106.175,43.7475,22.6995,1.2461,21.7274,21.9625,6.90017,7.42282,1.73462,10,0.592067,1.98401,440.118,146.567,121.717,129.864,4.70923,36.3044,31.7843,11.6596,30.0601,6.48921,14,0.436898,2.17258,404.76,175.534,105.751,37.7932,1.56299,31.122,34.811,9.42568,11.5261,2.13985,12,0.510918,1.7003,351.5,145.52,62.1281,27.8434,1.75612,31.0035,30.6868,8.0724,11.2273,1.88818,18,0.694627,1.66118,128.773,29.5699,25.1809,14.0825,0.381418,7.32737,5.47463,2.52155,4.23188,0.541906,6,0.244233,1.04633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,1,fell,10.76,3,29.4419,56.4265,1.39266,2.52332,279.961,72.2399,34.2123,12.9936,2.63449,24.7657,17.8492,7.31458,8.66658,1.37212,11,0.501625,2.12919,452.049,186.279,72.9324,23.1827,1.70258,38.9191,34.0535,12.6867,12.8025,1.89953,16,0.384222,1.90453,684.508,74.1943,95.7314,64.7169,1.24707,32.7833,14.549,10.6699,16.8505,2.39054,2,0.409419,1.06721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,2,fell,40.54,9,24.8613,19.8856,1.59705,2.44608,260.561,146.976,41.093,15.3199,1.28091,27.4006,27.291,7.08019,9.01734,1.26811,17,0.457762,1.16407,100.96,57.5286,13.0614,15.8141,2.1287,14.5344,12.1945,4.21974,5.0111,1.11735,7,0.670786,2.5846,236.413,103.02,43.0139,18.6873,3.23276,22.0448,22.2733,6.28031,9.89948,1.65596,14,0.517771,1.66563,513.143,210.327,94.4865,27.4171,2.3364,45.1627,39.8349,11.7697,14.9245,2.45926,24,0.622664,1.25992,259.855,96.8317,42.6044,53.2609,1.40888,25.4265,23.3044,7.36466,11.7718,1.92721,14,0.529776,1.51642,170.931,68.0168,25.2816,18.4377,1.86965,16.7483,14.1155,5.64948,5.57455,1.18218,9,0.420479,1.80342,354.145,144.048,46.4643,40.7143,2.97643,31.514,30.5654,9.55232,11.4793,2.98639,13,0.45478,1.75801,462.069,184.075,84.3292,39.3699,1.53634,42.9862,37.5766,13.2652,11.4787,2.29345,15,0.643351,2.00558,667.284,41.7371,100.661,27.1839,0.602993,28.1484,14.2026,10.0943,9.42938,2.20185,2,0.215109,1.0669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,3,fell,1.58,1,44.7525,108.401,1.71963,2.05371,1194.01,128.867,151.101,104.842,11.9704,54.1148,29.7358,16.1917,28.8803,11.7638,10,0.564828,1.09046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,4,fell,45.72,10,7.81625,18.8923,1.0776,1.19902,421.555,162.003,56.0744,24.284,2.23332,35.8007,30.7275,9.52687,14.1862,2.13944,19,0.623919,1.55407,561.946,186.185,98.7619,28.8838,3.05262,46.1405,38.9234,12.7807,14.741,2.25713,14,0.648873,2.81342,317.919,136.185,45.5178,32.1514,2.0711,23.4622,25.957,7.72003,9.42841,1.79845,13,0.483299,1.24678,166.933,96.3159,41.9152,21.9513,2.42397,22.6198,18.4681,7.77256,7.73753,1.44448,8,0.561352,2.28812,245.823,74.2946,34.9814,43.0397,2.41115,18.6024,17.0307,6.46545,8.48815,1.88015,10,0.511671,1.95674,58.2329,46.2156,13.0284,50.9009,2.46101,8.57492,8.44042,3.26005,10.9154,2.60835,3,0.768917,3.11544,337.331,176.154,51.4669,24.6785,1.99455,28.2189,36.1739,8.84773,8.09726,1.78399,13,0.597183,1.36697,216.274,122.403,47.8515,21.7441,1.98141,26.3169,25.4387,8.89959,8.69769,1.396,13,0.380328,1.56213,265.411,89.0374,41.2763,19.7783,1.21572,22.7966,20.5708,6.94409,6.87634,1.37186,8,0.627966,2.31054,195.862,16.9474,25.5262,7.35641,0.525585,16.2252,7.62722,5.48171,4.89041,0.706959,4,0.489397,1.89853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,5,fell,46.58,10,21.951,13.5164,3.21391,3.23704,138.994,69.8866,29.261,15.2187,1.63436,18.3234,16.4295,4.94003,6.46634,1.04521,7,0.46562,2.04882,151.966,75.715,33.3658,33.8202,1.50721,17.7277,18.5964,5.104,9.15284,1.93152,9,0.392553,1.72338,418.485,189.05,62.1775,90.4634,2.77349,28.9816,30.3213,8.29873,16.1649,2.84208,17,0.633963,1.33637,312.782,163.117,52.1749,27.7565,1.34684,30.2648,28.1051,8.79955,10.7951,1.71074,14,0.576206,1.47374,100.21,40.4101,60.8763,64.1257,1.8815,13.9381,10.6135,5.47347,7.90925,1.57758,7,0.307087,1.56974,260.779,93.3842,62.6842,77.8327,1.7012,22.7625,21.9352,7.78296,11.2316,2.02206,10,0.70333,1.41566,175.969,85.1589,49.4953,21.589,2.61501,20.7408,19.3089,6.906,6.11456,1.95188,7,0.606087,2.32258,158.073,53.1717,34.6491,43.9673,2.22619,15.3094,11.7809,5.12255,7.40415,2.4051,9,0.40557,1.32565,453.792,110.964,70.8326,90,4.68332,28.4818,24.9292,8.61502,14.8927,3.4047,7,0.327855,2.43625,564.199,157.113,69.1866,25.6272,3.88993,24.2084,22.7414,7.28511,8.07848,2.81854,4,0.376472,3.02105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,6,fell,21.6,5,21.0062,17.7513,1.68648,2.44669,683.174,244.862,93.607,30.0995,2.09528,58.7587,52.7916,14.1858,20.2953,2.69384,21,0.512605,1.84838,246.055,114.545,27.4584,17.8534,1.13388,21.0283,21.7904,6.37373,10.4037,1.33807,10,0.473441,1.62376,608.686,228.546,74.2109,46.0033,1.80069,46.6673,41.8228,12.9588,19.3248,2.18146,23,0.386315,1.35067,173.387,80.8531,26.9785,18.0381,1.24974,16.999,15.4547,4.6317,7.20371,1.22313,9,0.46231,1.7071,856.59,145.599,204.954,82.91,2.06372,49.0528,22.6363,15.4751,32.4716,4.95635,6,0.191326,1.35232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,7,fell,46.56,10,26.8484,10.1893,2.53975,3.4533,154.85,42.0852,20.2101,12.0405,2.33268,19.4538,11.9564,5.68438,7.00443,1.18045,10,0.433492,1.6495,147.174,80.9875,33.082,12.6124,1.38421,18.1205,17.0696,5.4265,5.85089,1.13997,7,0.578986,1.79074,80.1298,40.6917,16.2794,31.148,2.28101,10.1757,9.24286,2.51413,6.8084,1.68814,4,0.459266,1.79635,315.094,166.009,42.966,43.9265,2.30149,25.8768,27.147,7.51483,12.8617,2.99531,10,0.389569,1.59159,222.361,85.52,27.8361,12.6409,1.3013,18.1202,18.6844,5.68093,6.95769,1.45922,8,0.345718,1.57837,629.531,191.819,111.992,128.005,6.26459,36.8285,23.7843,11.1791,16.7235,4.60635,12,0.732371,2.11085,534.977,217.161,88.0742,27.5002,1.99183,45.6397,41.6397,13.2274,13.384,2.82403,21,0.443907,1.68714,193.183,59.2329,31.9331,25.771,1.63888,18.7341,16.2006,5.65165,5.78491,1.27503,6,0.38015,1.96208,361.894,140.651,85.3603,64.3421,2.18655,32.1815,28.3844,9.87516,13.4632,2.52989,18,0.482124,1.58825,602.738,134.889,68.1479,20.125,6.22588,25.9765,23.9043,9.04167,9.76179,4.37826,6,0.772479,1.83552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,8,fell,41,9,16.6495,10.8385,1.55905,2.88817,133.617,64.7101,30.1511,15.6111,1.5075,20.7687,15.519,6.31158,8.30658,1.26707,8,0.551882,2.0072,219.996,82.2733,24.5106,12.098,2.51247,19.7956,17.3703,5.73164,7.23135,1.41785,10,0.417388,2.04628,424.914,152.609,85.9659,20.8243,2.74285,38.2558,38.1876,10.2513,13.4592,2.55371,18,0.477059,1.52105,266.523,108.997,74.1122,74.4988,3.07887,28.6453,28.3005,9.69992,11.4498,2.88896,11,0.635799,2.22302,223.07,107.799,60.7228,63.8738,3.90663,26.7485,23.9773,8.31144,11.1928,3.5212,13,0.469089,1.52182,832.873,251.534,129.325,33.1004,1.63777,56.4463,53.3137,16.4445,15.6177,2.49442,23,0.631125,1.83151,141.281,58.407,35.9124,21.6886,1.52856,16.6092,16.9837,5.17713,5.11652,1.08035,7,0.267201,1.2165,637.482,196.38,85.8291,82.0763,2.81371,38.9918,32.3762,11.9817,17.1383,4.58347,21,0.471678,1.34581,799.8,51.0927,185.415,234.242,20.4447,36.3347,14.4119,13.0469,33.5516,12.5938,7,0.627603,2.40611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wty_cpp,9,fell,46.76,10,19.3632,12.0539,2.70532,3.02158,117.179,52.2436,19.3539,10.5958,2.03891,16.1533,12.1492,4.13931,5.98321,1.27588,7,0.617635,1.85706,171.898,55.3156,30.5489,16.0626,2.72996,14.705,12.6559,4.10088,6.43679,1.42665,8,0.425378,1.40568,287.715,139.383,46.7446,19.3161,2.08422,26.2032,27.857,7.61275,7.87798,1.5731,16,0.541047,1.44385,232.052,108.495,43.495,15.1576,0.97789,21.643,20.9303,6.75989,7.18537,1.51196,10,0.484194,1.17203,1051.87,321.584,147.246,41.3477,1.07636,77.4836,70.8118,21.5868,18.8735,3.23007,34,0.54568,1.83789,227.202,119.019,37.32,13.8828,1.25262,23.9848,22.4265,6.67579,7.39139,1.78546,11,0.375282,1.73979,1124.77,418.795,177.709,37.9429,1.83642,68.4628,72.0063,19.1478,18.4079,3.18512,26,0.632416,1.63304,157.645,66.5275,30.4491,12.0894,1.38392,17.8321,15.5334,5.4621,5.40163,1.66019,7,0.40173,2.02973,565.491,195.437,82.4523,21.4369,2.18163,41.5362,41.1038,12.9217,13.3604,2.38086,19,0.641823,1.51384,358.879,117.336,79.9468,34.729,12.2929,18.1734,17.1875,5.62422,11.1223,9.87011,1,0.617561,1.70587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
