policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
sonic,192,complete,60,12,20.315,3.48128,0.0697552,0.0594991,805.065,226.755,144.969,115.941,2.03722,55.7261,40.4097,19.9564,23.5851,2.99218,445.668,112.629,95.1054,86.2325,2.00441,34.1887,19.5773,11.9128,15.2751,2.33564,348.9,74.8257,58.1539,58.5543,1.8414,24.3558,12.5187,8.88233,10.8603,1.63928,1093.09,204.246,338.321,112.441,3.01544,78.4833,48.5951,31.477,30.9453,4.0058,384.196,127.729,52.0889,35.7139,2.71761,33.1942,19.8178,11.2732,10.2092,1.70599,653.223,226.093,118.349,76.6128,2.21583,52.2146,36.993,18.6495,19.719,3.35676,919.685,234.812,140.85,131.542,3.39764,53.3312,40.1608,17.8336,25.8819,4.46181,805.137,199.813,155.58,58.1423,1.69452,64.2068,39.0979,24.0411,21.211,3.30357,2123.28,704.661,616.809,125.726,2.53381,135.158,106.542,52.9361,43.9781,5.98294,947.638,287.343,299.567,91.5733,2.06863,74.4813,49.7126,26.0057,19.2022,3.18455,883.515,135.614,334.791,77.0052,1.86223,67.3206,38.8224,26.3895,21.8849,3.42121,418.82,120.313,150.925,33.4169,2.41931,33.9659,21.5664,13.2799,10.8807,1.99254
sonic,193,fell,39.96,8,34.9852,7.44049,2.81175,3.56427,334.211,85.7787,40.3451,21.4639,1.7945,23.9843,14.8678,8.04164,9.68221,1.50756,523.708,111.023,46.8573,16.8094,1.18868,27.5676,17.5312,9.52041,9.79111,1.5892,446.544,101.494,63.7881,26.5001,2.82651,33.0091,20.9358,10.8355,12.3184,1.98861,584.815,119.554,95.8813,45.0979,2.32113,40.1975,23.9133,13.0206,16.2121,2.39295,1042.52,167.269,201.702,171.613,3.10555,71.0994,45.1155,24.3334,33.838,5.00931,704.307,213.364,191.975,69.85,1.95896,58.5789,36.2704,20.4725,26.3048,3.81717,946.18,205.1,93.0357,42.9059,1.65337,54.6295,39.6663,16.4402,20.7124,2.54614,3207.7,892.548,558.132,171.664,4.18881,173.894,138.212,59.4293,68.2291,9.77056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,194,fell,38.5,8,44.1978,10.4869,0.82837,0.874541,358.215,57.2298,40.986,22.7305,1.78175,25.8518,16.3295,8.47747,11.4493,1.55141,2023.05,347.144,1132.08,244.217,3.86138,128.578,74.3424,68.3655,66.9763,8.32085,2529.5,400.322,709.344,216.907,4.21678,138.363,88.9286,54.4002,58.804,7.90031,501.893,156.626,53.8643,34.7214,1.37364,36.3605,21.7119,12.0236,13.7018,1.78346,502.079,116.896,88.6812,46.6337,2.04119,32.9984,21.2657,11.6647,13.887,1.97247,1763.16,375.128,472.831,107.393,2.40478,114.332,83.3269,44.1512,49.214,5.72719,1997.97,302.896,358.727,214.495,4.15713,115.674,76.9251,35.1088,57.0195,6.33782,7415.87,733.2,2708.35,524.25,38.9475,352.599,153.226,137.981,213.293,60.7198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,195,fell,25.5,6,33.3795,6.0516,0.477489,0.717658,208.512,53.809,26.6305,18.3646,1.26683,17.8677,10.1084,6.12597,8.54468,1.19228,868.673,189.77,119.646,40.4413,2.57671,57.0237,38.8224,19.1061,21.5724,2.82808,552.855,124.279,101.443,59.3472,2.92805,37.4164,25.4026,13.3622,19.595,3.31574,574.018,115.593,178.095,52.3744,2.0015,48.9209,23.2943,18.4521,21.2995,3.41768,1308.97,376.328,345.965,117.989,2.50457,95.2793,69.6865,35.2027,36.7038,5.8191,584.404,132.916,96.7357,9.07932,0.307496,31.5194,23.7763,10.8995,10.7219,1.72302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,196,fell,55.72,12,29.9377,11.3587,2.71455,2.85074,628.708,103.445,113.092,80.4377,2.02635,46.0741,25.7773,16.7141,21.4197,2.64765,364.049,132.2,75.8843,61.7823,2.49818,33.5015,21.205,12.922,19.7609,2.25705,404.917,113.143,82.0809,51.3277,2.12404,37.0592,21.3523,13.9674,18.7514,2.26106,207.07,54.2373,19.312,19.0177,2.81882,17.3419,9.95162,6.03948,8.11467,1.30746,971.31,138.295,121.079,83.4215,2.70012,69.4826,39.5275,21.3918,21.3449,3.05773,497.342,171.562,127.211,55.3326,1.17261,37.826,28.0292,13.9586,13.9359,2.21101,1264.29,261.638,332.285,130.227,2.43368,87.6296,56.1891,30.4941,36.2537,4.47915,590.836,155.813,105.821,62.6924,3.0008,40.8241,27.8941,14.5873,16.7737,2.52757,1006.36,294.368,380.094,131.665,3.458,73.2244,48.8627,31.8692,43.614,5.21499,989.845,434.138,235.727,113.72,1.73965,79.329,57.8232,27.0344,33.4145,3.4211,1254.83,330.235,303.708,77.6006,1.9297,94.4936,60.0914,35.0013,31.6488,3.84888,1503.26,230.715,598.863,203.021,26.9902,77.7209,30.4573,29.296,36.1709,12.3376
sonic,197,complete,60,12,16.1747,6.23941,1.0372,0.991209,128.271,39.6406,15.3292,18.3289,2.86661,16.3187,8.42495,5.7633,7.94307,1.54043,481.653,140.688,85.8092,77.8427,2.47258,38.1288,23.0269,12.6275,15.8799,3.29056,465.943,110.169,77.0552,56.1593,1.8623,35.8611,22.4941,13.0528,13.6452,1.8812,167.691,61.925,26.7658,30.6098,1.52234,17.4536,9.65264,6.41268,6.42415,1.03968,238.975,92.4449,41.749,26.0118,1.71579,23.5968,14.6816,8.29866,6.29726,1.14745,1891.3,385.566,927.631,174.665,4.89298,123.467,71.5869,55.5343,45.2514,7.53271,926.016,220.024,310.487,52.7492,1.67141,79.8756,43.9872,30.3851,20.8111,3.57646,1521.64,354.117,550.833,133.202,3.3717,104.402,70.0604,40.6195,30.7181,5.72215,1063.25,306.73,228.584,141.643,2.40403,63.2053,48.5593,23.9577,26.0431,4.05687,669.12,192.789,138.434,58.6564,1.6361,43.0831,28.0862,12.9958,10.9604,2.49051,931.207,191.495,169.736,60.1093,1.73566,54.4106,32.0772,20.0307,16.0613,3.37635,994.073,330.928,212.492,61.4038,2.65727,63.5808,42.4162,23.2772,20.0779,3.53933
sonic,198,complete,60,12,85.825,5.30153,0.32045,0.344194,874.567,186.737,215.576,68.6156,2.3909,70.6642,46.93,24.2388,25.6795,4.03838,1907.95,514.236,562.223,148.728,1.7753,140.924,93.6496,53.211,44.4076,6.74198,190.87,45.3737,27.2994,30.378,3.11068,17.2244,8.83255,5.82716,5.50834,1.56043,1022.98,346.27,211.88,82.3159,1.44579,73.3231,56.7822,25.961,25.9128,4.25545,851.974,206.44,419.55,156.327,3.41164,68.2608,40.121,26.0854,29.8027,5.22444,2395.28,566.36,745.617,248.512,23.9184,138.671,90.6894,51.8773,51.6105,16.2522,1430.97,569.81,339.068,105.243,1.73836,103.56,82.7795,33.0887,28.4326,5.34342,839.1,255.605,224.485,148.781,19.1202,68.2226,49.7352,22.1195,35.355,17.9752,886.747,223.522,117.559,82.5707,1.75979,60.7242,42.2031,18.7191,22.8598,4.07977,2106.62,699.116,834.899,221.946,4.85733,160.938,111.536,69.3735,66.0609,12.5445,816.293,218.941,205.006,193.028,6.30481,61.3102,37.0218,18.2133,23.7446,6.47295,370.236,111.305,91.9729,44.3081,1.52055,25.7504,17.1657,9.31609,9.83744,1.9932
sonic,199,complete,60,12,11.072,4.84195,0.0652538,0.0820653,441.776,141.044,86.9889,36.4363,1.49175,41.7536,31.7481,15.6632,20.1428,2.09576,365.549,72.4158,52.0072,38.9815,1.72486,28.1154,14.5397,9.92061,12.1648,1.30848,644.609,119.759,117.465,86.4025,2.64322,43.3556,23.7212,17.0193,21.2639,3.02448,294.662,106.045,53.4513,32.0124,1.83025,23.7274,14.9782,9.07509,8.09164,1.57198,275.217,98.7255,54.2783,24.3799,2.16292,26.5406,15.8538,8.71167,8.83991,1.49872,498.404,111.373,76.5681,39.9872,1.63244,36.0753,23.1587,12.104,11.1367,1.56919,1023.8,283.104,148.453,65.1152,2.44047,68.2772,50.2269,21.7793,22.604,3.5876,304.339,87.3915,44.4368,22.1835,2.01286,21.9873,13.7667,8.70502,8.57624,1.99906,270.447,84.8214,35.2108,17.8689,1.73605,24.6272,13.7532,8.16397,8.26272,1.94063,706.647,308.878,182.23,154.105,6.48435,55.1627,46.4691,20.5903,28.5671,6.88128,1037.49,269.397,268.467,173.48,3.16529,72.8436,49.1953,27.1226,37.5309,5.23998,398.301,107.691,50.0547,40.4645,2.12206,33.6968,20.2887,11.712,14.2452,2.66738
sonic,200,fell,25.16,6,94.4452,30.9864,2.99728,1.96547,450.8,148.878,58.1363,26.0836,2.96453,34.4788,26.612,11.3303,13.891,2.26188,559.445,193.846,118.769,42.7628,2.41478,41.5587,30.7191,13.8021,15.8087,2.13359,397.55,110.675,68.8793,28.9121,1.5327,30.2553,22.2908,10.3968,12.2845,1.79456,285.673,57.0037,24.5947,47.2007,2.25598,21.0269,12.8041,7.29182,12.4787,2.21298,3210.52,643.423,1823.29,279.717,6.86904,188.145,109.388,92.5842,102.761,14.8871,640.715,100.035,250.757,99.1687,4.58861,35.8089,20.1568,25.5475,38.6131,8.22144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,201,fell,45.7,10,28.6316,15.8898,2.83862,3.09218,439.398,78.0679,45.6611,22.1891,2.32958,27.5256,19.0176,8.79208,11.0428,1.52473,1238.31,282.662,175.685,65.3659,1.76913,88.2779,63.7574,25.105,30.2764,3.65198,645.527,172.033,204.76,52.1074,2.11768,44.3415,28.9897,18.7198,20.6488,3.47785,803.629,236.236,121.352,40.8924,2.36987,59.4467,41.093,19.8002,18.9422,2.84047,1134.88,442.669,322.467,71.1879,2.9327,74.5473,66.1141,28.5815,33.4536,5.01001,532.898,150.818,110.727,29.6722,2.36534,37.6966,25.1021,12.5218,16.1651,2.29017,1357.19,363.153,328.618,85.8784,2.57212,86.8192,70.1078,31.4014,34.6177,6.30653,1596.16,525.204,319.841,210.037,12.0463,98.6103,85.1549,31.6868,43.2257,8.24392,470.641,173.618,88.7933,38.5457,2.21625,37.6552,31.4027,12.5232,13.017,1.85979,1289.08,385.669,348.164,96.5177,0.705246,62.7304,39.2028,21.7709,26.0164,2.77071,,,,,,,,,,,,,,,,,,,,
