policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
mimic_lite,256,fell,31.22,7,49.9561,7.04122,1.78627,1.87534,207.296,31.1766,13.2549,18.51,4.9424,14.6361,12.7934,4.55335,9.8805,5.02923,139.193,53.5845,15.4675,16.2815,3.17197,18.0265,13.4117,4.6159,7.01216,4.19054,477.953,93.7655,33.7528,18.5017,1.8606,43.9495,34.3895,11.7197,17.7324,5.15095,294.292,121.297,40.3988,26.6341,1.86655,32.7435,26.5974,8.30775,12.0902,5.79014,187.366,82.7119,28.9713,31.4562,4.57932,17.5025,16.5807,5.26406,6.90526,2.46631,456.807,253.818,53.945,37.8788,2.43846,48.1324,47.2613,11.5535,14.0404,7.12782,763.106,201.829,105.567,75.0042,102.003,39.599,34.2778,11.9236,24.2657,31.9095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,257,fell,34.26,7,25.2376,8.9979,2.55509,3.60731,190.489,44.5822,10.8703,9.98082,1.92653,14.5919,11.0222,3.75148,5.24808,1.16151,228.49,49.986,9.35604,7.69417,1.43622,20.7206,15.4357,4.68853,4.84857,2.35244,510.58,140.109,27.9676,9.69395,1.59671,50.4863,38.0586,11.0594,14.1948,3.30716,747.775,190.824,51.8722,21.1259,1.26453,68.9765,51.1935,17.2019,16.6613,2.8932,470.497,141.944,31.7404,36.2724,1.52891,43.1223,34.3894,11.8573,17.8748,3.10775,433.318,94.8336,29.7303,26.7845,1.37693,38.8675,28.8786,10.3327,14.3492,2.61262,1109.42,188.351,73.9562,103.575,24.2674,71.0061,46.6361,21.0798,33.1582,13.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,258,complete,60,12,15.8082,5.15083,0.313967,0.379382,280.515,69.1449,15.2535,21.3443,1.26501,23.0201,19.0874,5.60854,9.66893,1.59293,128.581,22.6558,7.31196,27.6119,1.73586,12.4107,6.80412,3.04984,8.20778,1.63404,304.374,119.985,22.4296,29.9839,1.02975,33.02,26.4227,7.98231,11.0479,2.37951,296.178,127.138,20.8847,23.4287,1.84728,25.84,24.6999,6.48583,9.23999,2.04223,331.971,83.0624,23.269,23.4436,1.0162,26.9295,21.2103,7.23788,9.81199,2.10052,93.8645,38.2981,17.8706,42.8871,1.20706,9.4006,9.45753,3.26082,6.90189,1.45558,422.887,147.507,54.5926,40.8869,15.8213,36.6704,31.7054,8.9708,15.2797,5.33522,529.024,148.521,48.7176,166.351,52.9732,36.0059,24.3347,9.7967,25.14,8.14003,786.182,101.759,39.3091,22.3938,3.14069,40.954,31.0115,10.9863,14.6695,5.15277,646.026,238.089,43.3637,68.5906,1.73138,59.6975,56.1597,14.2994,29.0567,4.3295,370.33,136.515,21.9381,21.4088,1.48166,20.9745,20.4354,5.73002,7.84781,1.42529,714.004,229.912,59.8506,88.6899,1.34222,54.434,46.5083,12.9712,23.0921,3.37936
mimic_lite,259,fell,26.04,6,120.623,14.0362,1.8135,2.21821,178.824,47.9307,8.52932,12.6559,1.78891,16.5865,13.7132,3.85631,7.21245,3.00702,389.968,164.508,29.8787,22.7959,2.75608,25.431,25.203,6.48052,9.01797,3.08657,222.52,104.939,18.9628,15.1545,2.73612,21.2969,21.7333,5.34394,6.78702,4.38263,229.143,90.5461,20.6095,16.9502,2.80512,22.886,20.9247,6.04051,8.3322,4.86812,1142.3,471.624,67.0985,25.1774,5.20629,87.1781,82.6807,17.1942,23.283,13.2161,936.725,177.904,89.7123,38.2501,3.21604,41.2313,33.856,9.79628,16.4102,5.34367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,260,fell,16,4,34.2533,40.5118,2.55483,3.05536,165.977,45.0128,9.10618,15.3048,1.05916,13.0545,10.4517,3.4682,6.35706,1.03116,384.955,93.3927,19.2104,17.5725,1.27916,23.7347,23.3501,6.72439,9.40894,1.54985,373.322,135.853,25.3324,16.5999,1.06726,24.5054,19.8932,5.86174,10.1398,1.38071,256.385,114.473,39.617,128.756,2.01118,27.2634,18.7789,8.76425,19.3909,4.46012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,261,fell,29.36,6,69.7506,11.5275,2.46501,2.62228,235.399,64.3019,13.1719,10.839,1.45835,15.1817,15.9282,3.58765,7.02351,1.92755,596.135,132.072,37.6055,42.3027,2.91649,48.2762,32.2541,11.9306,18.7339,5.01206,388.746,118.258,26.8761,16.1483,1.49985,38.4963,29.5479,9.964,10.9248,3.09374,677.331,254.444,35.3107,16.4364,1.26984,66.2202,54.5713,15.3697,15.6606,3.4057,444.682,194.416,44.31,25.7005,1.61634,32.0231,32.674,7.34884,7.55446,1.68952,839.877,322.765,95.082,51.2379,44.0439,65.9222,65.0371,18.43,24.7786,14.7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,262,fell,20.18,5,237.695,28.1466,1.35054,1.04883,395.057,133.26,28.766,25.1645,1.86596,34.1809,31.3032,8.11131,12.8389,1.92535,215.121,50.9545,22.5358,11.5385,1.49238,16.3372,13.4122,4.91761,4.95955,1.36587,751.247,314.25,42.1802,19.5426,1.4821,69.4224,61.9793,15.2419,18.5969,5.9757,2085.68,689.278,155.708,56.583,7.75675,117.165,123.406,25.5627,39.8851,12.2873,74.0015,3.07324,7.90738,22.9761,8.94995,5.91744,2.17642,2.21716,6.10512,3.7516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,263,fell,26.34,6,29.7031,25.3421,2.61955,3.43104,134.679,43.3914,7.29818,8.8672,1.03988,10.726,9.31576,2.84257,4.58372,0.940759,225.284,53.4952,23.3475,17.4924,1.71187,18.4387,14.923,4.32221,4.90773,1.66561,237.306,85.3888,20.3288,7.87535,0.772047,25.4672,19.657,5.50375,6.44645,2.18834,301.08,89.3491,23.6253,10.5867,1.24872,16.3691,15.6261,4.51871,7.31515,2.43134,544.197,153.134,44.9627,12.9158,1.30863,45.6334,34.8424,10.5305,9.76041,2.50947,669.728,193.028,102.463,243.645,119.158,41.4093,30.6946,16.9017,50.7999,26.1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,264,fell,12.48,3,189.553,14.5409,2.54148,3.79957,536.213,154.879,25.3192,12.0638,1.67928,36.69,29.076,8.42884,13.0236,3.11686,710.378,234.237,24.6475,18.4944,2.56432,73.2778,58.1246,15.2233,13.9744,9.33771,1323.37,380.378,75.495,35.9881,2.38126,107.084,67.1333,27.9384,22.5342,12.7309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mimic_lite,265,complete,60,12,56.7425,4.99665,0.155936,0.330687,302.477,84.9837,15.6935,19.6746,1.57134,21.7907,18.6124,5.32268,9.73334,1.55788,721.896,147.54,42.699,67.3993,1.25149,53.3602,39.6006,12.8081,21.5163,3.54164,459.216,120.266,38.4295,58.4455,3.05376,28.4033,27.4576,7.3279,13.1559,4.30371,578.472,193.39,56.3629,42.8198,1.9282,41.0568,34.338,10.003,17.7345,4.39006,675.003,198.593,55.6073,42.526,0.931059,61.1959,52.5269,15.0817,25.5563,3.26315,820.514,359.842,105.498,151.829,18.26,74.5155,64.643,18.8511,37.9116,7.84165,467.968,200.488,35.3614,28.941,1.25797,34.1307,32.9301,8.90716,12.9582,1.82895,417.484,144.998,33.6776,23.4934,0.85113,38.9991,35.6552,10.6337,15.1505,1.79087,483.853,249.958,51.1279,32.8525,2.1387,44.8285,45.7239,11.2264,17.1962,4.31712,911.895,179.557,75.6051,60.1586,3.16764,92.0517,61.6969,20.476,28.7058,5.56089,733.257,267.846,63.9694,49.6129,1.90136,50.8217,47.571,13.2765,18.1396,5.43195,1058.17,169.731,88.3373,49.7359,2.6835,76.9654,54.3421,19.4346,24.47,8.80873
