policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
sonic,448,complete,60,12,13.0954,5.99039,0.188062,0.157538,261.606,52.4166,21.3242,12.7974,1.27355,23.1086,14.0836,7.71111,10.1448,1.72575,253.761,66.2523,16.28,24.7279,1.15772,17.2324,10.7611,5.80555,7.28626,1.78945,339.498,134.502,53.4364,51.5794,3.7071,31.9518,26.4408,9.59175,15.6034,8.26692,430.123,149.869,63.5207,53.5075,5.70721,35.9054,29.3282,10.7781,14.5533,9.43853,386.175,77.1775,51.648,53.5903,4.99677,26.5482,16.4643,8.69367,11.5016,6.70464,227.001,70.3841,22.5033,29.8688,2.32881,17.989,12.7411,5.88044,7.25795,3.0543,385,202.609,45.4864,28.4076,1.45621,31.1466,27.2564,9.54936,12.03,3.73316,194.748,102.329,20.7072,13.2748,1.5233,18.2252,12.4553,5.93084,7.88465,1.67768,285.143,89.5614,45.9959,27.7782,2.42292,24.0754,17.8189,8.47633,15.5974,4.83364,371.33,147.213,40.1472,40.4412,2.64085,31.3763,29.4422,9.10253,12.4072,4.98769,835.638,179.516,86.7272,66.2263,2.19772,65.303,42.4729,20.4608,27.2319,4.75612,488.525,189.963,69.1765,88.0168,3.78298,45.4418,34.922,14.3159,25.7041,8.247
sonic,449,complete,60,12,20.596,6.14592,0.666123,0.234137,333.843,99.5903,20.4344,18.5559,1.50267,22.9569,17.3413,6.86693,9.72145,1.87835,276.47,53.3521,25.6572,23.4031,0.951317,15.7362,10.6305,5.29331,7.81012,1.23523,370.099,85.8314,31.6225,27.8503,1.86675,27.6613,17.3788,7.92,11.5515,1.95423,262.727,78.0984,22.6343,29.4947,1.21675,16.8171,12.739,5.82569,9.62538,1.64612,388.421,73.3439,38.3688,33.5119,1.17873,25.1148,19.0526,7.88807,11.7975,1.56488,502.328,140.279,47.305,49.6754,1.22953,37.5174,33.2004,10.7345,17.6389,2.72839,302.989,42.46,17.2882,20.7056,1.16602,18.9204,10.4672,6.2287,7.94948,1.16185,268.62,114.176,63.1883,42.0647,1.17787,21.817,14.4303,7.59438,12.8509,4.12321,407.382,108.408,46.9516,10.5489,2.38963,23.6149,20.6546,7.81068,6.36506,4.6395,648.869,204.972,89.1993,32.0717,2.95128,54.3437,40.6555,13.6845,13.4158,5.78046,762.403,184.597,101.687,49.9449,5.3176,53.9645,48.1165,15.2916,6.36744,8.17301,839.344,376.082,121.231,66.7366,10.3139,65.2149,64.8979,19.867,12.8567,9.89139
sonic,450,fell,40.64,9,95.6596,7.11946,2.18171,4.10064,253.813,60.1551,14.6462,19.3849,1.42973,19.8211,15.137,6.31437,7.70304,1.29708,192.011,58.3754,19.5016,34.7657,1.38785,16.9934,10.498,6.29445,9.05277,1.74262,526.004,156.581,51.5441,52.2334,1.66392,38.0414,27.7181,11.0074,19.3121,2.78296,342.132,112.313,44.4357,29.6049,1.2086,25.6444,18.9955,8.79954,14.7256,2.87959,122.418,59.7911,21.5233,16.2196,0.757929,14.4925,9.17465,4.63347,6.108,2.06861,643.107,120.995,81.7703,66.0715,1.81712,49.511,36.3001,16.1801,21.3137,2.93565,957.62,173.415,94.6986,67.0005,1.3833,73.497,48.8477,22.3533,22.8066,4.01908,1309.19,734.476,234.568,185.084,16.4358,98.6779,103.589,28.3804,53.0456,22.3579,328.372,90.7827,127.411,43.3356,39.335,23.4008,14.936,8.02639,15.5342,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,451,fell,50.8,11,15.307,18.2516,3.43572,4.09077,263.352,75.1981,30.2805,28.519,1.73131,22.145,18.0282,7.23504,13.2025,1.93172,209.005,51.2593,18.1913,27.9524,1.42066,17.5637,11.5165,5.38573,7.62625,0.983207,293.829,69.2303,24.8838,22.3864,1.42634,17.9688,13.5364,5.30182,7.42201,1.79825,631.744,160.923,117.34,58.8018,2.08513,43.5199,36.9418,14.5507,21.2102,2.90477,290.464,106.728,26.0684,74.7886,1.87649,25.7302,18.2006,7.10923,14.2585,2.51463,265.164,77.2607,66.0012,62.7771,1.75062,18.1981,15.4549,6.01511,16.0452,2.58424,258.285,67.1359,10.9777,13.633,1.85441,14.7751,10.0284,4.84791,7.30864,1.43087,222.548,38.9822,20.159,23.6442,1.14029,15.671,11.3193,5.70886,7.67469,1.2363,266.639,81.7358,32.3662,31.9792,1.2796,20.3778,16.1386,5.68291,9.95546,1.51446,398.366,106.765,30.2012,29.1337,1.11411,23.8935,16.6982,6.72023,11.313,1.5934,630.782,40.0777,82.5146,70.8231,71.7928,36.3099,11.0583,7.96504,25.1847,12.3696,,,,,,,,,,
sonic,452,complete,60,12,11.015,3.83084,0.319242,0.365454,279.882,76.169,26.0988,23.2553,1.01593,25.8619,20.3866,7.63565,10.2382,1.51623,355.061,77.748,28.2912,33.2175,1.15159,26.2865,19.7052,7.82917,10.2746,1.41996,182.529,54.3881,29.7428,50.0944,2.30577,15.9037,9.76095,6.00374,10.7723,2.43283,141.907,57.0087,15.7023,18.3395,1.37978,13.8403,8.81225,5.14033,9.77012,4.27376,399.355,86.7065,54.7617,86.892,5.64974,24.7389,19.259,8.42614,20.6725,8.81447,552.9,155.705,55.1306,32.3261,1.62583,33.4347,26.0922,10.3753,16.9095,3.34478,874.137,203.261,134.194,67.3085,2.5903,49.2636,34.2314,14.2724,23.9865,4.12893,260.544,80.1227,37.4702,16.7287,2.08726,20.9321,17.959,6.57267,8.53252,2.73585,259.862,90.0416,33.1523,25.3305,1.30195,22.9563,17.1269,7.54285,8.54691,2.16937,270.229,81.6229,27.5443,37.7888,1.13957,23.1894,15.2534,7.5288,7.8933,1.55733,305.403,116.732,30.5776,35.3943,1.25538,22.555,15.5322,6.94409,8.814,1.31431,907.891,128.499,80.7867,33.7283,1.69567,61.1893,39.8234,19.5813,24.9953,8.33177
sonic,453,complete,60,12,10.2076,4.81841,0.061785,0.0679038,708.378,137.257,70.7861,36.2107,1.97073,40.6203,32.7006,12.7902,18.84,2.68736,468.377,108.1,36.8019,23.6278,1.52031,26.0263,21.9851,7.91671,11.283,1.98504,606.695,171.797,109.525,58.6036,1.85298,40.2444,39.4105,11.4578,20.1954,3.14538,596.706,244.252,86.1548,31.1908,1.06094,44.9564,42.0604,12.5434,20.0777,2.59851,482.646,101.389,62.552,30.1549,1.73995,31.8901,24.0328,9.70489,17.4171,2.25808,442.829,105.004,49.9772,18.9042,1.17612,30.5146,23.6612,9.12299,13.1483,1.84503,338.897,83.6041,33.3589,80.5079,2.04402,20.9837,14.625,7.01628,16.9238,2.82881,419.368,90.543,59.8202,54.4261,6.06252,27.209,21.1797,9.2582,20.5574,7.29453,376.29,94.5052,36.8972,26.7949,1.42595,24.1491,19.2673,7.13941,11.6655,1.99213,433.797,162.917,69.4819,38.0425,1.38821,30.5738,25.4288,8.99258,14.5451,2.0999,414.854,95.5355,43.3881,32.6754,2.03667,24.8386,19.1427,7.50383,11.3298,1.69215,421.247,96.2274,97.4305,45.6348,1.50891,32.6078,21.4972,9.99673,16.9245,2.79134
sonic,454,complete,60,12,27.0552,3.68417,0.508462,0.498728,259.621,55.1255,9.11703,11.6223,1.47001,17.4475,14.123,4.77647,7.67964,2.40109,310.748,64.1962,21.0703,21.0493,1.12648,15.2424,10.4472,5.64395,9.11535,1.31291,267.674,66.1799,34.3274,19.3597,1.86962,21.4549,16.2459,6.49585,9.19825,1.58668,422.893,111.357,50.9869,27.9443,2.66945,26.5142,24.6731,8.16776,13.3626,4.96178,329.814,79.9691,24.2417,17.6488,2.07082,25.4757,20.6257,7.22789,11.7775,3.27758,378.573,107.583,47.3197,15.7693,2.1076,30.2465,21.799,8.62148,8.24766,2.98805,553.777,223.507,44.0423,19.7378,1.68457,39.0859,35.7915,9.65368,16.7726,3.88142,600.53,286.924,69.4612,25.3646,1.39081,47.4105,41.6449,11.7157,19.9,2.71535,1091.72,231.423,112.103,47.6483,3.17346,59.0006,46.5809,18.3073,26.0708,7.25196,306.748,94.8486,37.6828,27.5864,1.2278,30.0463,22.4537,8.89794,10.4714,2.28611,604.11,122.63,52.8915,30.5157,1.21283,47.647,33.8548,13.8394,18.0922,4.33692,1097.82,347.673,156.624,114.908,3.68586,69.124,65.6788,22.329,40.5313,10.096
sonic,455,fell,20.66,5,22.1563,15.6087,1.49899,1.1412,153.391,40.3424,12.5295,41.1408,1.82181,14.448,10.4719,5.38075,12.4973,2.5268,323.833,126.365,28.9479,45.5468,1.42006,26.8145,21.5246,9.32992,12.1683,1.9908,245.894,106.837,26.4887,27.3769,1.25718,24.1882,17.8551,7.80497,8.7552,2.31566,307.47,118.809,40.2728,50.8562,1.03991,29.1255,23.2693,9.59282,10.7045,1.95378,84.5947,4.48083,30.1152,34.5912,1.69893,7.26859,3.37926,3.95344,14.5031,3.28699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,456,fell,35.78,8,23.203,22.4244,1.91221,1.84833,168.179,42.6547,8.68372,11.5612,2.62145,12.9203,8.91533,4.09194,7.58464,3.41698,262.254,74.2698,23.0108,18.0487,1.24045,20.872,16.5359,6.26123,9.78899,3.83909,341.52,95.6145,30.2882,40.5066,2.10745,21.106,17.3706,6.54669,11.8888,3.30302,233.822,61.4303,40.3151,32.3674,2.71284,15.5821,10.5482,5.45911,13.1086,3.88017,545.494,122.281,65.6647,78.0887,3.19789,42.4086,34.1861,13.3712,23.8595,7.4652,367.94,86.7519,42.7327,49.9998,1.87189,27.6131,20.5034,8.94719,12.6823,3.03594,388.751,136.476,49.7591,49.8086,1.8983,36.159,28.8172,11.1786,14.6864,2.39331,1345.42,96.3357,158.663,69.623,72.3629,42.3808,25.587,11.5169,22.0652,12.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,457,complete,60,12,14.209,3.80472,0.0286996,0.0404237,203.563,65.1317,18.2474,24.4114,1.86279,14.4649,11.4172,4.47162,8.10102,2.57081,332.513,117.757,43.7034,53.7753,2.39391,22.1696,18.0427,7.97224,15.0725,3.58269,283.402,88.975,49.7323,17.4557,1.60815,23.1305,19.678,7.02702,10.6332,2.60804,270.237,75.2083,40.0452,25.0817,1.61611,17.4661,12.7242,6.1353,10.5705,1.44405,357.346,88.3365,32.4527,15.8039,1.56252,26.097,19.2593,7.77708,12.521,3.49322,528.539,74.0868,62.6623,43.8874,1.61208,29.9734,20.2421,9.47207,15.8474,1.92101,510.112,116.844,52.3097,33.1686,1.30031,31.7476,24.8968,9.37791,17.9602,3.10014,490.535,89.4446,61.1273,41.1984,2.11489,38.6024,24.4258,10.4781,15.0276,6.56173,729.651,129.619,90.0569,120.301,2.8902,47.7553,31.693,15.0687,38.2538,7.68702,607.356,136.325,45.5498,19.9082,0.983315,31.5937,26.0714,8.60687,12.5755,2.53265,191.604,61.6555,16.3836,17.5088,0.88512,14.8348,9.60778,4.7193,7.80739,1.38694,260.588,58.9843,38.2766,19.4151,2.23077,20.2972,13.9749,6.68465,9.26092,2.41303
